QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SAN ANTONIO_ACTION,LA LAKERS_SCORE,SAN ANTONIO_SCORE
1,11:44.0,L. James makes 2-pt jump shot from 16 ft,,2,0
1,11:30.0,,Turnover by R. Gay (bad pass; steal by K. Kuzma),2,0
1,11:23.0,K. Kuzma makes 3-pt jump shot from 23 ft (assist by L. James),,5,0
1,11:03.0,,L. Aldridge misses 2-pt jump shot from 19 ft,5,0
1,11:03.0,Defensive rebound by L. James,,5,0
1,10:57.0,J. Hart makes 2-pt layup from 2 ft (assist by L. James),,7,0
1,10:38.0,,B. Forbes makes 2-pt jump shot from 19 ft,7,2
1,10:30.0,K. Kuzma makes 2-pt layup from 2 ft (assist by L. Ball),,9,2
1,10:09.0,,R. Gay makes 2-pt jump shot from 11 ft,9,4
1,9:53.0,L. Ball misses 2-pt jump shot from 11 ft,,9,4
1,9:53.0,,Defensive rebound by L. Aldridge,9,4
1,9:44.0,,D. DeRozan makes 2-pt jump shot from 10 ft,9,6
1,9:28.0,Shooting foul by L. Aldridge (drawn by J. McGee),,9,6
1,9:28.0,J. McGee makes free throw 1 of 2,,10,6
1,9:28.0,J. McGee makes free throw 2 of 2,,11,6
1,9:17.0,,D. DeRozan makes 2-pt layup from 3 ft (assist by B. Forbes),11,8
1,9:12.0,Shooting foul by R. Gay (drawn by K. Kuzma),,11,8
1,9:12.0,K. Kuzma misses free throw 1 of 2,,11,8
1,9:12.0,Offensive rebound by Team,,11,8
1,9:12.0,K. Kuzma makes free throw 2 of 2,,12,8
1,8:54.0,,D. DeRozan makes 2-pt jump shot from 14 ft,12,10
1,8:48.0,Turnover by J. McGee (bad pass; steal by R. Gay),,12,10
1,8:44.0,,R. Gay misses 3-pt jump shot from 27 ft,12,10
1,8:40.0,Defensive rebound by J. Hart,,12,10
1,8:32.0,L. James makes 3-pt jump shot from 25 ft (assist by K. Kuzma),,15,10
1,8:17.0,,D. Cunningham misses 2-pt jump shot from 10 ft,15,10
1,8:17.0,Defensive rebound by J. McGee,,15,10
1,8:06.0,K. Kuzma misses 2-pt layup from 2 ft,,15,10
1,8:03.0,,Defensive rebound by D. Cunningham,15,10
1,7:49.0,,L. Aldridge makes 2-pt jump shot from 7 ft,15,12
1,7:35.0,L. James misses 2-pt jump shot from 14 ft,,15,12
1,7:35.0,,Defensive rebound by R. Gay,15,12
1,7:24.0,,D. Cunningham makes 3-pt jump shot from 24 ft (assist by B. Forbes),15,15
1,7:01.0,L. James misses 2-pt jump shot from 18 ft,,15,15
1,7:01.0,,Defensive rebound by D. Cunningham,15,15
1,6:50.0,,D. DeRozan misses 2-pt jump shot from 6 ft,15,15
1,6:49.0,Defensive rebound by J. McGee,,15,15
1,6:44.0,L. James misses 3-pt jump shot from 27 ft,,15,15
1,6:41.0,,Defensive rebound by L. Aldridge,15,15
1,6:38.0,,San Antonio full timeout,15,15
1,6:26.0,,L. Aldridge makes 2-pt layup from 5 ft (assist by D. DeRozan),15,17
1,6:14.0,L. Ball makes 2-pt layup from 1 ft (assist by L. James),,17,17
1,6:14.0,Shooting foul by B. Forbes (drawn by L. Ball),,17,17
1,6:14.0,,P. Mills enters the game for B. Forbes,17,17
1,6:14.0,L. Ball makes free throw 1 of 1,,18,17
1,6:02.0,,D. Cunningham misses 3-pt jump shot from 23 ft,18,17
1,5:58.0,Defensive rebound by J. McGee,,18,17
1,5:50.0,J. McGee makes 2-pt dunk from 2 ft (assist by L. James),,20,17
1,5:37.0,,L. Aldridge misses 2-pt jump shot from 16 ft,20,17
1,5:34.0,Defensive rebound by J. McGee,,20,17
1,5:24.0,L. James misses 2-pt layup from 4 ft,,20,17
1,5:22.0,,Defensive rebound by R. Gay,20,17
1,5:17.0,,D. Cunningham misses 2-pt jump shot from 18 ft,20,17
1,5:13.0,,Offensive rebound by R. Gay,20,17
1,5:12.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by R. Gay),20,20
1,4:52.0,L. Ball misses 3-pt jump shot from 23 ft,,20,20
1,4:52.0,Offensive rebound by L. James,,20,20
1,4:47.0,L. James makes 2-pt layup from 2 ft,,22,20
1,4:36.0,,L. Aldridge makes 2-pt jump shot from 22 ft (assist by D. Cunningham),22,22
1,4:33.0,LA Lakers full timeout,,22,22
1,4:33.0,K. Caldwell-Pope enters the game for L. James,,22,22
1,4:33.0,,M. Belinelli enters the game for D. Cunningham,22,22
1,4:33.0,,D. Bertāns enters the game for R. Gay,22,22
1,4:22.0,L. Ball misses 2-pt jump shot from 1 ft,,22,22
1,4:21.0,Offensive rebound by L. Ball,,22,22
1,4:21.0,L. Ball misses 2-pt layup at rim,,22,22
1,4:21.0,,Defensive rebound by Team,22,22
1,4:13.0,,Personal foul by J. Hart (drawn by D. DeRozan),22,22
1,4:13.0,T. Chandler enters the game for J. McGee,,22,22
1,4:13.0,,L. Aldridge misses 2-pt jump shot from 21 ft,22,22
1,3:59.0,Defensive rebound by J. Hart,,22,22
1,3:47.0,K. Kuzma misses 2-pt hook shot from 5 ft,,22,22
1,3:44.0,,Defensive rebound by D. DeRozan,22,22
1,3:36.0,,D. DeRozan makes 2-pt jump shot from 12 ft,22,24
1,3:24.0,L. Ball misses 2-pt jump shot from 18 ft,,22,24
1,3:22.0,,Defensive rebound by L. Aldridge,22,24
1,3:19.0,,Turnover by P. Mills (offensive foul),22,24
1,3:19.0,,Offensive foul by P. Mills (drawn by J. Hart),22,24
1,3:19.0,S. Mykhailiuk enters the game for J. Hart,,22,24
1,3:19.0,,J. Poeltl enters the game for L. Aldridge,22,24
1,3:05.0,L. Ball misses 3-pt jump shot from 25 ft,,22,24
1,3:02.0,,Defensive rebound by D. Bertāns,22,24
1,2:56.0,,Shooting foul by K. Kuzma (drawn by D. DeRozan),22,24
1,2:56.0,,D. DeRozan misses free throw 1 of 2,22,24
1,2:56.0,,Offensive rebound by Team,22,24
1,2:56.0,,D. DeRozan makes free throw 2 of 2,22,25
1,2:33.0,S. Mykhailiuk makes 3-pt jump shot from 26 ft (assist by K. Kuzma),,25,25
1,2:33.0,,D. White enters the game for D. DeRozan,25,25
1,2:08.0,,Turnover by J. Poeltl (bad pass; steal by K. Kuzma),25,25
