QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CLEVELAND_ACTION,GOLDEN STATE_SCORE,CLEVELAND_SCORE
1,11:42.0,K. Thompson makes 2-pt jump shot from 17 ft (assist by K. Durant),,2,0
1,11:25.0,,R. Hood makes 3-pt jump shot from 26 ft (assist by T. Thompson),2,3
1,11:12.0,S. Curry misses 2-pt jump shot from 19 ft,,2,3
1,11:10.0,,Defensive rebound by C. Sexton,2,3
1,11:05.0,,Personal foul by A. Iguodala (drawn by T. Thompson),2,3
1,10:58.0,,R. Hood makes 2-pt layup at rim,2,5
1,10:58.0,,Shooting foul by K. Looney (drawn by R. Hood),2,5
1,10:58.0,,R. Hood makes free throw 1 of 1,2,6
1,10:41.0,Turnover by K. Durant (lost ball; steal by C. Osman),,2,6
1,10:33.0,,C. Sexton makes 3-pt jump shot from 25 ft (assist by C. Osman),2,9
1,10:12.0,Turnover by S. Curry (bad pass; steal by R. Hood),,2,9
1,10:05.0,,R. Hood makes 3-pt jump shot from 26 ft,2,12
1,9:54.0,S. Curry makes 3-pt jump shot from 25 ft,,5,12
1,9:33.0,,C. Osman misses 3-pt jump shot from 25 ft,5,12
1,9:33.0,Defensive rebound by Team,,5,12
1,9:33.0,,Loose ball foul by T. Thompson (drawn by K. Durant),5,12
1,9:22.0,K. Durant misses 2-pt jump shot from 20 ft,,5,12
1,9:17.0,,Defensive rebound by T. Thompson,5,12
1,9:00.0,,R. Hood misses 3-pt jump shot from 23 ft,5,12
1,8:57.0,Defensive rebound by K. Thompson,,5,12
1,8:53.0,K. Thompson misses 3-pt jump shot from 30 ft,,5,12
1,8:49.0,,Defensive rebound by C. Osman,5,12
1,8:42.0,,C. Sexton misses 2-pt jump shot from 19 ft,5,12
1,8:39.0,Defensive rebound by K. Looney,,5,12
1,8:32.0,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),,7,12
1,8:10.0,,Personal foul by K. Thompson (drawn by T. Thompson),7,12
1,8:02.0,,G. Hill misses 2-pt layup from 3 ft,7,12
1,7:59.0,Defensive rebound by K. Thompson,,7,12
1,7:57.0,Personal foul by C. Osman (drawn by K. Durant),,7,12
1,7:52.0,K. Durant makes 2-pt jump shot from 18 ft (assist by K. Looney),,9,12
1,7:32.0,,T. Thompson misses 2-pt hook shot from 7 ft,9,12
1,7:31.0,,Offensive rebound by G. Hill,9,12
1,7:31.0,,G. Hill misses 2-pt layup from 1 ft,9,12
1,7:29.0,Defensive rebound by S. Curry,,9,12
1,7:21.0,A. Iguodala makes 2-pt layup from 1 ft (assist by S. Curry),,11,12
1,7:03.0,,R. Hood makes 2-pt layup at rim,11,14
1,6:52.0,S. Curry misses 3-pt jump shot from 28 ft,,11,14
1,6:48.0,,Defensive rebound by T. Thompson,11,14
1,6:43.0,,Turnover by R. Hood (bad pass; steal by K. Durant),11,14
1,6:37.0,S. Curry makes 2-pt layup from 2 ft (assist by K. Durant),,13,14
1,6:14.0,,C. Sexton misses 2-pt jump shot from 15 ft (block by K. Thompson),13,14
1,6:14.0,,Offensive rebound by Team,13,14
1,6:14.0,Loose ball foul by K. Looney (drawn by T. Thompson),,13,14
1,6:14.0,,Cleveland full timeout,13,14
1,6:14.0,J. Bell enters the game for K. Looney,,13,14
1,6:01.0,,G. Hill misses 2-pt jump shot from 21 ft,13,14
1,5:57.0,Defensive rebound by K. Durant,,13,14
1,5:44.0,J. Bell misses 2-pt layup from 2 ft,,13,14
1,5:41.0,,Defensive rebound by C. Osman,13,14
1,5:37.0,,C. Osman misses 2-pt layup from 1 ft,13,14
1,5:32.0,,Offensive rebound by T. Thompson,13,14
1,5:32.0,,T. Thompson makes 2-pt layup from 1 ft,13,16
1,5:25.0,K. Durant misses 2-pt jump shot from 15 ft,,13,16
1,5:23.0,,Defensive rebound by T. Thompson,13,16
1,5:23.0,Technical foul by K. Durant,,13,16
1,5:23.0,,C. Sexton makes technical free throw,13,17
1,5:05.0,,R. Hood misses 3-pt jump shot from 25 ft,13,17
1,5:01.0,,Offensive rebound by T. Thompson,13,17
1,4:52.0,,G. Hill misses 2-pt jump shot from 6 ft,13,17
1,4:48.0,,T. Thompson makes 2-pt layup from 1 ft,13,19
1,4:48.0,,Offensive rebound by T. Thompson,13,19
1,4:44.0,K. Thompson misses 2-pt jump shot from 14 ft,,13,19
1,4:41.0,,Defensive rebound by T. Thompson,13,19
1,4:36.0,,Personal foul by J. Bell (drawn by T. Thompson),13,19
1,4:36.0,,T. Thompson misses free throw 1 of 2,13,19
1,4:36.0,,Offensive rebound by Team,13,19
1,4:36.0,J. Jerebko enters the game for A. Iguodala,,13,19
1,4:36.0,S. Livingston enters the game for K. Thompson,,13,19
1,4:36.0,,A. Burks enters the game for G. Hill,13,19
1,4:36.0,,J. Clarkson enters the game for R. Hood,13,19
1,4:36.0,,T. Thompson makes free throw 2 of 2,13,20
1,4:25.0,Personal foul by A. Burks (drawn by S. Curry),,13,20
1,4:20.0,S. Curry makes 3-pt jump shot from 26 ft (assist by J. Jerebko),,16,20
1,3:58.0,,J. Clarkson misses 2-pt jump shot from 19 ft,16,20
1,3:55.0,Defensive rebound by J. Jerebko,,16,20
1,3:49.0,K. Durant makes 2-pt layup from 1 ft,,18,20
1,3:32.0,,Shooting foul by J. Bell (drawn by C. Osman),18,20
1,3:32.0,,Violation by Team (delay of game),18,20
1,3:32.0,,C. Osman misses free throw 1 of 2,18,20
1,3:32.0,,Offensive rebound by Team,18,20
1,3:32.0,,L. Nance enters the game for T. Thompson,18,20
1,3:32.0,,C. Osman makes free throw 2 of 2,18,21
1,3:12.0,S. Curry makes 3-pt jump shot from 23 ft (assist by K. Durant),,21,21
1,2:55.0,,C. Osman misses 3-pt jump shot from 25 ft,21,21
1,2:51.0,Defensive rebound by S. Curry,,21,21
1,2:48.0,S. Curry makes 3-pt jump shot from 33 ft,,24,21
1,2:28.0,,C. Sexton misses 2-pt layup from 3 ft (block by J. Bell),24,21
1,2:25.0,Defensive rebound by K. Durant,,24,21
1,2:23.0,S. Curry makes 2-pt layup from 1 ft (assist by K. Durant),,26,21
1,2:03.0,,A. Burks misses 2-pt jump shot from 15 ft (block by K. Durant),26,21
1,1:59.0,Defensive rebound by J. Bell,,26,21
1,1:56.0,S. Livingston misses 2-pt layup from 3 ft (block by L. Nance),,26,21
1,1:56.0,Offensive rebound by Team,,26,21
1,1:56.0,Golden State full timeout,,26,21
1,1:56.0,Q. Cook enters the game for S. Curry,,26,21
1,1:56.0,,G. Hill enters the game for C. Sexton,26,21
1,1:54.0,Shooting foul by J. Clarkson (drawn by J. Jerebko),,26,21
1,1:54.0,J. Jerebko makes free throw 1 of 2,,27,21
1,1:54.0,J. Jerebko makes free throw 2 of 2,,28,21
1,1:38.0,,J. Clarkson makes 2-pt jump shot from 17 ft,28,23
1,1:23.0,K. Durant misses 3-pt jump shot from 26 ft,,28,23
1,1:19.0,Offensive rebound by Q. Cook,,28,23
1,1:07.0,K. Durant misses 2-pt jump shot from 12 ft,,28,23
1,1:06.0,Offensive rebound by Q. Cook,,28,23
1,1:06.0,Turnover by Team (shot clock),,28,23
1,0:54.0,,C. Osman misses 2-pt jump shot from 17 ft,28,23
1,0:50.0,Defensive rebound by K. Durant,,28,23
1,0:42.0,Q. Cook makes 2-pt jump shot from 20 ft,,30,23
1,0:31.0,,Personal foul by S. Livingston (drawn by L. Nance),30,23
1,0:31.0,,L. Nance makes free throw 1 of 2,30,24
1,0:31.0,M. Derrickson enters the game for J. Bell,,30,24
1,0:31.0,,L. Nance makes free throw 2 of 2,30,25
1,0:18.0,Personal foul by C. Osman (drawn by K. Durant),,30,25
1,0:18.0,K. Durant misses free throw 1 of 2,,30,25
1,0:18.0,Offensive rebound by Team,,30,25
1,0:18.0,K. Durant makes free throw 2 of 2,,31,25
1,0:03.0,,A. Burks misses 2-pt layup from 7 ft (block by K. Durant),31,25
1,0:03.0,Defensive rebound by Q. Cook,,31,25
2,11:47.0,,J. Clarkson makes 3-pt jump shot from 25 ft,31,28
2,11:31.0,M. Derrickson misses 3-pt jump shot from 26 ft,,31,28
2,11:29.0,,Defensive rebound by A. Burks,31,28
2,11:14.0,,J. Clarkson misses 3-pt jump shot from 25 ft,31,28
2,11:12.0,,Offensive rebound by L. Nance,31,28
