QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,OKLAHOMA CITY_ACTION,SAN ANTONIO_SCORE,OKLAHOMA CITY_SCORE
1,11:44.0,,Shooting foul by P. Gasol (drawn by S. Adams),0,0
1,11:44.0,,S. Adams misses free throw 1 of 2,0,0
1,11:44.0,,Offensive rebound by Team,0,0
1,11:44.0,,S. Adams makes free throw 2 of 2,0,1
1,11:21.0,P. Gasol misses 3-pt jump shot from 23 ft,,0,1
1,11:19.0,,Defensive rebound by R. Westbrook,0,1
1,11:13.0,,P. George misses 2-pt jump shot from 9 ft,0,1
1,11:09.0,Defensive rebound by D. White,,0,1
1,11:01.0,Turnover by D. White (step out of bounds),,0,1
1,10:46.0,,P. George makes 2-pt layup from 1 ft,0,3
1,10:31.0,B. Forbes makes 2-pt layup from 1 ft,,2,3
1,10:31.0,Shooting foul by T. Ferguson (drawn by B. Forbes),,2,3
1,10:31.0,B. Forbes makes free throw 1 of 1,,3,3
1,10:18.0,,R. Westbrook misses 2-pt jump shot from 17 ft,3,3
1,10:15.0,Defensive rebound by B. Forbes,,3,3
1,10:08.0,B. Forbes makes 2-pt jump shot from 17 ft,,5,3
1,9:56.0,,P. George misses 3-pt jump shot from 26 ft,5,3
1,9:55.0,Defensive rebound by B. Forbes,,5,3
1,9:39.0,D. DeRozan misses 2-pt jump shot from 18 ft,,5,3
1,9:36.0,,Defensive rebound by P. George,5,3
1,9:31.0,,R. Westbrook misses 2-pt jump shot from 21 ft,5,3
1,9:27.0,Defensive rebound by P. Gasol,,5,3
1,9:17.0,L. Aldridge makes 2-pt jump shot from 21 ft (assist by D. White),,7,3
1,8:58.0,,T. Ferguson misses 2-pt jump shot from 16 ft,7,3
1,8:55.0,Defensive rebound by P. Gasol,,7,3
1,8:40.0,L. Aldridge misses 2-pt jump shot from 13 ft,,7,3
1,8:37.0,,Defensive rebound by P. George,7,3
1,8:26.0,,P. George misses 2-pt jump shot from 18 ft,7,3
1,8:24.0,Defensive rebound by P. Gasol,,7,3
1,8:15.0,D. DeRozan misses 2-pt jump shot from 12 ft,,7,3
1,8:12.0,,Defensive rebound by S. Adams,7,3
1,8:07.0,,R. Westbrook misses 2-pt layup from 1 ft,7,3
1,8:05.0,Defensive rebound by L. Aldridge,,7,3
1,8:01.0,Shooting foul by S. Adams (drawn by D. White),,7,3
1,8:01.0,D. White misses free throw 1 of 2,,7,3
1,8:01.0,Offensive rebound by Team,,7,3
1,8:01.0,D. White misses free throw 2 of 2,,7,3
1,7:59.0,,Defensive rebound by R. Westbrook,7,3
1,7:51.0,,T. Ferguson misses 3-pt jump shot from 23 ft,7,3
1,7:47.0,Defensive rebound by D. DeRozan,,7,3
1,7:31.0,B. Forbes misses 3-pt jump shot from 25 ft,,7,3
1,7:29.0,,Defensive rebound by J. Grant,7,3
1,7:20.0,,J. Grant misses 3-pt jump shot from 25 ft,7,3
1,7:16.0,Defensive rebound by D. White,,7,3
1,6:54.0,L. Aldridge misses 2-pt jump shot from 22 ft,,7,3
1,6:52.0,,Defensive rebound by R. Westbrook,7,3
