QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CHICAGO_ACTION,CHARLOTTE_SCORE,CHICAGO_SCORE
1,11:38.0,N. Batum makes 3-pt jump shot from 26 ft (assist by J. Lamb),,3,0
1,11:14.0,,J. Holiday makes 2-pt jump shot from 11 ft,3,2
1,10:57.0,N. Batum misses 3-pt jump shot from 26 ft,,3,2
1,10:54.0,,Defensive rebound by C. Payne,3,2
1,10:36.0,,Z. LaVine makes 2-pt layup from 2 ft,3,4
1,10:21.0,J. Lamb makes 3-pt jump shot from 25 ft (assist by N. Batum),,6,4
1,10:00.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by C. Payne),6,7
1,9:38.0,N. Batum misses 2-pt jump shot from 11 ft,,6,7
1,9:36.0,,Defensive rebound by J. Holiday,6,7
1,9:32.0,,Turnover by Z. LaVine (bad pass),6,7
1,9:14.0,M. Williams misses 3-pt jump shot from 25 ft,,6,7
1,9:10.0,Offensive rebound by C. Zeller,,6,7
1,9:00.0,J. Lamb misses 2-pt jump shot from 18 ft (block by J. Holiday),,6,7
1,8:59.0,Offensive rebound by Team,,6,7
1,8:58.0,Turnover by Team (shot clock),,6,7
1,8:42.0,,W. Carter misses 2-pt jump shot from 12 ft,6,7
1,8:39.0,Defensive rebound by K. Walker,,6,7
1,8:36.0,K. Walker makes 2-pt layup from 1 ft,,8,7
1,8:36.0,Shooting foul by J. Holiday (drawn by K. Walker),,8,7
1,8:36.0,,C. Felício enters the game for W. Carter,8,7
1,8:36.0,K. Walker makes free throw 1 of 1,,9,7
1,8:14.0,,C. Felício makes 2-pt layup from 1 ft (assist by C. Payne),9,9
1,7:55.0,C. Zeller misses 2-pt layup from 4 ft (block by B. Portis),,9,9
1,7:49.0,Offensive rebound by C. Zeller,,9,9
1,7:49.0,C. Zeller makes 2-pt layup at rim,,11,9
1,7:34.0,,Turnover by C. Payne (bad pass; steal by M. Williams),11,9
1,7:29.0,Personal foul by C. Payne (drawn by K. Walker),,11,9
1,7:29.0,,W. Carter enters the game for C. Felício,11,9
1,7:17.0,M. Williams makes 2-pt jump shot from 6 ft (assist by K. Walker),,13,9
1,7:11.0,,Turnover by W. Carter (bad pass; steal by J. Lamb),13,9
1,6:56.0,C. Zeller misses 2-pt layup from 3 ft (block by W. Carter),,13,9
1,6:52.0,Offensive rebound by M. Williams,,13,9
1,6:51.0,M. Williams misses 3-pt jump shot from 22 ft,,13,9
