QUARTER,TIME_REMAINING,INDIANA_ACTION,BOSTON_ACTION,INDIANA_SCORE,BOSTON_SCORE
1,11:37.0,,J. Tatum makes 2-pt jump shot from 12 ft,0,2
1,11:18.0,Turnover by D. Collison (bad pass; steal by M. Smart),,0,2
1,11:13.0,,J. Tatum makes 2-pt layup from 1 ft (assist by A. Horford),0,4
1,10:56.0,D. Sabonis misses 2-pt jump shot from 22 ft,,0,4
1,10:54.0,,Defensive rebound by M. Morris,0,4
1,10:43.0,,M. Morris misses 2-pt jump shot from 13 ft,0,4
1,10:41.0,Defensive rebound by D. Sabonis,,0,4
1,10:33.0,V. Oladipo makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,3,4
1,10:18.0,,K. Irving makes 2-pt layup from 2 ft,3,6
1,10:07.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Sabonis),,6,6
1,9:51.0,,J. Tatum makes 2-pt layup from 2 ft (assist by A. Horford),6,8
1,9:46.0,V. Oladipo misses 3-pt jump shot from 25 ft,,6,8
1,9:44.0,,Defensive rebound by A. Horford,6,8
1,9:32.0,,J. Tatum makes 3-pt jump shot from 26 ft,6,11
1,9:11.0,Shooting foul by M. Morris (drawn by D. Sabonis),,6,11
1,9:11.0,D. Sabonis makes free throw 1 of 2,,7,11
1,9:11.0,D. Sabonis makes free throw 2 of 2,,8,11
1,8:57.0,,M. Morris makes 2-pt jump shot from 17 ft (assist by M. Smart),8,13
1,8:45.0,B. Bogdanović misses 2-pt hook shot from 8 ft,,8,13
1,8:43.0,,Defensive rebound by A. Horford,8,13
1,8:43.0,Technical foul by B. Bogdanović,,8,13
1,8:43.0,,K. Irving makes technical free throw,8,14
1,8:27.0,,A. Horford makes 2-pt hook shot from 7 ft,8,16
1,8:06.0,T. Young misses 2-pt hook shot from 3 ft (block by M. Smart),,8,16
1,8:00.0,,Defensive rebound by M. Smart,8,16
1,7:58.0,,M. Smart misses 3-pt jump shot from 27 ft,8,16
1,7:58.0,Defensive rebound by T. Young,,8,16
1,7:46.0,D. Collison misses 2-pt layup from 3 ft,,8,16
1,7:45.0,,Defensive rebound by J. Tatum,8,16
