QUARTER,TIME_REMAINING,INDIANA_ACTION,CLEVELAND_ACTION,INDIANA_SCORE,CLEVELAND_SCORE
2,11:13.0,T. Leaf makes 2-pt layup from 4 ft,,40,19
2,10:55.0,,C. Payne makes 2-pt jump shot from 14 ft,40,21
2,10:33.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by C. Joseph),,43,21
2,10:06.0,,C. Payne misses 3-pt jump shot from 27 ft,43,21
2,10:03.0,Defensive rebound by T. Leaf,,43,21
2,9:58.0,Personal foul by M. Dellavedova (drawn by T. Leaf),,43,21
2,9:44.0,K. O'Quinn misses 3-pt jump shot from 29 ft,,43,21
2,9:40.0,,Defensive rebound by C. Payne,43,21
2,9:37.0,,Personal foul by K. O'Quinn (drawn by A. Žižić),43,21
2,9:37.0,,C. Osman enters the game for M. Dellavedova,43,21
2,9:37.0,,C. Sexton enters the game for J. Jones,43,21
2,9:26.0,,C. Payne misses 2-pt jump shot from 19 ft,43,21
2,9:23.0,Defensive rebound by T. Leaf,,43,21
2,9:17.0,T. Leaf makes 2-pt dunk from 2 ft (assist by K. O'Quinn),,45,21
2,8:57.0,,C. Sexton misses 2-pt jump shot from 13 ft,45,21
2,8:56.0,Defensive rebound by T. Evans,,45,21
2,8:52.0,T. Leaf misses 3-pt jump shot from 25 ft,,45,21
2,8:50.0,Offensive rebound by C. Joseph,,45,21
2,8:48.0,D. McDermott misses 3-pt jump shot from 23 ft,,45,21
2,8:45.0,,Defensive rebound by J. Clarkson,45,21
2,8:42.0,,C. Osman misses 3-pt jump shot from 26 ft,45,21
2,8:39.0,Defensive rebound by T. Leaf,,45,21
2,8:35.0,Turnover by T. Evans (bad pass; steal by J. Clarkson),,45,21
2,8:31.0,,C. Osman makes 2-pt layup at rim (assist by J. Clarkson),45,23
2,8:20.0,Indiana full timeout,,45,23
2,8:20.0,T. Young enters the game for T. Leaf,,45,23
2,8:20.0,,T. Thompson enters the game for A. Žižić,45,23
2,8:10.0,C. Joseph makes 3-pt jump shot from 24 ft (assist by D. McDermott),,48,23
2,7:55.0,,J. Clarkson makes 2-pt jump shot from 16 ft (assist by C. Payne),48,25
2,7:32.0,T. Evans misses 2-pt layup from 7 ft,,48,25
2,7:32.0,Offensive rebound by Team,,48,25
2,7:32.0,,A. Burks enters the game for C. Payne,48,25
2,7:19.0,K. O'Quinn misses 2-pt jump shot from 13 ft,,48,25
2,7:17.0,,Defensive rebound by T. Thompson,48,25
2,7:08.0,,J. Clarkson makes 2-pt layup from 2 ft,48,27
2,6:58.0,Shooting foul by T. Thompson (drawn by T. Young),,48,27
2,6:58.0,T. Young misses free throw 1 of 2,,48,27
2,6:58.0,Offensive rebound by Team,,48,27
2,6:58.0,B. Bogdanović enters the game for T. Evans,,48,27
2,6:58.0,V. Oladipo enters the game for D. McDermott,,48,27
2,6:58.0,T. Young misses free throw 2 of 2,,48,27
2,6:55.0,,Defensive rebound by T. Thompson,48,27
2,6:43.0,,T. Thompson misses 2-pt hook shot at rim,48,27
2,6:40.0,Defensive rebound by T. Young,,48,27
2,6:18.0,C. Joseph misses 2-pt jump shot from 11 ft,,48,27
2,6:18.0,Offensive rebound by Team,,48,27
2,6:18.0,,Loose ball foul by J. Clarkson (drawn by T. Young),48,27
2,6:13.0,V. Oladipo makes 2-pt jump shot from 16 ft,,50,27
2,5:58.0,,A. Burks makes 2-pt layup from 1 ft,50,29
2,5:39.0,T. Young makes 2-pt dunk from 1 ft,,52,29
2,5:27.0,,A. Burks misses 2-pt jump shot from 20 ft,52,29
2,5:25.0,Defensive rebound by C. Joseph,,52,29
2,5:15.0,V. Oladipo makes 2-pt layup from 2 ft,,54,29
2,5:01.0,,Shooting foul by K. O'Quinn (drawn by J. Clarkson),54,29
2,5:01.0,D. Sabonis enters the game for K. O'Quinn,,54,29
2,5:01.0,,J. Clarkson makes free throw 1 of 2,54,30
2,5:01.0,,J. Clarkson makes free throw 2 of 2,54,31
2,4:47.0,,Violation by Team (kicked ball),54,31
2,4:34.0,C. Joseph makes 3-pt jump shot from 29 ft (assist by T. Young),,57,31
2,4:14.0,,Turnover by C. Sexton (lost ball; steal by D. Sabonis),57,31
2,4:06.0,V. Oladipo misses 3-pt jump shot from 25 ft,,57,31
2,4:04.0,,Defensive rebound by T. Thompson,57,31
2,3:55.0,,Personal foul by V. Oladipo (drawn by T. Thompson),57,31
2,3:55.0,D. Collison enters the game for C. Joseph,,57,31
2,3:55.0,,C. Payne enters the game for J. Clarkson,57,31
2,3:42.0,,C. Sexton makes 2-pt jump shot from 19 ft (assist by T. Thompson),57,33
2,3:42.0,,Shooting foul by V. Oladipo (drawn by C. Sexton),57,33
2,3:42.0,Violation by Team (delay of game),,57,33
2,3:42.0,,C. Sexton makes free throw 1 of 1,57,34
2,3:20.0,V. Oladipo misses 2-pt jump shot from 7 ft,,57,34
2,3:19.0,,Defensive rebound by T. Thompson,57,34
2,3:00.0,,C. Sexton misses 2-pt jump shot from 21 ft,57,34
2,2:57.0,Defensive rebound by B. Bogdanović,,57,34
2,2:47.0,T. Young misses 2-pt jump shot from 11 ft (block by A. Burks),,57,34
2,2:46.0,Offensive rebound by Team,,57,34
2,2:46.0,,Cleveland full timeout,57,34
2,2:36.0,B. Bogdanović makes 2-pt jump shot from 14 ft (assist by T. Young),,59,34
2,2:12.0,,A. Burks makes 2-pt layup from 1 ft (assist by C. Sexton),59,36
2,1:53.0,V. Oladipo makes 2-pt jump shot from 21 ft (assist by D. Sabonis),,61,36
2,1:36.0,,C. Osman makes 3-pt jump shot from 24 ft (assist by C. Payne),61,39
2,1:13.0,V. Oladipo misses 2-pt jump shot from 4 ft,,61,39
2,1:10.0,,Defensive rebound by T. Thompson,61,39
2,1:04.0,,Turnover by A. Burks (lost ball; steal by T. Young),61,39
2,1:04.0,Personal foul by A. Burks (drawn by T. Young),,61,39
