QUARTER,TIME_REMAINING,DETROIT_ACTION,MILWAUKEE_ACTION,DETROIT_SCORE,MILWAUKEE_SCORE
1,11:50.0,,Turnover by G. Antetokounmpo (bad pass),0,0
1,11:39.0,B. Griffin makes 2-pt layup from 1 ft (assist by R. Jackson),,2,0
1,11:19.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),2,3
1,10:56.0,B. Brown misses 2-pt jump shot from 8 ft,,2,3
1,10:53.0,,Defensive rebound by M. Brogdon,2,3
1,10:48.0,,M. Brogdon makes 2-pt layup from 2 ft,2,5
1,10:21.0,R. Jackson makes 2-pt layup from 1 ft (assist by B. Griffin),,4,5
1,10:12.0,,M. Brogdon makes 2-pt layup from 3 ft,4,7
1,10:02.0,R. Bullock misses 3-pt jump shot from 27 ft,,4,7
1,9:59.0,,Defensive rebound by E. Bledsoe,4,7
1,9:56.0,,Personal foul by B. Brown (drawn by E. Bledsoe),4,7
1,9:48.0,,E. Bledsoe misses 2-pt layup from 3 ft,4,7
1,9:46.0,Defensive rebound by B. Griffin,,4,7
1,9:26.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by R. Bullock),,7,7
1,9:19.0,,Turnover by G. Antetokounmpo (bad pass),7,7
1,9:09.0,Turnover by R. Jackson (bad pass; steal by E. Bledsoe),,7,7
1,9:06.0,,E. Bledsoe makes 2-pt layup from 3 ft (assist by M. Brogdon),7,9
1,8:47.0,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),,9,9
1,8:35.0,,M. Brogdon makes 2-pt layup from 7 ft (assist by G. Antetokounmpo),9,11
1,8:17.0,B. Griffin misses 3-pt jump shot from 28 ft,,9,11
1,8:17.0,,Defensive rebound by Team,9,11
1,8:02.0,,E. Bledsoe misses 2-pt jump shot from 9 ft,9,11
1,7:59.0,Defensive rebound by B. Griffin,,9,11
1,7:56.0,B. Brown misses 2-pt layup from 1 ft,,9,11
1,7:54.0,,Defensive rebound by K. Middleton,9,11
1,7:46.0,,Personal foul by B. Griffin (drawn by G. Antetokounmpo),9,11
1,7:46.0,,S. Brown enters the game for M. Brogdon,9,11
1,7:42.0,,S. Brown makes 2-pt dunk from 3 ft (assist by G. Antetokounmpo),9,13
1,7:26.0,Turnover by R. Bullock (lost ball; steal by S. Brown),,9,13
1,7:21.0,,S. Brown makes 2-pt dunk from 2 ft (assist by E. Bledsoe),9,15
1,7:17.0,Detroit full timeout,,9,15
1,6:55.0,B. Griffin makes 3-pt jump shot from 24 ft (assist by B. Brown),,12,15
1,6:43.0,,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by E. Bledsoe),12,17
1,6:30.0,B. Griffin makes 3-pt jump shot from 26 ft (assist by R. Jackson),,15,17
1,6:19.0,,B. Lopez makes 3-pt jump shot from 29 ft (assist by K. Middleton),15,20
1,5:55.0,R. Jackson makes 2-pt jump shot from 4 ft,,17,20
1,5:42.0,,K. Middleton misses 2-pt jump shot from 11 ft,17,20
1,5:42.0,,Offensive rebound by Team,17,20
1,5:42.0,,Turnover by K. Middleton (traveling),17,20
1,5:42.0,,D. Wilson enters the game for G. Antetokounmpo,17,20
1,5:26.0,B. Griffin makes 2-pt hook shot from 2 ft,,19,20
1,5:19.0,,E. Bledsoe makes 2-pt layup from 4 ft,19,22
1,5:09.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Griffin),,22,22
1,4:59.0,,Personal foul by R. Bullock (drawn by K. Middleton),22,22
1,4:50.0,,K. Middleton makes 2-pt jump shot from 15 ft (assist by D. Wilson),22,24
1,4:28.0,B. Brown misses 2-pt jump shot from 10 ft,,22,24
1,4:26.0,,Defensive rebound by E. Bledsoe,22,24
1,4:21.0,,Turnover by K. Middleton (lost ball; steal by B. Griffin),22,24
1,4:21.0,,G. Hill enters the game for E. Bledsoe,22,24
1,4:01.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Brown),,25,24
1,3:49.0,,Def 3 sec tech foul by Team,25,24
1,3:49.0,,K. Middleton makes technical free throw,25,25
1,3:49.0,,Milwaukee full timeout,25,25
1,3:49.0,J. Calderón enters the game for B. Griffin,,25,25
1,3:49.0,J. Leuer enters the game for R. Jackson,,25,25
1,3:35.0,,K. Middleton misses 3-pt jump shot from 28 ft,25,25
1,3:32.0,Defensive rebound by A. Drummond,,25,25
1,3:24.0,J. Calderón misses 2-pt jump shot from 16 ft,,25,25
1,3:21.0,,Defensive rebound by B. Lopez,25,25
1,3:14.0,,Turnover by K. Middleton (bad pass; steal by R. Bullock),25,25
1,3:08.0,B. Brown misses 2-pt layup from 2 ft (block by B. Lopez),,25,25
1,3:04.0,Offensive rebound by J. Leuer,,25,25
1,3:02.0,J. Leuer makes 2-pt jump shot from 14 ft,,27,25
1,2:43.0,,B. Lopez makes 3-pt jump shot from 26 ft,27,28
1,2:27.0,Personal foul by K. Middleton (drawn by J. Calderón),,27,28
1,2:27.0,,M. Brogdon enters the game for B. Lopez,27,28
1,2:27.0,,T. Maker enters the game for K. Middleton,27,28
1,2:20.0,R. Bullock misses 3-pt jump shot from 25 ft,,27,28
1,2:17.0,,Defensive rebound by G. Hill,27,28
1,2:13.0,,G. Hill makes 2-pt layup from 2 ft,27,30
1,2:13.0,,Shooting foul by J. Calderón (drawn by G. Hill),27,30
1,2:13.0,,G. Hill makes free throw 1 of 1,27,31
1,2:02.0,Personal foul by G. Hill (drawn by J. Calderón),,27,31
1,2:02.0,L. Kennard enters the game for B. Brown,,27,31
1,2:02.0,,G. Antetokounmpo enters the game for S. Brown,27,31
1,2:02.0,,T. Snell enters the game for D. Wilson,27,31
1,1:47.0,L. Kennard misses 2-pt jump shot from 17 ft,,27,31
1,1:44.0,,Defensive rebound by G. Hill,27,31
1,1:27.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by G. Hill),27,33
1,1:08.0,A. Drummond misses 2-pt layup from 2 ft,,27,33
1,1:06.0,Offensive rebound by A. Drummond,,27,33
1,1:06.0,Shooting foul by G. Antetokounmpo (drawn by A. Drummond),,27,33
1,1:06.0,A. Drummond misses free throw 1 of 2,,27,33
1,1:06.0,Offensive rebound by Team,,27,33
1,1:06.0,L. Galloway enters the game for R. Bullock,,27,33
1,1:06.0,A. Drummond misses free throw 2 of 2,,27,33
1,1:03.0,,Defensive rebound by T. Maker,27,33
1,0:54.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft,27,35
1,0:34.0,L. Kennard misses 2-pt jump shot from 20 ft,,27,35
1,0:29.0,Offensive rebound by A. Drummond,,27,35
1,0:28.0,A. Drummond misses 2-pt layup from 2 ft (block by G. Antetokounmpo),,27,35
1,0:28.0,,Defensive rebound by G. Antetokounmpo,27,35
1,0:18.0,,Offensive foul by G. Hill (drawn by A. Drummond),27,35
1,0:18.0,,Turnover by G. Hill (offensive foul),27,35
1,0:04.0,Turnover by J. Calderón (bad pass; steal by G. Hill),,27,35
1,0:04.0,,Personal foul by L. Galloway (drawn by G. Hill),27,35
1,0:04.0,,G. Hill misses free throw 1 of 2,27,35
1,0:04.0,,Offensive rebound by Team,27,35
1,0:04.0,,D. Wilson enters the game for G. Antetokounmpo,27,35
1,0:04.0,,G. Hill misses free throw 2 of 2,27,35
1,0:00.0,,Offensive rebound by T. Maker,27,35
1,0:00.0,,T. Snell misses 3-pt jump shot from 29 ft,27,35
1,0:00.0,,Offensive rebound by Team,27,35
2,11:50.0,Personal foul by G. Antetokounmpo (drawn by B. Griffin),,27,35
2,11:38.0,B. Griffin makes 2-pt layup from 1 ft,,29,35
2,11:38.0,Shooting foul by T. Maker (drawn by B. Griffin),,29,35
2,11:38.0,B. Griffin makes free throw 1 of 1,,30,35
2,11:25.0,,G. Antetokounmpo makes 2-pt hook shot from 2 ft,30,37
2,11:25.0,,Shooting foul by J. Leuer (drawn by G. Antetokounmpo),30,37
2,11:25.0,,G. Antetokounmpo misses free throw 1 of 1,30,37
2,11:22.0,Defensive rebound by J. Leuer,,30,37
2,11:04.0,B. Griffin misses 3-pt jump shot from 27 ft,,30,37
2,11:01.0,,Defensive rebound by M. Brogdon,30,37
2,10:55.0,,M. Brogdon makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),30,40
2,10:48.0,L. Galloway misses 3-pt jump shot from 26 ft,,30,40
2,10:46.0,,Defensive rebound by G. Antetokounmpo,30,40
2,10:34.0,,M. Brogdon misses 3-pt jump shot from 29 ft,30,40
2,10:32.0,Defensive rebound by J. Calderón,,30,40
2,10:28.0,J. Leuer makes 2-pt layup from 3 ft (assist by J. Calderón),,32,40
2,10:20.0,,Personal foul by L. Galloway (drawn by M. Brogdon),32,40
2,10:18.0,,T. Snell makes 2-pt layup from 2 ft (assist by M. Brogdon),32,42
2,10:00.0,B. Griffin misses 2-pt layup from 2 ft,,32,42
2,9:55.0,Offensive rebound by B. Griffin,,32,42
2,9:55.0,B. Griffin makes 2-pt layup from 1 ft,,34,42
2,9:47.0,,G. Antetokounmpo misses 2-pt jump shot from 20 ft,34,42
2,9:44.0,Defensive rebound by J. Leuer,,34,42
2,9:39.0,J. Calderón misses 3-pt jump shot from 26 ft,,34,42
2,9:36.0,,Defensive rebound by M. Brogdon,34,42
2,9:25.0,,M. Brogdon makes 2-pt layup from 1 ft,34,44
2,9:07.0,L. Galloway misses 2-pt jump shot from 18 ft,,34,44
2,9:02.0,,Defensive rebound by T. Maker,34,44
2,8:58.0,,G. Antetokounmpo misses 2-pt layup from 3 ft (block by J. Leuer),34,44
2,8:54.0,Defensive rebound by L. Kennard,,34,44
2,8:52.0,L. Galloway misses 3-pt jump shot from 25 ft,,34,44
2,8:48.0,Offensive rebound by L. Kennard,,34,44
2,8:44.0,L. Kennard makes 3-pt jump shot from 27 ft,,37,44
