QUARTER,TIME_REMAINING,BOSTON_ACTION,DETROIT_ACTION,BOSTON_SCORE,DETROIT_SCORE
1,11:35.0,,A. Drummond makes 2-pt jump shot from 14 ft (assist by S. Johnson),0,2
1,11:17.0,G. Hayward makes 2-pt jump shot from 18 ft,,2,2
1,11:00.0,,S. Johnson misses 3-pt jump shot from 25 ft,2,2
1,10:57.0,Defensive rebound by J. Brown,,2,2
1,10:50.0,G. Hayward misses 3-pt jump shot from 23 ft,,2,2
1,10:48.0,,Defensive rebound by A. Drummond,2,2
1,10:39.0,,Personal foul by J. Brown (drawn by B. Griffin),2,2
1,10:27.0,,R. Bullock misses 2-pt layup from 3 ft (block by J. Brown),2,2
1,10:21.0,Defensive rebound by G. Hayward,,2,2
1,10:16.0,J. Brown misses 2-pt layup from 2 ft,,2,2
1,10:13.0,,Defensive rebound by A. Drummond,2,2
1,10:05.0,,A. Drummond makes 2-pt hook shot from 6 ft (assist by B. Griffin),2,4
1,9:56.0,K. Irving makes 3-pt jump shot from 31 ft,,5,4
1,9:39.0,,Personal foul by J. Tatum (drawn by B. Griffin),5,4
1,9:23.0,,B. Griffin misses 2-pt jump shot from 19 ft,5,4
1,9:18.0,Defensive rebound by K. Irving,,5,4
1,9:14.0,Personal foul by A. Drummond (drawn by K. Irving),,5,4
1,9:07.0,G. Hayward misses 3-pt jump shot from 29 ft,,5,4
1,9:03.0,,Defensive rebound by R. Bullock,5,4
1,8:58.0,,R. Bullock misses 3-pt jump shot from 29 ft,5,4
1,8:54.0,Defensive rebound by J. Tatum,,5,4
1,8:44.0,J. Tatum misses 2-pt jump shot from 20 ft,,5,4
1,8:39.0,,Defensive rebound by R. Jackson,5,4
1,8:34.0,,R. Bullock makes 2-pt layup from 3 ft (assist by B. Griffin),5,6
1,8:13.0,A. Horford misses 3-pt jump shot from 28 ft,,5,6
1,8:10.0,,Defensive rebound by A. Drummond,5,6
1,8:03.0,,R. Jackson misses 2-pt layup from 7 ft (block by A. Horford),5,6
1,8:00.0,Defensive rebound by J. Brown,,5,6
1,8:00.0,Shooting foul by A. Drummond (drawn by J. Brown),,5,6
1,8:00.0,,Z. Pachulia enters the game for A. Drummond,5,6
1,8:00.0,J. Brown makes free throw 1 of 2,,6,6
1,8:00.0,J. Brown makes free throw 2 of 2,,7,6
1,7:45.0,,Turnover by S. Johnson (lost ball; steal by G. Hayward),7,6
1,7:32.0,J. Brown makes 3-pt jump shot from 28 ft (assist by K. Irving),,10,6
1,7:16.0,,S. Johnson makes 3-pt jump shot from 24 ft (assist by R. Bullock),10,9
1,7:01.0,A. Horford makes 2-pt hook shot from 6 ft,,12,9
1,7:01.0,,Offensive foul by Z. Pachulia (drawn by J. Tatum),12,9
1,7:01.0,,Turnover by Z. Pachulia (offensive foul),12,9
1,6:53.0,,Detroit full timeout,12,9
1,6:53.0,,L. Galloway enters the game for S. Johnson,12,9
1,6:36.0,A. Horford misses 2-pt jump shot from 17 ft,,12,9
1,6:34.0,,Defensive rebound by R. Bullock,12,9
1,6:22.0,,B. Griffin misses 3-pt jump shot from 28 ft,12,9
1,6:18.0,Defensive rebound by K. Irving,,12,9
1,6:07.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by A. Horford),,15,9
1,5:49.0,,R. Jackson makes 2-pt jump shot from 14 ft,15,11
1,5:40.0,A. Horford misses 3-pt jump shot from 27 ft,,15,11
1,5:37.0,,Defensive rebound by Z. Pachulia,15,11
1,5:32.0,,Turnover by B. Griffin (bad pass),15,11
1,5:32.0,M. Morris enters the game for J. Tatum,,15,11
1,5:16.0,Personal foul by R. Bullock (drawn by G. Hayward),,15,11
1,5:09.0,A. Horford misses 3-pt jump shot from 29 ft,,15,11
1,5:05.0,,Defensive rebound by L. Galloway,15,11
1,4:58.0,,B. Griffin misses 3-pt jump shot from 27 ft,15,11
1,4:55.0,Defensive rebound by K. Irving,,15,11
1,4:48.0,Turnover by K. Irving (lost ball; steal by L. Galloway),,15,11
1,4:42.0,,B. Griffin misses 2-pt layup from 4 ft (block by K. Irving),15,11
1,4:40.0,Defensive rebound by G. Hayward,,15,11
1,4:40.0,Offensive foul by G. Hayward (drawn by L. Galloway),,15,11
1,4:40.0,Turnover by G. Hayward (offensive foul),,15,11
1,4:40.0,M. Smart enters the game for G. Hayward,,15,11
1,4:29.0,,R. Bullock misses 3-pt jump shot from 26 ft,15,11
1,4:26.0,Defensive rebound by K. Irving,,15,11
1,4:17.0,K. Irving misses 2-pt jump shot from 18 ft,,15,11
1,4:15.0,,Defensive rebound by B. Griffin,15,11
1,4:10.0,,L. Galloway misses 3-pt jump shot from 25 ft,15,11
1,4:06.0,Defensive rebound by M. Smart,,15,11
1,4:02.0,J. Brown makes 2-pt layup from 5 ft (assist by M. Smart),,17,11
1,3:34.0,,R. Jackson misses 3-pt jump shot from 26 ft,17,11
1,3:31.0,Defensive rebound by M. Smart,,17,11
1,3:29.0,A. Horford makes 2-pt layup from 5 ft (assist by M. Smart),,19,11
1,3:13.0,,Personal foul by M. Morris (drawn by L. Galloway),19,11
1,3:13.0,,I. Smith enters the game for R. Jackson,19,11
1,3:03.0,,Turnover by B. Griffin (traveling),19,11
1,3:03.0,D. Theis enters the game for A. Horford,,19,11
1,2:52.0,M. Morris makes 3-pt jump shot from 28 ft (assist by M. Smart),,22,11
1,2:38.0,,B. Griffin misses 2-pt layup from 5 ft (block by M. Smart),22,11
1,2:38.0,,Offensive rebound by Team,22,11
1,2:38.0,Boston full timeout,,22,11
1,2:38.0,Technical foul by D. Casey,,22,11
1,2:38.0,T. Rozier enters the game for J. Brown,,22,11
1,2:38.0,J. Tatum enters the game for K. Irving,,22,11
1,2:38.0,,S. Johnson enters the game for B. Griffin,22,11
1,2:38.0,M. Morris makes technical free throw,,23,11
1,2:36.0,,L. Galloway makes 2-pt jump shot from 19 ft (assist by I. Smith),23,13
1,2:17.0,M. Morris misses 2-pt jump shot from 12 ft,,23,13
1,2:13.0,,Defensive rebound by I. Smith,23,13
1,2:11.0,,L. Galloway misses 3-pt jump shot from 28 ft,23,13
1,2:11.0,Defensive rebound by D. Theis,,23,13
1,2:05.0,Personal foul by L. Galloway (drawn by M. Morris),,23,13
1,1:58.0,T. Rozier misses 2-pt jump shot from 14 ft,,23,13
1,1:52.0,Offensive rebound by D. Theis,,23,13
1,1:50.0,D. Theis makes 2-pt layup from 2 ft,,25,13
1,1:44.0,,R. Bullock misses 2-pt layup from 3 ft (block by J. Tatum),25,13
1,1:44.0,Defensive rebound by D. Theis,,25,13
1,1:32.0,J. Tatum misses 2-pt layup from 3 ft,,25,13
1,1:27.0,,Defensive rebound by I. Smith,25,13
1,1:26.0,,S. Johnson makes 2-pt jump shot from 10 ft,25,15
