QUARTER,TIME_REMAINING,PHOENIX_ACTION,DALLAS_ACTION,PHOENIX_SCORE,DALLAS_SCORE
1,11:40.0,J. Jackson makes 2-pt jump shot from 12 ft,,2,0
1,11:26.0,,Offensive foul by D. Jordan (drawn by D. Melton),2,0
1,11:26.0,,Turnover by D. Jordan (offensive foul),2,0
1,11:06.0,T. Warren misses 2-pt jump shot from 18 ft,,2,0
1,11:03.0,,Defensive rebound by L. Dončić,2,0
1,10:51.0,,Turnover by D. Jordan (lost ball; steal by D. Melton),2,0
1,10:39.0,T. Warren misses 2-pt jump shot from 11 ft (block by D. Jordan),,2,0
1,10:35.0,,Defensive rebound by M. Kleber,2,0
1,10:24.0,,D. Jordan makes 2-pt layup at rim (assist by W. Matthews),2,2
1,10:08.0,D. Ayton misses 2-pt jump shot from 12 ft,,2,2
1,10:06.0,,Defensive rebound by W. Matthews,2,2
1,9:58.0,,L. Dončić misses 2-pt jump shot from 6 ft (block by M. Bridges),2,2
1,9:56.0,,Offensive rebound by Team,2,2
1,9:51.0,,M. Kleber makes 3-pt jump shot from 23 ft (assist by W. Matthews),2,5
1,9:31.0,J. Jackson makes 3-pt jump shot from 27 ft,,5,5
1,9:14.0,,Turnover by M. Kleber (bad pass),5,5
1,8:58.0,T. Warren makes 2-pt layup from 5 ft,,7,5
1,8:47.0,,Shooting foul by D. Ayton (drawn by L. Dončić),7,5
1,8:47.0,,L. Dončić makes free throw 1 of 2,7,6
1,8:47.0,,L. Dončić misses free throw 2 of 2,7,6
1,8:44.0,Defensive rebound by D. Ayton,,7,6
1,8:27.0,T. Warren makes 2-pt dunk from 1 ft (assist by D. Melton),,9,6
1,8:06.0,,L. Dončić makes 2-pt layup from 3 ft (assist by W. Matthews),9,8
1,8:00.0,Personal foul by L. Dončić (drawn by D. Melton),,9,8
1,7:46.0,T. Warren makes 2-pt jump shot from 13 ft (assist by M. Bridges),,11,8
1,7:29.0,,D. Jordan misses 2-pt layup from 2 ft (block by M. Bridges),11,8
1,7:27.0,Defensive rebound by J. Jackson,,11,8
1,7:26.0,,Technical foul by D. Jordan,11,8
1,7:26.0,T. Warren misses technical free throw,,11,8
1,7:26.0,Offensive rebound by Team,,11,8
1,7:12.0,J. Jackson makes 2-pt jump shot from 13 ft,,13,8
1,7:12.0,,Dallas full timeout,13,8
1,6:51.0,,L. Dončić makes 3-pt jump shot from 27 ft (assist by D. Jordan),13,11
1,6:51.0,,Shooting foul by M. Bridges (drawn by L. Dončić),13,11
1,6:51.0,,L. Dončić makes free throw 1 of 1,13,12
1,6:31.0,J. Jackson makes 2-pt jump shot from 7 ft,,15,12
1,6:13.0,,Shooting foul by T. Warren (drawn by H. Barnes),15,12
1,6:13.0,,H. Barnes makes free throw 1 of 2,15,13
1,6:13.0,,J. Barea enters the game for L. Dončić,15,13
1,6:13.0,,H. Barnes makes free throw 2 of 2,15,14
1,5:59.0,D. Ayton misses 2-pt jump shot from 14 ft,,15,14
1,5:56.0,,Defensive rebound by M. Kleber,15,14
1,5:56.0,R. Holmes enters the game for D. Ayton,,15,14
1,5:56.0,E. Okobo enters the game for D. Melton,,15,14
1,5:46.0,,J. Barea makes 2-pt jump shot from 8 ft,15,16
1,5:33.0,E. Okobo makes 3-pt jump shot from 26 ft (assist by R. Holmes),,18,16
1,5:19.0,,H. Barnes misses 3-pt jump shot from 26 ft,18,16
1,5:14.0,Defensive rebound by R. Holmes,,18,16
1,5:10.0,T. Warren misses 2-pt layup from 6 ft (block by M. Kleber),,18,16
1,5:10.0,Offensive rebound by Team,,18,16
1,5:10.0,K. Oubre enters the game for M. Bridges,,18,16
1,5:03.0,J. Jackson makes 2-pt jump shot from 8 ft,,20,16
1,4:48.0,,M. Kleber makes 2-pt dunk from 1 ft (assist by J. Barea),20,18
1,4:48.0,,Shooting foul by J. Jackson (drawn by M. Kleber),20,18
1,4:48.0,,D. Harris enters the game for W. Matthews,20,18
1,4:48.0,,M. Kleber makes free throw 1 of 1,20,19
1,4:40.0,Personal foul by D. Harris (drawn by K. Oubre),,20,19
1,4:31.0,Turnover by T. Warren (lost ball; steal by H. Barnes),,20,19
1,4:25.0,,Personal foul by R. Holmes (drawn by D. Jordan),20,19
1,4:25.0,,D. Jordan makes free throw 1 of 2,20,20
1,4:25.0,,D. Jordan makes free throw 2 of 2,20,21
1,4:09.0,J. Jackson misses 3-pt jump shot from 25 ft,,20,21
1,4:06.0,,Defensive rebound by M. Kleber,20,21
1,4:03.0,,Personal foul by R. Holmes (drawn by D. Jordan),20,21
1,4:03.0,,Offensive rebound by Team,20,21
1,4:03.0,,D. Jordan misses free throw 1 of 2,20,21
1,4:03.0,,D. Finney-Smith enters the game for M. Kleber,20,21
1,4:03.0,,D. Jordan misses free throw 2 of 2,20,21
1,4:00.0,Defensive rebound by T. Warren,,20,21
1,3:42.0,Turnover by K. Oubre (palming),,20,21
1,3:31.0,,J. Barea misses 2-pt jump shot from 9 ft,20,21
1,3:28.0,Defensive rebound by E. Okobo,,20,21
1,3:23.0,R. Holmes makes 2-pt jump shot from 3 ft (assist by E. Okobo),,22,21
1,3:03.0,,Turnover by J. Barea (bad pass; steal by J. Jackson),22,21
1,2:56.0,K. Oubre misses 3-pt jump shot from 23 ft,,22,21
1,2:53.0,,Defensive rebound by H. Barnes,22,21
1,2:46.0,,H. Barnes misses 3-pt jump shot from 26 ft,22,21
1,2:43.0,Defensive rebound by T. Warren,,22,21
1,2:41.0,Phoenix full timeout,,22,21
1,2:41.0,Q. Acy enters the game for T. Warren,,22,21
1,2:41.0,,L. Dončić enters the game for H. Barnes,22,21
