QUARTER,TIME_REMAINING,DETROIT_ACTION,SAN ANTONIO_ACTION,DETROIT_SCORE,SAN ANTONIO_SCORE
1,11:32.0,B. Griffin misses 2-pt layup from 1 ft,,0,0
1,11:30.0,,Defensive rebound by J. Poeltl,0,0
1,11:16.0,,L. Aldridge misses 2-pt jump shot from 14 ft,0,0
1,11:13.0,Defensive rebound by R. Jackson,,0,0
1,10:59.0,R. Jackson makes 3-pt jump shot from 23 ft (assist by B. Brown),,3,0
1,10:42.0,,D. DeRozan makes 2-pt layup from 1 ft (assist by J. Poeltl),3,2
1,10:27.0,B. Brown misses 2-pt layup from 1 ft,,3,2
1,10:25.0,,Defensive rebound by D. White,3,2
1,10:22.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. White),3,5
1,10:22.0,,Away from play foul by B. Brown (drawn by J. Poeltl),3,5
1,10:22.0,,J. Poeltl makes free throw 1 of 1,3,6
1,10:02.0,B. Brown misses 2-pt layup from 1 ft (block by J. Poeltl),,3,6
1,10:02.0,Offensive rebound by Team,,3,6
1,10:00.0,Personal foul by D. White (drawn by B. Griffin),,3,6
1,9:50.0,W. Ellington makes 3-pt jump shot from 26 ft,,6,6
1,9:36.0,,D. DeRozan misses 2-pt jump shot from 10 ft,6,6
1,9:32.0,Defensive rebound by A. Drummond,,6,6
1,9:24.0,W. Ellington makes 3-pt jump shot from 23 ft (assist by A. Drummond),,9,6
1,9:07.0,,L. Aldridge misses 2-pt jump shot from 19 ft,9,6
1,9:05.0,Defensive rebound by A. Drummond,,9,6
1,8:56.0,A. Drummond makes 2-pt jump shot from 1 ft (assist by B. Brown),,11,6
1,8:43.0,,D. DeRozan misses 2-pt jump shot from 9 ft,11,6
1,8:43.0,,Offensive rebound by J. Poeltl,11,6
1,8:43.0,,J. Poeltl makes 2-pt layup from 1 ft,11,8
1,8:43.0,,Shooting foul by A. Drummond (drawn by J. Poeltl),11,8
1,8:43.0,,J. Poeltl makes free throw 1 of 1,11,9
1,8:31.0,R. Jackson misses 3-pt jump shot from 23 ft,,11,9
1,8:28.0,,Defensive rebound by D. White,11,9
1,8:21.0,,D. White makes 2-pt jump shot from 17 ft,11,11
1,8:00.0,Turnover by B. Brown (bad pass; steal by D. DeRozan),,11,11
1,7:51.0,,D. DeRozan misses 2-pt jump shot from 16 ft,11,11
1,7:48.0,Defensive rebound by A. Drummond,,11,11
1,7:46.0,Personal foul by J. Poeltl (drawn by B. Griffin),,11,11
1,7:33.0,R. Jackson makes 3-pt jump shot from 23 ft,,14,11
1,7:16.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),14,14
1,6:54.0,W. Ellington misses 3-pt jump shot from 25 ft,,14,14
1,6:51.0,,Defensive rebound by J. Poeltl,14,14
1,6:41.0,,L. Aldridge misses 2-pt jump shot from 13 ft,14,14
1,6:41.0,Defensive rebound by W. Ellington,,14,14
1,6:24.0,B. Griffin makes 3-pt jump shot from 24 ft,,17,14
1,6:07.0,,J. Poeltl makes 2-pt layup from 1 ft (assist by D. White),17,16
1,6:07.0,,Shooting foul by R. Jackson (drawn by J. Poeltl),17,16
1,6:07.0,,San Antonio full timeout,17,16
1,6:07.0,L. Kennard enters the game for B. Brown,,17,16
1,6:07.0,,J. Poeltl misses free throw 1 of 1,17,16
1,6:03.0,Defensive rebound by A. Drummond,,17,16
1,5:45.0,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),,19,16
1,5:34.0,,Personal foul by W. Ellington (drawn by D. DeRozan),19,16
1,5:34.0,L. Galloway enters the game for W. Ellington,,19,16
1,5:34.0,,M. Belinelli enters the game for B. Forbes,19,16
1,5:34.0,,P. Mills enters the game for D. White,19,16
1,5:22.0,,P. Mills misses 3-pt jump shot from 25 ft,19,16
1,5:20.0,Defensive rebound by A. Drummond,,19,16
1,5:12.0,R. Jackson misses 2-pt jump shot from 7 ft,,19,16
1,5:11.0,Offensive rebound by Team,,19,16
1,5:11.0,,R. Gay enters the game for J. Poeltl,19,16
1,5:08.0,L. Kennard misses 3-pt jump shot from 23 ft,,19,16
1,5:05.0,,Defensive rebound by M. Belinelli,19,16
1,4:59.0,,M. Belinelli makes 2-pt jump shot from 18 ft,19,18
1,4:38.0,B. Griffin misses 3-pt jump shot from 23 ft,,19,18
1,4:38.0,,Defensive rebound by M. Belinelli,19,18
1,4:29.0,,M. Belinelli makes 3-pt jump shot from 26 ft,19,21
1,4:11.0,R. Jackson makes 2-pt jump shot from 9 ft,,21,21
1,3:47.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by R. Gay),21,24
1,3:42.0,Detroit full timeout,,21,24
1,3:42.0,I. Smith enters the game for R. Jackson,,21,24
1,3:26.0,I. Smith makes 2-pt jump shot from 6 ft (assist by L. Kennard),,23,24
1,3:08.0,,L. Aldridge misses 2-pt jump shot from 6 ft,23,24
1,3:05.0,Defensive rebound by A. Drummond,,23,24
1,2:59.0,L. Galloway misses 2-pt jump shot from 18 ft,,23,24
1,2:51.0,Offensive rebound by A. Drummond,,23,24
1,2:51.0,A. Drummond makes 2-pt dunk at rim,,25,24
1,2:41.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by R. Gay),25,27
1,2:30.0,Turnover by L. Galloway (bad pass),,25,27
1,2:30.0,T. Maker enters the game for B. Griffin,,25,27
1,2:30.0,,D. Bertāns enters the game for D. DeRozan,25,27
1,2:14.0,,L. Aldridge misses 2-pt jump shot from 9 ft,25,27
1,2:12.0,Defensive rebound by A. Drummond,,25,27
1,2:03.0,A. Drummond misses 2-pt jump shot from 8 ft,,25,27
1,2:01.0,,Defensive rebound by L. Aldridge,25,27
1,1:46.0,,L. Aldridge makes 2-pt layup from 5 ft,25,29
1,1:24.0,L. Kennard makes 2-pt jump shot from 13 ft (assist by L. Galloway),,27,29
1,1:07.0,,Shooting foul by A. Drummond (drawn by R. Gay),27,29
1,1:07.0,,R. Gay makes free throw 1 of 2,27,30
1,1:07.0,Z. Pachulia enters the game for A. Drummond,,27,30
1,1:07.0,,J. Poeltl enters the game for L. Aldridge,27,30
1,1:07.0,,R. Gay makes free throw 2 of 2,27,31
1,0:51.0,L. Kennard misses 3-pt jump shot from 23 ft,,27,31
1,0:47.0,,Defensive rebound by D. Bertāns,27,31
1,0:41.0,,Shooting foul by L. Galloway (drawn by J. Poeltl),27,31
1,0:41.0,,J. Poeltl misses free throw 1 of 2,27,31
1,0:41.0,,Offensive rebound by Team,27,31
1,0:41.0,,J. Poeltl makes free throw 2 of 2,27,32
1,0:19.0,L. Galloway misses 3-pt jump shot from 22 ft,,27,32
1,0:15.0,,Defensive rebound by R. Gay,27,32
1,0:04.0,,R. Gay misses 3-pt jump shot from 26 ft,27,32
1,0:02.0,Defensive rebound by Z. Pachulia,,27,32
1,0:00.0,L. Kennard misses 3-pt jump shot from 36 ft,,27,32
1,0:00.0,Offensive rebound by Team,,27,32
2,11:45.0,,P. Mills misses 3-pt jump shot from 25 ft,27,32
2,11:43.0,Defensive rebound by Team,,27,32
2,11:26.0,I. Smith misses 2-pt jump shot from 16 ft,,27,32
2,11:24.0,,Defensive rebound by J. Poeltl,27,32
2,11:15.0,,D. Bertāns misses 2-pt hook shot from 7 ft,27,32
2,11:12.0,Defensive rebound by Z. Pachulia,,27,32
2,11:08.0,Personal foul by D. Bertāns (drawn by L. Kennard),,27,32
2,11:00.0,I. Smith misses 2-pt layup from 2 ft,,27,32
2,10:54.0,Offensive rebound by Z. Pachulia,,27,32
2,10:54.0,Z. Pachulia misses 2-pt layup at rim,,27,32
