QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BOSTON_ACTION,CHARLOTTE_SCORE,BOSTON_SCORE
1,11:48.0,Turnover by B. Biyombo (bad pass; steal by A. Horford),,0,0
1,11:41.0,,A. Horford makes 2-pt hook shot from 3 ft (assist by M. Smart),0,2
1,11:16.0,K. Walker makes 2-pt layup from 3 ft,,2,2
1,11:03.0,,J. Tatum makes 3-pt jump shot from 25 ft (assist by A. Horford),2,5
1,10:34.0,J. Lamb misses 3-pt jump shot from 26 ft,,2,5
1,10:32.0,,Defensive rebound by T. Rozier,2,5
1,10:23.0,,T. Rozier misses 2-pt layup from 7 ft (block by B. Biyombo),2,5
1,10:22.0,Defensive rebound by J. Lamb,,2,5
1,10:17.0,K. Walker misses 2-pt layup from 4 ft,,2,5
1,10:15.0,Offensive rebound by B. Biyombo,,2,5
1,10:15.0,B. Biyombo misses 2-pt layup at rim,,2,5
1,10:14.0,Offensive rebound by N. Batum,,2,5
1,10:11.0,J. Lamb makes 3-pt jump shot from 26 ft (assist by N. Batum),,5,5
1,9:54.0,,M. Smart misses 3-pt jump shot from 23 ft,5,5
1,9:52.0,Defensive rebound by B. Biyombo,,5,5
1,9:41.0,N. Batum makes 2-pt layup from 3 ft,,7,5
1,9:27.0,,M. Smart misses 2-pt jump shot from 4 ft,7,5
1,9:25.0,Defensive rebound by J. Lamb,,7,5
1,9:17.0,B. Biyombo misses 2-pt dunk from 3 ft (block by A. Horford),,7,5
1,9:15.0,,Defensive rebound by A. Horford,7,5
1,9:07.0,,M. Smart misses 3-pt jump shot from 25 ft,7,5
1,9:05.0,Defensive rebound by B. Biyombo,,7,5
1,8:58.0,N. Batum misses 3-pt jump shot from 26 ft (block by J. Tatum),,7,5
1,8:56.0,Offensive rebound by Team,,7,5
1,8:51.0,K. Walker misses 3-pt jump shot from 26 ft,,7,5
1,8:49.0,,Defensive rebound by M. Morris,7,5
1,8:41.0,,M. Morris misses 2-pt jump shot from 17 ft,7,5
1,8:39.0,Defensive rebound by J. Lamb,,7,5
1,8:32.0,Offensive foul by J. Lamb (drawn by M. Smart),,7,5
1,8:32.0,Turnover by J. Lamb (offensive foul),,7,5
1,8:10.0,,J. Tatum makes 2-pt jump shot from 15 ft,7,7
1,7:53.0,M. Williams makes 2-pt layup from 1 ft (assist by B. Biyombo),,9,7
1,7:32.0,,A. Horford makes 2-pt layup from 2 ft (assist by M. Smart),9,9
1,7:14.0,B. Biyombo makes 2-pt layup from 2 ft (assist by K. Walker),,11,9
1,7:03.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by T. Rozier),11,12
1,6:41.0,K. Walker makes 3-pt jump shot from 24 ft (assist by N. Batum),,14,12
1,6:14.0,,M. Morris makes 2-pt layup from 3 ft (assist by A. Horford),14,14
1,6:00.0,K. Walker misses 2-pt jump shot from 14 ft,,14,14
1,5:58.0,,Defensive rebound by M. Smart,14,14
1,5:46.0,,J. Tatum misses 2-pt layup from 1 ft,14,14
1,5:45.0,,Offensive rebound by Team,14,14
1,5:45.0,,Boston full timeout,14,14
1,5:45.0,W. Hernangómez enters the game for B. Biyombo,,14,14
1,5:45.0,M. Kidd-Gilchrist enters the game for M. Williams,,14,14
1,5:45.0,,G. Hayward enters the game for M. Morris,14,14
1,5:36.0,,J. Tatum makes 2-pt dunk from 2 ft (assist by G. Hayward),14,16
1,5:21.0,,Violation by Team (kicked ball),14,16
1,5:14.0,N. Batum makes 2-pt layup from 1 ft,,16,16
