QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,HOUSTON_ACTION,CHARLOTTE_SCORE,HOUSTON_SCORE
4,4:04.0,K. Walker makes 2-pt jump shot from 4 ft,,96,109
4,4:04.0,Shooting foul by P. Tucker (drawn by K. Walker),,96,109
4,4:04.0,K. Walker makes free throw 1 of 1,,97,109
4,3:52.0,,C. Capela misses 2-pt layup from 2 ft,97,109
4,3:50.0,Defensive rebound by K. Walker,,97,109
4,3:37.0,K. Walker misses 2-pt jump shot from 3 ft,,97,109
4,3:35.0,,Defensive rebound by J. Harden,97,109
4,3:30.0,,E. Gordon misses 3-pt jump shot from 26 ft,97,109
4,3:26.0,Defensive rebound by K. Walker,,97,109
4,3:22.0,M. Bridges makes 2-pt dunk from 1 ft (assist by J. Lamb),,99,109
4,3:02.0,,E. Gordon misses 3-pt jump shot from 24 ft,99,109
4,3:00.0,Defensive rebound by F. Kaminsky,,99,109
4,2:52.0,F. Kaminsky misses 3-pt jump shot from 27 ft,,99,109
4,2:50.0,,Defensive rebound by J. Harden,99,109
4,2:41.0,,J. Harden makes 2-pt jump shot from 7 ft,99,111
4,2:41.0,,Shooting foul by J. Lamb (drawn by J. Harden),99,111
4,2:41.0,,K. Faried enters the game for C. Capela,99,111
4,2:41.0,,J. Harden makes free throw 1 of 1,99,112
4,2:27.0,M. Bridges misses 3-pt jump shot from 26 ft,,99,112
4,2:25.0,Offensive rebound by M. Monk,,99,112
4,2:22.0,M. Monk misses 2-pt jump shot from 4 ft,,99,112
4,2:22.0,Offensive rebound by M. Bridges,,99,112
4,2:21.0,M. Bridges makes 2-pt dunk from 1 ft,,101,112
4,2:11.0,,Turnover by C. Paul (bad pass; steal by M. Monk),101,112
4,2:06.0,F. Kaminsky misses 2-pt layup from 1 ft,,101,112
4,2:04.0,,Defensive rebound by J. Harden,101,112
4,2:02.0,,K. Faried makes 2-pt dunk from 2 ft (assist by J. Harden),101,114
4,2:02.0,Charlotte full timeout,,101,114
4,2:02.0,,A. Rivers enters the game for C. Paul,101,114
4,1:53.0,J. Lamb misses 2-pt layup from 1 ft,,101,114
4,1:51.0,,Defensive rebound by K. Faried,101,114
4,1:47.0,,J. Harden makes 2-pt layup from 2 ft,101,116
4,1:36.0,K. Walker misses 2-pt layup from 1 ft (block by K. Faried),,101,116
4,1:31.0,Offensive rebound by M. Bridges,,101,116
4,1:31.0,M. Bridges makes 2-pt dunk from 1 ft,,103,116
4,1:29.0,,Personal foul by M. Monk (drawn by K. Faried),103,116
4,1:29.0,D. Bacon enters the game for F. Kaminsky,,103,116
4,1:29.0,D. Graham enters the game for J. Lamb,,103,116
4,1:29.0,W. Hernangómez enters the game for K. Walker,,103,116
4,1:29.0,,G. Clark enters the game for E. Gordon,103,116
4,1:29.0,,G. Green enters the game for J. Harden,103,116
4,1:29.0,,I. Shumpert enters the game for P. Tucker,103,116
4,1:21.0,,A. Rivers makes 2-pt jump shot from 7 ft,103,118
4,1:09.0,M. Bridges misses 3-pt jump shot from 25 ft,,103,118
4,1:07.0,,Defensive rebound by G. Green,103,118
4,0:57.0,,Turnover by K. Faried (bad pass; steal by D. Bacon),103,118
4,0:49.0,D. Bacon makes 3-pt jump shot from 26 ft (assist by M. Monk),,106,118
4,0:31.0,,G. Green misses 3-pt jump shot from 25 ft,106,118
4,0:30.0,Defensive rebound by M. Monk,,106,118
4,0:22.0,M. Monk misses 3-pt jump shot from 25 ft,,106,118
4,0:20.0,,Defensive rebound by I. Shumpert,106,118
