QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,HOUSTON_ACTION,CHARLOTTE_SCORE,HOUSTON_SCORE
1,7:47.0,,C. Capela makes 2-pt layup from 1 ft,10,13
1,7:35.0,M. Bridges misses 2-pt layup from 1 ft,,10,13
1,7:33.0,,Defensive rebound by P. Tucker,10,13
1,7:26.0,,J. Harden misses 3-pt jump shot from 25 ft,10,13
1,7:21.0,Defensive rebound by W. Hernangómez,,10,13
1,7:17.0,K. Walker misses 2-pt jump shot from 4 ft,,10,13
1,7:13.0,,Defensive rebound by C. Paul,10,13
1,6:57.0,,C. Paul misses 2-pt jump shot from 13 ft,10,13
1,6:55.0,Defensive rebound by W. Hernangómez,,10,13
1,6:45.0,Offensive foul by W. Hernangómez (drawn by P. Tucker),,10,13
1,6:45.0,Turnover by W. Hernangómez (offensive foul),,10,13
1,6:45.0,,Houston full timeout,10,13
1,6:45.0,B. Biyombo enters the game for W. Hernangómez,,10,13
1,6:45.0,M. Monk enters the game for J. Lamb,,10,13
1,6:45.0,,K. Faried enters the game for C. Paul,10,13
1,6:45.0,,A. Rivers enters the game for P. Tucker,10,13
1,6:27.0,,J. Harden misses 2-pt jump shot from 12 ft,10,13
1,6:23.0,Defensive rebound by B. Biyombo,,10,13
1,6:18.0,D. Bacon misses 3-pt jump shot from 23 ft,,10,13
1,6:15.0,,Defensive rebound by C. Capela,10,13
1,6:12.0,,E. Gordon makes 2-pt layup from 1 ft,10,15
1,6:12.0,,Shooting foul by M. Monk (drawn by E. Gordon),10,15
1,6:12.0,,E. Gordon makes free throw 1 of 1,10,16
1,6:03.0,Personal foul by A. Rivers (drawn by K. Walker),,10,16
1,6:03.0,F. Kaminsky enters the game for M. Bridges,,10,16
1,5:48.0,Turnover by Team (shot clock),,10,16
1,5:33.0,,Def 3 sec tech foul by Team,10,16
1,5:33.0,,J. Harden misses technical free throw,10,16
1,5:33.0,,Offensive rebound by Team,10,16
1,5:23.0,,A. Rivers makes 3-pt jump shot from 27 ft (assist by J. Harden),10,19
1,4:58.0,D. Bacon makes 2-pt layup from 1 ft,,12,19
1,4:45.0,,E. Gordon makes 3-pt jump shot from 28 ft (assist by J. Harden),12,22
1,4:31.0,Turnover by M. Monk (bad pass; steal by J. Harden),,12,22
1,4:27.0,,Turnover by J. Harden (bad pass),12,22
1,4:27.0,,G. Green enters the game for C. Capela,12,22
1,4:27.0,,I. Shumpert enters the game for E. Gordon,12,22
1,4:16.0,K. Walker misses 2-pt jump shot from 13 ft,,12,22
1,4:12.0,,Defensive rebound by K. Faried,12,22
1,4:08.0,,Offensive foul by J. Harden (drawn by K. Walker),12,22
1,4:08.0,,Turnover by J. Harden (offensive foul),12,22
1,3:52.0,M. Monk misses 3-pt jump shot from 24 ft,,12,22
1,3:49.0,,Defensive rebound by J. Harden,12,22
1,3:38.0,,Shooting foul by B. Biyombo (drawn by K. Faried),12,22
1,3:38.0,,K. Faried makes free throw 1 of 2,12,23
1,3:38.0,J. Lamb enters the game for D. Bacon,,12,23
1,3:38.0,,K. Faried makes free throw 2 of 2,12,24
1,3:26.0,J. Lamb misses 2-pt layup from 4 ft,,12,24
