QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
1,11:41.0,,P. Beverley makes 2-pt jump shot from 4 ft (assist by T. Harris),0,2
1,11:24.0,D. Green misses 3-pt jump shot from 26 ft,,0,2
1,11:20.0,,Defensive rebound by D. Gallinari,0,2
1,11:15.0,,T. Harris misses 2-pt jump shot from 15 ft,0,2
1,11:11.0,,Offensive rebound by M. Gortat,0,2
1,11:08.0,,T. Harris makes 3-pt jump shot from 27 ft (assist by M. Gortat),0,5
1,10:44.0,K. Durant makes 2-pt layup from 1 ft,,2,5
1,10:32.0,,Turnover by S. Gilgeous-Alexander (lost ball; steal by Q. Cook),2,5
1,10:26.0,Q. Cook misses 2-pt jump shot from 11 ft,,2,5
1,10:23.0,,Defensive rebound by P. Beverley,2,5
1,10:18.0,,D. Gallinari makes 3-pt jump shot from 27 ft (assist by P. Beverley),2,8
1,10:01.0,K. Thompson makes 2-pt jump shot from 21 ft (assist by Q. Cook),,4,8
1,9:46.0,,T. Harris misses 2-pt hook shot from 7 ft,4,8
1,9:46.0,Defensive rebound by Team,,4,8
1,9:46.0,,Loose ball foul by M. Gortat (drawn by D. Green),4,8
1,9:32.0,Turnover by K. Thompson (bad pass; steal by P. Beverley),,4,8
1,9:21.0,,M. Gortat makes 2-pt jump shot from 11 ft (assist by P. Beverley),4,10
1,8:56.0,K. Thompson makes 2-pt jump shot from 16 ft,,6,10
1,8:43.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,6,10
1,8:41.0,Defensive rebound by D. Green,,6,10
1,8:36.0,D. Green makes 2-pt layup from 3 ft,,8,10
1,8:24.0,,Shooting foul by D. Jones (drawn by M. Gortat),8,10
1,8:24.0,,M. Gortat makes free throw 1 of 2,8,11
1,8:24.0,,M. Gortat makes free throw 2 of 2,8,12
1,8:11.0,K. Durant makes 2-pt jump shot from 17 ft,,10,12
1,7:51.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 12 ft (assist by P. Beverley),10,14
1,7:31.0,K. Durant makes 2-pt jump shot from 17 ft,,12,14
1,7:11.0,,D. Gallinari makes 3-pt jump shot from 23 ft (assist by S. Gilgeous-Alexander),12,17
1,6:51.0,K. Thompson misses 2-pt jump shot from 17 ft,,12,17
1,6:49.0,,Defensive rebound by M. Gortat,12,17
1,6:40.0,,T. Harris misses 2-pt layup from 1 ft,12,17
1,6:37.0,Defensive rebound by D. Green,,12,17
1,6:33.0,Q. Cook misses 3-pt jump shot from 24 ft,,12,17
1,6:29.0,,Defensive rebound by D. Gallinari,12,17
1,6:14.0,,Shooting foul by K. Durant (drawn by M. Gortat),12,17
1,6:14.0,,LA Clippers full timeout,12,17
1,6:14.0,,M. Gortat makes free throw 1 of 2,12,18
1,6:14.0,,M. Gortat makes free throw 2 of 2,12,19
1,5:57.0,K. Durant makes 2-pt jump shot from 15 ft,,14,19
1,5:29.0,,D. Gallinari misses 3-pt jump shot from 28 ft,14,19
1,5:27.0,,Offensive rebound by P. Beverley,14,19
1,5:24.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft (assist by P. Beverley),14,21
1,5:05.0,Q. Cook makes 2-pt jump shot from 18 ft (assist by D. Jones),,16,21
1,4:48.0,,T. Harris misses 2-pt jump shot from 4 ft,16,21
1,4:48.0,,Offensive rebound by Team,16,21
1,4:48.0,J. Jerebko enters the game for D. Green,,16,21
1,4:48.0,K. Looney enters the game for D. Jones,,16,21
1,4:48.0,,L. Williams enters the game for P. Beverley,16,21
1,4:40.0,,Shooting foul by K. Thompson (drawn by D. Gallinari),16,21
1,4:40.0,,D. Gallinari makes free throw 1 of 2,16,22
1,4:40.0,,D. Gallinari misses free throw 2 of 2,16,22
1,4:37.0,Defensive rebound by K. Thompson,,16,22
1,4:24.0,K. Looney makes 2-pt jump shot from 16 ft (assist by K. Durant),,18,22
1,4:08.0,,M. Gortat makes 2-pt hook shot from 7 ft (assist by D. Gallinari),18,24
1,3:57.0,Q. Cook makes 2-pt jump shot from 22 ft (assist by K. Durant),,20,24
1,3:37.0,,Shooting foul by K. Looney (drawn by D. Gallinari),20,24
1,3:37.0,,D. Gallinari makes free throw 1 of 2,20,25
1,3:37.0,A. Iguodala enters the game for K. Thompson,,20,25
1,3:37.0,,M. Harrell enters the game for M. Gortat,20,25
1,3:37.0,,D. Gallinari makes free throw 2 of 2,20,26
1,3:22.0,A. Iguodala makes 3-pt jump shot from 26 ft (assist by Q. Cook),,23,26
1,3:11.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),23,28
1,2:50.0,J. Jerebko makes 3-pt jump shot from 22 ft (assist by Q. Cook),,26,28
1,2:34.0,,T. Harris misses 3-pt jump shot from 23 ft,26,28
1,2:32.0,Defensive rebound by K. Durant,,26,28
1,2:29.0,Shooting foul by D. Gallinari (drawn by K. Durant),,26,28
1,2:29.0,Golden State full timeout,,26,28
1,2:29.0,,M. Scott enters the game for D. Gallinari,26,28
1,2:29.0,K. Durant makes free throw 1 of 2,,27,28
1,2:29.0,K. Durant makes free throw 2 of 2,,28,28
1,2:12.0,,M. Scott makes 2-pt jump shot from 17 ft (assist by T. Harris),28,30
1,1:55.0,Q. Cook misses 2-pt jump shot from 7 ft,,28,30
1,1:53.0,,Defensive rebound by M. Harrell,28,30
1,1:51.0,,Shooting foul by K. Durant (drawn by T. Harris),28,30
1,1:51.0,,T. Harris makes free throw 1 of 2,28,31
1,1:51.0,S. Livingston enters the game for Q. Cook,,28,31
1,1:51.0,,T. Wallace enters the game for S. Gilgeous-Alexander,28,31
1,1:51.0,,T. Harris misses free throw 2 of 2,28,31
1,1:48.0,Defensive rebound by K. Durant,,28,31
1,1:34.0,K. Durant misses 2-pt jump shot from 10 ft,,28,31
1,1:29.0,,Defensive rebound by T. Harris,28,31
1,1:29.0,,Turnover by T. Harris (bad pass),28,31
1,1:07.0,K. Looney makes 2-pt dunk from 2 ft (assist by K. Durant),,30,31
1,0:49.0,,M. Harrell makes 2-pt layup from 2 ft,30,33
1,0:49.0,,Shooting foul by A. Iguodala (drawn by M. Harrell),30,33
1,0:49.0,,M. Harrell makes free throw 1 of 1,30,34
1,0:31.0,K. Durant misses 2-pt jump shot from 17 ft,,30,34
1,0:29.0,,Defensive rebound by T. Harris,30,34
1,0:25.0,,Offensive foul by M. Harrell (drawn by K. Durant),30,34
1,0:25.0,,Turnover by M. Harrell (offensive foul),30,34
1,0:25.0,Q. Cook enters the game for S. Livingston,,30,34
1,0:25.0,K. Thompson enters the game for K. Looney,,30,34
1,0:25.0,,S. Thornwell enters the game for L. Williams,30,34
1,0:05.0,K. Thompson misses 3-pt jump shot from 25 ft,,30,34
1,0:03.0,,Defensive rebound by T. Harris,30,34
1,0:00.0,,Turnover by T. Wallace (step out of bounds),30,34
2,11:48.0,K. Thompson misses 3-pt jump shot from 26 ft (block by M. Harrell),,30,34
2,11:44.0,,Defensive rebound by T. Wallace,30,34
2,11:42.0,,M. Harrell makes 2-pt layup from 1 ft (assist by T. Wallace),30,36
2,11:26.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by J. Jerebko),,33,36
2,11:02.0,,L. Williams misses 2-pt jump shot from 15 ft,33,36
2,10:59.0,Defensive rebound by D. Green,,33,36
2,10:53.0,A. Iguodala misses 2-pt layup from 2 ft,,33,36
2,10:52.0,,Defensive rebound by M. Scott,33,36
2,10:39.0,,M. Scott makes 2-pt jump shot from 19 ft (assist by L. Williams),33,38
2,10:26.0,S. Livingston makes 2-pt jump shot from 8 ft,,35,38
2,10:26.0,Shooting foul by T. Wallace (drawn by S. Livingston),,35,38
2,10:26.0,S. Livingston makes free throw 1 of 1,,36,38
2,10:17.0,,Shooting foul by D. Green (drawn by L. Williams),36,38
2,10:17.0,,L. Williams makes free throw 1 of 2,36,39
2,10:17.0,,L. Williams makes free throw 2 of 2,36,40
2,10:03.0,K. Thompson misses 2-pt jump shot from 13 ft,,36,40
2,9:59.0,Offensive rebound by A. Iguodala,,36,40
2,9:49.0,Turnover by D. Green (bad pass; steal by M. Harrell),,36,40
2,9:44.0,,T. Wallace makes 2-pt layup from 2 ft (assist by M. Harrell),36,42
2,9:39.0,Shooting foul by L. Williams (drawn by S. Livingston),,36,42
2,9:39.0,S. Livingston makes free throw 1 of 2,,37,42
2,9:39.0,S. Livingston misses free throw 2 of 2,,37,42
2,9:35.0,,Defensive rebound by M. Scott,37,42
2,9:19.0,,Turnover by S. Thornwell (lost ball),37,42
2,9:19.0,,Loose ball foul by S. Thornwell (drawn by D. Green),37,42
2,9:06.0,K. Thompson misses 3-pt jump shot from 25 ft,,37,42
2,9:04.0,,Defensive rebound by T. Wallace,37,42
2,8:55.0,,T. Wallace misses 2-pt layup from 2 ft,37,42
2,8:52.0,Defensive rebound by A. Iguodala,,37,42
2,8:52.0,Personal foul by M. Scott (drawn by A. Iguodala),,37,42
2,8:52.0,A. McKinnie enters the game for J. Jerebko,,37,42
2,8:46.0,D. Green misses 2-pt layup from 6 ft,,37,42
2,8:44.0,,Defensive rebound by M. Scott,37,42
2,8:39.0,,M. Harrell misses 2-pt dunk from 2 ft,37,42
2,8:36.0,Defensive rebound by D. Green,,37,42
2,8:35.0,Shooting foul by S. Thornwell (drawn by A. Iguodala),,37,42
2,8:35.0,A. Iguodala makes free throw 1 of 2,,38,42
2,8:35.0,A. Iguodala makes free throw 2 of 2,,39,42
2,8:15.0,,L. Williams misses 3-pt jump shot from 31 ft,39,42
2,8:13.0,Defensive rebound by A. McKinnie,,39,42
2,8:06.0,A. McKinnie misses 3-pt jump shot from 25 ft,,39,42
2,8:03.0,,Defensive rebound by S. Thornwell,39,42
2,7:56.0,,M. Harrell makes 2-pt jump shot from 5 ft,39,44
2,7:39.0,A. Iguodala makes 2-pt dunk from 2 ft (assist by K. Thompson),,41,44
2,7:30.0,,Shooting foul by A. Iguodala (drawn by L. Williams),41,44
2,7:30.0,,L. Williams makes free throw 1 of 2,41,45
2,7:30.0,K. Looney enters the game for A. Iguodala,,41,45
2,7:30.0,,D. Gallinari enters the game for S. Thornwell,41,45
2,7:30.0,,L. Williams makes free throw 2 of 2,41,46
2,7:16.0,K. Thompson misses 2-pt jump shot from 19 ft,,41,46
2,7:13.0,,Defensive rebound by M. Scott,41,46
2,7:02.0,,Turnover by L. Williams (bad pass; steal by K. Thompson),41,46
2,7:00.0,D. Green makes 2-pt layup from 2 ft (assist by K. Thompson),,43,46
