QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,ATLANTA_ACTION,NEW ORLEANS_SCORE,ATLANTA_SCORE
1,11:49.0,J. Randle misses 2-pt layup from 1 ft,,0,0
1,11:43.0,,Defensive rebound by J. Collins,0,0
1,11:42.0,,T. Prince misses 3-pt jump shot from 26 ft,0,0
1,11:42.0,Defensive rebound by A. Davis,,0,0
1,11:27.0,Personal foul by T. Prince (drawn by A. Davis),,0,0
1,11:17.0,F. Jackson misses 2-pt jump shot from 8 ft,,0,0
1,11:13.0,,Defensive rebound by J. Collins,0,0
1,11:07.0,,Turnover by T. Young (bad pass),0,0
1,10:53.0,J. Randle makes 3-pt jump shot from 25 ft (assist by E. Payton),,3,0
1,10:36.0,,A. Len makes 2-pt hook shot from 9 ft,3,2
1,10:13.0,Shooting foul by J. Collins (drawn by E. Payton),,3,2
1,10:13.0,E. Payton makes free throw 1 of 2,,4,2
1,10:13.0,E. Payton makes free throw 2 of 2,,5,2
1,10:01.0,,A. Len misses 2-pt jump shot from 16 ft,5,2
1,9:58.0,Defensive rebound by E. Payton,,5,2
1,9:53.0,F. Jackson makes 3-pt jump shot from 23 ft (assist by A. Davis),,8,2
1,9:36.0,,K. Huerter makes 2-pt layup from 1 ft,8,4
1,9:22.0,J. Randle misses 2-pt jump shot from 10 ft,,8,4
1,9:20.0,,Defensive rebound by J. Collins,8,4
1,9:14.0,,T. Young misses 2-pt layup from 3 ft (block by A. Davis),8,4
1,9:10.0,Defensive rebound by E. Payton,,8,4
1,9:07.0,K. Williams makes 3-pt jump shot from 26 ft (assist by E. Payton),,11,4
1,8:50.0,,Turnover by K. Huerter (bad pass; steal by E. Payton),11,4
1,8:44.0,A. Davis misses 2-pt layup from 1 ft,,11,4
1,8:41.0,,Defensive rebound by T. Prince,11,4
1,8:38.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Prince),11,6
1,8:23.0,A. Davis makes 2-pt jump shot from 12 ft,,13,6
1,7:57.0,,T. Young misses 2-pt jump shot from 12 ft,13,6
1,7:52.0,,Offensive rebound by T. Young,13,6
1,7:51.0,,K. Huerter misses 3-pt jump shot from 26 ft,13,6
1,7:48.0,Defensive rebound by E. Payton,,13,6
1,7:37.0,Personal foul by A. Len (drawn by J. Randle),,13,6
1,7:37.0,,D. Dedmon enters the game for J. Collins,13,6
1,7:29.0,A. Davis misses 2-pt dunk from 1 ft,,13,6
1,7:24.0,,Defensive rebound by A. Len,13,6
1,7:19.0,,D. Dedmon misses 2-pt jump shot from 21 ft,13,6
1,7:16.0,Defensive rebound by J. Randle,,13,6
1,7:05.0,F. Jackson misses 3-pt jump shot from 23 ft,,13,6
1,7:03.0,,Defensive rebound by D. Dedmon,13,6
1,6:54.0,,D. Dedmon misses 2-pt jump shot from 7 ft,13,6
1,6:51.0,Defensive rebound by A. Davis,,13,6
1,6:48.0,J. Randle makes 2-pt layup from 1 ft (assist by A. Davis),,15,6
1,6:47.0,,Atlanta full timeout,15,6
1,6:47.0,,J. Adams enters the game for K. Huerter,15,6
1,6:47.0,,K. Bazemore enters the game for A. Len,15,6
1,6:47.0,,J. Collins enters the game for T. Young,15,6
1,6:33.0,,T. Prince makes 2-pt jump shot from 15 ft (assist by K. Bazemore),15,8
1,6:18.0,J. Randle misses 2-pt layup from 5 ft,,15,8
1,6:17.0,Offensive rebound by Team,,15,8
1,6:17.0,,Loose ball foul by K. Bazemore (drawn by J. Randle),15,8
1,6:17.0,C. Diallo enters the game for J. Randle,,15,8
1,6:07.0,A. Davis makes 2-pt jump shot from 5 ft,,17,8
1,5:55.0,,T. Prince makes 2-pt layup from 3 ft,17,10
1,5:45.0,E. Payton makes 2-pt layup from 1 ft,,19,10
1,5:34.0,,Shooting foul by A. Davis (drawn by J. Collins),19,10
1,5:34.0,,J. Collins misses free throw 1 of 2,19,10
1,5:34.0,,Offensive rebound by Team,19,10
1,5:34.0,I. Clark enters the game for E. Payton,,19,10
1,5:34.0,,J. Collins makes free throw 2 of 2,19,11
1,5:24.0,A. Davis misses 3-pt jump shot from 25 ft,,19,11
1,5:21.0,,Defensive rebound by K. Bazemore,19,11
1,5:13.0,,J. Collins misses 2-pt jump shot from 7 ft,19,11
1,5:10.0,Defensive rebound by A. Davis,,19,11
1,5:07.0,Turnover by A. Davis (lost ball; steal by D. Dedmon),,19,11
1,4:59.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Prince),19,13
1,4:36.0,Turnover by A. Davis (lost ball; steal by D. Dedmon),,19,13
1,4:35.0,D. Miller enters the game for K. Williams,,19,13
1,4:35.0,,D. Bembry enters the game for T. Prince,19,13
1,4:19.0,,J. Collins makes 3-pt jump shot from 25 ft (assist by K. Bazemore),19,16
1,4:05.0,I. Clark makes 3-pt jump shot from 23 ft (assist by D. Miller),,22,16
1,3:54.0,,K. Bazemore makes 3-pt jump shot from 26 ft (assist by J. Adams),22,19
1,3:37.0,F. Jackson makes 3-pt jump shot from 25 ft (assist by I. Clark),,25,19
1,3:22.0,,J. Collins misses 2-pt layup from 6 ft,25,19
1,3:19.0,Defensive rebound by A. Davis,,25,19
1,3:12.0,C. Diallo misses 2-pt jump shot from 13 ft,,25,19
1,3:09.0,,Defensive rebound by J. Collins,25,19
1,3:00.0,,K. Bazemore misses 2-pt layup from 8 ft (block by A. Davis),25,19
1,3:00.0,,Offensive rebound by Team,25,19
1,3:00.0,J. Randle enters the game for A. Davis,,25,19
1,3:00.0,,T. Young enters the game for J. Adams,25,19
1,2:51.0,,D. Dedmon makes 3-pt jump shot from 23 ft (assist by T. Young),25,22
1,2:40.0,I. Clark makes 3-pt jump shot from 23 ft (assist by F. Jackson),,28,22
1,2:28.0,,Personal foul by I. Clark (drawn by J. Collins),28,22
1,2:28.0,New Orleans full timeout,,28,22
1,2:28.0,S. Hill enters the game for F. Jackson,,28,22
1,2:28.0,,V. Carter enters the game for J. Collins,28,22
1,2:28.0,,A. Len enters the game for D. Dedmon,28,22
1,2:23.0,,T. Young misses 2-pt jump shot from 13 ft,28,22
1,2:17.0,,Offensive rebound by A. Len,28,22
1,2:17.0,,A. Len misses 2-pt layup from 1 ft,28,22
1,2:16.0,Defensive rebound by C. Diallo,,28,22
1,2:09.0,J. Randle misses 2-pt jump shot from 11 ft,,28,22
1,2:06.0,,Defensive rebound by K. Bazemore,28,22
1,2:00.0,,D. Bembry makes 2-pt layup from 3 ft,28,24
1,1:38.0,D. Miller makes 3-pt jump shot from 25 ft (assist by J. Randle),,31,24
1,1:23.0,,A. Len makes 2-pt hook shot from 8 ft (assist by K. Bazemore),31,26
1,1:02.0,C. Diallo makes 2-pt jump shot from 10 ft (assist by D. Miller),,33,26
1,0:42.0,,D. Bembry misses 2-pt layup from 1 ft,33,26
1,0:39.0,Defensive rebound by C. Diallo,,33,26
1,0:20.0,C. Diallo misses 2-pt layup from 2 ft,,33,26
1,0:17.0,,Defensive rebound by D. Bembry,33,26
1,0:00.0,,Turnover by D. Bembry (lost ball; steal by S. Hill),33,26
1,0:00.0,S. Hill misses 3-pt jump shot from 53 ft,,33,26
1,0:00.0,Offensive rebound by Team,,33,26
2,11:41.0,,Shooting foul by J. Randle (drawn by T. Young),33,26
2,11:41.0,,T. Young makes free throw 1 of 2,33,27
2,11:41.0,,T. Young makes free throw 2 of 2,33,28
2,11:21.0,D. Miller misses 3-pt jump shot from 23 ft,,33,28
2,11:18.0,,Defensive rebound by D. Bembry,33,28
2,11:14.0,,T. Young misses 3-pt jump shot from 33 ft,33,28
2,11:11.0,Defensive rebound by S. Hill,,33,28
2,11:04.0,J. Randle makes 2-pt layup from 1 ft,,35,28
2,11:04.0,Shooting foul by T. Young (drawn by J. Randle),,35,28
2,11:04.0,J. Randle makes free throw 1 of 1,,36,28
2,10:53.0,,T. Prince makes 3-pt jump shot from 24 ft (assist by T. Young),36,31
2,10:53.0,,Away from play foul by S. Hill (drawn by V. Carter),36,31
2,10:53.0,,V. Carter makes free throw 1 of 1,36,32
2,10:43.0,D. Miller makes 3-pt jump shot from 25 ft (assist by I. Clark),,39,32
2,10:43.0,Shooting foul by V. Carter (drawn by D. Miller),,39,32
2,10:43.0,K. Williams enters the game for J. Randle,,39,32
2,10:43.0,D. Miller makes free throw 1 of 1,,40,32
2,10:31.0,,Turnover by T. Young (bad pass; steal by S. Hill),40,32
2,10:27.0,J. Okafor misses 2-pt layup from 2 ft (block by A. Len),,40,32
2,10:26.0,,Defensive rebound by A. Len,40,32
2,10:26.0,,Personal take foul by D. Miller (drawn by T. Young),40,32
2,10:19.0,,A. Len misses 3-pt jump shot from 26 ft,40,32
2,10:15.0,Defensive rebound by S. Hill,,40,32
2,10:09.0,D. Miller misses 3-pt jump shot from 23 ft,,40,32
2,10:06.0,,Defensive rebound by T. Prince,40,32
