QUARTER,TIME_REMAINING,LA LAKERS_ACTION,OKLAHOMA CITY_ACTION,LA LAKERS_SCORE,OKLAHOMA CITY_SCORE
1,11:45.0,Turnover by R. Rondo (bad pass; steal by T. Ferguson),,0,0
1,11:39.0,,R. Westbrook misses 2-pt layup from 2 ft,0,0
1,11:37.0,Defensive rebound by K. Caldwell-Pope,,0,0
1,11:29.0,L. Stephenson misses 2-pt jump shot from 12 ft,,0,0
1,11:27.0,,Defensive rebound by R. Westbrook,0,0
1,11:23.0,,T. Ferguson makes 2-pt layup from 1 ft (assist by R. Westbrook),0,2
1,11:10.0,M. Wagner makes 3-pt jump shot from 26 ft (assist by L. Stephenson),,3,2
1,10:52.0,,J. Grant makes 2-pt layup from 1 ft (assist by P. George),3,4
1,10:31.0,Turnover by R. Rondo (bad pass),,3,4
1,10:14.0,,S. Adams misses 2-pt layup from 2 ft (block by M. Wagner),3,4
1,10:14.0,,Offensive rebound by Team,3,4
1,10:11.0,,P. George makes 2-pt dunk from 1 ft (assist by R. Westbrook),3,6
1,10:09.0,LA Lakers full timeout,,3,6
1,9:51.0,Turnover by R. Rondo (bad pass; steal by P. George),,3,6
1,9:49.0,,P. George makes 2-pt dunk at rim,3,8
1,9:31.0,M. Wagner misses 2-pt layup from 2 ft (block by P. George),,3,8
1,9:30.0,,Defensive rebound by S. Adams,3,8
1,9:23.0,,T. Ferguson misses 3-pt jump shot from 26 ft,3,8
1,9:19.0,Defensive rebound by R. Rondo,,3,8
1,9:15.0,L. Stephenson makes 3-pt jump shot from 26 ft (assist by R. Rondo),,6,8
1,8:55.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),6,11
1,8:31.0,M. Wagner misses 3-pt jump shot from 26 ft,,6,11
1,8:29.0,,Defensive rebound by R. Westbrook,6,11
1,8:24.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),6,13
1,8:10.0,K. Caldwell-Pope makes 2-pt jump shot from 18 ft (assist by R. Rondo),,8,13
1,8:02.0,,S. Adams makes 2-pt dunk from 2 ft (assist by R. Westbrook),8,15
1,7:41.0,R. Rondo misses 3-pt jump shot from 26 ft,,8,15
1,7:39.0,,Defensive rebound by R. Westbrook,8,15
1,7:35.0,,S. Adams makes 2-pt hook shot from 4 ft (assist by R. Westbrook),8,17
1,7:24.0,Turnover by K. Caldwell-Pope (lost ball; steal by P. George),,8,17
1,7:22.0,,P. George makes 2-pt dunk from 1 ft,8,19
1,7:22.0,LA Lakers full timeout,,8,19
1,7:22.0,M. Muscala enters the game for J. McGee,,8,19
1,7:07.0,M. Wagner makes 2-pt layup at rim (assist by R. Rondo),,10,19
1,6:55.0,,J. Grant misses 3-pt jump shot from 23 ft,10,19
1,6:50.0,Defensive rebound by M. Muscala,,10,19
1,6:40.0,M. Wagner makes 3-pt jump shot from 25 ft (assist by R. Rondo),,13,19
1,6:26.0,,J. Grant misses 3-pt jump shot from 25 ft,13,19
1,6:26.0,Defensive rebound by Team,,13,19
1,6:26.0,,Loose ball foul by S. Adams (drawn by M. Wagner),13,19
1,6:11.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),,16,19
1,5:58.0,,J. Grant makes 2-pt jump shot from 4 ft (assist by R. Westbrook),16,21
1,5:58.0,,Shooting foul by M. Muscala (drawn by J. Grant),16,21
1,5:58.0,,J. Grant misses free throw 1 of 1,16,21
1,5:55.0,Defensive rebound by M. Wagner,,16,21
1,5:45.0,M. Muscala misses 3-pt jump shot from 26 ft,,16,21
1,5:43.0,,Defensive rebound by P. George,16,21
1,5:43.0,R. Bullock enters the game for L. Stephenson,,16,21
1,5:28.0,,R. Westbrook misses 2-pt layup from 1 ft,16,21
1,5:27.0,Defensive rebound by M. Wagner,,16,21
1,5:15.0,M. Muscala misses 3-pt jump shot from 26 ft,,16,21
1,5:13.0,,Defensive rebound by R. Westbrook,16,21
1,5:11.0,,Personal foul by M. Muscala (drawn by S. Adams),16,21
1,5:11.0,,D. Schröder enters the game for P. George,16,21
1,5:05.0,,R. Westbrook misses 2-pt jump shot from 17 ft,16,21
1,5:03.0,Defensive rebound by M. Wagner,,16,21
1,4:48.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by M. Muscala),,19,21
1,4:45.0,,Oklahoma City full timeout,19,21
1,4:33.0,,R. Westbrook misses 3-pt jump shot from 25 ft,19,21
1,4:31.0,Defensive rebound by K. Caldwell-Pope,,19,21
1,4:18.0,M. Muscala misses 3-pt jump shot from 25 ft,,19,21
1,4:15.0,,Defensive rebound by J. Grant,19,21
1,4:08.0,,J. Grant misses 3-pt jump shot from 25 ft,19,21
1,4:07.0,Defensive rebound by Team,,19,21
1,3:48.0,K. Caldwell-Pope makes 2-pt jump shot from 20 ft,,21,21
1,3:34.0,,Turnover by D. Schröder (bad pass; steal by M. Wagner),21,21
1,3:22.0,Turnover by M. Wagner (bad pass; steal by S. Adams),,21,21
1,3:18.0,,T. Ferguson makes 2-pt layup from 1 ft (assist by R. Westbrook),21,23
1,3:01.0,R. Bullock misses 3-pt jump shot from 25 ft,,21,23
1,2:59.0,,Defensive rebound by D. Schröder,21,23
1,2:52.0,,D. Schröder misses 2-pt jump shot from 16 ft,21,23
1,2:49.0,Defensive rebound by R. Rondo,,21,23
1,2:45.0,R. Rondo misses 2-pt layup from 2 ft,,21,23
1,2:44.0,,Defensive rebound by R. Westbrook,21,23
1,2:38.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),21,25
1,2:25.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by R. Rondo),,23,25
1,2:14.0,,Turnover by T. Ferguson (bad pass; steal by R. Bullock),23,25
1,2:07.0,R. Bullock misses 3-pt jump shot from 26 ft,,23,25
1,2:05.0,,Defensive rebound by R. Westbrook,23,25
1,1:58.0,,R. Westbrook misses 3-pt jump shot from 25 ft,23,25
1,1:55.0,Defensive rebound by R. Rondo,,23,25
1,1:54.0,Turnover by R. Rondo (bad pass; steal by R. Westbrook),,23,25
1,1:49.0,,T. Ferguson makes 3-pt jump shot from 25 ft (assist by J. Grant),23,28
1,1:33.0,M. Muscala misses 3-pt jump shot from 26 ft,,23,28
1,1:31.0,,Defensive rebound by R. Westbrook,23,28
1,1:29.0,,S. Adams makes 2-pt layup from 2 ft (assist by R. Westbrook),23,30
1,1:29.0,,Shooting foul by M. Wagner (drawn by S. Adams),23,30
1,1:29.0,A. Caruso enters the game for K. Caldwell-Pope,,23,30
1,1:29.0,J. McGee enters the game for M. Muscala,,23,30
1,1:29.0,L. Stephenson enters the game for M. Wagner,,23,30
1,1:29.0,,P. George enters the game for T. Ferguson,23,30
1,1:29.0,,M. Morris enters the game for J. Grant,23,30
1,1:29.0,,A. Nader enters the game for R. Westbrook,23,30
1,1:29.0,,S. Adams misses free throw 1 of 1,23,30
1,1:27.0,Defensive rebound by R. Bullock,,23,30
1,1:10.0,J. McGee misses 2-pt hook shot from 5 ft (block by S. Adams),,23,30
1,1:08.0,,Defensive rebound by M. Morris,23,30
1,0:59.0,,A. Nader makes 2-pt layup from 1 ft (assist by S. Adams),23,32
1,0:48.0,R. Rondo makes 2-pt jump shot from 10 ft,,25,32
1,0:48.0,Shooting foul by D. Schröder (drawn by R. Rondo),,25,32
1,0:48.0,,N. Noel enters the game for S. Adams,25,32
1,0:48.0,R. Rondo makes free throw 1 of 1,,26,32
1,0:32.0,,P. George misses 3-pt jump shot from 25 ft,26,32
1,0:28.0,Defensive rebound by R. Rondo,,26,32
1,0:08.0,A. Caruso makes 2-pt jump shot from 7 ft,,28,32
1,0:02.0,,P. George makes 2-pt jump shot from 19 ft,28,34
1,0:00.0,J. McGee misses 3-pt jump shot from 62 ft,,28,34
1,0:00.0,Offensive rebound by Team,,28,34
2,11:43.0,,M. Morris misses 2-pt jump shot from 12 ft,28,34
2,11:40.0,Defensive rebound by L. Stephenson,,28,34
2,11:38.0,Personal foul by D. Schröder (drawn by J. McGee),,28,34
2,11:27.0,Turnover by L. Stephenson (lost ball; steal by M. Morris),,28,34
2,11:12.0,,M. Morris makes 2-pt jump shot from 7 ft,28,36
2,10:59.0,Turnover by A. Caruso (bad pass),,28,36
2,10:50.0,,Turnover by D. Schröder (bad pass; steal by A. Caruso),28,36
2,10:40.0,R. Bullock makes 3-pt jump shot from 23 ft (assist by A. Caruso),,31,36
2,10:24.0,,Turnover by N. Noel (bad pass; steal by J. McGee),31,36
2,10:20.0,A. Caruso makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),,33,36
2,10:05.0,,D. Schröder makes 2-pt jump shot from 6 ft,33,38
2,9:54.0,A. Caruso misses 2-pt jump shot from 16 ft,,33,38
2,9:52.0,,Defensive rebound by D. Schröder,33,38
2,9:50.0,,Personal foul by K. Caldwell-Pope (drawn by D. Schröder),33,38
2,9:50.0,,R. Felton enters the game for M. Morris,33,38
2,9:41.0,,A. Nader misses 3-pt jump shot from 23 ft,33,38
2,9:37.0,,Offensive rebound by N. Noel,33,38
2,9:28.0,,Turnover by A. Nader (out of bounds lost ball),33,38
2,9:21.0,Shooting foul by D. Schröder (drawn by A. Caruso),,33,38
2,9:21.0,A. Caruso makes free throw 1 of 2,,34,38
2,9:21.0,,R. Westbrook enters the game for D. Schröder,34,38
2,9:21.0,A. Caruso makes free throw 2 of 2,,35,38
2,9:10.0,,P. George makes 3-pt jump shot from 25 ft (assist by N. Noel),35,41
2,8:55.0,J. McGee makes 2-pt layup from 3 ft (assist by A. Caruso),,37,41
2,8:55.0,Shooting foul by P. George (drawn by J. McGee),,37,41
2,8:55.0,,J. Grant enters the game for A. Nader,37,41
2,8:55.0,J. McGee misses free throw 1 of 1,,37,41
2,8:53.0,,Defensive rebound by J. Grant,37,41
2,8:39.0,,P. George misses 3-pt jump shot from 26 ft,37,41
