QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DENVER_ACTION,NEW ORLEANS_SCORE,DENVER_SCORE
1,11:49.0,,Violation by Team (kicked ball),0,0
1,11:44.0,J. Okafor misses 2-pt jump shot from 10 ft,,0,0
1,11:41.0,,Defensive rebound by T. Craig,0,0
1,11:25.0,,Turnover by P. Millsap (traveling),0,0
1,11:16.0,N. Mirotić makes 2-pt jump shot from 21 ft (assist by J. Holiday),,2,0
1,10:58.0,,J. Murray makes 2-pt layup from 3 ft (assist by G. Harris),2,2
1,10:43.0,N. Mirotić misses 3-pt jump shot from 25 ft,,2,2
1,10:41.0,,Defensive rebound by G. Harris,2,2
1,10:36.0,,G. Harris misses 3-pt jump shot from 25 ft,2,2
1,10:33.0,Defensive rebound by J. Holiday,,2,2
1,10:24.0,J. Okafor misses 2-pt jump shot from 10 ft,,2,2
1,10:22.0,,Defensive rebound by P. Millsap,2,2
1,10:13.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),2,5
1,9:54.0,S. Hill misses 3-pt jump shot from 25 ft,,2,5
1,9:50.0,,Defensive rebound by G. Harris,2,5
1,9:44.0,,P. Millsap misses 3-pt jump shot from 25 ft,2,5
1,9:41.0,Defensive rebound by N. Mirotić,,2,5
1,9:36.0,Turnover by E. Moore (lost ball; steal by P. Millsap),,2,5
1,9:27.0,,G. Harris makes 2-pt jump shot from 7 ft (assist by N. Jokić),2,7
1,9:15.0,Personal foul by N. Jokić (drawn by J. Okafor),,2,7
1,9:03.0,J. Holiday makes 2-pt layup from 2 ft,,4,7
1,8:51.0,,Turnover by J. Murray (bad pass; steal by N. Mirotić),4,7
1,8:45.0,N. Mirotić misses 3-pt jump shot from 24 ft,,4,7
1,8:44.0,,Defensive rebound by Team,4,7
1,8:26.0,,J. Murray misses 3-pt jump shot from 25 ft,4,7
1,8:21.0,Defensive rebound by E. Moore,,4,7
1,8:10.0,E. Moore misses 3-pt jump shot from 24 ft,,4,7
1,8:06.0,,Defensive rebound by J. Murray,4,7
1,7:55.0,,T. Craig misses 3-pt jump shot from 22 ft,4,7
1,7:53.0,Defensive rebound by S. Hill,,4,7
1,7:39.0,E. Moore makes 3-pt jump shot from 24 ft (assist by J. Holiday),,7,7
