QUARTER,TIME_REMAINING,CLEVELAND_ACTION,WASHINGTON_ACTION,CLEVELAND_SCORE,WASHINGTON_SCORE
1,11:51.0,,Personal foul by R. Hood (drawn by O. Porter),0,0
1,11:45.0,,O. Porter makes 2-pt jump shot from 13 ft (assist by J. Wall),0,2
1,11:30.0,R. Hood makes 2-pt jump shot from 17 ft (assist by T. Thompson),,2,2
1,11:15.0,,O. Porter makes 2-pt jump shot from 11 ft,2,4
1,10:54.0,C. Sexton misses 2-pt jump shot from 13 ft,,2,4
1,10:52.0,,Defensive rebound by J. Wall,2,4
1,10:35.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by J. Wall),2,7
1,10:22.0,J. Smith misses 3-pt jump shot from 26 ft,,2,7
1,10:20.0,,Defensive rebound by D. Howard,2,7
1,10:07.0,,O. Porter makes 2-pt jump shot from 12 ft,2,9
1,9:45.0,Turnover by T. Thompson (traveling),,2,9
1,9:29.0,,B. Beal misses 2-pt layup from 5 ft (block by L. Nance),2,9
1,9:26.0,,Offensive rebound by B. Beal,2,9
1,9:23.0,,B. Beal misses 2-pt layup from 3 ft,2,9
1,9:21.0,Defensive rebound by T. Thompson,,2,9
1,9:14.0,Shooting foul by D. Howard (drawn by L. Nance),,2,9
1,9:14.0,L. Nance makes free throw 1 of 2,,3,9
1,9:14.0,L. Nance makes free throw 2 of 2,,4,9
1,9:03.0,,Personal foul by T. Thompson (drawn by D. Howard),4,9
1,8:49.0,,Shooting foul by T. Thompson (drawn by M. Morris),4,9
1,8:49.0,,M. Morris makes free throw 1 of 2,4,10
1,8:49.0,,M. Morris makes free throw 2 of 2,4,11
1,8:29.0,Turnover by L. Nance (bad pass; steal by J. Wall),,4,11
1,8:29.0,D. Nwaba enters the game for T. Thompson,,4,11
1,8:22.0,,B. Beal makes 3-pt jump shot from 23 ft (assist by O. Porter),4,14
1,8:16.0,Cleveland full timeout,,4,14
1,8:12.0,Personal foul by M. Morris (drawn by L. Nance),,4,14
1,8:07.0,J. Smith makes 2-pt jump shot from 18 ft (assist by L. Nance),,6,14
1,7:50.0,,D. Howard misses 2-pt hook shot from 10 ft,6,14
1,7:48.0,Defensive rebound by L. Nance,,6,14
1,7:41.0,J. Smith makes 2-pt jump shot from 20 ft (assist by L. Nance),,8,14
1,7:21.0,,B. Beal misses 3-pt jump shot from 27 ft,8,14
1,7:19.0,Defensive rebound by D. Nwaba,,8,14
1,7:12.0,C. Sexton makes 2-pt jump shot from 15 ft,,10,14
1,7:05.0,,J. Wall makes 2-pt layup at rim,10,16
1,7:05.0,,Shooting foul by C. Sexton (drawn by J. Wall),10,16
1,7:05.0,,J. Wall makes free throw 1 of 1,10,17
1,6:49.0,Turnover by L. Nance (lost ball; steal by B. Beal),,10,17
1,6:39.0,,B. Beal misses 3-pt jump shot from 26 ft,10,17
1,6:35.0,Defensive rebound by D. Nwaba,,10,17
1,6:29.0,C. Sexton makes 3-pt jump shot from 27 ft (assist by R. Hood),,13,17
1,6:11.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by J. Wall),13,20
1,5:46.0,R. Hood makes 2-pt jump shot from 18 ft (assist by L. Nance),,15,20
1,5:27.0,,D. Howard makes 2-pt layup from 3 ft (assist by B. Beal),15,22
1,5:27.0,,Shooting foul by R. Hood (drawn by D. Howard),15,22
1,5:27.0,J. Clarkson enters the game for R. Hood,,15,22
1,5:27.0,,D. Howard misses free throw 1 of 1,15,22
1,5:27.0,,Offensive rebound by M. Morris,15,22
1,5:22.0,,O. Porter makes 3-pt jump shot from 24 ft (assist by M. Morris),15,25
1,5:09.0,Turnover by C. Sexton (bad pass; steal by B. Beal),,15,25
1,5:07.0,,Turnover by B. Beal (bad pass; steal by L. Nance),15,25
1,5:01.0,D. Nwaba makes 2-pt layup from 2 ft (assist by J. Smith),,17,25
1,4:55.0,,B. Beal makes 2-pt dunk from 2 ft,17,27
1,4:37.0,Turnover by C. Sexton (lost ball; steal by B. Beal),,17,27
1,4:31.0,,B. Beal makes 3-pt jump shot from 23 ft (assist by O. Porter),17,30
1,4:31.0,,Shooting foul by J. Clarkson (drawn by O. Porter),17,30
1,4:31.0,,B. Beal misses free throw 1 of 1,17,30
1,4:31.0,Defensive rebound by D. Nwaba,,17,30
1,4:17.0,J. Clarkson makes 2-pt jump shot from 14 ft,,19,30
1,4:04.0,,Turnover by J. Wall (bad pass; steal by J. Clarkson),19,30
1,3:59.0,C. Sexton misses 2-pt layup from 2 ft (block by J. Wall),,19,30
1,3:59.0,Offensive rebound by Team,,19,30
1,3:59.0,C. Osman enters the game for J. Smith,,19,30
1,3:59.0,,J. Green enters the game for M. Morris,19,30
1,3:49.0,Turnover by C. Sexton (lost ball; steal by J. Wall),,19,30
1,3:45.0,,Turnover by O. Porter (bad pass; steal by L. Nance),19,30
1,3:31.0,Turnover by J. Clarkson (bad pass; steal by J. Green),,19,30
1,3:29.0,,D. Howard makes 2-pt dunk from 3 ft (assist by J. Wall),19,32
1,3:28.0,Cleveland full timeout,,19,32
1,3:28.0,A. Žižić enters the game for L. Nance,,19,32
1,3:28.0,,A. Rivers enters the game for J. Wall,19,32
1,3:16.0,J. Clarkson makes 2-pt jump shot from 14 ft,,21,32
1,3:00.0,,Turnover by D. Howard (out of bounds lost ball),21,32
1,2:48.0,Personal foul by B. Beal (drawn by A. Žižić),,21,32
1,2:48.0,,I. Mahinmi enters the game for B. Beal,21,32
1,2:48.0,,K. Oubre enters the game for D. Howard,21,32
1,2:43.0,C. Sexton makes 2-pt jump shot from 20 ft,,23,32
1,2:23.0,,K. Oubre misses 3-pt jump shot from 26 ft,23,32
1,2:18.0,,Offensive rebound by O. Porter,23,32
1,2:18.0,,O. Porter makes 2-pt layup at rim,23,34
1,2:10.0,C. Sexton makes 2-pt jump shot from 22 ft,,25,34
1,1:53.0,,A. Rivers misses 3-pt jump shot from 26 ft,25,34
