QUARTER,TIME_REMAINING,INDIANA_ACTION,DALLAS_ACTION,INDIANA_SCORE,DALLAS_SCORE
1,11:37.0,W. Matthews misses 3-pt jump shot from 29 ft,,0,0
1,11:34.0,,Defensive rebound by L. Dončić,0,0
1,11:22.0,,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by J. Brunson),0,2
1,11:03.0,M. Turner misses 2-pt jump shot from 11 ft,,0,2
1,10:59.0,Offensive rebound by Team,,0,2
1,10:42.0,T. Young misses 2-pt hook shot from 7 ft,,0,2
1,10:41.0,,Defensive rebound by L. Dončić,0,2
1,10:34.0,,Turnover by L. Dončić (lost ball; steal by M. Turner),0,2
1,10:31.0,B. Bogdanović makes 2-pt dunk from 2 ft (assist by W. Matthews),,2,2
1,10:13.0,,Turnover by L. Dončić (lost ball; steal by M. Turner),2,2
1,9:56.0,D. Collison makes 3-pt jump shot from 27 ft (assist by T. Young),,5,2
1,9:39.0,,J. Brunson makes 2-pt jump shot from 6 ft,5,4
1,9:30.0,Shooting foul by J. Brunson (drawn by D. Collison),,5,4
1,9:30.0,D. Collison makes free throw 1 of 2,,6,4
1,9:30.0,D. Collison makes free throw 2 of 2,,7,4
1,9:08.0,,T. Hardaway misses 2-pt layup from 5 ft,7,4
1,9:06.0,Defensive rebound by M. Turner,,7,4
1,9:01.0,M. Turner makes 3-pt jump shot from 27 ft (assist by D. Collison),,10,4
1,9:00.0,,Dallas full timeout,10,4
1,8:47.0,,L. Dončić makes 3-pt jump shot from 29 ft (assist by J. Brunson),10,7
1,8:47.0,,Away from play foul by B. Bogdanović (drawn by T. Hardaway),10,7
1,8:47.0,,T. Hardaway makes free throw 1 of 1,10,8
1,8:35.0,T. Young makes 2-pt layup from 3 ft (assist by D. Collison),,12,8
1,8:21.0,,J. Brunson misses 3-pt jump shot from 25 ft,12,8
1,8:20.0,,Offensive rebound by Team,12,8
1,8:20.0,Loose ball foul by M. Turner (drawn by D. Powell),,12,8
1,8:08.0,,J. Brunson makes 2-pt layup from 2 ft,12,10
1,7:55.0,Turnover by W. Matthews (lost ball; steal by D. Powell),,12,10
1,7:50.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,12,10
1,7:46.0,,Offensive rebound by D. Powell,12,10
1,7:41.0,,T. Hardaway makes 3-pt jump shot from 24 ft,12,13
1,7:24.0,T. Young misses 3-pt jump shot from 24 ft,,12,13
1,7:21.0,,Defensive rebound by D. Powell,12,13
1,7:12.0,,L. Dončić makes 2-pt jump shot from 11 ft,12,15
1,7:12.0,,Shooting foul by W. Matthews (drawn by L. Dončić),12,15
1,7:12.0,C. Joseph enters the game for W. Matthews,,12,15
1,7:12.0,,L. Dončić makes free throw 1 of 1,12,16
1,6:55.0,T. Young misses 2-pt jump shot from 12 ft,,12,16
1,6:52.0,,Defensive rebound by D. Powell,12,16
1,6:30.0,,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by L. Dončić),12,19
1,6:08.0,M. Turner misses 3-pt jump shot from 24 ft,,12,19
1,6:05.0,Offensive rebound by T. Young,,12,19
1,6:03.0,D. Collison misses 3-pt jump shot from 26 ft,,12,19
1,5:59.0,,Defensive rebound by L. Dončić,12,19
1,5:56.0,,L. Dončić misses 3-pt jump shot from 27 ft,12,19
1,5:52.0,Defensive rebound by T. Young,,12,19
1,5:50.0,Personal foul by L. Dončić (drawn by B. Bogdanović),,12,19
1,5:50.0,,D. Finney-Smith enters the game for L. Dončić,12,19
1,5:50.0,,M. Kleber enters the game for D. Nowitzki,12,19
1,5:48.0,Offensive foul by M. Turner (drawn by J. Brunson),,12,19
1,5:48.0,Turnover by M. Turner (offensive foul),,12,19
1,5:48.0,K. O'Quinn enters the game for M. Turner,,12,19
1,5:37.0,,T. Hardaway makes 2-pt dunk from 1 ft (assist by D. Finney-Smith),12,21
1,5:30.0,Indiana full timeout,,12,21
1,5:30.0,,J. Jackson enters the game for D. Powell,12,21
1,5:24.0,B. Bogdanović makes 2-pt jump shot from 5 ft (assist by D. Collison),,14,21
1,5:24.0,Shooting foul by D. Finney-Smith (drawn by B. Bogdanović),,14,21
1,5:24.0,B. Bogdanović makes free throw 1 of 1,,15,21
1,5:10.0,,T. Hardaway misses 3-pt jump shot from 26 ft,15,21
1,5:07.0,Defensive rebound by B. Bogdanović,,15,21
1,5:03.0,Shooting foul by J. Jackson (drawn by D. Collison),,15,21
1,5:03.0,D. Collison makes free throw 1 of 2,,16,21
1,5:03.0,D. Collison makes free throw 2 of 2,,17,21
1,4:51.0,,J. Jackson misses 3-pt jump shot from 25 ft,17,21
1,4:49.0,Defensive rebound by D. Collison,,17,21
1,4:33.0,B. Bogdanović misses 2-pt layup from 4 ft (block by M. Kleber),,17,21
1,4:30.0,,Defensive rebound by D. Finney-Smith,17,21
1,4:29.0,,J. Brunson makes 2-pt layup from 1 ft (assist by D. Finney-Smith),17,23
1,4:16.0,B. Bogdanović misses 2-pt layup from 3 ft,,17,23
1,4:15.0,,Defensive rebound by Team,17,23
1,4:02.0,,J. Jackson makes 2-pt layup from 3 ft (assist by M. Kleber),17,25
1,4:02.0,,Shooting foul by K. O'Quinn (drawn by J. Jackson),17,25
1,4:02.0,T. Leaf enters the game for T. Young,,17,25
1,4:02.0,,J. Jackson misses free throw 1 of 1,17,25
1,3:59.0,Defensive rebound by T. Leaf,,17,25
1,3:39.0,Turnover by D. Collison (bad pass; steal by T. Hardaway),,17,25
1,3:35.0,,T. Hardaway misses 2-pt layup from 3 ft,17,25
1,3:32.0,Defensive rebound by D. Collison,,17,25
1,3:18.0,C. Joseph makes 3-pt jump shot from 25 ft (assist by T. Leaf),,20,25
1,3:00.0,,J. Brunson misses 3-pt jump shot from 23 ft,20,25
1,2:56.0,Defensive rebound by K. O'Quinn,,20,25
1,2:39.0,B. Bogdanović misses 3-pt jump shot from 28 ft,,20,25
1,2:37.0,,Defensive rebound by D. Finney-Smith,20,25
1,2:37.0,A. Holiday enters the game for B. Bogdanović,,20,25
1,2:37.0,D. McDermott enters the game for D. Collison,,20,25
1,2:37.0,,L. Dončić enters the game for J. Brunson,20,25
1,2:37.0,,D. Harris enters the game for T. Hardaway,20,25
1,2:30.0,,D. Finney-Smith misses 2-pt layup from 2 ft,20,25
1,2:27.0,,Offensive rebound by D. Finney-Smith,20,25
1,2:22.0,,Turnover by L. Dončić (bad pass),20,25
1,2:11.0,D. McDermott makes 2-pt jump shot from 22 ft (assist by C. Joseph),,22,25
1,1:48.0,,D. Harris misses 3-pt jump shot from 28 ft,22,25
1,1:45.0,Defensive rebound by Team,,22,25
1,1:32.0,A. Holiday misses 3-pt jump shot from 26 ft,,22,25
1,1:29.0,,Defensive rebound by L. Dončić,22,25
1,1:26.0,,Shooting foul by K. O'Quinn (drawn by L. Dončić),22,25
1,1:26.0,,L. Dončić makes free throw 1 of 2,22,26
1,1:26.0,,D. Nowitzki enters the game for J. Jackson,22,26
1,1:26.0,,L. Dončić makes free throw 2 of 2,22,27
1,1:12.0,D. McDermott misses 3-pt jump shot from 25 ft,,22,27
1,1:08.0,,Defensive rebound by D. Nowitzki,22,27
1,1:00.0,,Turnover by D. Harris (bad pass; steal by T. Leaf),22,27
1,0:56.0,T. Leaf makes 2-pt layup from 5 ft,,24,27
1,0:40.0,,Flagrant foul type 1 by K. O'Quinn (drawn by L. Dončić),24,27
1,0:40.0,,L. Dončić misses flagrant free throw 1 of 2,24,27
1,0:40.0,,Offensive rebound by Team,24,27
1,0:40.0,,L. Dončić makes flagrant free throw 2 of 2,24,28
1,0:40.0,T. Young enters the game for K. O'Quinn,,24,28
1,0:23.0,,D. Nowitzki misses 2-pt jump shot from 6 ft,24,28
1,0:20.0,Defensive rebound by Team,,24,28
1,0:01.0,A. Holiday makes 3-pt jump shot from 23 ft (assist by C. Joseph),,27,28
2,11:46.0,,Turnover by L. Dončić (bad pass),27,28
2,11:32.0,A. Holiday misses 2-pt jump shot from 9 ft,,27,28
2,11:31.0,,Defensive rebound by L. Dončić,27,28
2,11:31.0,,Personal foul by A. Holiday (drawn by L. Dončić),27,28
2,11:31.0,W. Matthews enters the game for A. Holiday,,27,28
2,11:12.0,,D. Nowitzki misses 2-pt jump shot from 15 ft,27,28
2,11:08.0,Defensive rebound by D. McDermott,,27,28
2,10:55.0,T. Leaf makes 2-pt jump shot from 5 ft (assist by T. Young),,29,28
2,10:49.0,,Offensive foul by D. Harris (drawn by C. Joseph),29,28
2,10:49.0,,Turnover by D. Harris (offensive foul),29,28
2,10:36.0,D. McDermott makes 2-pt layup from 3 ft (assist by T. Young),,31,28
2,10:34.0,,Dallas full timeout,31,28
2,10:17.0,,Turnover by D. Powell (lost ball; steal by C. Joseph),31,28
2,10:06.0,T. Young makes 2-pt layup from 1 ft,,33,28
2,9:44.0,,L. Dončić makes 2-pt jump shot from 11 ft,33,30
2,9:24.0,C. Joseph misses 2-pt jump shot from 17 ft,,33,30
2,9:17.0,Offensive rebound by T. Leaf,,33,30
2,9:17.0,T. Leaf makes 2-pt dunk at rim,,35,30
2,9:07.0,,L. Dončić misses 3-pt jump shot from 28 ft,35,30
2,9:04.0,,Offensive rebound by D. Powell,35,30
2,8:51.0,,D. Powell misses 2-pt jump shot from 14 ft,35,30
2,8:47.0,Defensive rebound by C. Joseph,,35,30
2,8:43.0,Personal foul by D. Finney-Smith (drawn by C. Joseph),,35,30
2,8:29.0,C. Joseph misses 2-pt jump shot from 18 ft,,35,30
2,8:27.0,,Defensive rebound by L. Dončić,35,30
2,8:19.0,,D. Nowitzki misses 2-pt jump shot from 10 ft,35,30
2,8:16.0,Defensive rebound by T. Leaf,,35,30
2,8:06.0,D. McDermott misses 3-pt jump shot from 26 ft,,35,30
2,8:04.0,Offensive rebound by T. Leaf,,35,30
2,8:03.0,T. Leaf makes 2-pt layup from 1 ft,,37,30
2,7:43.0,,D. Harris makes 2-pt layup from 3 ft (assist by D. Nowitzki),37,32
2,7:31.0,Turnover by W. Matthews (lost ball; steal by D. Harris),,37,32
2,7:30.0,,Personal foul by C. Joseph (drawn by D. Finney-Smith),37,32
2,7:30.0,,J. Brunson enters the game for L. Dončić,37,32
2,7:30.0,,T. Hardaway enters the game for D. Finney-Smith,37,32
2,7:30.0,,M. Kleber enters the game for D. Nowitzki,37,32
2,7:11.0,,J. Brunson makes 2-pt jump shot from 11 ft,37,34
2,6:52.0,T. Young makes 2-pt hook shot from 5 ft,,39,34
2,6:41.0,,J. Brunson makes 3-pt jump shot from 26 ft (assist by D. Powell),39,37
2,6:24.0,Turnover by T. Young (lost ball; steal by D. Powell),,39,37
2,6:12.0,,D. Harris makes 2-pt layup from 3 ft,39,39
2,6:07.0,Indiana full timeout,,39,39
2,6:07.0,B. Bogdanović enters the game for T. Leaf,,39,39
2,6:07.0,M. Turner enters the game for T. Young,,39,39
2,6:01.0,Personal foul by D. Harris (drawn by W. Matthews),,39,39
2,5:46.0,C. Joseph makes 2-pt jump shot from 10 ft,,41,39
2,5:29.0,,Turnover by D. Powell (3 sec),41,39
2,5:18.0,D. McDermott misses 2-pt jump shot from 20 ft,,41,39
2,5:15.0,,Defensive rebound by J. Brunson,41,39
2,5:08.0,,D. Harris misses 3-pt jump shot from 24 ft,41,39
2,5:05.0,Defensive rebound by C. Joseph,,41,39
2,4:57.0,B. Bogdanović makes 2-pt jump shot from 3 ft (assist by D. McDermott),,43,39
2,4:38.0,,T. Hardaway makes 2-pt jump shot from 17 ft (assist by D. Harris),43,41
2,4:26.0,B. Bogdanović makes 3-pt jump shot from 26 ft,,46,41
2,4:12.0,,T. Hardaway misses 3-pt jump shot from 25 ft,46,41
2,4:09.0,Defensive rebound by W. Matthews,,46,41
2,3:58.0,C. Joseph misses 3-pt jump shot from 23 ft,,46,41
2,3:54.0,,Defensive rebound by D. Harris,46,41
2,3:50.0,,J. Brunson makes 3-pt jump shot from 26 ft,46,44
2,3:36.0,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. McDermott),,49,44
2,3:14.0,,Turnover by D. Harris (bad pass; steal by M. Turner),49,44
2,3:08.0,M. Turner misses 3-pt jump shot from 26 ft,,49,44
2,3:08.0,,Defensive rebound by T. Hardaway,49,44
