QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MILWAUKEE_ACTION,SAN ANTONIO_SCORE,MILWAUKEE_SCORE
1,11:41.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),0,3
1,11:30.0,D. DeRozan misses 2-pt jump shot from 14 ft,,0,3
1,11:27.0,,Defensive rebound by K. Middleton,0,3
1,11:17.0,,M. Brogdon makes 2-pt layup from 2 ft,0,5
1,11:05.0,L. Aldridge makes 2-pt jump shot from 14 ft (assist by D. DeRozan),,2,5
1,10:55.0,,M. Brogdon makes 2-pt layup from 2 ft,2,7
1,10:39.0,R. Gay misses 2-pt layup from 3 ft,,2,7
1,10:37.0,,Defensive rebound by K. Middleton,2,7
1,10:27.0,,Personal foul by D. Cunningham (drawn by K. Middleton),2,7
1,10:14.0,,E. Bledsoe makes 2-pt jump shot from 19 ft (assist by B. Lopez),2,9
1,9:53.0,L. Aldridge misses 2-pt jump shot from 10 ft,,2,9
1,9:48.0,,Defensive rebound by K. Middleton,2,9
1,9:46.0,,K. Middleton makes 2-pt layup from 1 ft,2,11
1,9:46.0,San Antonio full timeout,,2,11
1,9:26.0,D. DeRozan makes 2-pt layup from 1 ft (assist by B. Forbes),,4,11
1,9:17.0,,K. Middleton misses 3-pt jump shot from 23 ft,4,11
1,9:15.0,Defensive rebound by L. Aldridge,,4,11
1,9:09.0,D. DeRozan misses 2-pt jump shot from 14 ft (block by B. Lopez),,4,11
1,9:05.0,Offensive rebound by D. DeRozan,,4,11
1,9:03.0,B. Forbes makes 3-pt jump shot from 27 ft (assist by D. DeRozan),,7,11
1,8:46.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by K. Middleton),7,13
1,8:33.0,Turnover by R. Gay (bad pass; steal by K. Middleton),,7,13
1,8:28.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by K. Middleton),7,15
1,8:09.0,L. Aldridge misses 2-pt jump shot from 18 ft,,7,15
1,8:05.0,,Defensive rebound by E. Bledsoe,7,15
1,7:56.0,,E. Bledsoe makes 2-pt jump shot from 12 ft,7,17
1,7:37.0,D. DeRozan misses 2-pt jump shot from 20 ft,,7,17
1,7:35.0,,Defensive rebound by B. Lopez,7,17
