QUARTER,TIME_REMAINING,PORTLAND_ACTION,CHICAGO_ACTION,PORTLAND_SCORE,CHICAGO_SCORE
1,11:45.0,,W. Selden misses 3-pt jump shot from 23 ft,0,0
1,11:40.0,Defensive rebound by J. Layman,,0,0
1,11:27.0,A. Aminu makes 2-pt layup from 1 ft (assist by M. Harkless),,2,0
1,11:13.0,,S. Harrison makes 2-pt layup from 1 ft (assist by R. Lopez),2,2
1,10:46.0,A. Aminu misses 3-pt jump shot from 23 ft,,2,2
1,10:43.0,Offensive rebound by D. Lillard,,2,2
1,10:42.0,Personal foul by A. Blakeney (drawn by J. Layman),,2,2
1,10:36.0,Shooting foul by W. Selden (drawn by E. Freedom),,2,2
1,10:36.0,E. Freedom makes free throw 1 of 2,,3,2
1,10:36.0,E. Freedom misses free throw 2 of 2,,3,2
1,10:34.0,,Defensive rebound by W. Selden,3,2
1,10:15.0,,W. Selden misses 2-pt jump shot from 21 ft,3,2
1,10:12.0,Defensive rebound by D. Lillard,,3,2
1,10:03.0,Turnover by M. Harkless (bad pass; steal by W. Selden),,3,2
1,10:01.0,,Personal foul by M. Harkless (drawn by W. Selden),3,2
1,9:50.0,,A. Blakeney makes 2-pt jump shot from 7 ft (assist by R. Lopez),3,4
1,9:33.0,M. Harkless misses 3-pt jump shot from 26 ft,,3,4
1,9:33.0,Offensive rebound by Team,,3,4
1,9:33.0,,Loose ball foul by R. Lopez (drawn by E. Freedom),3,4
1,9:26.0,D. Lillard misses 3-pt jump shot from 27 ft,,3,4
1,9:20.0,,Defensive rebound by B. Sampson,3,4
1,9:09.0,,R. Lopez misses 2-pt hook shot from 5 ft,3,4
1,9:07.0,Defensive rebound by M. Harkless,,3,4
1,8:58.0,D. Lillard misses 2-pt layup from 2 ft,,3,4
1,8:56.0,,Defensive rebound by S. Harrison,3,4
1,8:49.0,,W. Selden misses 3-pt jump shot from 25 ft,3,4
1,8:45.0,Defensive rebound by A. Aminu,,3,4
1,8:38.0,Offensive foul by E. Freedom (drawn by B. Sampson),,3,4
1,8:38.0,Turnover by E. Freedom (offensive foul),,3,4
1,8:22.0,,R. Lopez misses 2-pt hook shot from 4 ft,3,4
1,8:20.0,Defensive rebound by A. Aminu,,3,4
1,8:10.0,E. Freedom makes 2-pt jump shot from 13 ft (assist by J. Layman),,5,4
1,7:48.0,,Shooting foul by J. Layman (drawn by A. Blakeney),5,4
1,7:48.0,,A. Blakeney makes free throw 1 of 2,5,5
1,7:48.0,,A. Blakeney misses free throw 2 of 2,5,5
1,7:46.0,Defensive rebound by E. Freedom,,5,5
1,7:31.0,M. Harkless misses 2-pt hook shot from 3 ft,,5,5
1,7:30.0,Offensive rebound by M. Harkless,,5,5
1,7:28.0,M. Harkless makes 2-pt layup from 2 ft,,7,5
1,7:15.0,,S. Harrison misses 2-pt layup from 2 ft,7,5
1,7:13.0,Defensive rebound by D. Lillard,,7,5
1,7:04.0,E. Freedom misses 2-pt layup from 1 ft,,7,5
1,7:01.0,Offensive rebound by M. Harkless,,7,5
1,6:50.0,M. Harkless misses 2-pt jump shot from 19 ft,,7,5
1,6:48.0,Offensive rebound by J. Layman,,7,5
1,6:48.0,Shooting foul by B. Sampson (drawn by J. Layman),,7,5
1,6:48.0,,Chicago full timeout,7,5
1,6:48.0,J. Layman misses free throw 1 of 2,,7,5
1,6:48.0,Offensive rebound by Team,,7,5
1,6:48.0,J. Layman makes free throw 2 of 2,,8,5
1,6:36.0,,B. Sampson misses 3-pt jump shot from 26 ft,8,5
1,6:33.0,Defensive rebound by D. Lillard,,8,5
1,6:22.0,A. Aminu makes 2-pt layup from 2 ft (assist by E. Freedom),,10,5
1,6:00.0,,W. Selden makes 2-pt jump shot from 5 ft (assist by R. Lopez),10,7
1,5:44.0,D. Lillard misses 2-pt jump shot from 22 ft,,10,7
1,5:41.0,,Defensive rebound by W. Selden,10,7
1,5:25.0,,Turnover by A. Blakeney (bad pass; steal by J. Layman),10,7
1,5:09.0,D. Lillard misses 2-pt jump shot from 9 ft,,10,7
1,5:08.0,,Defensive rebound by R. Lopez,10,7
1,4:57.0,,S. Harrison misses 2-pt layup from 2 ft,10,7
1,4:56.0,,Offensive rebound by S. Harrison,10,7
1,4:51.0,,A. Blakeney misses 3-pt jump shot from 26 ft,10,7
1,4:48.0,Defensive rebound by M. Harkless,,10,7
1,4:30.0,E. Freedom makes 2-pt hook shot from 7 ft,,12,7
1,4:18.0,,S. Harrison misses 2-pt layup from 2 ft,12,7
1,4:15.0,,Offensive rebound by S. Harrison,12,7
1,4:10.0,,S. Harrison makes 2-pt layup from 1 ft,12,9
1,3:53.0,E. Freedom makes 2-pt jump shot from 15 ft (assist by D. Lillard),,14,9
1,3:32.0,,A. Blakeney misses 2-pt layup from 2 ft,14,9
1,3:31.0,Defensive rebound by A. Aminu,,14,9
1,3:22.0,M. Harkless misses 2-pt hook shot from 3 ft,,14,9
1,3:20.0,,Defensive rebound by W. Selden,14,9
1,3:15.0,,W. Selden misses 2-pt jump shot from 5 ft,14,9
1,3:13.0,,Offensive rebound by W. Selden,14,9
1,3:12.0,,W. Selden misses 2-pt layup from 2 ft,14,9
1,3:12.0,,Offensive rebound by W. Selden,14,9
1,3:12.0,,W. Selden misses 2-pt layup from 1 ft,14,9
1,3:12.0,Defensive rebound by A. Aminu,,14,9
1,3:12.0,Personal foul by W. Selden (drawn by A. Aminu),,14,9
1,3:12.0,A. Aminu makes free throw 1 of 2,,15,9
1,3:12.0,S. Curry enters the game for M. Harkless,,15,9
1,3:12.0,R. Hood enters the game for E. Freedom,,15,9
1,3:12.0,M. Leonard enters the game for J. Layman,,15,9
1,3:12.0,,R. Arcidiacono enters the game for S. Harrison,15,9
1,3:12.0,,T. Luwawu-Cabarrot enters the game for W. Selden,15,9
1,3:12.0,A. Aminu makes free throw 2 of 2,,16,9
1,2:50.0,,R. Lopez misses 2-pt hook shot from 4 ft,16,9
1,2:49.0,Defensive rebound by M. Leonard,,16,9
1,2:41.0,D. Lillard misses 3-pt jump shot from 26 ft,,16,9
1,2:38.0,,Defensive rebound by A. Blakeney,16,9
1,2:30.0,,B. Sampson misses 3-pt jump shot from 23 ft,16,9
1,2:30.0,Defensive rebound by Team,,16,9
1,2:30.0,,Loose ball foul by R. Lopez (drawn by M. Leonard),16,9
1,2:30.0,Portland full timeout,,16,9
1,2:30.0,Z. Collins enters the game for A. Aminu,,16,9
