QUARTER,TIME_REMAINING,DENVER_ACTION,PORTLAND_ACTION,DENVER_SCORE,PORTLAND_SCORE
1,11:37.0,,M. Harkless misses 2-pt layup from 2 ft,0,0
1,11:34.0,Defensive rebound by G. Harris,,0,0
1,11:19.0,Turnover by N. Jokić (bad pass; steal by M. Harkless),,0,0
1,11:16.0,,M. Harkless makes 2-pt dunk at rim (assist by A. Aminu),0,2
1,10:57.0,T. Craig makes 2-pt layup from 1 ft (assist by N. Jokić),,2,2
1,10:42.0,,A. Aminu misses 2-pt jump shot from 6 ft (block by P. Millsap),2,2
1,10:40.0,,Offensive rebound by A. Aminu,2,2
1,10:35.0,,Turnover by E. Freedom (bad pass),2,2
1,10:23.0,Shooting foul by C. McCollum (drawn by G. Harris),,2,2
1,10:23.0,G. Harris makes free throw 1 of 2,,3,2
1,10:23.0,G. Harris makes free throw 2 of 2,,4,2
1,10:09.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by D. Lillard),4,5
1,9:50.0,P. Millsap misses 2-pt jump shot from 6 ft,,4,5
1,9:46.0,Offensive rebound by N. Jokić,,4,5
1,9:46.0,N. Jokić makes 2-pt layup at rim,,6,5
1,9:38.0,,D. Lillard misses 2-pt jump shot from 18 ft,6,5
1,9:36.0,Defensive rebound by J. Murray,,6,5
1,9:20.0,J. Murray makes 2-pt jump shot from 7 ft (assist by N. Jokić),,8,5
1,9:05.0,,C. McCollum misses 3-pt jump shot from 25 ft,8,5
1,9:02.0,Defensive rebound by J. Murray,,8,5
1,8:55.0,J. Murray misses 3-pt jump shot from 25 ft,,8,5
1,8:53.0,,Defensive rebound by E. Freedom,8,5
1,8:45.0,,D. Lillard misses 3-pt jump shot from 27 ft,8,5
1,8:44.0,Defensive rebound by N. Jokić,,8,5
1,8:34.0,N. Jokić makes 2-pt jump shot from 5 ft,,10,5
1,8:22.0,,M. Harkless misses 2-pt hook shot from 4 ft,10,5
1,8:21.0,,Offensive rebound by E. Freedom,10,5
1,8:20.0,,E. Freedom misses 2-pt layup from 2 ft,10,5
1,8:19.0,,Offensive rebound by M. Harkless,10,5
1,8:15.0,,C. McCollum misses 2-pt jump shot from 6 ft,10,5
1,8:11.0,,E. Freedom makes 2-pt layup from 1 ft,10,7
1,8:11.0,,Offensive rebound by E. Freedom,10,7
1,7:55.0,T. Craig misses 3-pt jump shot from 23 ft,,10,7
1,7:54.0,,Defensive rebound by A. Aminu,10,7
1,7:46.0,,C. McCollum misses 2-pt jump shot from 17 ft,10,7
1,7:43.0,Defensive rebound by N. Jokić,,10,7
