QUARTER,TIME_REMAINING,LA LAKERS_ACTION,ATLANTA_ACTION,LA LAKERS_SCORE,ATLANTA_SCORE
1,11:48.0,K. Kuzma misses 2-pt layup from 1 ft,,0,0
1,11:45.0,,Defensive rebound by T. Young,0,0
1,11:36.0,,T. Young misses 2-pt jump shot from 12 ft,0,0
1,11:31.0,Defensive rebound by J. McGee,,0,0
1,11:26.0,B. Ingram makes 2-pt layup at rim,,2,0
1,11:14.0,,Personal foul by J. McGee (drawn by J. Collins),2,0
1,11:11.0,,J. Collins makes 3-pt jump shot from 25 ft (assist by T. Young),2,3
1,10:53.0,R. Bullock makes 3-pt jump shot from 25 ft,,5,3
1,10:40.0,,J. Collins makes 2-pt jump shot from 10 ft (assist by T. Young),5,5
1,10:25.0,B. Ingram makes 2-pt layup from 3 ft,,7,5
1,10:01.0,,J. Collins misses 2-pt jump shot from 10 ft,7,5
1,10:01.0,,Offensive rebound by Team,7,5
1,10:01.0,Loose ball foul by B. Ingram (drawn by D. Dedmon),,7,5
1,9:57.0,,J. Collins makes 3-pt jump shot from 25 ft (assist by D. Dedmon),7,8
1,9:36.0,Turnover by B. Ingram (traveling),,7,8
1,9:29.0,,T. Young misses 2-pt jump shot from 14 ft,7,8
1,9:28.0,Defensive rebound by B. Ingram,,7,8
1,9:28.0,Personal foul by T. Young (drawn by B. Ingram),,7,8
1,9:19.0,R. Bullock misses 3-pt jump shot from 26 ft,,7,8
1,9:16.0,,Defensive rebound by J. Collins,7,8
1,9:09.0,,J. Collins misses 2-pt layup from 1 ft,7,8
1,9:06.0,Defensive rebound by L. James,,7,8
1,9:02.0,L. James makes 2-pt layup from 1 ft,,9,8
1,8:45.0,,T. Prince misses 3-pt jump shot from 25 ft,9,8
1,8:41.0,Defensive rebound by J. McGee,,9,8
1,8:32.0,Shooting foul by J. Collins (drawn by J. McGee),,9,8
1,8:32.0,J. McGee makes free throw 1 of 2,,10,8
1,8:32.0,J. McGee makes free throw 2 of 2,,11,8
1,8:20.0,,T. Young misses 2-pt jump shot from 14 ft,11,8
1,8:16.0,Defensive rebound by J. McGee,,11,8
1,7:59.0,K. Kuzma misses 3-pt jump shot from 25 ft,,11,8
1,7:56.0,,Defensive rebound by J. Collins,11,8
1,7:50.0,,D. Dedmon misses 3-pt jump shot from 25 ft,11,8
1,7:47.0,Defensive rebound by R. Bullock,,11,8
1,7:43.0,Personal foul by T. Prince (drawn by K. Kuzma),,11,8
1,7:39.0,B. Ingram makes 2-pt layup from 1 ft (assist by L. James),,13,8
1,7:39.0,Shooting foul by K. Huerter (drawn by B. Ingram),,13,8
1,7:39.0,B. Ingram makes free throw 1 of 1,,14,8
1,7:20.0,,K. Huerter makes 2-pt jump shot from 15 ft (assist by J. Collins),14,10
1,7:11.0,Turnover by B. Ingram (lost ball; steal by K. Huerter),,14,10
1,7:04.0,,K. Huerter misses 3-pt jump shot from 25 ft,14,10
1,7:00.0,Defensive rebound by L. James,,14,10
1,6:53.0,,Atlanta full timeout,14,10
1,6:50.0,R. Bullock makes 2-pt layup from 1 ft (assist by L. James),,16,10
1,6:32.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by T. Young),16,13
1,6:32.0,,A. Len enters the game for D. Dedmon,16,13
1,6:25.0,K. Kuzma misses 2-pt jump shot from 14 ft,,16,13
1,6:22.0,,Defensive rebound by T. Young,16,13
1,6:15.0,,T. Young misses 2-pt jump shot from 21 ft,16,13
1,6:13.0,Defensive rebound by B. Ingram,,16,13
1,6:08.0,K. Kuzma misses 3-pt jump shot from 23 ft,,16,13
1,6:03.0,Offensive rebound by B. Ingram,,16,13
1,6:00.0,R. Bullock makes 3-pt jump shot from 22 ft (assist by L. James),,19,13
1,5:40.0,,K. Huerter misses 2-pt layup from 2 ft,19,13
1,5:40.0,Defensive rebound by Team,,19,13
1,5:40.0,,Loose ball foul by A. Len (drawn by J. McGee),19,13
1,5:40.0,J. McGee misses free throw 1 of 2,,19,13
1,5:40.0,Offensive rebound by Team,,19,13
1,5:40.0,J. McGee misses free throw 2 of 2,,19,13
1,5:38.0,,Defensive rebound by A. Len,19,13
1,5:29.0,,A. Len makes 3-pt jump shot from 25 ft (assist by T. Young),19,16
1,5:19.0,L. James misses 2-pt jump shot from 22 ft,,19,16
1,5:15.0,,Defensive rebound by T. Young,19,16
