QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DALLAS_ACTION,SACRAMENTO_SCORE,DALLAS_SCORE
1,11:44.0,,J. Brunson misses 2-pt layup from 3 ft,0,0
1,11:42.0,Defensive rebound by W. Cauley-Stein,,0,0
1,11:35.0,B. Hield misses 3-pt jump shot from 23 ft,,0,0
1,11:32.0,,Defensive rebound by L. Dončić,0,0
1,11:26.0,,Personal foul by N. Bjelica (drawn by L. Dončić),0,0
1,11:17.0,,L. Dončić makes 2-pt hook shot from 3 ft (assist by J. Brunson),0,2
1,10:56.0,N. Bjelica misses 2-pt layup from 4 ft (block by D. Powell),,0,2
1,10:53.0,Offensive rebound by N. Bjelica,,0,2
1,10:52.0,N. Bjelica makes 2-pt hook shot from 3 ft,,2,2
1,10:38.0,,D. Powell makes 2-pt dunk from 1 ft (assist by L. Dončić),2,4
1,10:27.0,D. Fox misses 2-pt layup from 1 ft,,2,4
1,10:24.0,,Defensive rebound by D. Nowitzki,2,4
1,10:18.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,2,4
1,10:14.0,Defensive rebound by B. Hield,,2,4
1,10:01.0,N. Bjelica makes 2-pt hook shot from 6 ft,,4,4
1,9:42.0,,J. Jackson misses 3-pt jump shot from 22 ft (block by B. Hield),4,4
1,9:41.0,,Offensive rebound by Team,4,4
1,9:36.0,,Turnover by L. Dončić (step out of bounds),4,4
1,9:23.0,D. Fox misses 2-pt jump shot from 2 ft,,4,4
1,9:21.0,Offensive rebound by D. Fox,,4,4
1,9:20.0,D. Fox makes 2-pt layup at rim,,6,4
1,8:59.0,,D. Nowitzki misses 2-pt jump shot from 15 ft,6,4
1,8:56.0,Defensive rebound by B. Hield,,6,4
1,8:51.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by B. Hield),,9,4
1,8:30.0,,J. Brunson makes 2-pt jump shot from 17 ft,9,6
1,8:19.0,D. Fox makes 2-pt layup from 1 ft,,11,6
1,8:19.0,Shooting foul by D. Nowitzki (drawn by D. Fox),,11,6
1,8:19.0,D. Fox makes free throw 1 of 1,,12,6
