QUARTER,TIME_REMAINING,INDIANA_ACTION,TORONTO_ACTION,INDIANA_SCORE,TORONTO_SCORE
1,11:45.0,B. Bogdanović misses 2-pt layup from 2 ft,,0,0
1,11:43.0,Offensive rebound by B. Bogdanović,,0,0
1,11:43.0,B. Bogdanović misses 2-pt layup from 2 ft,,0,0
1,11:43.0,Offensive rebound by B. Bogdanović,,0,0
1,11:43.0,B. Bogdanović makes 2-pt layup at rim,,2,0
1,11:43.0,Shooting foul by D. Green (drawn by B. Bogdanović),,2,0
1,11:43.0,B. Bogdanović misses free throw 1 of 1,,2,0
1,11:36.0,,Defensive rebound by S. Ibaka,2,0
1,11:30.0,,Turnover by S. Ibaka (out of bounds lost ball),2,0
1,11:18.0,V. Oladipo makes 2-pt jump shot from 20 ft,,4,0
1,11:01.0,,S. Ibaka makes 2-pt jump shot from 20 ft (assist by F. VanVleet),4,2
1,10:43.0,T. Young makes 2-pt jump shot from 18 ft,,6,2
1,10:24.0,,S. Ibaka makes 2-pt hook shot from 3 ft (assist by D. Green),6,4
1,10:12.0,D. Collison misses 2-pt layup from 2 ft,,6,4
1,10:12.0,,Defensive rebound by P. Siakam,6,4
1,10:06.0,,D. Green misses 3-pt jump shot from 26 ft,6,4
1,10:04.0,,Offensive rebound by P. Siakam,6,4
1,10:02.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by P. Siakam),6,7
1,9:41.0,D. Collison makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,9,7
1,9:25.0,,D. Green makes 3-pt jump shot from 22 ft (assist by F. VanVleet),9,10
1,9:11.0,Offensive foul by T. Young (drawn by K. Lowry),,9,10
1,9:11.0,Turnover by T. Young (offensive foul),,9,10
1,9:01.0,,K. Lowry makes 2-pt jump shot from 3 ft (assist by P. Siakam),9,12
1,9:01.0,,Shooting foul by V. Oladipo (drawn by K. Lowry),9,12
1,9:01.0,,K. Lowry makes free throw 1 of 1,9,13
1,8:48.0,D. Sabonis misses 2-pt layup from 3 ft,,9,13
1,8:46.0,,Defensive rebound by K. Lowry,9,13
1,8:41.0,,F. VanVleet misses 3-pt jump shot from 25 ft,9,13
1,8:38.0,,Offensive rebound by P. Siakam,9,13
