QUARTER,TIME_REMAINING,PORTLAND_ACTION,DENVER_ACTION,PORTLAND_SCORE,DENVER_SCORE
1,11:36.0,,N. Jokić makes 2-pt jump shot from 15 ft (assist by W. Barton),0,2
1,11:14.0,E. Freedom makes 2-pt layup from 1 ft (assist by M. Harkless),,2,2
1,10:59.0,,N. Jokić misses 2-pt hook shot from 5 ft,2,2
1,10:56.0,Defensive rebound by A. Aminu,,2,2
1,10:48.0,Shooting foul by P. Millsap (drawn by A. Aminu),,2,2
1,10:48.0,A. Aminu makes free throw 1 of 2,,3,2
1,10:48.0,A. Aminu makes free throw 2 of 2,,4,2
1,10:29.0,,G. Harris misses 2-pt jump shot from 6 ft,4,2
1,10:26.0,Defensive rebound by A. Aminu,,4,2
1,10:17.0,Turnover by E. Freedom (lost ball; steal by G. Harris),,4,2
1,10:11.0,,W. Barton misses 3-pt jump shot from 23 ft,4,2
1,10:08.0,Defensive rebound by E. Freedom,,4,2
1,9:54.0,E. Freedom makes 2-pt layup from 2 ft (assist by D. Lillard),,6,2
1,9:37.0,,P. Millsap makes 2-pt layup from 1 ft (assist by N. Jokić),6,4
1,9:15.0,A. Aminu makes 3-pt jump shot from 23 ft (assist by M. Harkless),,9,4
1,8:55.0,,N. Jokić makes 2-pt layup from 2 ft (assist by J. Murray),9,6
1,8:33.0,R. Hood makes 2-pt jump shot from 13 ft (assist by A. Aminu),,11,6
1,8:20.0,,J. Murray makes 2-pt jump shot from 6 ft (assist by N. Jokić),11,8
1,8:06.0,D. Lillard misses 2-pt jump shot from 9 ft,,11,8
1,8:04.0,,Defensive rebound by N. Jokić,11,8
1,7:55.0,,J. Murray misses 2-pt jump shot from 14 ft,11,8
1,7:51.0,Defensive rebound by R. Hood,,11,8
1,7:43.0,M. Harkless makes 3-pt jump shot from 25 ft,,14,8
1,7:21.0,,W. Barton misses 3-pt jump shot from 25 ft,14,8
1,7:19.0,Defensive rebound by A. Aminu,,14,8
1,7:07.0,D. Lillard misses 2-pt layup from 2 ft,,14,8
1,7:06.0,Offensive rebound by E. Freedom,,14,8
1,7:06.0,E. Freedom misses 2-pt layup from 1 ft,,14,8
1,7:05.0,Offensive rebound by E. Freedom,,14,8
1,7:04.0,E. Freedom misses 2-pt layup from 1 ft,,14,8
1,7:02.0,,Defensive rebound by P. Millsap,14,8
