QUARTER,TIME_REMAINING,TORONTO_ACTION,PHILADELPHIA_ACTION,TORONTO_SCORE,PHILADELPHIA_SCORE
1,11:44.0,,J. Butler misses 2-pt jump shot from 20 ft,0,0
1,11:42.0,,Offensive rebound by J. Embiid,0,0
1,11:41.0,,J. Embiid makes 2-pt layup from 1 ft,0,2
1,11:20.0,K. Lowry misses 3-pt jump shot from 25 ft,,0,2
1,11:19.0,,Defensive rebound by J. Embiid,0,2
1,11:11.0,,J. Butler makes 2-pt layup at rim (assist by B. Simmons),0,4
1,10:51.0,D. Green makes 2-pt jump shot from 20 ft (assist by S. Ibaka),,2,4
1,10:37.0,,J. Embiid misses 3-pt jump shot from 26 ft,2,4
1,10:35.0,Defensive rebound by K. Leonard,,2,4
1,10:25.0,P. Siakam misses 3-pt jump shot from 26 ft,,2,4
1,10:24.0,,Defensive rebound by B. Simmons,2,4
1,9:59.0,,B. Simmons misses 2-pt jump shot from 3 ft,2,4
1,9:59.0,Defensive rebound by S. Ibaka,,2,4
1,9:48.0,S. Ibaka misses 2-pt hook shot from 7 ft,,2,4
1,9:46.0,,Defensive rebound by J. Embiid,2,4
1,9:35.0,,Turnover by B. Simmons (3 sec),2,4
1,9:14.0,K. Lowry makes 2-pt layup from 1 ft,,4,4
1,9:06.0,,Turnover by M. Muscala (traveling),4,4
1,8:57.0,K. Leonard makes 2-pt hook shot from 12 ft,,6,4
1,8:57.0,Shooting foul by M. Muscala (drawn by K. Leonard),,6,4
1,8:57.0,K. Leonard makes free throw 1 of 1,,7,4
1,8:46.0,,J. Embiid makes 2-pt jump shot from 5 ft (assist by J. Butler),7,6
1,8:35.0,S. Ibaka makes 2-pt jump shot from 5 ft (assist by K. Lowry),,9,6
1,8:24.0,,B. Simmons makes 2-pt layup from 2 ft,9,8
1,8:09.0,P. Siakam misses 2-pt hook shot from 3 ft,,9,8
1,8:06.0,,Defensive rebound by M. Muscala,9,8
1,7:45.0,,J. Butler misses 2-pt jump shot from 21 ft,9,8
1,7:44.0,,Offensive rebound by Team,9,8
1,7:44.0,Loose ball foul by S. Ibaka (drawn by J. Embiid),,9,8
1,7:34.0,,B. Simmons misses 2-pt hook shot from 3 ft,9,8
1,7:33.0,Defensive rebound by Team,,9,8
1,7:24.0,S. Ibaka makes 2-pt jump shot from 6 ft (assist by K. Lowry),,11,8
1,7:12.0,,Shooting foul by P. Siakam (drawn by J. Butler),11,8
1,7:12.0,,J. Butler makes free throw 1 of 2,11,9
1,7:12.0,,J. Butler makes free throw 2 of 2,11,10
1,6:54.0,P. Siakam makes 3-pt jump shot from 25 ft (assist by K. Lowry),,14,10
1,6:52.0,,Philadelphia full timeout,14,10
1,6:32.0,,Turnover by J. Embiid (bad pass; steal by K. Leonard),14,10
1,6:20.0,S. Ibaka makes 2-pt jump shot from 7 ft (assist by D. Green),,16,10
1,6:03.0,,L. Shamet misses 3-pt jump shot from 26 ft,16,10
1,6:01.0,Defensive rebound by Team,,16,10
1,6:01.0,,J. Bolden enters the game for J. Embiid,16,10
1,6:01.0,,F. Korkmaz enters the game for M. Muscala,16,10
1,6:01.0,,T. McConnell enters the game for L. Shamet,16,10
1,5:49.0,Offensive foul by P. Siakam (drawn by T. McConnell),,16,10
1,5:49.0,Turnover by P. Siakam (offensive foul),,16,10
1,5:49.0,N. Powell enters the game for P. Siakam,,16,10
1,5:32.0,,J. Butler misses 2-pt jump shot from 10 ft,16,10
1,5:28.0,,Offensive rebound by J. Bolden,16,10
1,5:26.0,,B. Simmons misses 2-pt jump shot from 1 ft,16,10
1,5:25.0,Defensive rebound by D. Green,,16,10
1,5:18.0,N. Powell makes 3-pt jump shot from 27 ft (assist by D. Green),,19,10
1,5:09.0,,Shooting foul by D. Green (drawn by J. Butler),19,10
1,5:09.0,,J. Butler makes free throw 1 of 2,19,11
1,5:09.0,,J. Butler makes free throw 2 of 2,19,12
1,4:53.0,Shooting foul by J. Bolden (drawn by K. Leonard),,19,12
1,4:53.0,K. Leonard makes free throw 1 of 2,,20,12
1,4:53.0,G. Monroe enters the game for S. Ibaka,,20,12
1,4:53.0,K. Leonard makes free throw 2 of 2,,21,12
1,4:37.0,,T. McConnell makes 2-pt jump shot from 7 ft (assist by J. Bolden),21,14
1,4:30.0,D. Green misses 3-pt jump shot from 28 ft,,21,14
1,4:26.0,,Defensive rebound by B. Simmons,21,14
1,4:23.0,,Turnover by B. Simmons (bad pass; steal by K. Lowry),21,14
1,4:18.0,K. Lowry makes 2-pt jump shot from 5 ft,,23,14
1,4:12.0,,F. Korkmaz makes 2-pt dunk at rim (assist by B. Simmons),23,16
1,3:58.0,K. Leonard makes 3-pt jump shot from 26 ft (assist by D. Green),,26,16
1,3:44.0,,Turnover by B. Simmons (traveling),26,16
1,3:44.0,F. VanVleet enters the game for K. Lowry,,26,16
1,3:27.0,N. Powell makes 2-pt jump shot from 2 ft,,28,16
1,3:17.0,,J. Bolden makes 3-pt jump shot from 28 ft (assist by T. McConnell),28,19
1,3:07.0,K. Leonard misses 2-pt layup from 3 ft,,28,19
1,3:06.0,Offensive rebound by G. Monroe,,28,19
1,3:06.0,G. Monroe misses 2-pt layup from 3 ft,,28,19
1,3:05.0,,Defensive rebound by T. McConnell,28,19
1,2:59.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by T. McConnell),28,21
1,2:59.0,Toronto full timeout,,28,21
1,2:59.0,S. Ibaka enters the game for D. Green,,28,21
1,2:59.0,D. Wright enters the game for G. Monroe,,28,21
1,2:59.0,,J. Embiid enters the game for J. Bolden,28,21
1,2:59.0,,M. Muscala enters the game for B. Simmons,28,21
1,2:46.0,Shooting foul by F. Korkmaz (drawn by K. Leonard),,28,21
1,2:46.0,K. Leonard makes free throw 1 of 2,,29,21
1,2:46.0,K. Leonard makes free throw 2 of 2,,30,21
1,2:34.0,,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by J. Embiid),30,24
1,2:18.0,Personal foul by J. Embiid (drawn by F. VanVleet),,30,24
1,2:18.0,O. Anunoby enters the game for K. Leonard,,30,24
1,2:11.0,Personal foul by T. McConnell (drawn by N. Powell),,30,24
1,2:11.0,N. Powell makes free throw 1 of 2,,31,24
1,2:11.0,,L. Shamet enters the game for J. Butler,31,24
1,2:11.0,N. Powell makes free throw 2 of 2,,32,24
1,2:01.0,,Personal foul by N. Powell (drawn by J. Embiid),32,24
1,1:51.0,,J. Embiid makes 2-pt hook shot from 3 ft (assist by M. Muscala),32,26
1,1:36.0,D. Wright misses 2-pt layup from 4 ft,,32,26
1,1:34.0,,Defensive rebound by T. McConnell,32,26
1,1:32.0,,Turnover by T. McConnell (lost ball; steal by D. Wright),32,26
1,1:29.0,Shooting foul by T. McConnell (drawn by D. Wright),,32,26
1,1:29.0,D. Wright makes free throw 1 of 2,,33,26
1,1:29.0,D. Wright makes free throw 2 of 2,,34,26
1,1:10.0,,F. Korkmaz misses 2-pt layup from 3 ft,34,26
1,1:05.0,,Offensive rebound by J. Embiid,34,26
1,1:05.0,,J. Embiid makes 2-pt layup at rim,34,28
1,0:55.0,S. Ibaka makes 2-pt jump shot from 11 ft (assist by F. VanVleet),,36,28
1,0:29.0,,J. Embiid misses 2-pt jump shot from 8 ft,36,28
1,0:29.0,Defensive rebound by Team,,36,28
1,0:29.0,,Loose ball foul by F. Korkmaz (drawn by D. Wright),36,28
1,0:29.0,D. Wright makes free throw 1 of 2,,37,28
1,0:29.0,D. Wright makes free throw 2 of 2,,38,28
1,0:19.0,,T. McConnell misses 2-pt jump shot from 12 ft,38,28
1,0:17.0,Defensive rebound by D. Wright,,38,28
1,0:02.0,D. Wright makes 2-pt layup from 2 ft,,40,28
1,0:01.0,,F. Korkmaz misses 3-pt jump shot from 46 ft,40,28
1,0:01.0,,Offensive rebound by Team,40,28
2,11:47.0,S. Ibaka makes 2-pt dunk from 2 ft (assist by O. Anunoby),,42,28
2,11:21.0,,J. Embiid misses 2-pt jump shot from 13 ft,42,28
2,11:18.0,Defensive rebound by O. Anunoby,,42,28
2,11:12.0,O. Anunoby makes 2-pt jump shot from 1 ft,,44,28
2,11:11.0,,Philadelphia full timeout,44,28
2,11:11.0,,B. Simmons enters the game for J. Bolden,44,28
2,10:55.0,,J. Butler makes 2-pt layup from 1 ft,44,30
2,10:28.0,D. Wright misses 3-pt jump shot from 28 ft,,44,30
2,10:24.0,Offensive rebound by O. Anunoby,,44,30
2,10:23.0,Turnover by O. Anunoby (lost ball; steal by F. Korkmaz),,44,30
2,10:22.0,,Shooting foul by N. Powell (drawn by F. Korkmaz),44,30
2,10:22.0,,F. Korkmaz makes free throw 1 of 2,44,31
2,10:22.0,K. Lowry enters the game for N. Powell,,44,31
2,10:22.0,,F. Korkmaz makes free throw 2 of 2,44,32
2,10:02.0,D. Wright misses 2-pt layup from 3 ft,,44,32
2,10:00.0,,Defensive rebound by Team,44,32
2,10:00.0,Loose ball foul by O. Anunoby (drawn by J. Butler),,44,32
2,9:45.0,,J. Butler misses 3-pt jump shot from 25 ft,44,32
2,9:41.0,,Offensive rebound by B. Simmons,44,32
2,9:39.0,,B. Simmons misses 2-pt jump shot from 9 ft,44,32
2,9:37.0,Defensive rebound by S. Ibaka,,44,32
2,9:32.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by F. VanVleet),,47,32
