QUARTER,TIME_REMAINING,INDIANA_ACTION,NEW YORK_ACTION,INDIANA_SCORE,NEW YORK_SCORE
1,11:37.0,V. Oladipo misses 3-pt jump shot from 25 ft,,0,0
1,11:35.0,,Defensive rebound by N. Vonleh,0,0
1,11:13.0,,T. Hardaway makes 3-pt jump shot from 30 ft (assist by D. Dotson),0,3
1,10:58.0,B. Bogdanović misses 2-pt layup from 2 ft (block by N. Vonleh),,0,3
1,10:56.0,,Defensive rebound by F. Ntilikina,0,3
1,10:52.0,,Shooting foul by V. Oladipo (drawn by N. Vonleh),0,3
1,10:52.0,,N. Vonleh makes free throw 1 of 2,0,4
1,10:52.0,,N. Vonleh makes free throw 2 of 2,0,5
1,10:37.0,Personal foul by T. Hardaway (drawn by M. Turner),,0,5
1,10:24.0,V. Oladipo makes 2-pt jump shot from 18 ft,,2,5
1,10:03.0,,T. Hardaway misses 2-pt layup from 1 ft (block by T. Young),2,5
1,10:01.0,Defensive rebound by V. Oladipo,,2,5
1,9:55.0,T. Young misses 3-pt jump shot from 22 ft,,2,5
1,9:53.0,,Defensive rebound by M. Robinson,2,5
1,9:45.0,,M. Robinson misses 2-pt layup from 1 ft,2,5
1,9:43.0,Defensive rebound by M. Turner,,2,5
1,9:41.0,,Violation by Team (kicked ball),2,5
1,9:21.0,M. Turner misses 2-pt jump shot from 6 ft,,2,5
1,9:19.0,,Defensive rebound by N. Vonleh,2,5
1,9:16.0,,F. Ntilikina misses 3-pt jump shot from 25 ft,2,5
1,9:14.0,Defensive rebound by M. Turner,,2,5
1,9:04.0,V. Oladipo makes 3-pt jump shot from 25 ft (assist by D. Collison),,5,5
1,8:45.0,,Turnover by F. Ntilikina (bad pass; steal by T. Young),5,5
1,8:42.0,Offensive foul by D. Collison (drawn by T. Hardaway),,5,5
1,8:42.0,Turnover by D. Collison (offensive foul),,5,5
1,8:28.0,,D. Dotson makes 3-pt jump shot from 26 ft (assist by T. Hardaway),5,8
1,8:06.0,D. Collison makes 2-pt layup from 1 ft,,7,8
1,7:55.0,,Turnover by T. Hardaway (bad pass; steal by D. Collison),7,8
1,7:51.0,B. Bogdanović makes 2-pt dunk at rim (assist by D. Collison),,9,8
1,7:38.0,,D. Dotson misses 3-pt jump shot from 24 ft,9,8
1,7:36.0,,Offensive rebound by N. Vonleh,9,8
1,7:32.0,,T. Hardaway makes 3-pt jump shot from 27 ft (assist by N. Vonleh),9,11
1,7:12.0,Personal foul by F. Ntilikina (drawn by T. Young),,9,11
1,7:05.0,Turnover by M. Turner (traveling),,9,11
1,6:57.0,,Turnover by N. Vonleh (traveling),9,11
1,6:57.0,,New York full timeout,9,11
1,6:35.0,M. Turner makes 2-pt hook shot from 5 ft,,11,11
1,6:18.0,,T. Hardaway makes 2-pt layup from 2 ft (assist by F. Ntilikina),11,13
1,5:59.0,M. Turner makes 2-pt layup from 2 ft (assist by D. Collison),,13,13
1,5:42.0,,Offensive foul by N. Vonleh (drawn by V. Oladipo),13,13
1,5:42.0,,Turnover by N. Vonleh (offensive foul),13,13
1,5:32.0,M. Turner makes 2-pt dunk at rim (assist by D. Collison),,15,13
1,5:22.0,,Turnover by F. Ntilikina (traveling),15,13
1,5:02.0,M. Turner misses 2-pt layup from 1 ft (block by N. Vonleh),,15,13
1,5:01.0,,Defensive rebound by Team,15,13
1,5:01.0,D. Sabonis enters the game for T. Young,,15,13
1,5:01.0,,M. Hezonja enters the game for M. Robinson,15,13
1,4:43.0,,D. Dotson misses 2-pt jump shot from 23 ft,15,13
1,4:41.0,Defensive rebound by D. Sabonis,,15,13
1,4:30.0,D. Collison misses 2-pt jump shot from 22 ft,,15,13
1,4:29.0,Offensive rebound by D. Sabonis,,15,13
1,4:28.0,D. Sabonis makes 2-pt layup from 1 ft,,17,13
1,4:22.0,,Personal foul by V. Oladipo (drawn by N. Vonleh),17,13
1,4:22.0,T. Evans enters the game for B. Bogdanović,,17,13
1,4:22.0,C. Joseph enters the game for V. Oladipo,,17,13
1,4:22.0,,E. Freedom enters the game for D. Dotson,17,13
1,4:22.0,,A. Trier enters the game for N. Vonleh,17,13
1,4:09.0,,E. Freedom misses 2-pt hook shot from 10 ft,17,13
1,4:07.0,Defensive rebound by D. Sabonis,,17,13
1,3:57.0,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),,19,13
1,3:50.0,,New York full timeout,19,13
1,3:40.0,,F. Ntilikina makes 2-pt layup from 1 ft,19,15
1,3:18.0,M. Turner misses 2-pt hook shot from 2 ft,,19,15
1,3:16.0,Offensive rebound by D. Sabonis,,19,15
1,3:10.0,D. Sabonis makes 2-pt layup from 1 ft,,21,15
1,2:59.0,,T. Hardaway misses 2-pt jump shot from 10 ft,21,15
1,2:58.0,Defensive rebound by Team,,21,15
1,2:58.0,B. Bogdanović enters the game for D. Collison,,21,15
1,2:58.0,D. McDermott enters the game for M. Turner,,21,15
1,2:43.0,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),,23,15
1,2:33.0,,E. Freedom makes 2-pt layup from 1 ft (assist by F. Ntilikina),23,17
1,2:16.0,D. Sabonis makes 2-pt layup from 1 ft,,25,17
1,2:16.0,Shooting foul by E. Freedom (drawn by D. Sabonis),,25,17
1,2:16.0,D. Sabonis makes free throw 1 of 1,,26,17
1,2:02.0,,Turnover by M. Hezonja (bad pass; steal by T. Evans),26,17
1,1:54.0,Personal foul by F. Ntilikina (drawn by D. Sabonis),,26,17
1,1:54.0,,T. Burke enters the game for T. Hardaway,26,17
1,1:54.0,,L. Thomas enters the game for F. Ntilikina,26,17
1,1:43.0,Turnover by D. Sabonis (lost ball; steal by L. Thomas),,26,17
1,1:31.0,,L. Thomas makes 2-pt layup from 3 ft (assist by E. Freedom),26,19
1,1:31.0,,Shooting foul by D. Sabonis (drawn by L. Thomas),26,19
1,1:31.0,,L. Thomas makes free throw 1 of 1,26,20
1,1:22.0,D. McDermott misses 3-pt jump shot from 24 ft,,26,20
1,1:20.0,,Defensive rebound by E. Freedom,26,20
1,1:04.0,,A. Trier makes 2-pt jump shot from 18 ft,26,22
1,0:52.0,D. Sabonis makes 2-pt hook shot from 3 ft,,28,22
1,0:43.0,,Personal foul by D. Sabonis (drawn by E. Freedom),28,22
1,0:43.0,,E. Freedom makes free throw 1 of 2,28,23
1,0:43.0,,E. Freedom misses free throw 2 of 2,28,23
1,0:41.0,Defensive rebound by D. Sabonis,,28,23
1,0:33.0,C. Joseph misses 2-pt layup from 2 ft,,28,23
1,0:31.0,,Defensive rebound by M. Hezonja,28,23
1,0:27.0,,M. Hezonja makes 2-pt layup from 3 ft,28,25
1,0:05.0,T. Evans misses 3-pt jump shot from 25 ft,,28,25
1,0:03.0,,Defensive rebound by M. Hezonja,28,25
1,0:00.0,,M. Hezonja misses 3-pt jump shot from 39 ft,28,25
1,0:00.0,,Offensive rebound by Team,28,25
2,11:41.0,,M. Hezonja misses 2-pt jump shot from 22 ft,28,25
2,11:39.0,Defensive rebound by C. Joseph,,28,25
2,11:24.0,T. Evans misses 3-pt jump shot from 25 ft,,28,25
2,11:23.0,Offensive rebound by D. Sabonis,,28,25
