QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DENVER_ACTION,SAN ANTONIO_SCORE,DENVER_SCORE
1,11:44.0,Turnover by D. White (bad pass; steal by J. Murray),,0,0
1,11:40.0,,J. Murray misses 3-pt jump shot from 25 ft,0,0
1,11:36.0,Defensive rebound by J. Poeltl,,0,0
1,11:25.0,D. White misses 2-pt layup from 3 ft,,0,0
1,11:24.0,Offensive rebound by J. Poeltl,,0,0
1,11:24.0,J. Poeltl misses 2-pt layup from 3 ft,,0,0
1,11:24.0,,Defensive rebound by W. Barton,0,0
1,11:18.0,,W. Barton misses 2-pt jump shot from 7 ft,0,0
1,11:16.0,Defensive rebound by D. DeRozan,,0,0
1,11:06.0,L. Aldridge misses 2-pt jump shot from 19 ft,,0,0
1,11:03.0,,Defensive rebound by N. Jokić,0,0
1,10:47.0,,N. Jokić makes 2-pt layup from 1 ft (assist by P. Millsap),0,2
1,10:34.0,D. DeRozan misses 2-pt jump shot from 17 ft (block by G. Harris),,0,2
1,10:32.0,Offensive rebound by D. DeRozan,,0,2
1,10:28.0,B. Forbes makes 3-pt jump shot from 24 ft (assist by D. White),,3,2
1,10:12.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),3,4
1,10:12.0,,Shooting foul by D. White (drawn by G. Harris),3,4
1,10:12.0,,G. Harris makes free throw 1 of 1,3,5
1,9:51.0,D. White makes 2-pt layup from 7 ft,,5,5
1,9:38.0,,Shooting foul by D. White (drawn by W. Barton),5,5
1,9:38.0,,W. Barton makes free throw 1 of 2,5,6
1,9:38.0,P. Mills enters the game for D. White,,5,6
1,9:38.0,,W. Barton misses free throw 2 of 2,5,6
1,9:36.0,Defensive rebound by D. DeRozan,,5,6
1,9:29.0,Shooting foul by W. Barton (drawn by D. DeRozan),,5,6
1,9:29.0,D. DeRozan makes free throw 1 of 2,,6,6
1,9:29.0,D. DeRozan misses free throw 2 of 2,,6,6
1,9:27.0,,Defensive rebound by W. Barton,6,6
1,9:13.0,,J. Murray makes 2-pt jump shot from 15 ft (assist by N. Jokić),6,8
1,8:56.0,D. DeRozan misses 2-pt jump shot from 13 ft,,6,8
1,8:54.0,,Defensive rebound by N. Jokić,6,8
1,8:43.0,,G. Harris misses 3-pt jump shot from 25 ft,6,8
1,8:39.0,Defensive rebound by B. Forbes,,6,8
1,8:33.0,B. Forbes misses 2-pt jump shot from 14 ft (block by W. Barton),,6,8
1,8:30.0,,Defensive rebound by N. Jokić,6,8
1,8:26.0,,W. Barton misses 3-pt jump shot from 25 ft,6,8
1,8:23.0,Defensive rebound by J. Poeltl,,6,8
1,8:17.0,San Antonio full timeout,,6,8
1,8:14.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by P. Mills),,9,8
1,7:48.0,,J. Murray misses 3-pt jump shot from 24 ft (block by P. Mills),9,8
1,7:46.0,,Offensive rebound by J. Murray,9,8
1,7:44.0,,J. Murray misses 2-pt jump shot from 23 ft,9,8
1,7:42.0,Defensive rebound by B. Forbes,,9,8
1,7:35.0,P. Mills misses 2-pt jump shot from 15 ft,,9,8
1,7:31.0,,Defensive rebound by G. Harris,9,8
1,7:22.0,,N. Jokić misses 2-pt hook shot from 3 ft,9,8
1,7:22.0,,Offensive rebound by N. Jokić,9,8
1,7:22.0,,Shooting foul by J. Poeltl (drawn by N. Jokić),9,8
1,7:22.0,,N. Jokić makes free throw 1 of 2,9,9
1,7:22.0,,N. Jokić makes free throw 2 of 2,9,10
1,7:05.0,D. DeRozan makes 2-pt jump shot from 18 ft,,11,10
1,6:46.0,,Personal foul by J. Poeltl (drawn by N. Jokić),11,10
1,6:36.0,,Offensive foul by N. Jokić (drawn by J. Poeltl),11,10
1,6:36.0,,Turnover by N. Jokić (offensive foul),11,10
1,6:36.0,R. Gay enters the game for J. Poeltl,,11,10
1,6:18.0,D. DeRozan misses 2-pt jump shot from 15 ft,,11,10
1,6:15.0,,Defensive rebound by W. Barton,11,10
1,6:08.0,,W. Barton makes 2-pt jump shot from 8 ft,11,12
1,5:46.0,L. Aldridge misses 2-pt jump shot from 12 ft,,11,12
1,5:43.0,,Defensive rebound by G. Harris,11,12
1,5:27.0,,W. Barton makes 2-pt jump shot from 20 ft (assist by N. Jokić),11,14
1,5:07.0,L. Aldridge makes 2-pt jump shot from 14 ft,,13,14
1,4:51.0,,P. Millsap makes 3-pt jump shot from 22 ft (assist by N. Jokić),13,17
1,4:22.0,R. Gay misses 2-pt jump shot from 11 ft,,13,17
1,4:20.0,,Defensive rebound by N. Jokić,13,17
1,4:16.0,,W. Barton misses 3-pt jump shot from 26 ft,13,17
1,4:13.0,,Offensive rebound by J. Murray,13,17
1,4:11.0,,P. Millsap misses 3-pt jump shot from 25 ft,13,17
1,4:08.0,Defensive rebound by B. Forbes,,13,17
1,4:02.0,Shooting foul by G. Harris (drawn by D. DeRozan),,13,17
1,4:02.0,D. DeRozan makes free throw 1 of 2,,14,17
1,4:02.0,M. Belinelli enters the game for B. Forbes,,14,17
1,4:02.0,,M. Morris enters the game for P. Millsap,14,17
1,4:02.0,,M. Plumlee enters the game for J. Murray,14,17
1,4:02.0,D. DeRozan makes free throw 2 of 2,,15,17
1,4:02.0,D. Bertāns enters the game for D. DeRozan,,15,17
1,3:38.0,,W. Barton misses 2-pt layup from 6 ft,15,17
1,3:36.0,Defensive rebound by R. Gay,,15,17
1,3:22.0,L. Aldridge misses 3-pt jump shot from 25 ft,,15,17
1,3:20.0,,Defensive rebound by M. Plumlee,15,17
1,3:07.0,,M. Morris misses 3-pt jump shot from 23 ft,15,17
1,3:04.0,Defensive rebound by L. Aldridge,,15,17
1,2:54.0,M. Belinelli makes 2-pt layup from 2 ft,,17,17
1,2:48.0,,Denver full timeout,17,17
1,2:48.0,,M. Beasley enters the game for G. Harris,17,17
1,2:48.0,,T. Craig enters the game for N. Jokić,17,17
1,2:48.0,,Turnover by M. Beasley (inbound),17,17
1,2:33.0,L. Aldridge misses 2-pt jump shot from 14 ft,,17,17
1,2:29.0,,Defensive rebound by W. Barton,17,17
1,2:22.0,,T. Craig misses 3-pt jump shot from 26 ft,17,17
1,2:19.0,Defensive rebound by M. Belinelli,,17,17
1,2:10.0,R. Gay makes 2-pt jump shot from 14 ft (assist by M. Belinelli),,19,17
1,1:50.0,,M. Beasley misses 2-pt jump shot from 12 ft,19,17
1,1:49.0,,Offensive rebound by M. Beasley,19,17
1,1:47.0,,M. Beasley makes 2-pt jump shot from 8 ft,19,19
1,1:34.0,M. Belinelli makes 3-pt jump shot from 23 ft (assist by P. Mills),,22,19
1,1:19.0,,Shooting foul by D. Bertāns (drawn by W. Barton),22,19
1,1:19.0,,W. Barton misses free throw 1 of 2,22,19
1,1:19.0,,Offensive rebound by Team,22,19
1,1:19.0,,W. Barton makes free throw 2 of 2,22,20
1,0:58.0,M. Belinelli misses 3-pt jump shot from 25 ft,,22,20
1,0:56.0,,Defensive rebound by Team,22,20
1,0:56.0,Loose ball foul by L. Aldridge (drawn by M. Plumlee),,22,20
1,0:56.0,,M. Plumlee misses free throw 1 of 2,22,20
1,0:56.0,,Offensive rebound by Team,22,20
1,0:56.0,,J. Murray enters the game for W. Barton,22,20
1,0:56.0,,M. Plumlee misses free throw 2 of 2,22,20
1,0:55.0,Defensive rebound by D. Bertāns,,22,20
1,0:41.0,R. Gay misses 3-pt jump shot from 24 ft,,22,20
1,0:38.0,Offensive rebound by L. Aldridge,,22,20
1,0:37.0,L. Aldridge misses 2-pt dunk from 4 ft,,22,20
1,0:37.0,Offensive rebound by L. Aldridge,,22,20
1,0:37.0,L. Aldridge makes 2-pt layup at rim,,24,20
1,0:32.0,,M. Morris misses 2-pt jump shot from 5 ft,24,20
1,0:32.0,,Offensive rebound by Team,24,20
1,0:27.0,,M. Plumlee misses 2-pt hook shot from 5 ft,24,20
1,0:27.0,,Offensive rebound by T. Craig,24,20
1,0:25.0,,T. Craig misses 2-pt layup from 3 ft,24,20
1,0:24.0,Defensive rebound by R. Gay,,24,20
1,0:09.0,Personal foul by M. Plumlee (drawn by R. Gay),,24,20
1,0:07.0,Personal foul by M. Morris (drawn by M. Belinelli),,24,20
1,0:07.0,M. Belinelli misses free throw 1 of 2,,24,20
1,0:07.0,Offensive rebound by Team,,24,20
1,0:07.0,L. Walker enters the game for D. Bertāns,,24,20
1,0:07.0,,G. Harris enters the game for T. Craig,24,20
1,0:07.0,M. Belinelli makes free throw 2 of 2,,25,20
1,0:02.0,,J. Murray misses 2-pt jump shot from 17 ft,25,20
1,0:02.0,,Offensive rebound by Team,25,20
2,11:47.0,,Shooting foul by D. Bertāns (drawn by P. Millsap),25,20
2,11:47.0,,P. Millsap makes free throw 1 of 2,25,21
2,11:47.0,,P. Millsap makes free throw 2 of 2,25,22
2,11:28.0,D. White makes 2-pt layup from 3 ft,,27,22
2,11:08.0,,M. Beasley misses 3-pt jump shot from 25 ft,27,22
2,11:05.0,Defensive rebound by M. Belinelli,,27,22
2,10:53.0,D. DeRozan makes 2-pt jump shot from 16 ft (assist by D. Bertāns),,29,22
2,10:51.0,,Denver full timeout,29,22
2,10:38.0,,P. Millsap makes 2-pt jump shot from 6 ft (assist by M. Morris),29,24
2,10:21.0,D. DeRozan makes 2-pt jump shot from 8 ft,,31,24
2,10:02.0,,P. Millsap misses 2-pt jump shot from 10 ft,31,24
2,10:00.0,,Offensive rebound by M. Plumlee,31,24
2,9:58.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by M. Plumlee),31,27
2,9:46.0,J. Poeltl makes 2-pt layup from 4 ft (assist by D. White),,33,27
2,9:33.0,,M. Plumlee makes 2-pt jump shot from 10 ft (assist by M. Morris),33,29
2,9:17.0,Personal foul by M. Morris (drawn by D. DeRozan),,33,29
2,9:17.0,B. Forbes enters the game for M. Belinelli,,33,29
2,9:17.0,R. Gay enters the game for D. Bertāns,,33,29
2,9:03.0,D. White makes 2-pt jump shot from 20 ft (assist by D. DeRozan),,35,29
2,8:37.0,,P. Millsap misses 3-pt jump shot from 25 ft,35,29
2,8:34.0,Defensive rebound by J. Poeltl,,35,29
2,8:27.0,Shooting foul by M. Plumlee (drawn by D. DeRozan),,35,29
2,8:27.0,D. DeRozan makes free throw 1 of 2,,36,29
2,8:27.0,L. Aldridge enters the game for J. Poeltl,,36,29
2,8:27.0,,G. Harris enters the game for J. Murray,36,29
2,8:27.0,,N. Jokić enters the game for M. Plumlee,36,29
2,8:27.0,D. DeRozan makes free throw 2 of 2,,37,29
2,8:17.0,,Shooting foul by L. Aldridge (drawn by M. Beasley),37,29
2,8:17.0,,M. Beasley makes free throw 1 of 2,37,30
2,8:17.0,,M. Beasley makes free throw 2 of 2,37,31
2,7:55.0,B. Forbes makes 2-pt jump shot from 11 ft,,39,31
2,7:38.0,,Turnover by P. Millsap (out of bounds lost ball),39,31
2,7:24.0,Personal foul by N. Jokić (drawn by L. Aldridge),,39,31
2,7:12.0,D. White makes 2-pt jump shot from 14 ft,,41,31
2,7:00.0,,M. Morris misses 2-pt jump shot from 15 ft,41,31
2,6:56.0,Defensive rebound by D. White,,41,31
2,6:37.0,D. White misses 2-pt layup from 4 ft,,41,31
2,6:37.0,,Defensive rebound by Team,41,31
2,6:37.0,Loose ball foul by L. Aldridge (drawn by N. Jokić),,41,31
2,6:37.0,J. Poeltl enters the game for L. Aldridge,,41,31
2,6:37.0,,W. Barton enters the game for M. Beasley,41,31
2,6:23.0,,W. Barton misses 3-pt jump shot from 25 ft,41,31
2,6:19.0,,Offensive rebound by N. Jokić,41,31
2,6:17.0,,N. Jokić misses 2-pt layup from 2 ft,41,31
2,6:17.0,Defensive rebound by J. Poeltl,,41,31
2,6:08.0,Turnover by D. White (bad pass; steal by M. Morris),,41,31
2,5:59.0,,G. Harris makes 2-pt layup from 2 ft (assist by M. Morris),41,33
2,5:57.0,San Antonio full timeout,,41,33
2,5:57.0,,J. Murray enters the game for M. Morris,41,33
2,5:40.0,J. Poeltl makes 2-pt layup from 2 ft (assist by R. Gay),,43,33
2,5:25.0,,Turnover by P. Millsap (bad pass; steal by R. Gay),43,33
2,5:21.0,B. Forbes makes 2-pt jump shot from 10 ft (assist by D. DeRozan),,45,33
2,5:07.0,,J. Murray makes 2-pt jump shot from 14 ft,45,35
2,4:47.0,D. DeRozan misses 2-pt jump shot from 13 ft (block by W. Barton),,45,35
2,4:46.0,Offensive rebound by D. DeRozan,,45,35
2,4:46.0,Turnover by D. DeRozan (out of bounds lost ball),,45,35
2,4:46.0,P. Mills enters the game for D. White,,45,35
2,4:32.0,,G. Harris misses 2-pt jump shot from 10 ft,45,35
2,4:27.0,Defensive rebound by B. Forbes,,45,35
