QUARTER,TIME_REMAINING,ORLANDO_ACTION,TORONTO_ACTION,ORLANDO_SCORE,TORONTO_SCORE
1,11:47.0,,K. Leonard makes 2-pt jump shot from 16 ft,0,2
1,11:28.0,Turnover by D. Augustin (lost ball; steal by M. Gasol),,0,2
1,11:10.0,,Turnover by D. Green (step out of bounds),0,2
1,10:54.0,Turnover by J. Isaac (lost ball; steal by M. Gasol),,0,2
1,10:54.0,,Personal foul by J. Isaac (drawn by K. Lowry),0,2
1,10:48.0,,Shooting foul by N. Vučević (drawn by K. Lowry),0,2
1,10:48.0,,K. Lowry misses free throw 1 of 2,0,2
1,10:48.0,,Offensive rebound by Team,0,2
1,10:48.0,,K. Lowry makes free throw 2 of 2,0,3
1,10:32.0,N. Vučević misses 2-pt dunk from 1 ft,,0,3
1,10:30.0,,Defensive rebound by D. Green,0,3
1,10:27.0,,Turnover by K. Lowry (bad pass; steal by E. Fournier),0,3
1,10:22.0,E. Fournier misses 2-pt layup from 1 ft,,0,3
1,10:19.0,Offensive rebound by D. Augustin,,0,3
1,10:19.0,D. Augustin misses 2-pt layup at rim,,0,3
1,10:18.0,,Defensive rebound by D. Green,0,3
1,10:08.0,,K. Leonard misses 3-pt jump shot from 27 ft,0,3
1,10:07.0,Defensive rebound by E. Fournier,,0,3
1,10:01.0,Personal foul by M. Gasol (drawn by E. Fournier),,0,3
1,9:49.0,D. Augustin misses 2-pt layup from 3 ft (block by D. Green),,0,3
1,9:47.0,Offensive rebound by N. Vučević,,0,3
1,9:47.0,Shooting foul by K. Leonard (drawn by A. Gordon),,0,3
1,9:47.0,A. Gordon misses free throw 1 of 2,,0,3
1,9:47.0,Offensive rebound by Team,,0,3
1,9:47.0,A. Gordon misses free throw 2 of 2,,0,3
1,9:45.0,,Defensive rebound by P. Siakam,0,3
1,9:36.0,,Personal foul by E. Fournier (drawn by D. Green),0,3
1,9:30.0,,Offensive foul by K. Leonard (drawn by N. Vučević),0,3
1,9:30.0,,Turnover by K. Leonard (offensive foul),0,3
1,9:15.0,Offensive foul by A. Gordon (drawn by K. Lowry),,0,3
1,9:15.0,Turnover by A. Gordon (offensive foul),,0,3
1,9:07.0,,K. Leonard makes 2-pt jump shot from 9 ft (assist by K. Lowry),0,5
1,8:48.0,E. Fournier misses 3-pt jump shot from 23 ft,,0,5
1,8:46.0,,Defensive rebound by K. Leonard,0,5
1,8:40.0,,Shooting foul by J. Isaac (drawn by K. Leonard),0,5
1,8:40.0,,K. Leonard makes free throw 1 of 2,0,6
1,8:40.0,,K. Leonard makes free throw 2 of 2,0,7
1,8:22.0,A. Gordon misses 3-pt jump shot from 25 ft,,0,7
1,8:20.0,,Defensive rebound by M. Gasol,0,7
1,8:03.0,,P. Siakam makes 2-pt hook shot from 2 ft (assist by M. Gasol),0,9
1,7:59.0,Orlando full timeout,,0,9
1,7:59.0,W. Iwundu enters the game for J. Isaac,,0,9
1,7:46.0,Turnover by E. Fournier (bad pass; steal by K. Leonard),,0,9
1,7:43.0,,K. Leonard makes 2-pt jump shot from 9 ft,0,11
1,7:18.0,Shooting foul by M. Gasol (drawn by N. Vučević),,0,11
1,7:18.0,N. Vučević misses free throw 1 of 2,,0,11
1,7:18.0,Offensive rebound by Team,,0,11
1,7:18.0,,S. Ibaka enters the game for M. Gasol,0,11
1,7:18.0,N. Vučević misses free throw 2 of 2,,0,11
1,7:16.0,Offensive rebound by A. Gordon,,0,11
1,7:14.0,A. Gordon makes 2-pt dunk at rim,,2,11
1,6:52.0,,K. Lowry makes 3-pt jump shot from 27 ft (assist by K. Leonard),2,14
1,6:34.0,D. Augustin misses 2-pt layup from 1 ft (block by K. Lowry),,2,14
1,6:32.0,,Defensive rebound by K. Lowry,2,14
1,6:29.0,,P. Siakam makes 2-pt jump shot from 13 ft (assist by K. Lowry),2,16
1,6:00.0,E. Fournier makes 3-pt jump shot from 25 ft,,5,16
1,5:51.0,,K. Leonard makes 2-pt jump shot from 12 ft,5,18
1,5:34.0,A. Gordon makes 3-pt jump shot from 24 ft (assist by W. Iwundu),,8,18
