QUARTER,TIME_REMAINING,BOSTON_ACTION,TORONTO_ACTION,BOSTON_SCORE,TORONTO_SCORE
1,11:39.0,M. Morris misses 2-pt layup from 1 ft,,0,0
1,11:38.0,,Defensive rebound by Team,0,0
1,11:21.0,,P. Siakam misses 3-pt jump shot from 23 ft,0,0
1,11:18.0,Defensive rebound by J. Tatum,,0,0
1,11:02.0,K. Irving makes 2-pt jump shot from 8 ft,,2,0
1,10:51.0,,Personal foul by M. Smart (drawn by K. Leonard),2,0
1,10:46.0,,S. Ibaka makes 3-pt jump shot from 26 ft (assist by K. Leonard),2,3
1,10:32.0,A. Horford makes 2-pt jump shot from 20 ft (assist by K. Irving),,4,3
1,10:21.0,,K. Leonard makes 2-pt jump shot from 10 ft (assist by K. Lowry),4,5
1,10:10.0,K. Irving misses 3-pt jump shot from 31 ft,,4,5
1,10:07.0,,Defensive rebound by K. Leonard,4,5
1,9:53.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Lowry),4,8
1,9:28.0,M. Morris makes 2-pt layup from 2 ft (assist by K. Irving),,6,8
1,9:19.0,,K. Leonard misses 2-pt jump shot from 12 ft,6,8
1,9:16.0,Defensive rebound by M. Morris,,6,8
1,9:07.0,J. Tatum misses 3-pt jump shot from 26 ft,,6,8
1,9:05.0,,Defensive rebound by K. Leonard,6,8
1,8:58.0,,K. Lowry misses 3-pt jump shot from 27 ft,6,8
1,8:55.0,Defensive rebound by K. Irving,,6,8
1,8:47.0,A. Horford makes 2-pt hook shot from 2 ft (assist by K. Irving),,8,8
1,8:33.0,,D. Green misses 3-pt jump shot from 24 ft,8,8
1,8:31.0,Defensive rebound by A. Horford,,8,8
1,8:25.0,J. Tatum misses 2-pt jump shot from 4 ft,,8,8
1,8:23.0,,Defensive rebound by P. Siakam,8,8
1,8:15.0,,K. Leonard misses 3-pt jump shot from 25 ft,8,8
1,8:12.0,Defensive rebound by M. Morris,,8,8
1,8:04.0,Personal foul by D. Green (drawn by J. Tatum),,8,8
1,7:57.0,J. Tatum makes 2-pt jump shot from 17 ft (assist by A. Horford),,10,8
1,7:38.0,,P. Siakam makes 2-pt jump shot from 5 ft,10,10
1,7:22.0,A. Horford misses 3-pt jump shot from 27 ft,,10,10
1,7:20.0,,Defensive rebound by D. Green,10,10
1,7:16.0,,Shooting foul by J. Tatum (drawn by K. Lowry),10,10
1,7:16.0,,K. Lowry makes free throw 1 of 2,10,11
1,7:16.0,,K. Lowry makes free throw 2 of 2,10,12
1,7:01.0,M. Smart misses 3-pt jump shot from 28 ft,,10,12
1,6:58.0,,Defensive rebound by P. Siakam,10,12
1,6:46.0,,S. Ibaka makes 2-pt dunk from 1 ft (assist by D. Green),10,14
1,6:21.0,M. Morris makes 2-pt jump shot from 8 ft,,12,14
1,6:21.0,Shooting foul by D. Green (drawn by M. Morris),,12,14
1,6:21.0,,Toronto full timeout,12,14
1,6:21.0,,J. Lin enters the game for D. Green,12,14
1,6:21.0,M. Morris misses free throw 1 of 1,,12,14
1,6:18.0,,Defensive rebound by K. Leonard,12,14
1,6:06.0,,K. Lowry misses 3-pt jump shot from 26 ft,12,14
1,6:04.0,Defensive rebound by J. Tatum,,12,14
1,5:56.0,K. Irving misses 2-pt jump shot from 11 ft,,12,14
1,5:56.0,,Defensive rebound by J. Lin,12,14
1,5:48.0,,Personal foul by M. Smart (drawn by K. Lowry),12,14
1,5:48.0,J. Brown enters the game for A. Horford,,12,14
1,5:48.0,G. Hayward enters the game for M. Morris,,12,14
1,5:48.0,D. Theis enters the game for M. Smart,,12,14
1,5:32.0,,P. Siakam misses 2-pt jump shot from 9 ft,12,14
1,5:29.0,Defensive rebound by D. Theis,,12,14
1,5:23.0,D. Theis misses 2-pt jump shot from 16 ft,,12,14
1,5:20.0,,Defensive rebound by K. Lowry,12,14
1,5:13.0,,K. Lowry misses 2-pt layup from 2 ft,12,14
1,5:11.0,,Offensive rebound by J. Lin,12,14
1,5:09.0,,K. Lowry misses 3-pt jump shot from 23 ft,12,14
1,5:05.0,Defensive rebound by G. Hayward,,12,14
1,4:56.0,J. Brown makes 2-pt jump shot from 14 ft,,14,14
1,4:47.0,,J. Lin misses 3-pt jump shot from 26 ft,14,14
1,4:45.0,Defensive rebound by J. Brown,,14,14
1,4:37.0,Shooting foul by S. Ibaka (drawn by J. Brown),,14,14
1,4:37.0,J. Brown makes free throw 1 of 2,,15,14
1,4:37.0,,M. Gasol enters the game for S. Ibaka,15,14
1,4:37.0,J. Brown makes free throw 2 of 2,,16,14
1,4:20.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by J. Lin),16,17
1,4:03.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by J. Brown),,19,17
1,3:48.0,,Personal foul by J. Brown (drawn by P. Siakam),19,17
1,3:48.0,,N. Powell enters the game for K. Lowry,19,17
1,3:40.0,,P. Siakam makes 3-pt jump shot from 24 ft (assist by K. Leonard),19,20
1,3:24.0,Turnover by D. Theis (lost ball; steal by N. Powell),,19,20
1,3:16.0,,Shooting foul by D. Theis (drawn by J. Lin),19,20
1,3:16.0,,J. Lin makes free throw 1 of 2,19,21
1,3:16.0,,J. Lin makes free throw 2 of 2,19,22
1,3:00.0,J. Tatum makes 2-pt jump shot from 14 ft,,21,22
1,2:42.0,,K. Leonard makes 2-pt layup from 1 ft (assist by M. Gasol),21,24
1,2:34.0,J. Brown makes 2-pt layup from 1 ft,,23,24
1,2:34.0,Shooting foul by J. Lin (drawn by J. Brown),,23,24
1,2:34.0,Boston full timeout,,23,24
1,2:34.0,T. Rozier enters the game for J. Tatum,,23,24
1,2:34.0,,O. Anunoby enters the game for K. Leonard,23,24
1,2:34.0,J. Brown makes free throw 1 of 1,,24,24
1,2:16.0,,M. Gasol makes 2-pt jump shot from 10 ft,24,26
1,1:59.0,G. Hayward misses 3-pt jump shot from 27 ft,,24,26
1,1:56.0,,Defensive rebound by P. Siakam,24,26
1,1:52.0,,J. Lin misses 2-pt jump shot from 14 ft,24,26
1,1:49.0,Defensive rebound by J. Brown,,24,26
1,1:43.0,Turnover by J. Brown (bad pass),,24,26
1,1:43.0,A. Horford enters the game for D. Theis,,24,26
1,1:19.0,,M. Gasol misses 2-pt jump shot from 4 ft (block by T. Rozier),24,26
1,1:19.0,,Offensive rebound by Team,24,26
1,1:19.0,,Turnover by Team (shot clock),24,26
1,1:06.0,G. Hayward misses 2-pt layup from 2 ft (block by M. Gasol),,24,26
1,1:06.0,Offensive rebound by Team,,24,26
1,1:06.0,,P. McCaw enters the game for P. Siakam,24,26
1,1:01.0,K. Irving misses 2-pt layup from 1 ft,,24,26
1,1:00.0,,Defensive rebound by P. McCaw,24,26
1,0:52.0,,J. Lin makes 2-pt hook shot from 2 ft (assist by M. Gasol),24,28
1,0:45.0,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Horford),,27,28
1,0:32.0,,Turnover by N. Powell (lost ball; steal by J. Brown),27,28
1,0:29.0,G. Hayward makes 2-pt layup from 1 ft (assist by J. Brown),,29,28
1,0:29.0,Shooting foul by P. McCaw (drawn by G. Hayward),,29,28
1,0:29.0,M. Smart enters the game for K. Irving,,29,28
1,0:29.0,G. Hayward makes free throw 1 of 1,,30,28
1,0:09.0,,J. Lin makes 2-pt layup at rim,30,30
1,0:03.0,Shooting foul by P. McCaw (drawn by M. Smart),,30,30
1,0:03.0,M. Smart makes free throw 1 of 2,,31,30
1,0:03.0,M. Smart makes free throw 2 of 2,,32,30
1,0:00.0,,P. McCaw misses 3-pt jump shot from 38 ft,32,30
1,0:00.0,,Offensive rebound by Team,32,30
2,11:36.0,,O. Anunoby misses 3-pt jump shot from 23 ft,32,30
2,11:34.0,,Offensive rebound by K. Lowry,32,30
2,11:30.0,,Turnover by J. Lin (bad pass; steal by J. Brown),32,30
2,11:20.0,Shooting foul by K. Lowry (drawn by T. Rozier),,32,30
2,11:20.0,T. Rozier makes free throw 1 of 2,,33,30
2,11:20.0,T. Rozier makes free throw 2 of 2,,34,30
2,11:03.0,,N. Powell makes 3-pt jump shot from 25 ft (assist by M. Gasol),34,33
2,10:44.0,J. Brown misses 3-pt jump shot from 26 ft,,34,33
2,10:39.0,,Defensive rebound by M. Gasol,34,33
2,10:38.0,,Shooting foul by T. Rozier (drawn by K. Lowry),34,33
2,10:38.0,,K. Lowry misses free throw 1 of 2,34,33
2,10:38.0,,Offensive rebound by Team,34,33
2,10:38.0,,P. McCaw enters the game for J. Lin,34,33
2,10:38.0,,K. Lowry misses free throw 2 of 2,34,33
2,10:37.0,,Offensive rebound by Team,34,33
2,10:26.0,,P. McCaw misses 2-pt layup from 2 ft,34,33
2,10:23.0,,Offensive rebound by K. Lowry,34,33
