QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW ORLEANS_ACTION,ORLANDO_SCORE,NEW ORLEANS_SCORE
1,2:46.0,,T. Frazier misses 3-pt jump shot from 25 ft,34,9
1,2:43.0,Defensive rebound by E. Fournier,,34,9
1,2:37.0,E. Fournier misses 2-pt layup from 1 ft,,34,9
1,2:37.0,,Defensive rebound by Team,34,9
1,2:37.0,Loose ball foul by W. Iwundu (drawn by D. Miller),,34,9
1,2:37.0,K. Birch enters the game for E. Fournier,,34,9
1,2:37.0,T. Ross enters the game for N. Vučević,,34,9
1,2:34.0,,Turnover by T. Frazier (dbl dribble),34,9
1,2:21.0,T. Ross misses 2-pt jump shot from 21 ft,,34,9
1,2:20.0,,Defensive rebound by Team,34,9
1,2:08.0,,F. Jackson misses 2-pt layup from 5 ft (block by W. Iwundu),34,9
1,2:06.0,Defensive rebound by Team,,34,9
1,1:55.0,K. Birch misses 2-pt dunk from 2 ft (block by J. Randle),,34,9
1,1:52.0,Offensive rebound by K. Birch,,34,9
1,1:52.0,Shooting foul by C. Diallo (drawn by J. Isaac),,34,9
1,1:52.0,J. Isaac makes free throw 1 of 2,,35,9
1,1:52.0,,J. Okafor enters the game for C. Diallo,35,9
1,1:52.0,J. Isaac makes free throw 2 of 2,,36,9
1,1:38.0,,J. Randle misses 2-pt jump shot from 3 ft (block by K. Birch),36,9
1,1:36.0,Defensive rebound by W. Iwundu,,36,9
1,1:33.0,W. Iwundu misses 2-pt layup from 2 ft,,36,9
1,1:33.0,Offensive rebound by Team,,36,9
1,1:27.0,T. Ross misses 2-pt jump shot from 13 ft,,36,9
1,1:22.0,Offensive rebound by J. Isaac,,36,9
1,1:20.0,J. Isaac misses 2-pt layup from 2 ft,,36,9
1,1:18.0,,Defensive rebound by T. Frazier,36,9
1,1:13.0,,D. Miller misses 2-pt jump shot from 13 ft (block by W. Iwundu),36,9
1,1:09.0,Defensive rebound by W. Iwundu,,36,9
1,1:09.0,Offensive foul by W. Iwundu (drawn by T. Frazier),,36,9
1,1:09.0,Turnover by W. Iwundu (offensive foul),,36,9
1,0:59.0,,T. Frazier makes 2-pt jump shot from 12 ft,36,11
1,0:41.0,J. Isaac makes 3-pt jump shot from 26 ft (assist by K. Birch),,39,11
1,0:32.0,,J. Randle makes 2-pt jump shot from 17 ft,39,13
1,0:12.0,T. Ross misses 2-pt jump shot from 13 ft (block by D. Miller),,39,13
1,0:08.0,,Defensive rebound by F. Jackson,39,13
1,0:03.0,,F. Jackson makes 2-pt layup from 2 ft (assist by T. Frazier),39,15
1,0:00.0,Turnover by T. Ross (bad pass; steal by J. Okafor),,39,15
1,0:00.0,,J. Okafor makes 2-pt layup from 2 ft,39,17
2,11:43.0,K. Birch makes 2-pt dunk from 1 ft (assist by T. Ross),,41,17
2,11:22.0,,J. Randle makes 2-pt dunk from 1 ft,41,19
2,10:59.0,K. Birch misses 2-pt layup from 5 ft (block by J. Randle),,41,19
2,10:55.0,,Defensive rebound by T. Frazier,41,19
2,10:46.0,,D. Miller misses 3-pt jump shot from 26 ft,41,19
2,10:42.0,Defensive rebound by A. Gordon,,41,19
2,10:27.0,A. Gordon misses 3-pt jump shot from 26 ft,,41,19
2,10:24.0,,Defensive rebound by T. Frazier,41,19
2,10:14.0,,D. Miller misses 3-pt jump shot from 27 ft,41,19
2,10:10.0,Defensive rebound by I. Briscoe,,41,19
2,9:59.0,A. Gordon misses 2-pt layup from 2 ft,,41,19
2,9:58.0,Offensive rebound by A. Gordon,,41,19
2,9:58.0,Shooting foul by T. Frazier (drawn by A. Gordon),,41,19
2,9:58.0,A. Gordon makes free throw 1 of 2,,42,19
2,9:58.0,,A. Davis enters the game for J. Randle,42,19
2,9:58.0,A. Gordon makes free throw 2 of 2,,43,19
2,9:39.0,,T. Frazier makes 2-pt layup from 1 ft (assist by J. Okafor),43,21
2,9:25.0,E. Fournier misses 2-pt jump shot from 14 ft,,43,21
2,9:20.0,,Defensive rebound by A. Davis,43,21
2,9:15.0,,D. Miller makes 3-pt jump shot from 23 ft (assist by J. Holiday),43,24
2,8:53.0,A. Gordon misses 2-pt jump shot from 16 ft,,43,24
2,8:50.0,,Defensive rebound by J. Holiday,43,24
2,8:45.0,,T. Frazier misses 2-pt jump shot from 7 ft,43,24
2,8:44.0,,Offensive rebound by Team,43,24
2,8:44.0,Orlando full timeout,,43,24
2,8:44.0,N. Vučević enters the game for K. Birch,,43,24
2,8:36.0,,A. Davis misses 2-pt jump shot from 18 ft,43,24
2,8:33.0,Defensive rebound by I. Briscoe,,43,24
2,8:26.0,I. Briscoe misses 2-pt layup from 3 ft (block by A. Davis),,43,24
2,8:26.0,Offensive rebound by Team,,43,24
2,8:26.0,,E. Moore enters the game for T. Frazier,43,24
2,8:26.0,,K. Williams enters the game for D. Miller,43,24
2,8:14.0,N. Vučević makes 2-pt jump shot from 10 ft,,45,24
2,8:14.0,Shooting foul by J. Okafor (drawn by N. Vučević),,45,24
2,8:14.0,N. Vučević makes free throw 1 of 1,,46,24
2,7:59.0,,J. Holiday makes 2-pt jump shot from 11 ft,46,26
2,7:59.0,,Shooting foul by E. Fournier (drawn by J. Holiday),46,26
2,7:59.0,,J. Holiday makes free throw 1 of 1,46,27
2,7:37.0,Shooting foul by J. Holiday (drawn by A. Gordon),,46,27
2,7:37.0,A. Gordon makes free throw 1 of 2,,47,27
2,7:37.0,W. Iwundu enters the game for E. Fournier,,47,27
2,7:37.0,A. Gordon makes free throw 2 of 2,,48,27
2,7:29.0,,A. Davis misses 2-pt jump shot from 18 ft,48,27
2,7:26.0,Defensive rebound by I. Briscoe,,48,27
2,7:12.0,T. Ross misses 2-pt dunk at rim,,48,27
2,7:10.0,,Defensive rebound by K. Williams,48,27
2,7:03.0,,J. Holiday makes 2-pt layup from 1 ft,48,29
2,6:44.0,N. Vučević misses 2-pt jump shot from 7 ft,,48,29
2,6:42.0,,Defensive rebound by A. Davis,48,29
2,6:35.0,,Turnover by K. Williams (bad pass; steal by I. Briscoe),48,29
2,6:29.0,W. Iwundu makes 3-pt jump shot from 26 ft (assist by I. Briscoe),,51,29
2,6:17.0,,J. Holiday makes 2-pt layup from 1 ft (assist by E. Moore),51,31
2,6:03.0,N. Vučević misses 3-pt jump shot from 25 ft,,51,31
2,5:58.0,,Defensive rebound by K. Williams,51,31
2,5:52.0,,E. Moore makes 2-pt jump shot from 6 ft,51,33
2,5:41.0,T. Ross misses 3-pt jump shot from 25 ft,,51,33
2,5:38.0,,Defensive rebound by A. Davis,51,33
2,5:32.0,,A. Davis misses 2-pt jump shot from 8 ft,51,33
2,5:31.0,,Offensive rebound by Team,51,33
2,5:31.0,Loose ball foul by N. Vučević (drawn by J. Holiday),,51,33
2,5:31.0,D. Augustin enters the game for I. Briscoe,,51,33
2,5:25.0,,E. Moore makes 2-pt layup from 1 ft (assist by J. Holiday),51,35
2,5:08.0,Turnover by A. Gordon (dbl dribble),,51,35
2,5:00.0,,Personal foul by W. Iwundu (drawn by J. Holiday),51,35
2,4:55.0,,J. Holiday makes 2-pt layup from 3 ft,51,37
2,4:49.0,Orlando full timeout,,51,37
2,4:49.0,E. Fournier enters the game for W. Iwundu,,51,37
2,4:49.0,J. Isaac enters the game for T. Ross,,51,37
2,4:49.0,,J. Randle enters the game for J. Okafor,51,37
2,4:34.0,N. Vučević makes 2-pt jump shot from 9 ft,,53,37
2,4:18.0,,E. Moore misses 3-pt jump shot from 26 ft,53,37
2,4:14.0,Defensive rebound by J. Isaac,,53,37
2,4:08.0,N. Vučević makes 2-pt jump shot from 12 ft (assist by D. Augustin),,55,37
2,3:53.0,,J. Randle makes 2-pt jump shot from 20 ft,55,39
2,3:33.0,J. Isaac makes 2-pt layup from 2 ft (assist by A. Gordon),,57,39
2,3:08.0,,J. Holiday misses 2-pt jump shot from 10 ft,57,39
2,3:05.0,Defensive rebound by N. Vučević,,57,39
2,2:58.0,D. Augustin makes 2-pt hook shot from 4 ft,,59,39
2,2:47.0,,E. Moore makes 3-pt jump shot from 23 ft (assist by J. Randle),59,42
2,2:27.0,J. Isaac misses 3-pt jump shot from 25 ft,,59,42
2,2:24.0,,Defensive rebound by J. Randle,59,42
2,2:14.0,,J. Randle misses 2-pt layup from 2 ft,59,42
2,2:12.0,Defensive rebound by E. Fournier,,59,42
2,2:00.0,J. Isaac misses 3-pt jump shot from 24 ft,,59,42
2,1:56.0,,Defensive rebound by K. Williams,59,42
2,1:52.0,,Personal foul by J. Isaac (drawn by A. Davis),59,42
2,1:52.0,,T. Frazier enters the game for A. Davis,59,42
2,1:52.0,,J. Okafor enters the game for J. Holiday,59,42
2,1:41.0,,Turnover by J. Okafor (3 sec),59,42
2,1:30.0,N. Vučević makes 2-pt hook shot from 5 ft (assist by E. Fournier),,61,42
2,1:12.0,,T. Frazier makes 2-pt layup from 2 ft (assist by J. Randle),61,44
2,0:58.0,N. Vučević misses 2-pt layup from 2 ft,,61,44
2,0:55.0,,Defensive rebound by J. Randle,61,44
2,0:51.0,,Offensive foul by J. Randle (drawn by A. Gordon),61,44
2,0:51.0,,Turnover by J. Randle (offensive foul),61,44
2,0:38.0,E. Fournier misses 2-pt layup from 3 ft,,61,44
2,0:36.0,Offensive rebound by N. Vučević,,61,44
2,0:36.0,N. Vučević makes 2-pt layup at rim,,63,44
2,0:28.0,,E. Moore makes 2-pt jump shot from 9 ft (assist by T. Frazier),63,46
2,0:07.0,J. Isaac misses 3-pt jump shot from 23 ft,,63,46
2,0:02.0,,Defensive rebound by K. Williams,63,46
3,11:45.0,Offensive foul by E. Fournier (drawn by J. Holiday),,63,46
3,11:45.0,Turnover by E. Fournier (offensive foul),,63,46
3,11:30.0,,E. Moore misses 2-pt jump shot from 10 ft,63,46
3,11:27.0,Defensive rebound by D. Augustin,,63,46
3,11:22.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by D. Augustin),,66,46
3,11:12.0,,Turnover by E. Moore (bad pass; steal by A. Gordon),66,46
3,11:08.0,A. Gordon makes 2-pt dunk from 2 ft,,68,46
3,10:54.0,,A. Davis misses 2-pt jump shot from 18 ft,68,46
3,10:50.0,Defensive rebound by D. Augustin,,68,46
3,10:42.0,Turnover by D. Augustin (lost ball; steal by J. Holiday),,68,46
3,10:38.0,,K. Williams misses 2-pt layup from 1 ft,68,46
3,10:36.0,Defensive rebound by N. Vučević,,68,46
3,10:31.0,J. Isaac misses 2-pt layup from 2 ft,,68,46
