QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW ORLEANS_ACTION,ORLANDO_SCORE,NEW ORLEANS_SCORE
4,4:01.0,,C. Diallo enters the game for J. Okafor,108,80
4,4:01.0,A. Gordon makes free throw 2 of 2,,109,80
4,3:52.0,,Personal foul by I. Briscoe (drawn by T. Frazier),109,80
4,3:52.0,J. Martin enters the game for A. Gordon,,109,80
4,3:41.0,,Shooting foul by J. Martin (drawn by T. Frazier),109,80
4,3:41.0,,T. Frazier makes free throw 1 of 2,109,81
4,3:41.0,,F. Jackson enters the game for D. Miller,109,81
4,3:41.0,,T. Frazier makes free throw 2 of 2,109,82
4,3:26.0,M. Frazier misses 3-pt jump shot from 25 ft,,109,82
4,3:21.0,,Defensive rebound by S. Johnson,109,82
4,3:19.0,,Personal foul by J. Martin (drawn by S. Johnson),109,82
4,3:15.0,,F. Jackson misses 3-pt jump shot from 25 ft,109,82
4,3:11.0,Defensive rebound by J. Martin,,109,82
4,3:00.0,J. Grant makes 2-pt jump shot from 19 ft,,111,82
4,2:46.0,,Shooting foul by J. Grant (drawn by F. Jackson),111,82
4,2:46.0,,New Orleans full timeout,111,82
4,2:46.0,,F. Jackson misses free throw 1 of 2,111,82
4,2:46.0,,Offensive rebound by Team,111,82
4,2:46.0,,F. Jackson makes free throw 2 of 2,111,83
4,2:34.0,M. Frazier misses 2-pt jump shot from 14 ft,,111,83
4,2:29.0,,Defensive rebound by S. Johnson,111,83
4,2:24.0,,S. Johnson misses 2-pt layup from 2 ft,111,83
4,2:22.0,Defensive rebound by A. Jefferson,,111,83
4,2:18.0,Shooting foul by T. Frazier (drawn by A. Jefferson),,111,83
4,2:18.0,A. Jefferson makes free throw 1 of 2,,112,83
4,2:18.0,A. Jefferson makes free throw 2 of 2,,113,83
4,1:57.0,,T. Frazier makes 2-pt jump shot from 14 ft,113,85
4,1:40.0,J. Martin makes 3-pt jump shot from 28 ft (assist by I. Briscoe),,116,85
4,1:22.0,,C. Diallo misses 2-pt jump shot from 18 ft,116,85
4,1:22.0,Defensive rebound by I. Briscoe,,116,85
4,1:08.0,M. Frazier misses 2-pt layup from 2 ft,,116,85
4,1:05.0,,Defensive rebound by K. Williams,116,85
4,0:59.0,,F. Jackson makes 2-pt layup from 1 ft (assist by T. Frazier),116,87
4,0:59.0,,Shooting foul by J. Martin (drawn by F. Jackson),116,87
4,0:59.0,,F. Jackson makes free throw 1 of 1,116,88
4,0:45.0,M. Frazier misses 2-pt layup from 2 ft,,116,88
4,0:40.0,Offensive rebound by A. Jefferson,,116,88
4,0:40.0,A. Jefferson misses 2-pt layup from 1 ft,,116,88
4,0:38.0,,Defensive rebound by S. Johnson,116,88
4,0:38.0,,Turnover by S. Johnson (bad pass; steal by J. Grant),116,88
4,0:34.0,M. Frazier makes 2-pt layup from 1 ft (assist by J. Grant),,118,88
4,0:22.0,,K. Williams misses 3-pt jump shot from 26 ft,118,88
4,0:17.0,Defensive rebound by A. Jefferson,,118,88
