QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW ORLEANS_ACTION,MINNESOTA_SCORE,NEW ORLEANS_SCORE
1,11:41.0,,E. Payton misses 2-pt jump shot from 9 ft,0,0
1,11:36.0,,Offensive rebound by J. Okafor,0,0
1,11:36.0,,J. Okafor misses 2-pt layup from 1 ft,0,0
1,11:33.0,Defensive rebound by T. Gibson,,0,0
1,11:19.0,K. Towns misses 2-pt hook shot from 7 ft,,0,0
1,11:16.0,,Defensive rebound by J. Holiday,0,0
1,11:10.0,,J. Holiday misses 2-pt layup from 3 ft,0,0
1,11:04.0,,Offensive rebound by J. Okafor,0,0
1,11:04.0,,J. Okafor misses 2-pt layup from 1 ft,0,0
1,11:04.0,,Offensive rebound by J. Okafor,0,0
1,11:02.0,,J. Okafor makes 2-pt layup from 3 ft,0,2
1,10:38.0,T. Gibson makes 2-pt jump shot from 5 ft,,2,2
1,10:19.0,,J. Okafor makes 2-pt jump shot from 5 ft,2,4
1,10:09.0,Personal foul by J. Okafor (drawn by K. Towns),,2,4
1,9:58.0,K. Towns misses 2-pt hook shot from 7 ft,,2,4
1,9:55.0,Offensive rebound by K. Towns,,2,4
1,9:52.0,R. Covington makes 2-pt jump shot from 12 ft (assist by T. Gibson),,4,4
1,9:41.0,,J. Holiday misses 2-pt layup from 2 ft,4,4
1,9:39.0,Defensive rebound by K. Towns,,4,4
1,9:28.0,K. Towns misses 3-pt jump shot from 25 ft,,4,4
1,9:24.0,Offensive rebound by A. Wiggins,,4,4
1,9:23.0,A. Wiggins misses 2-pt layup from 3 ft,,4,4
1,9:20.0,,Defensive rebound by E. Payton,4,4
1,9:16.0,,Personal foul by K. Towns (drawn by J. Okafor),4,4
1,9:05.0,,J. Okafor misses 2-pt layup from 3 ft,4,4
1,9:02.0,,Offensive rebound by J. Okafor,4,4
1,8:54.0,,J. Okafor misses 2-pt hook shot from 3 ft,4,4
1,8:51.0,Defensive rebound by K. Towns,,4,4
