QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA CLIPPERS_ACTION,SAN ANTONIO_SCORE,LA CLIPPERS_SCORE
1,11:45.0,B. Forbes misses 3-pt jump shot from 25 ft,,0,0
1,11:40.0,,Defensive rebound by M. Gortat,0,0
1,11:29.0,,T. Harris makes 2-pt layup from 2 ft (assist by M. Gortat),0,2
1,11:16.0,L. Aldridge makes 2-pt jump shot from 11 ft (assist by D. DeRozan),,2,2
1,11:02.0,,T. Harris misses 2-pt jump shot from 16 ft,2,2
1,11:02.0,,Offensive rebound by Team,2,2
1,10:53.0,,T. Harris misses 3-pt jump shot from 23 ft,2,2
1,10:49.0,Defensive rebound by D. White,,2,2
1,10:37.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. Cunningham),,5,2
1,10:28.0,,D. Gallinari misses 3-pt jump shot from 26 ft,5,2
1,10:23.0,Defensive rebound by D. DeRozan,,5,2
1,10:17.0,D. Cunningham misses 3-pt jump shot from 25 ft,,5,2
1,10:12.0,,Defensive rebound by T. Harris,5,2
1,10:06.0,,D. Gallinari makes 2-pt layup from 2 ft,5,4
1,9:47.0,L. Aldridge makes 2-pt jump shot from 9 ft,,7,4
1,9:37.0,,Personal foul by D. White (drawn by S. Gilgeous-Alexander),7,4
1,9:29.0,,Shooting foul by D. Cunningham (drawn by D. Gallinari),7,4
1,9:29.0,,D. Gallinari makes free throw 1 of 2,7,5
1,9:29.0,,D. Gallinari misses free throw 2 of 2,7,5
1,9:27.0,Defensive rebound by D. Cunningham,,7,5
1,9:08.0,L. Aldridge misses 2-pt jump shot from 10 ft,,7,5
1,9:04.0,,Defensive rebound by P. Beverley,7,5
1,8:58.0,,P. Beverley makes 2-pt jump shot from 10 ft,7,7
1,8:45.0,Shooting foul by S. Gilgeous-Alexander (drawn by B. Forbes),,7,7
1,8:45.0,B. Forbes misses free throw 1 of 2,,7,7
1,8:45.0,Offensive rebound by Team,,7,7
1,8:45.0,B. Forbes makes free throw 2 of 2,,8,7
1,8:35.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 9 ft,8,7
1,8:31.0,Defensive rebound by D. DeRozan,,8,7
1,8:22.0,D. DeRozan misses 2-pt jump shot from 6 ft,,8,7
