QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,TORONTO_ACTION,GOLDEN STATE_SCORE,TORONTO_SCORE
1,11:42.0,,Turnover by K. Lowry (bad pass),0,0
1,11:23.0,K. Thompson misses 2-pt jump shot from 14 ft,,0,0
1,11:23.0,,Defensive rebound by P. Siakam,0,0
1,11:14.0,,D. Green misses 3-pt jump shot from 23 ft,0,0
1,11:11.0,Defensive rebound by D. Green,,0,0
1,11:06.0,Shooting foul by K. Leonard (drawn by S. Curry),,0,0
1,11:06.0,S. Curry makes free throw 1 of 2,,1,0
1,11:06.0,S. Curry makes free throw 2 of 2,,2,0
1,10:46.0,,D. Green makes 3-pt jump shot from 26 ft (assist by P. Siakam),2,3
1,10:38.0,K. Thompson misses 2-pt layup from 3 ft (block by D. Green),,2,3
1,10:35.0,Offensive rebound by K. Thompson,,2,3
1,10:34.0,K. Thompson makes 2-pt jump shot from 11 ft,,4,3
1,10:23.0,,Personal foul by K. Thompson (drawn by K. Leonard),4,3
1,10:15.0,,K. Leonard makes 3-pt jump shot from 26 ft,4,6
1,10:04.0,S. Curry misses 2-pt jump shot from 16 ft,,4,6
1,10:01.0,Offensive rebound by A. Iguodala,,4,6
1,9:59.0,S. Curry makes 3-pt jump shot from 27 ft (assist by A. Iguodala),,7,6
1,9:34.0,,P. Siakam misses 2-pt hook shot from 11 ft,7,6
1,9:31.0,Defensive rebound by K. Thompson,,7,6
1,9:26.0,,Violation by Team (kicked ball),7,6
1,9:20.0,S. Curry misses 3-pt jump shot from 29 ft,,7,6
1,9:18.0,,Defensive rebound by K. Leonard,7,6
1,9:07.0,,D. Green misses 3-pt jump shot from 26 ft,7,6
1,9:04.0,Defensive rebound by J. Bell,,7,6
1,8:59.0,D. Green misses 2-pt layup from 3 ft,,7,6
1,8:57.0,,Defensive rebound by K. Lowry,7,6
1,8:54.0,,K. Lowry misses 3-pt jump shot from 27 ft,7,6
1,8:51.0,,Offensive rebound by P. Siakam,7,6
1,8:47.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by P. Siakam),7,9
1,8:31.0,A. Iguodala misses 3-pt jump shot from 26 ft,,7,9
1,8:29.0,,Defensive rebound by M. Gasol,7,9
1,8:17.0,,M. Gasol misses 3-pt jump shot from 25 ft,7,9
1,8:15.0,Defensive rebound by D. Green,,7,9
1,8:07.0,Turnover by A. Iguodala (bad pass; steal by P. Siakam),,7,9
1,8:01.0,,K. Leonard misses 3-pt jump shot from 26 ft,7,9
1,7:57.0,Defensive rebound by J. Bell,,7,9
1,7:40.0,J. Bell makes 2-pt layup from 1 ft (assist by S. Curry),,9,9
1,7:30.0,,Toronto full timeout,9,9
1,7:23.0,,K. Lowry misses 2-pt jump shot from 11 ft,9,9
1,7:21.0,Defensive rebound by Team,,9,9
1,7:21.0,,Loose ball foul by M. Gasol (drawn by D. Green),9,9
1,7:10.0,Turnover by D. Green (lost ball; steal by K. Lowry),,9,9
1,7:02.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by P. Siakam),9,12
1,6:53.0,K. Thompson misses 3-pt jump shot from 26 ft,,9,12
1,6:50.0,,Defensive rebound by M. Gasol,9,12
1,6:45.0,,D. Green makes 2-pt layup from 1 ft (assist by K. Lowry),9,14
1,6:28.0,D. Green makes 2-pt jump shot from 16 ft (assist by J. Bell),,11,14
1,6:12.0,,Personal foul by A. Iguodala (drawn by K. Leonard),11,14
