QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DENVER_ACTION,MINNESOTA_SCORE,DENVER_SCORE
1,11:49.0,,N. Jokić makes 2-pt jump shot from 15 ft (assist by J. Murray),0,2
1,11:32.0,A. Wiggins makes 2-pt layup from 2 ft (assist by G. Dieng),,2,2
1,11:23.0,,J. Murray makes 2-pt jump shot from 14 ft,2,4
1,11:07.0,D. Šarić misses 3-pt jump shot from 24 ft,,2,4
1,11:02.0,Offensive rebound by A. Wiggins,,2,4
1,11:02.0,A. Wiggins makes 2-pt layup at rim,,4,4
1,10:52.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by W. Barton),4,7
1,10:25.0,G. Dieng misses 2-pt jump shot from 17 ft,,4,7
1,10:21.0,,Defensive rebound by J. Murray,4,7
1,10:06.0,,W. Barton misses 2-pt layup from 2 ft,4,7
1,10:04.0,Defensive rebound by G. Dieng,,4,7
1,9:55.0,T. Jones misses 2-pt layup from 2 ft,,4,7
1,9:54.0,,Defensive rebound by N. Jokić,4,7
1,9:48.0,,G. Harris makes 2-pt dunk from 1 ft (assist by N. Jokić),4,9
1,9:37.0,A. Wiggins makes 2-pt layup from 2 ft,,6,9
1,9:33.0,,Turnover by N. Jokić (bad pass),6,9
1,9:18.0,J. Okogie misses 2-pt jump shot from 16 ft,,6,9
1,9:13.0,,Defensive rebound by P. Millsap,6,9
1,9:06.0,,J. Murray misses 2-pt jump shot from 13 ft,6,9
1,9:05.0,Defensive rebound by G. Dieng,,6,9
1,8:56.0,A. Wiggins makes 3-pt jump shot from 24 ft (assist by T. Jones),,9,9
1,8:40.0,,N. Jokić misses 3-pt jump shot from 25 ft,9,9
1,8:40.0,Defensive rebound by Team,,9,9
1,8:33.0,Personal foul by P. Millsap (drawn by A. Wiggins),,9,9
1,8:21.0,T. Jones misses 3-pt jump shot from 25 ft,,9,9
1,8:17.0,,Defensive rebound by J. Murray,9,9
1,8:13.0,,Personal foul by T. Jones (drawn by P. Millsap),9,9
1,8:11.0,,G. Harris makes 2-pt layup from 2 ft (assist by W. Barton),9,11
1,7:58.0,G. Dieng misses 2-pt jump shot from 21 ft,,9,11
1,7:55.0,,Defensive rebound by W. Barton,9,11
1,7:39.0,,N. Jokić makes 2-pt jump shot from 6 ft (assist by W. Barton),9,13
1,7:28.0,D. Šarić misses 2-pt jump shot from 7 ft,,9,13
1,7:23.0,Offensive rebound by G. Dieng,,9,13
1,7:23.0,G. Dieng makes 2-pt layup at rim,,11,13
1,7:10.0,,Turnover by G. Harris (bad pass; steal by J. Okogie),11,13
1,7:06.0,T. Jones makes 2-pt layup from 1 ft (assist by J. Okogie),,13,13
1,6:49.0,,N. Jokić makes 2-pt jump shot from 15 ft (assist by J. Murray),13,15
1,6:25.0,G. Dieng misses 2-pt jump shot from 14 ft,,13,15
1,6:23.0,,Defensive rebound by P. Millsap,13,15
1,6:12.0,,Turnover by P. Millsap (bad pass; steal by G. Dieng),13,15
1,6:12.0,Turnover by G. Dieng (step out of bounds),,13,15
1,6:12.0,,Denver full timeout,13,15
1,6:12.0,A. Tolliver enters the game for D. Šarić,,13,15
1,6:04.0,,Personal foul by G. Dieng (drawn by N. Jokić),13,15
1,5:58.0,,N. Jokić misses 3-pt jump shot from 25 ft,13,15
1,5:58.0,Defensive rebound by Team,,13,15
1,5:38.0,A. Wiggins misses 3-pt jump shot from 26 ft,,13,15
1,5:35.0,,Defensive rebound by G. Harris,13,15
1,5:31.0,,Turnover by G. Harris (out of bounds lost ball),13,15
1,5:31.0,,M. Morris enters the game for J. Murray,13,15
1,5:16.0,Turnover by G. Dieng (traveling),,13,15
1,5:16.0,K. Bates-Diop enters the game for J. Okogie,,13,15
1,4:58.0,,Personal foul by A. Tolliver (drawn by P. Millsap),13,15
1,4:50.0,,N. Jokić misses 3-pt jump shot from 25 ft,13,15
1,4:47.0,Defensive rebound by K. Bates-Diop,,13,15
1,4:34.0,A. Tolliver misses 3-pt jump shot from 26 ft,,13,15
1,4:30.0,,Defensive rebound by W. Barton,13,15
1,4:23.0,,W. Barton misses 2-pt hook shot from 5 ft,13,15
1,4:20.0,Defensive rebound by A. Wiggins,,13,15
1,4:13.0,T. Jones makes 2-pt jump shot from 11 ft (assist by A. Wiggins),,15,15
1,4:10.0,,M. Morris misses 2-pt jump shot from 17 ft,15,15
1,3:58.0,Defensive rebound by G. Dieng,,15,15
1,3:54.0,A. Tolliver misses 3-pt jump shot from 24 ft,,15,15
1,3:52.0,,Defensive rebound by W. Barton,15,15
1,3:46.0,,W. Barton makes 2-pt layup from 2 ft,15,17
1,3:38.0,Minnesota full timeout,,15,17
1,3:38.0,C. Reynolds enters the game for G. Dieng,,15,17
1,3:38.0,D. Šarić enters the game for T. Jones,,15,17
