QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,ATLANTA_ACTION,SAN ANTONIO_SCORE,ATLANTA_SCORE
1,11:42.0,D. White misses 2-pt jump shot from 12 ft,,0,0
1,11:39.0,,Defensive rebound by A. Len,0,0
1,11:27.0,,T. Young misses 2-pt jump shot from 22 ft,0,0
1,11:23.0,Defensive rebound by D. DeRozan,,0,0
1,11:20.0,Turnover by D. DeRozan (bad pass),,0,0
1,11:11.0,,T. Prince makes 3-pt jump shot from 26 ft (assist by J. Collins),0,3
1,10:50.0,Turnover by B. Forbes (lost ball; steal by T. Young),,0,3
1,10:47.0,,T. Young misses 2-pt layup from 3 ft (block by D. White),0,3
1,10:47.0,Defensive rebound by Team,,0,3
1,10:28.0,L. Aldridge misses 2-pt jump shot from 19 ft,,0,3
1,10:26.0,,Defensive rebound by T. Prince,0,3
1,10:20.0,,A. Len makes 3-pt jump shot from 25 ft (assist by T. Young),0,6
1,10:04.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. White),,2,6
1,9:50.0,,K. Huerter misses 3-pt jump shot from 23 ft,2,6
1,9:47.0,Defensive rebound by R. Gay,,2,6
1,9:35.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. DeRozan),,4,6
1,9:19.0,,J. Collins misses 3-pt jump shot from 25 ft,4,6
1,9:15.0,Defensive rebound by D. White,,4,6
1,9:10.0,D. White makes 2-pt layup from 1 ft,,6,6
1,8:53.0,,T. Young misses 2-pt jump shot from 11 ft,6,6
1,8:50.0,,Offensive rebound by A. Len,6,6
1,8:48.0,,K. Huerter misses 3-pt jump shot from 27 ft,6,6
1,8:46.0,Defensive rebound by L. Aldridge,,6,6
1,8:37.0,R. Gay makes 2-pt jump shot from 11 ft,,8,6
1,8:37.0,Shooting foul by J. Collins (drawn by R. Gay),,8,6
1,8:37.0,R. Gay makes free throw 1 of 1,,9,6
1,8:30.0,,Personal foul by D. White (drawn by T. Young),9,6
1,8:26.0,,J. Collins makes 2-pt layup from 1 ft (assist by A. Len),9,8
1,8:15.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. DeRozan),,11,8
1,8:02.0,,T. Young makes 2-pt jump shot from 10 ft,11,10
1,7:49.0,D. White makes 2-pt dunk from 1 ft (assist by D. DeRozan),,13,10
1,7:33.0,,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),13,12
1,7:20.0,D. DeRozan misses 2-pt layup from 1 ft,,13,12
1,7:18.0,,Defensive rebound by T. Young,13,12
1,7:15.0,,Shooting foul by L. Aldridge (drawn by A. Len),13,12
1,7:15.0,,A. Len makes free throw 1 of 2,13,13
1,7:15.0,,K. Bazemore enters the game for J. Collins,13,13
1,7:15.0,,V. Carter enters the game for K. Huerter,13,13
1,7:15.0,,A. Len misses free throw 2 of 2,13,13
1,7:13.0,Defensive rebound by R. Gay,,13,13
1,6:54.0,L. Aldridge misses 2-pt jump shot from 17 ft,,13,13
1,6:49.0,,Defensive rebound by K. Bazemore,13,13
1,6:42.0,,K. Bazemore misses 3-pt jump shot from 26 ft,13,13
1,6:39.0,Defensive rebound by B. Forbes,,13,13
1,6:30.0,Personal foul by T. Young (drawn by D. DeRozan),,13,13
1,6:30.0,,Atlanta full timeout,13,13
1,6:15.0,Turnover by L. Aldridge (lost ball; steal by A. Len),,13,13
1,6:08.0,,T. Young misses 2-pt layup from 1 ft,13,13
1,6:06.0,Defensive rebound by D. White,,13,13
1,5:56.0,B. Forbes misses 2-pt jump shot from 16 ft,,13,13
1,5:55.0,Offensive rebound by Team,,13,13
1,5:55.0,,Loose ball foul by V. Carter (drawn by L. Aldridge),13,13
1,5:55.0,M. Belinelli enters the game for B. Forbes,,13,13
1,5:55.0,P. Mills enters the game for D. White,,13,13
1,5:55.0,,D. Bembry enters the game for A. Len,13,13
1,5:55.0,,A. Poythress enters the game for T. Prince,13,13
1,5:45.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,16,13
1,5:26.0,,T. Young misses 2-pt jump shot from 12 ft,16,13
1,5:26.0,Defensive rebound by Team,,16,13
1,5:17.0,D. DeRozan makes 2-pt layup from 1 ft,,18,13
1,4:58.0,,A. Poythress misses 3-pt jump shot from 24 ft,18,13
1,4:55.0,Defensive rebound by M. Belinelli,,18,13
1,4:45.0,R. Gay makes 2-pt jump shot from 7 ft (assist by D. DeRozan),,20,13
1,4:24.0,,D. Bembry misses 3-pt jump shot from 26 ft,20,13
1,4:21.0,Defensive rebound by R. Gay,,20,13
1,4:07.0,Shooting foul by V. Carter (drawn by L. Aldridge),,20,13
1,4:07.0,L. Aldridge misses free throw 1 of 2,,20,13
1,4:07.0,Offensive rebound by Team,,20,13
1,4:07.0,D. Bertāns enters the game for R. Gay,,20,13
1,4:07.0,,J. Adams enters the game for T. Young,20,13
1,4:07.0,L. Aldridge misses free throw 2 of 2,,20,13
1,4:05.0,,Defensive rebound by A. Poythress,20,13
1,3:55.0,,J. Adams misses 2-pt jump shot from 9 ft,20,13
1,3:53.0,Defensive rebound by M. Belinelli,,20,13
1,3:43.0,D. DeRozan makes 2-pt layup from 1 ft,,22,13
1,3:25.0,,A. Poythress misses 2-pt layup from 2 ft,22,13
1,3:22.0,Defensive rebound by L. Aldridge,,22,13
1,3:20.0,M. Belinelli misses 3-pt jump shot from 25 ft,,22,13
1,3:20.0,,Defensive rebound by Team,22,13
1,2:59.0,,Turnover by J. Adams (bad pass),22,13
1,2:59.0,San Antonio full timeout,,22,13
1,2:59.0,B. Forbes enters the game for D. DeRozan,,22,13
1,2:44.0,Personal foul by A. Poythress (drawn by L. Aldridge),,22,13
1,2:44.0,L. Aldridge makes free throw 1 of 2,,23,13
1,2:44.0,L. Aldridge makes free throw 2 of 2,,24,13
1,2:34.0,,K. Bazemore makes 2-pt jump shot from 12 ft (assist by A. Poythress),24,15
1,2:15.0,L. Aldridge misses 2-pt hook shot from 11 ft,,24,15
1,2:14.0,,Defensive rebound by K. Bazemore,24,15
1,2:14.0,,Offensive foul by A. Poythress (drawn by P. Mills),24,15
1,2:14.0,,Turnover by A. Poythress (offensive foul),24,15
1,2:14.0,D. Eubanks enters the game for L. Aldridge,,24,15
1,1:54.0,P. Mills misses 3-pt jump shot from 25 ft,,24,15
1,1:52.0,Offensive rebound by M. Belinelli,,24,15
1,1:51.0,Turnover by M. Belinelli (bad pass; steal by J. Adams),,24,15
1,1:45.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by J. Adams),24,17
1,1:28.0,M. Belinelli misses 2-pt jump shot from 20 ft,,24,17
1,1:25.0,,Defensive rebound by V. Carter,24,17
1,1:19.0,,K. Bazemore misses 2-pt layup from 1 ft,24,17
1,1:17.0,Defensive rebound by D. Bertāns,,24,17
1,1:12.0,P. Mills makes 3-pt jump shot from 25 ft (assist by D. Bertāns),,27,17
1,1:02.0,,V. Carter makes 3-pt jump shot from 25 ft,27,20
1,0:48.0,Turnover by P. Mills (bad pass),,27,20
1,0:35.0,,Personal foul by B. Forbes (drawn by A. Poythress),27,20
1,0:32.0,,K. Bazemore makes 3-pt jump shot from 25 ft (assist by V. Carter),27,23
1,0:10.0,P. Mills misses 3-pt jump shot from 25 ft,,27,23
1,0:08.0,,Defensive rebound by A. Poythress,27,23
1,0:01.0,,K. Bazemore misses 3-pt jump shot from 26 ft,27,23
1,0:01.0,Defensive rebound by D. Eubanks,,27,23
2,11:45.0,,K. Bazemore misses 2-pt layup from 1 ft (block by D. Eubanks),27,23
2,11:41.0,Defensive rebound by B. Forbes,,27,23
2,11:37.0,R. Gay misses 3-pt jump shot from 23 ft,,27,23
2,11:34.0,Offensive rebound by D. Eubanks,,27,23
2,11:28.0,M. Belinelli makes 2-pt layup from 1 ft (assist by R. Gay),,29,23
2,11:13.0,,J. Collins makes 2-pt layup from 1 ft (assist by K. Huerter),29,25
2,11:13.0,,Shooting foul by R. Gay (drawn by J. Collins),29,25
