QUARTER,TIME_REMAINING,BOSTON_ACTION,ATLANTA_ACTION,BOSTON_SCORE,ATLANTA_SCORE
1,11:38.0,,Turnover by D. Bembry (bad pass; steal by J. Tatum),0,0
1,11:37.0,J. Tatum makes 2-pt layup at rim,,2,0
1,11:37.0,Shooting foul by K. Huerter (drawn by J. Tatum),,2,0
1,11:37.0,J. Tatum makes free throw 1 of 1,,3,0
1,11:26.0,,T. Young misses 3-pt jump shot from 32 ft,3,0
1,11:22.0,,Offensive rebound by J. Collins,3,0
1,11:22.0,,J. Collins makes 2-pt dunk at rim,3,2
1,11:11.0,Turnover by K. Irving (lost ball; steal by K. Huerter),,3,2
1,10:56.0,,D. Dedmon makes 3-pt jump shot from 22 ft (assist by K. Huerter),3,5
1,10:39.0,K. Irving misses 2-pt layup from 7 ft,,3,5
1,10:35.0,,Defensive rebound by J. Collins,3,5
1,10:23.0,,D. Bembry makes 2-pt layup from 2 ft (assist by T. Young),3,7
1,10:08.0,M. Morris misses 2-pt jump shot from 22 ft,,3,7
1,10:05.0,,Defensive rebound by J. Collins,3,7
1,10:00.0,,J. Collins makes 2-pt layup from 1 ft (assist by D. Bembry),3,9
1,10:00.0,,Shooting foul by M. Smart (drawn by J. Collins),3,9
1,10:00.0,,J. Collins makes free throw 1 of 1,3,10
1,9:44.0,M. Morris makes 3-pt jump shot from 26 ft (assist by M. Smart),,6,10
1,9:26.0,,T. Young misses 3-pt jump shot from 26 ft,6,10
1,9:24.0,Defensive rebound by A. Horford,,6,10
1,9:21.0,K. Irving misses 2-pt layup from 2 ft,,6,10
1,9:17.0,,Defensive rebound by T. Young,6,10
1,9:07.0,,J. Collins makes 3-pt jump shot from 23 ft (assist by T. Young),6,13
1,8:50.0,A. Horford makes 2-pt jump shot from 17 ft (assist by M. Smart),,8,13
1,8:40.0,,K. Huerter makes 3-pt jump shot from 30 ft (assist by J. Collins),8,16
1,8:24.0,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Tatum),,11,16
1,8:08.0,,D. Bembry makes 2-pt layup from 1 ft,11,18
1,7:47.0,A. Horford misses 2-pt jump shot from 11 ft,,11,18
1,7:43.0,,Defensive rebound by K. Huerter,11,18
1,7:36.0,,T. Young makes 2-pt layup from 4 ft (assist by K. Huerter),11,20
1,7:34.0,Boston full timeout,,11,20
1,7:15.0,J. Tatum makes 2-pt jump shot from 16 ft (assist by M. Smart),,13,20
1,7:00.0,,D. Dedmon misses 3-pt jump shot from 26 ft,13,20
1,6:57.0,Defensive rebound by M. Morris,,13,20
1,6:50.0,Turnover by K. Irving (bad pass),,13,20
1,6:50.0,,A. Len enters the game for D. Dedmon,13,20
1,6:39.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),13,22
1,6:24.0,M. Morris makes 3-pt jump shot from 25 ft (assist by K. Irving),,16,22
1,6:11.0,,T. Young misses 3-pt jump shot from 28 ft,16,22
1,6:07.0,Defensive rebound by A. Horford,,16,22
1,6:03.0,M. Smart misses 3-pt jump shot from 25 ft,,16,22
1,5:59.0,,Defensive rebound by J. Collins,16,22
1,5:48.0,,K. Huerter misses 3-pt jump shot from 28 ft,16,22
1,5:45.0,Defensive rebound by M. Morris,,16,22
1,5:38.0,M. Morris misses 2-pt layup from 1 ft (block by A. Len),,16,22
1,5:34.0,,Defensive rebound by J. Collins,16,22
1,5:34.0,,Turnover by J. Collins (step out of bounds),16,22
1,5:34.0,,J. Lin enters the game for K. Huerter,16,22
1,5:34.0,,T. Prince enters the game for T. Young,16,22
1,5:25.0,M. Morris misses 2-pt layup from 2 ft,,16,22
1,5:20.0,,Defensive rebound by J. Collins,16,22
1,5:12.0,,J. Collins misses 3-pt jump shot from 25 ft,16,22
1,5:09.0,Defensive rebound by M. Morris,,16,22
1,5:09.0,Turnover by M. Morris (out of bounds lost ball),,16,22
1,5:09.0,J. Brown enters the game for J. Tatum,,16,22
1,5:09.0,,O. Spellman enters the game for J. Collins,16,22
1,4:58.0,,T. Prince misses 3-pt jump shot from 24 ft,16,22
1,4:57.0,Defensive rebound by Team,,16,22
1,4:57.0,,Loose ball foul by O. Spellman (drawn by M. Morris),16,22
1,4:48.0,Personal foul by D. Bembry (drawn by K. Irving),,16,22
1,4:41.0,K. Irving misses 2-pt layup from 1 ft,,16,22
1,4:39.0,Offensive rebound by M. Morris,,16,22
1,4:37.0,M. Morris misses 2-pt jump shot from 2 ft (block by O. Spellman),,16,22
1,4:35.0,,Defensive rebound by T. Prince,16,22
1,4:31.0,,D. Bembry makes 2-pt layup from 1 ft (assist by A. Len),16,24
1,4:19.0,M. Morris misses 3-pt jump shot from 26 ft,,16,24
1,4:17.0,,Defensive rebound by J. Lin,16,24
1,4:11.0,,Turnover by A. Len (traveling),16,24
1,4:11.0,A. Baynes enters the game for M. Morris,,16,24
1,4:11.0,T. Rozier enters the game for M. Smart,,16,24
1,4:11.0,,K. Huerter enters the game for D. Bembry,16,24
1,3:56.0,A. Horford misses 2-pt jump shot from 20 ft,,16,24
1,3:54.0,,Defensive rebound by T. Prince,16,24
1,3:49.0,,O. Spellman makes 3-pt jump shot from 23 ft (assist by J. Lin),16,27
1,3:29.0,Turnover by A. Baynes (lost ball; steal by J. Lin),,16,27
1,3:24.0,,J. Lin misses 3-pt jump shot from 22 ft,16,27
1,3:19.0,Defensive rebound by J. Brown,,16,27
1,3:11.0,J. Brown misses 3-pt jump shot from 26 ft,,16,27
1,3:07.0,,Defensive rebound by O. Spellman,16,27
1,3:05.0,,Personal foul by K. Irving (drawn by J. Lin),16,27
1,3:05.0,S. Ojeleye enters the game for A. Horford,,16,27
1,2:58.0,,K. Huerter makes 2-pt jump shot from 18 ft,16,29
1,2:44.0,K. Irving makes 2-pt jump shot from 8 ft,,18,29
1,2:31.0,,T. Prince misses 3-pt jump shot from 25 ft,18,29
1,2:29.0,,Offensive rebound by A. Len,18,29
1,2:28.0,,A. Len misses 2-pt layup from 3 ft,18,29
1,2:26.0,,Offensive rebound by K. Huerter,18,29
1,2:25.0,,K. Huerter makes 2-pt layup from 2 ft,18,31
1,2:11.0,T. Rozier makes 2-pt jump shot from 12 ft,,20,31
1,1:53.0,,Shooting foul by A. Baynes (drawn by T. Prince),20,31
1,1:53.0,,Atlanta full timeout,20,31
1,1:53.0,,D. Bembry enters the game for K. Huerter,20,31
1,1:53.0,,V. Carter enters the game for A. Len,20,31
1,1:53.0,,T. Young enters the game for J. Lin,20,31
1,1:53.0,,T. Prince makes free throw 1 of 2,20,32
1,1:53.0,,T. Prince makes free throw 2 of 2,20,33
1,1:40.0,K. Irving makes 3-pt jump shot from 26 ft (assist by T. Rozier),,23,33
1,1:26.0,,D. Bembry makes 2-pt layup from 1 ft (assist by V. Carter),23,35
1,1:26.0,,Shooting foul by A. Baynes (drawn by D. Bembry),23,35
1,1:26.0,,J. Collins enters the game for O. Spellman,23,35
1,1:26.0,,D. Bembry makes free throw 1 of 1,23,36
1,1:11.0,Turnover by T. Rozier (bad pass; steal by T. Prince),,23,36
1,0:59.0,,T. Young misses 2-pt layup from 2 ft (block by T. Rozier),23,36
1,0:57.0,Defensive rebound by T. Rozier,,23,36
1,0:51.0,J. Brown misses 3-pt jump shot from 23 ft,,23,36
1,0:47.0,Offensive rebound by A. Baynes,,23,36
1,0:47.0,A. Baynes makes 2-pt jump shot from 16 ft,,25,36
1,0:34.0,,T. Prince misses 3-pt jump shot from 23 ft,25,36
1,0:32.0,Defensive rebound by T. Rozier,,25,36
1,0:26.0,K. Irving makes 2-pt jump shot from 14 ft (assist by T. Rozier),,27,36
1,0:26.0,Shooting foul by T. Prince (drawn by K. Irving),,27,36
1,0:26.0,K. Irving makes free throw 1 of 1,,28,36
1,0:08.0,,Offensive foul by T. Young (drawn by A. Baynes),28,36
1,0:08.0,,Turnover by T. Young (offensive foul),28,36
1,0:01.0,T. Rozier misses 3-pt jump shot from 26 ft,,28,36
1,0:01.0,,Defensive rebound by T. Prince,28,36
2,11:49.0,J. Brown misses 2-pt layup from 7 ft (block by V. Carter),,28,36
2,11:46.0,,Defensive rebound by K. Huerter,28,36
2,11:44.0,,Turnover by T. Young (bad pass; steal by J. Brown),28,36
2,11:41.0,Shooting foul by V. Carter (drawn by J. Brown),,28,36
2,11:41.0,J. Brown makes free throw 1 of 2,,29,36
2,11:41.0,J. Brown makes free throw 2 of 2,,30,36
2,11:29.0,,K. Huerter makes 3-pt jump shot from 26 ft (assist by J. Collins),30,39
2,11:10.0,J. Brown misses 2-pt jump shot from 9 ft,,30,39
2,11:07.0,,Defensive rebound by V. Carter,30,39
2,10:53.0,,K. Huerter makes 3-pt jump shot from 26 ft (assist by J. Lin),30,42
2,10:36.0,Shooting foul by J. Collins (drawn by J. Tatum),,30,42
2,10:36.0,J. Tatum makes free throw 1 of 2,,31,42
2,10:36.0,D. Theis enters the game for A. Baynes,,31,42
2,10:36.0,B. Wanamaker enters the game for S. Ojeleye,,31,42
2,10:36.0,J. Tatum makes free throw 2 of 2,,32,42
2,10:17.0,,J. Lin makes 2-pt jump shot from 12 ft,32,44
2,10:03.0,T. Rozier misses 3-pt jump shot from 22 ft,,32,44
2,10:00.0,,Defensive rebound by J. Collins,32,44
2,9:52.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),32,46
2,9:45.0,T. Rozier makes 2-pt layup from 1 ft,,34,46
2,9:30.0,,Shooting foul by D. Theis (drawn by J. Collins),34,46
2,9:30.0,,J. Collins makes free throw 1 of 2,34,47
2,9:30.0,,D. Dedmon enters the game for V. Carter,34,47
2,9:30.0,,J. Collins makes free throw 2 of 2,34,48
2,9:14.0,J. Tatum misses 2-pt layup from 2 ft,,34,48
2,9:10.0,,Defensive rebound by D. Dedmon,34,48
2,9:04.0,,T. Young misses 2-pt layup from 7 ft,34,48
2,9:01.0,,Offensive rebound by J. Collins,34,48
2,8:55.0,,D. Dedmon makes 2-pt layup from 2 ft (assist by J. Collins),34,50
2,8:55.0,Boston full timeout,,34,50
2,8:55.0,,D. Bembry enters the game for K. Huerter,34,50
2,8:55.0,,T. Prince enters the game for T. Young,34,50
2,8:40.0,J. Brown misses 2-pt layup from 2 ft,,34,50
