QUARTER,TIME_REMAINING,TORONTO_ACTION,ORLANDO_ACTION,TORONTO_SCORE,ORLANDO_SCORE
1,11:46.0,D. Green makes 3-pt jump shot from 26 ft (assist by K. Lowry),,3,0
1,11:28.0,,A. Gordon misses 2-pt jump shot from 4 ft,3,0
1,11:25.0,Defensive rebound by K. Leonard,,3,0
1,11:19.0,K. Leonard misses 2-pt jump shot from 8 ft,,3,0
1,11:19.0,Offensive rebound by Team,,3,0
1,11:03.0,S. Ibaka makes 2-pt hook shot from 6 ft (assist by K. Lowry),,5,0
1,10:48.0,,E. Fournier makes 2-pt layup from 2 ft (assist by N. Vučević),5,2
1,10:29.0,D. Green misses 3-pt jump shot from 23 ft (block by A. Gordon),,5,2
1,10:29.0,Offensive rebound by Team,,5,2
1,10:22.0,K. Leonard misses 2-pt jump shot from 17 ft (block by A. Gordon),,5,2
1,10:19.0,,Defensive rebound by A. Gordon,5,2
1,10:16.0,,Shooting foul by K. Leonard (drawn by A. Gordon),5,2
1,10:16.0,,A. Gordon makes free throw 1 of 2,5,3
1,10:16.0,,A. Gordon makes free throw 2 of 2,5,4
1,10:02.0,S. Ibaka makes 2-pt hook shot from 7 ft (assist by P. Siakam),,7,4
1,9:46.0,,E. Fournier makes 3-pt jump shot from 24 ft (assist by W. Iwundu),7,7
1,9:34.0,S. Ibaka misses 2-pt jump shot from 9 ft,,7,7
1,9:34.0,,Defensive rebound by Team,7,7
1,9:14.0,,E. Fournier misses 3-pt jump shot from 27 ft,7,7
1,9:10.0,,Offensive rebound by N. Vučević,7,7
1,9:06.0,,Turnover by E. Fournier (lost ball; steal by K. Lowry),7,7
1,8:59.0,S. Ibaka misses 2-pt layup from 5 ft (block by A. Gordon),,7,7
1,8:56.0,Offensive rebound by K. Leonard,,7,7
1,8:51.0,K. Leonard makes 3-pt jump shot from 26 ft,,10,7
1,8:37.0,,Shooting foul by P. Siakam (drawn by A. Gordon),10,7
1,8:37.0,,A. Gordon makes free throw 1 of 2,10,8
1,8:37.0,,A. Gordon misses free throw 2 of 2,10,8
1,8:35.0,Defensive rebound by P. Siakam,,10,8
1,8:24.0,Shooting foul by E. Fournier (drawn by K. Leonard),,10,8
1,8:24.0,K. Leonard makes free throw 1 of 2,,11,8
1,8:24.0,K. Leonard misses free throw 2 of 2,,11,8
1,8:22.0,,Defensive rebound by N. Vučević,11,8
1,7:58.0,,A. Gordon misses 2-pt jump shot from 21 ft,11,8
1,7:55.0,Defensive rebound by P. Siakam,,11,8
1,7:50.0,P. Siakam makes 2-pt layup from 4 ft,,13,8
1,7:40.0,,D. Augustin misses 2-pt layup from 4 ft (block by S. Ibaka),13,8
1,7:37.0,Defensive rebound by P. Siakam,,13,8
1,7:33.0,D. Green misses 3-pt jump shot from 29 ft,,13,8
1,7:31.0,,Defensive rebound by W. Iwundu,13,8
1,7:20.0,,E. Fournier misses 3-pt jump shot from 22 ft,13,8
1,7:17.0,Defensive rebound by K. Leonard,,13,8
1,7:13.0,Personal foul by A. Gordon (drawn by K. Leonard),,13,8
1,7:00.0,P. Siakam misses 3-pt jump shot from 27 ft,,13,8
1,6:58.0,,Defensive rebound by N. Vučević,13,8
1,6:54.0,,Personal foul by K. Lowry (drawn by D. Augustin),13,8
1,6:54.0,,Orlando full timeout,13,8
1,6:45.0,,Turnover by A. Gordon (bad pass),13,8
1,6:26.0,S. Ibaka makes 2-pt hook shot from 5 ft,,15,8
1,6:10.0,,Shooting foul by K. Leonard (drawn by W. Iwundu),15,8
1,6:10.0,,W. Iwundu misses free throw 1 of 2,15,8
1,6:10.0,,Offensive rebound by Team,15,8
1,6:10.0,,W. Iwundu makes free throw 2 of 2,15,9
1,5:57.0,K. Leonard makes 2-pt layup from 4 ft (assist by K. Lowry),,17,9
1,5:39.0,,D. Augustin misses 3-pt jump shot from 26 ft,17,9
1,5:36.0,Defensive rebound by S. Ibaka,,17,9
1,5:34.0,Turnover by K. Lowry (bad pass),,17,9
1,5:19.0,,Turnover by N. Vučević (bad pass; steal by K. Leonard),17,9
1,5:14.0,Turnover by K. Leonard (bad pass),,17,9
1,5:14.0,,J. Grant enters the game for D. Augustin,17,9
1,5:14.0,,T. Ross enters the game for W. Iwundu,17,9
1,5:01.0,,N. Vučević misses 2-pt jump shot from 10 ft,17,9
1,4:59.0,Defensive rebound by P. Siakam,,17,9
1,4:52.0,S. Ibaka misses 3-pt jump shot from 26 ft,,17,9
1,4:50.0,,Defensive rebound by A. Gordon,17,9
1,4:40.0,,T. Ross misses 2-pt jump shot from 9 ft,17,9
1,4:40.0,Defensive rebound by P. Siakam,,17,9
1,4:31.0,P. Siakam misses 2-pt layup from 6 ft,,17,9
1,4:30.0,Offensive rebound by P. Siakam,,17,9
1,4:23.0,P. Siakam misses 2-pt layup from 6 ft,,17,9
1,4:18.0,Offensive rebound by S. Ibaka,,17,9
1,4:18.0,S. Ibaka makes 2-pt dunk from 1 ft,,19,9
1,4:14.0,,Orlando full timeout,19,9
1,4:14.0,F. VanVleet enters the game for K. Leonard,,19,9
1,3:56.0,,N. Vučević makes 2-pt hook shot from 3 ft,19,11
1,3:30.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by S. Ibaka),,22,11
1,3:16.0,,N. Vučević misses 3-pt jump shot from 25 ft,22,11
1,3:13.0,Defensive rebound by K. Lowry,,22,11
1,2:59.0,Turnover by P. Siakam (bad pass),,22,11
1,2:59.0,,J. Isaac enters the game for E. Fournier,22,11
1,2:59.0,,J. Simmons enters the game for A. Gordon,22,11
1,2:42.0,,J. Grant makes 2-pt layup from 4 ft,22,13
1,2:24.0,S. Ibaka misses 2-pt hook shot from 8 ft,,22,13
1,2:22.0,,Defensive rebound by N. Vučević,22,13
1,2:16.0,,T. Ross misses 3-pt jump shot from 27 ft,22,13
1,2:13.0,Defensive rebound by F. VanVleet,,22,13
1,2:09.0,Turnover by S. Ibaka (traveling),,22,13
1,2:09.0,J. Valančiūnas enters the game for S. Ibaka,,22,13
1,2:09.0,D. Wright enters the game for P. Siakam,,22,13
1,2:09.0,,M. Bamba enters the game for N. Vučević,22,13
1,2:05.0,,Personal foul by J. Valančiūnas (drawn by M. Bamba),22,13
1,2:05.0,,M. Bamba makes free throw 1 of 2,22,14
1,2:05.0,,M. Bamba makes free throw 2 of 2,22,15
1,1:46.0,D. Green misses 2-pt layup from 5 ft,,22,15
1,1:44.0,,Defensive rebound by J. Simmons,22,15
1,1:41.0,,Turnover by J. Simmons (lost ball; steal by F. VanVleet),22,15
1,1:38.0,Shooting foul by T. Ross (drawn by F. VanVleet),,22,15
1,1:38.0,F. VanVleet makes free throw 1 of 2,,23,15
1,1:38.0,L. Brown enters the game for K. Lowry,,23,15
1,1:38.0,F. VanVleet makes free throw 2 of 2,,24,15
1,1:24.0,,J. Simmons misses 2-pt layup from 6 ft (block by D. Green),24,15
1,1:24.0,Defensive rebound by Team,,24,15
1,1:11.0,J. Valančiūnas misses 3-pt jump shot from 26 ft,,24,15
1,1:07.0,,Defensive rebound by J. Simmons,24,15
1,0:51.0,,J. Isaac makes 2-pt jump shot from 19 ft (assist by J. Grant),24,17
1,0:28.0,Shooting foul by J. Isaac (drawn by L. Brown),,24,17
1,0:28.0,L. Brown makes free throw 1 of 2,,25,17
1,0:28.0,P. Siakam enters the game for D. Green,,25,17
1,0:28.0,L. Brown makes free throw 2 of 2,,26,17
1,0:11.0,,J. Simmons misses 2-pt jump shot from 17 ft,26,17
1,0:08.0,Defensive rebound by L. Brown,,26,17
1,0:00.0,L. Brown makes 3-pt jump shot from 23 ft (assist by F. VanVleet),,29,17
2,11:42.0,,J. Isaac makes 2-pt layup from 5 ft (assist by M. Bamba),29,19
2,11:19.0,L. Brown misses 3-pt jump shot from 27 ft,,29,19
2,11:16.0,,Defensive rebound by M. Bamba,29,19
2,11:07.0,,Turnover by J. Grant (bad pass; steal by J. Valančiūnas),29,19
2,11:03.0,D. Wright misses 3-pt jump shot from 25 ft,,29,19
2,10:58.0,,Defensive rebound by J. Isaac,29,19
2,10:39.0,,J. Grant misses 3-pt jump shot from 25 ft,29,19
2,10:35.0,Defensive rebound by J. Valančiūnas,,29,19
2,10:31.0,P. Siakam makes 2-pt layup from 3 ft (assist by L. Brown),,31,19
2,10:15.0,,Shooting foul by P. Siakam (drawn by J. Isaac),31,19
2,10:15.0,,J. Isaac misses free throw 1 of 2,31,19
2,10:15.0,,Offensive rebound by Team,31,19
2,10:15.0,,J. Isaac makes free throw 2 of 2,31,20
2,9:49.0,L. Brown makes 3-pt jump shot from 23 ft (assist by F. VanVleet),,34,20
2,9:23.0,,J. Simmons misses 2-pt hook shot from 9 ft,34,20
2,9:21.0,,Offensive rebound by M. Bamba,34,20
2,9:21.0,K. Leonard enters the game for P. Siakam,,34,20
2,9:17.0,,T. Ross makes 2-pt jump shot from 15 ft (assist by J. Grant),34,22
2,8:54.0,J. Valančiūnas makes 2-pt layup from 3 ft (assist by D. Wright),,36,22
2,8:48.0,,Orlando full timeout,36,22
2,8:36.0,,T. Ross misses 2-pt jump shot from 19 ft (block by D. Wright),36,22
2,8:32.0,,Offensive rebound by M. Bamba,36,22
2,8:28.0,,J. Isaac misses 2-pt jump shot from 17 ft,36,22
2,8:26.0,Defensive rebound by D. Wright,,36,22
2,8:09.0,K. Leonard misses 3-pt jump shot from 27 ft,,36,22
2,8:07.0,,Defensive rebound by J. Grant,36,22
2,7:49.0,,J. Simmons misses 2-pt jump shot from 7 ft,36,22
2,7:47.0,Defensive rebound by K. Leonard,,36,22
2,7:30.0,F. VanVleet misses 2-pt jump shot from 20 ft,,36,22
2,7:25.0,,Defensive rebound by J. Isaac,36,22
2,7:17.0,,Turnover by T. Ross (bad pass; steal by J. Valančiūnas),36,22
2,7:12.0,J. Valančiūnas makes 2-pt dunk from 4 ft (assist by D. Wright),,38,22
2,6:57.0,,Turnover by J. Grant (bad pass),38,22
2,6:57.0,,E. Fournier enters the game for J. Isaac,38,22
2,6:57.0,,A. Gordon enters the game for T. Ross,38,22
2,6:43.0,K. Leonard makes 2-pt jump shot from 18 ft,,40,22
2,6:20.0,,M. Bamba makes 3-pt jump shot from 23 ft (assist by J. Grant),40,25
2,6:08.0,L. Brown misses 3-pt jump shot from 25 ft,,40,25
2,6:04.0,,Defensive rebound by J. Grant,40,25
2,5:48.0,,A. Gordon misses 3-pt jump shot from 22 ft,40,25
2,5:46.0,Defensive rebound by J. Valančiūnas,,40,25
2,5:43.0,Offensive rebound by Team,,40,25
2,5:43.0,D. Wright misses 2-pt layup from 3 ft (block by J. Simmons),,40,25
2,5:43.0,D. Green enters the game for L. Brown,,40,25
2,5:43.0,K. Lowry enters the game for D. Wright,,40,25
2,5:43.0,,D. Augustin enters the game for M. Bamba,40,25
2,5:43.0,,N. Vučević enters the game for J. Grant,40,25
2,5:26.0,K. Leonard misses 2-pt layup from 3 ft,,40,25
2,5:24.0,,Defensive rebound by N. Vučević,40,25
2,5:15.0,,Personal foul by K. Lowry (drawn by N. Vučević),40,25
2,5:15.0,,W. Iwundu enters the game for J. Simmons,40,25
2,5:06.0,,E. Fournier misses 2-pt layup from 2 ft,40,25
2,5:04.0,Defensive rebound by K. Leonard,,40,25
2,5:02.0,Turnover by D. Green (step out of bounds),,40,25
2,4:50.0,,D. Augustin misses 2-pt jump shot from 11 ft,40,25
2,4:47.0,Defensive rebound by K. Lowry,,40,25
2,4:45.0,Personal foul by W. Iwundu (drawn by F. VanVleet),,40,25
2,4:37.0,J. Valančiūnas misses 2-pt hook shot from 7 ft,,40,25
2,4:35.0,,Defensive rebound by N. Vučević,40,25
2,4:31.0,,A. Gordon makes 2-pt layup from 3 ft (assist by N. Vučević),40,27
2,4:31.0,,Shooting foul by K. Leonard (drawn by A. Gordon),40,27
2,4:31.0,S. Ibaka enters the game for J. Valančiūnas,,40,27
2,4:31.0,,A. Gordon makes free throw 1 of 1,40,28
2,4:06.0,F. VanVleet misses 2-pt jump shot from 20 ft,,40,28
2,4:03.0,,Defensive rebound by E. Fournier,40,28
2,3:58.0,,Turnover by N. Vučević (bad pass),40,28
2,3:58.0,Toronto full timeout,,40,28
2,3:58.0,L. Brown enters the game for K. Leonard,,40,28
2,3:58.0,P. Siakam enters the game for F. VanVleet,,40,28
2,3:46.0,K. Lowry misses 3-pt jump shot from 26 ft,,40,28
2,3:43.0,,Defensive rebound by W. Iwundu,40,28
2,3:39.0,,W. Iwundu makes 2-pt layup from 4 ft,40,30
2,3:26.0,S. Ibaka misses 3-pt jump shot from 26 ft,,40,30
2,3:23.0,,Defensive rebound by D. Augustin,40,30
2,3:16.0,,N. Vučević makes 2-pt jump shot from 21 ft (assist by D. Augustin),40,32
2,2:49.0,D. Green misses 2-pt jump shot from 7 ft,,40,32
2,2:47.0,,Defensive rebound by D. Augustin,40,32
2,2:44.0,,A. Gordon misses 2-pt layup from 4 ft,40,32
2,2:41.0,Defensive rebound by L. Brown,,40,32
2,2:34.0,P. Siakam makes 2-pt layup from 4 ft,,42,32
2,2:12.0,,A. Gordon misses 2-pt jump shot from 4 ft,42,32
2,2:07.0,Defensive rebound by D. Green,,42,32
2,2:06.0,Offensive foul by S. Ibaka (drawn by D. Augustin),,42,32
