QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA CLIPPERS_ACTION,ORLANDO_SCORE,LA CLIPPERS_SCORE
1,11:44.0,,T. Harris misses 2-pt jump shot from 16 ft,0,0
1,11:41.0,Defensive rebound by A. Gordon,,0,0
1,11:30.0,E. Fournier misses 3-pt jump shot from 26 ft,,0,0
1,11:27.0,,Defensive rebound by M. Gortat,0,0
1,11:18.0,,T. Harris misses 2-pt jump shot from 5 ft,0,0
1,11:15.0,,Offensive rebound by M. Gortat,0,0
1,11:14.0,,M. Gortat misses 2-pt layup from 2 ft,0,0
1,11:11.0,Defensive rebound by N. Vučević,,0,0
1,11:01.0,N. Vučević misses 2-pt layup from 2 ft,,0,0
1,10:59.0,Offensive rebound by N. Vučević,,0,0
1,10:59.0,N. Vučević makes 2-pt layup at rim,,2,0
1,10:48.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 18 ft (assist by M. Gortat),2,2
1,10:31.0,A. Gordon makes 2-pt jump shot from 21 ft (assist by N. Vučević),,4,2
1,10:15.0,,A. Bradley misses 2-pt jump shot from 18 ft,4,2
1,10:11.0,Defensive rebound by N. Vučević,,4,2
1,10:02.0,J. Isaac misses 3-pt jump shot from 25 ft,,4,2
1,9:59.0,Offensive rebound by N. Vučević,,4,2
1,9:57.0,E. Fournier makes 2-pt layup from 2 ft (assist by N. Vučević),,6,2
1,9:39.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,6,4
1,9:28.0,A. Gordon misses 2-pt jump shot from 16 ft,,6,4
1,9:26.0,,Defensive rebound by M. Gortat,6,4
1,9:18.0,,T. Harris misses 2-pt jump shot from 6 ft,6,4
1,9:16.0,Defensive rebound by N. Vučević,,6,4
1,9:08.0,D. Augustin makes 2-pt jump shot from 10 ft,,8,4
1,8:49.0,,A. Bradley misses 2-pt jump shot from 17 ft,8,4
1,8:47.0,Defensive rebound by N. Vučević,,8,4
1,8:32.0,N. Vučević makes 2-pt jump shot from 22 ft (assist by E. Fournier),,10,4
1,8:09.0,,D. Gallinari misses 2-pt jump shot from 5 ft,10,4
1,8:07.0,Defensive rebound by N. Vučević,,10,4
1,8:00.0,J. Isaac misses 3-pt jump shot from 24 ft,,10,4
1,7:56.0,,Defensive rebound by D. Gallinari,10,4
