QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,ORLANDO_ACTION,SAN ANTONIO_SCORE,ORLANDO_SCORE
1,11:48.0,Offensive foul by B. Forbes (drawn by A. Gordon),,0,0
1,11:48.0,Turnover by B. Forbes (offensive foul),,0,0
1,11:23.0,,E. Fournier makes 3-pt jump shot from 27 ft,0,3
1,11:08.0,L. Aldridge misses 2-pt jump shot from 21 ft,,0,3
1,11:06.0,,Defensive rebound by A. Gordon,0,3
1,10:57.0,,D. Augustin misses 3-pt jump shot from 25 ft,0,3
1,10:53.0,Defensive rebound by D. White,,0,3
1,10:38.0,R. Gay misses 3-pt jump shot from 26 ft,,0,3
1,10:35.0,,Defensive rebound by M. Bamba,0,3
1,10:30.0,,Turnover by A. Gordon (bad pass; steal by L. Aldridge),0,3
1,10:24.0,B. Forbes makes 3-pt jump shot from 25 ft,,3,3
1,10:01.0,,Personal foul by D. DeRozan (drawn by J. Isaac),3,3
1,9:49.0,,E. Fournier misses 2-pt jump shot from 9 ft,3,3
1,9:47.0,Defensive rebound by L. Aldridge,,3,3
1,9:43.0,D. White makes 2-pt layup from 1 ft,,5,3
1,9:18.0,,A. Gordon misses 2-pt jump shot from 14 ft,5,3
1,9:14.0,Defensive rebound by D. DeRozan,,5,3
1,8:54.0,R. Gay makes 2-pt jump shot from 22 ft (assist by L. Aldridge),,7,3
1,8:35.0,,D. Augustin makes 2-pt layup from 1 ft (assist by M. Bamba),7,5
1,8:18.0,B. Forbes makes 2-pt jump shot from 22 ft,,9,5
1,7:54.0,,Turnover by E. Fournier (lost ball; steal by D. DeRozan),9,5
1,7:45.0,R. Gay misses 2-pt jump shot from 5 ft (block by M. Bamba),,9,5
1,7:41.0,,Defensive rebound by A. Gordon,9,5
1,7:39.0,,D. Augustin makes 3-pt jump shot from 28 ft (assist by A. Gordon),9,8
1,7:23.0,R. Gay makes 2-pt dunk at rim (assist by D. White),,11,8
1,7:02.0,,E. Fournier makes 2-pt layup from 1 ft (assist by M. Bamba),11,10
1,6:49.0,Personal foul by A. Gordon (drawn by L. Aldridge),,11,10
1,6:49.0,,Orlando full timeout,11,10
1,6:36.0,D. DeRozan makes 2-pt jump shot from 15 ft,,13,10
1,6:13.0,,M. Bamba misses 2-pt jump shot from 21 ft,13,10
1,6:10.0,Defensive rebound by R. Gay,,13,10
1,6:08.0,B. Forbes makes 3-pt jump shot from 27 ft (assist by R. Gay),,16,10
1,5:39.0,,Turnover by Team (shot clock),16,10
1,5:39.0,P. Mills enters the game for D. White,,16,10
1,5:39.0,,J. Simmons enters the game for A. Gordon,16,10
1,5:16.0,Turnover by D. DeRozan (bad pass; steal by E. Fournier),,16,10
1,5:04.0,,D. Augustin makes 2-pt jump shot from 11 ft,16,12
1,4:52.0,D. DeRozan misses 2-pt jump shot from 6 ft (block by M. Bamba),,16,12
1,4:49.0,,Defensive rebound by J. Isaac,16,12
1,4:46.0,,E. Fournier misses 3-pt jump shot from 27 ft,16,12
1,4:41.0,Defensive rebound by B. Forbes,,16,12
1,4:35.0,L. Aldridge misses 3-pt jump shot from 26 ft,,16,12
1,4:32.0,,Defensive rebound by J. Simmons,16,12
1,4:24.0,,E. Fournier misses 2-pt jump shot from 5 ft (block by R. Gay),16,12
1,4:20.0,Defensive rebound by D. DeRozan,,16,12
1,4:16.0,B. Forbes makes 2-pt layup from 3 ft,,18,12
1,3:58.0,,M. Bamba misses 3-pt jump shot from 26 ft,18,12
1,3:58.0,Defensive rebound by D. DeRozan,,18,12
1,3:52.0,Shooting foul by E. Fournier (drawn by L. Aldridge),,18,12
1,3:52.0,L. Aldridge makes free throw 1 of 2,,19,12
1,3:52.0,M. Belinelli enters the game for D. DeRozan,,19,12
1,3:52.0,D. Bertāns enters the game for R. Gay,,19,12
1,3:52.0,,K. Birch enters the game for D. Augustin,19,12
1,3:52.0,,J. Grant enters the game for M. Bamba,19,12
1,3:52.0,L. Aldridge makes free throw 2 of 2,,20,12
1,3:40.0,,E. Fournier makes 2-pt jump shot from 17 ft,20,14
1,3:17.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,23,14
1,3:05.0,,J. Simmons makes 2-pt hook shot from 8 ft,23,16
1,3:05.0,San Antonio full timeout,,23,16
1,3:05.0,,A. Gordon enters the game for E. Fournier,23,16
1,3:05.0,,T. Ross enters the game for J. Isaac,23,16
1,2:56.0,Turnover by M. Belinelli (traveling),,23,16
1,2:56.0,J. Poeltl enters the game for L. Aldridge,,23,16
1,2:42.0,,T. Ross makes 2-pt jump shot from 21 ft (assist by J. Grant),23,18
1,2:21.0,P. Mills makes 3-pt jump shot from 26 ft,,26,18
1,2:05.0,,Shooting foul by D. Bertāns (drawn by K. Birch),26,18
1,2:05.0,,K. Birch makes free throw 1 of 2,26,19
1,2:05.0,D. DeRozan enters the game for B. Forbes,,26,19
1,2:05.0,,K. Birch makes free throw 2 of 2,26,20
1,1:47.0,D. Bertāns makes 3-pt jump shot from 27 ft (assist by M. Belinelli),,29,20
1,1:33.0,,T. Ross makes 2-pt jump shot from 23 ft (assist by J. Grant),29,22
1,1:19.0,P. Mills misses 2-pt jump shot from 20 ft,,29,22
1,1:16.0,,Defensive rebound by A. Gordon,29,22
1,1:06.0,,T. Ross misses 2-pt jump shot from 21 ft,29,22
1,1:03.0,Defensive rebound by M. Belinelli,,29,22
1,0:58.0,M. Belinelli makes 2-pt jump shot from 20 ft,,31,22
1,0:46.0,,J. Simmons misses 3-pt jump shot from 26 ft,31,22
1,0:42.0,Defensive rebound by P. Mills,,31,22
1,0:38.0,Turnover by D. Bertāns (step out of bounds),,31,22
1,0:33.0,,J. Grant makes 2-pt jump shot from 18 ft,31,24
1,0:21.0,J. Poeltl misses 2-pt dunk from 1 ft,,31,24
1,0:19.0,,Defensive rebound by A. Gordon,31,24
1,0:02.0,,Personal foul by P. Mills (drawn by K. Birch),31,24
1,0:00.0,,J. Grant misses 3-pt jump shot from 26 ft,31,24
1,0:00.0,,Offensive rebound by Team,31,24
2,11:43.0,,D. Augustin misses 2-pt jump shot from 16 ft,31,24
2,11:43.0,,Offensive rebound by Team,31,24
2,11:43.0,D. White enters the game for D. DeRozan,,31,24
2,11:36.0,,J. Simmons misses 2-pt jump shot from 6 ft,31,24
2,11:36.0,,Offensive rebound by Team,31,24
2,11:36.0,,Personal foul by M. Belinelli (drawn by K. Birch),31,24
2,11:31.0,,Turnover by J. Simmons (step out of bounds),31,24
2,11:18.0,M. Belinelli makes 2-pt jump shot from 22 ft (assist by D. Bertāns),,33,24
2,10:56.0,,A. Gordon misses 2-pt jump shot from 11 ft,33,24
