QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,ORLANDO_ACTION,SAN ANTONIO_SCORE,ORLANDO_SCORE
2,10:52.0,Defensive rebound by J. Poeltl,,33,24
2,10:47.0,M. Belinelli makes 3-pt jump shot from 26 ft,,36,24
2,10:31.0,,A. Gordon misses 3-pt jump shot from 26 ft,36,24
2,10:26.0,Defensive rebound by J. Poeltl,,36,24
2,10:15.0,M. Belinelli makes 3-pt jump shot from 26 ft (assist by J. Poeltl),,39,24
2,10:10.0,,Orlando full timeout,39,24
2,10:10.0,,Turnover by (5 sec),39,24
2,9:51.0,D. White makes 2-pt jump shot from 7 ft (assist by J. Poeltl),,41,24
2,9:33.0,,T. Ross makes 3-pt jump shot from 25 ft,41,27
2,9:15.0,D. Bertāns makes 3-pt jump shot from 27 ft (assist by M. Belinelli),,44,27
2,8:51.0,,T. Ross misses 2-pt jump shot from 6 ft,44,27
2,8:51.0,,Offensive rebound by Team,44,27
2,8:51.0,B. Forbes enters the game for P. Mills,,44,27
2,8:47.0,,T. Ross misses 2-pt jump shot from 21 ft,44,27
2,8:43.0,Defensive rebound by B. Forbes,,44,27
2,8:41.0,D. Bertāns makes 3-pt jump shot from 23 ft (assist by M. Belinelli),,47,27
2,8:14.0,,J. Simmons makes 2-pt jump shot from 19 ft (assist by A. Gordon),47,29
2,8:00.0,M. Belinelli misses 3-pt jump shot from 27 ft,,47,29
2,7:57.0,,Defensive rebound by A. Gordon,47,29
2,7:51.0,,Offensive foul by A. Gordon (drawn by D. Bertāns),47,29
2,7:51.0,,Turnover by A. Gordon (offensive foul),47,29
2,7:51.0,D. DeRozan enters the game for M. Belinelli,,47,29
2,7:51.0,,E. Fournier enters the game for J. Simmons,47,29
2,7:27.0,D. White misses 3-pt jump shot from 27 ft,,47,29
2,7:24.0,,Defensive rebound by A. Gordon,47,29
2,7:18.0,,D. Augustin makes 2-pt layup from 2 ft,47,31
2,7:18.0,San Antonio full timeout,,47,31
2,7:18.0,L. Aldridge enters the game for D. Bertāns,,47,31
2,7:18.0,R. Gay enters the game for J. Poeltl,,47,31
2,7:04.0,R. Gay misses 2-pt jump shot from 20 ft,,47,31
2,7:04.0,,Defensive rebound by Team,47,31
2,6:41.0,,D. Augustin misses 2-pt jump shot from 13 ft (block by D. White),47,31
2,6:36.0,,Offensive rebound by E. Fournier,47,31
2,6:34.0,,E. Fournier misses 2-pt jump shot from 17 ft,47,31
2,6:29.0,Defensive rebound by R. Gay,,47,31
2,6:25.0,D. DeRozan makes 2-pt jump shot from 21 ft (assist by L. Aldridge),,49,31
2,6:12.0,,Shooting foul by B. Forbes (drawn by D. Augustin),49,31
2,6:12.0,,D. Augustin makes free throw 1 of 2,49,32
2,6:12.0,,D. Augustin makes free throw 2 of 2,49,33
2,6:01.0,Personal foul by K. Birch (drawn by L. Aldridge),,49,33
2,6:01.0,,M. Bamba enters the game for D. Augustin,49,33
2,6:01.0,,J. Grant enters the game for K. Birch,49,33
2,6:01.0,,J. Isaac enters the game for A. Gordon,49,33
2,5:48.0,R. Gay makes 2-pt hook shot from 12 ft (assist by D. DeRozan),,51,33
2,5:36.0,,M. Bamba makes 2-pt jump shot from 19 ft (assist by J. Grant),51,35
2,5:17.0,L. Aldridge makes 2-pt jump shot from 9 ft,,53,35
2,5:02.0,,T. Ross misses 2-pt jump shot from 20 ft,53,35
2,4:59.0,,Offensive rebound by J. Isaac,53,35
2,4:58.0,,J. Isaac misses 2-pt layup from 5 ft,53,35
2,4:53.0,Defensive rebound by D. DeRozan,,53,35
2,4:50.0,D. White makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,56,35
2,4:31.0,,J. Grant misses 3-pt jump shot from 25 ft,56,35
2,4:29.0,,Offensive rebound by M. Bamba,56,35
2,4:21.0,,E. Fournier misses 2-pt jump shot from 15 ft,56,35
2,4:17.0,Defensive rebound by R. Gay,,56,35
2,4:11.0,Turnover by L. Aldridge (traveling),,56,35
2,4:05.0,,Offensive foul by M. Bamba (drawn by D. White),56,35
2,4:05.0,,Turnover by M. Bamba (offensive foul),56,35
2,3:46.0,L. Aldridge misses 2-pt jump shot from 11 ft,,56,35
2,3:41.0,,Defensive rebound by E. Fournier,56,35
2,3:33.0,,E. Fournier misses 2-pt jump shot from 10 ft,56,35
2,3:31.0,Defensive rebound by L. Aldridge,,56,35
2,3:24.0,B. Forbes misses 3-pt jump shot from 29 ft,,56,35
2,3:20.0,Offensive rebound by B. Forbes,,56,35
2,3:17.0,L. Aldridge makes 2-pt layup from 1 ft (assist by R. Gay),,58,35
2,3:17.0,Shooting foul by M. Bamba (drawn by L. Aldridge),,58,35
2,3:17.0,,D. Augustin enters the game for J. Grant,58,35
2,3:17.0,,A. Gordon enters the game for T. Ross,58,35
2,3:17.0,L. Aldridge misses free throw 1 of 1,,58,35
2,3:15.0,,Defensive rebound by D. Augustin,58,35
2,3:01.0,,E. Fournier misses 3-pt jump shot from 25 ft,58,35
2,2:57.0,Defensive rebound by D. DeRozan,,58,35
2,2:55.0,R. Gay makes 2-pt dunk from 1 ft (assist by D. DeRozan),,60,35
2,2:42.0,,J. Isaac makes 3-pt jump shot from 24 ft (assist by D. Augustin),60,38
2,2:18.0,L. Aldridge makes 2-pt jump shot from 15 ft,,62,38
2,2:18.0,,Orlando full timeout,62,38
2,2:18.0,,K. Birch enters the game for M. Bamba,62,38
2,2:18.0,,W. Iwundu enters the game for A. Gordon,62,38
2,2:05.0,,Turnover by E. Fournier (bad pass),62,38
2,1:56.0,D. DeRozan misses 2-pt jump shot from 17 ft,,62,38
2,1:53.0,,Defensive rebound by J. Isaac,62,38
2,1:48.0,,D. Augustin makes 3-pt jump shot from 26 ft,62,41
2,1:30.0,Offensive foul by L. Aldridge (drawn by J. Isaac),,62,41
2,1:30.0,Turnover by L. Aldridge (offensive foul),,62,41
2,1:14.0,,J. Isaac makes 3-pt jump shot from 26 ft (assist by E. Fournier),62,44
2,0:48.0,B. Forbes makes 2-pt jump shot from 18 ft (assist by D. DeRozan),,64,44
2,0:32.0,,W. Iwundu misses 2-pt jump shot from 15 ft,64,44
2,0:28.0,Defensive rebound by B. Forbes,,64,44
2,0:09.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. White),,66,44
2,0:00.0,,J. Isaac misses 3-pt jump shot from 25 ft,66,44
2,0:00.0,,Offensive rebound by Team,66,44
3,11:42.0,,J. Isaac makes 2-pt jump shot from 13 ft (assist by A. Gordon),66,46
3,11:24.0,D. DeRozan misses 2-pt jump shot from 17 ft,,66,46
3,11:21.0,,Defensive rebound by M. Bamba,66,46
3,11:12.0,,Offensive foul by A. Gordon (drawn by D. White),66,46
3,11:12.0,,Turnover by A. Gordon (offensive foul),66,46
3,10:51.0,R. Gay makes 2-pt jump shot from 20 ft,,68,46
3,10:30.0,,E. Fournier misses 3-pt jump shot from 31 ft,68,46
3,10:26.0,,Offensive rebound by J. Isaac,68,46
3,10:24.0,,D. Augustin makes 3-pt jump shot from 25 ft (assist by J. Isaac),68,49
3,10:09.0,Turnover by B. Forbes (lost ball; steal by M. Bamba),,68,49
3,10:09.0,,Personal foul by B. Forbes (drawn by M. Bamba),68,49
3,9:50.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by A. Gordon),68,52
3,9:33.0,D. DeRozan makes 2-pt jump shot from 8 ft,,70,52
3,9:19.0,,Shooting foul by D. White (drawn by M. Bamba),70,52
3,9:19.0,,M. Bamba makes free throw 1 of 2,70,53
3,9:19.0,,M. Bamba misses free throw 2 of 2,70,53
3,9:16.0,Defensive rebound by R. Gay,,70,53
3,9:06.0,Shooting foul by A. Gordon (drawn by D. DeRozan),,70,53
3,9:06.0,D. DeRozan makes free throw 1 of 2,,71,53
3,9:06.0,D. DeRozan makes free throw 2 of 2,,72,53
3,8:49.0,,E. Fournier misses 2-pt layup from 3 ft,72,53
3,8:42.0,,Offensive rebound by M. Bamba,72,53
3,8:42.0,,M. Bamba makes 2-pt layup at rim,72,55
3,8:37.0,B. Forbes makes 2-pt jump shot from 18 ft (assist by L. Aldridge),,74,55
3,8:21.0,,D. Augustin misses 3-pt jump shot from 27 ft,74,55
3,8:17.0,Defensive rebound by L. Aldridge,,74,55
3,8:07.0,Shooting foul by M. Bamba (drawn by R. Gay),,74,55
3,8:07.0,R. Gay makes free throw 1 of 2,,75,55
3,8:07.0,,J. Simmons enters the game for A. Gordon,75,55
3,8:07.0,R. Gay makes free throw 2 of 2,,76,55
3,7:50.0,,E. Fournier makes 2-pt jump shot from 11 ft,76,57
3,7:29.0,R. Gay makes 2-pt jump shot from 23 ft,,78,57
3,7:15.0,,Turnover by E. Fournier (bad pass; steal by L. Aldridge),78,57
3,7:01.0,D. DeRozan makes 2-pt jump shot from 7 ft (assist by R. Gay),,80,57
3,6:42.0,,J. Isaac misses 2-pt jump shot from 12 ft,80,57
3,6:38.0,Defensive rebound by D. DeRozan,,80,57
3,6:35.0,L. Aldridge makes 2-pt layup from 2 ft (assist by D. DeRozan),,82,57
3,6:35.0,Shooting foul by J. Isaac (drawn by L. Aldridge),,82,57
3,6:35.0,,Orlando full timeout,82,57
3,6:35.0,,K. Birch enters the game for M. Bamba,82,57
3,6:35.0,L. Aldridge makes free throw 1 of 1,,83,57
3,6:19.0,,J. Simmons makes 2-pt jump shot from 17 ft,83,59
3,6:09.0,Personal foul by K. Birch (drawn by D. DeRozan),,83,59
3,6:05.0,D. DeRozan misses 2-pt layup from 5 ft,,83,59
3,6:01.0,,Defensive rebound by J. Isaac,83,59
3,5:54.0,,J. Isaac makes 2-pt jump shot from 14 ft (assist by D. Augustin),83,61
3,5:38.0,Personal foul by K. Birch (drawn by L. Aldridge),,83,61
3,5:38.0,L. Aldridge makes free throw 1 of 2,,84,61
3,5:38.0,P. Mills enters the game for D. White,,84,61
3,5:38.0,L. Aldridge makes free throw 2 of 2,,85,61
3,5:25.0,,E. Fournier misses 3-pt jump shot from 26 ft,85,61
3,5:22.0,Defensive rebound by R. Gay,,85,61
3,5:17.0,Shooting foul by K. Birch (drawn by L. Aldridge),,85,61
3,5:17.0,L. Aldridge makes free throw 1 of 2,,86,61
3,5:17.0,M. Belinelli enters the game for B. Forbes,,86,61
3,5:17.0,,A. Gordon enters the game for D. Augustin,86,61
3,5:17.0,,J. Grant enters the game for K. Birch,86,61
3,5:17.0,L. Aldridge makes free throw 2 of 2,,87,61
3,5:05.0,,Shooting foul by M. Belinelli (drawn by A. Gordon),87,61
3,5:05.0,,A. Gordon makes free throw 1 of 2,87,62
3,5:05.0,,A. Gordon misses free throw 2 of 2,87,62
3,5:01.0,Defensive rebound by R. Gay,,87,62
3,4:46.0,P. Mills misses 2-pt jump shot from 6 ft,,87,62
3,4:43.0,,Defensive rebound by A. Gordon,87,62
3,4:40.0,,Shooting foul by R. Gay (drawn by A. Gordon),87,62
3,4:40.0,,A. Gordon misses free throw 1 of 2,87,62
3,4:40.0,,Offensive rebound by Team,87,62
3,4:40.0,,A. Gordon makes free throw 2 of 2,87,63
3,4:19.0,D. DeRozan makes 2-pt layup from 1 ft,,89,63
3,4:08.0,,J. Isaac misses 3-pt jump shot from 26 ft,89,63
3,4:06.0,Defensive rebound by Team,,89,63
3,4:06.0,D. Bertāns enters the game for R. Gay,,89,63
3,4:06.0,,T. Ross enters the game for E. Fournier,89,63
3,3:45.0,M. Belinelli makes 3-pt jump shot from 27 ft,,92,63
3,3:25.0,,J. Simmons makes 2-pt jump shot from 3 ft (assist by T. Ross),92,65
3,3:18.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. DeRozan),,94,65
3,3:18.0,Shooting foul by J. Grant (drawn by L. Aldridge),,94,65
3,3:18.0,L. Aldridge makes free throw 1 of 1,,95,65
3,3:04.0,,T. Ross misses 2-pt jump shot from 3 ft,95,65
3,3:02.0,,Offensive rebound by T. Ross,95,65
3,3:01.0,,T. Ross misses 2-pt layup from 4 ft,95,65
3,3:01.0,,Offensive rebound by T. Ross,95,65
3,2:56.0,,A. Gordon makes 2-pt jump shot from 3 ft,95,67
3,2:32.0,D. DeRozan makes 2-pt jump shot from 21 ft,,97,67
3,2:14.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by A. Gordon),97,70
3,2:10.0,San Antonio full timeout,,97,70
3,2:10.0,J. Poeltl enters the game for L. Aldridge,,97,70
3,2:10.0,,M. Bamba enters the game for J. Isaac,97,70
3,2:10.0,,W. Iwundu enters the game for J. Simmons,97,70
3,1:55.0,D. DeRozan misses 2-pt jump shot from 8 ft,,97,70
3,1:50.0,Offensive rebound by J. Poeltl,,97,70
3,1:50.0,J. Poeltl makes 2-pt layup from 1 ft,,99,70
3,1:38.0,,A. Gordon misses 2-pt jump shot from 3 ft,99,70
3,1:36.0,Defensive rebound by P. Mills,,99,70
3,1:31.0,P. Mills misses 2-pt layup from 1 ft,,99,70
3,1:28.0,,Defensive rebound by M. Bamba,99,70
3,1:24.0,,M. Bamba misses 3-pt jump shot from 25 ft,99,70
3,1:20.0,Defensive rebound by D. Bertāns,,99,70
3,1:10.0,M. Belinelli makes 2-pt jump shot from 19 ft,,101,70
3,0:55.0,,T. Ross misses 2-pt jump shot from 22 ft,101,70
3,0:55.0,,Offensive rebound by W. Iwundu,101,70
3,0:55.0,,W. Iwundu makes 2-pt layup at rim,101,72
3,0:36.0,D. DeRozan makes 2-pt jump shot from 12 ft,,103,72
3,0:27.0,,J. Grant makes 2-pt jump shot from 6 ft (assist by A. Gordon),103,74
3,0:27.0,,Shooting foul by D. Bertāns (drawn by J. Grant),103,74
3,0:27.0,,J. Grant misses free throw 1 of 1,103,74
3,0:23.0,Defensive rebound by D. DeRozan,,103,74
3,0:11.0,Personal foul by W. Iwundu (drawn by D. DeRozan),,103,74
3,0:11.0,D. DeRozan misses free throw 1 of 2,,103,74
3,0:11.0,Offensive rebound by Team,,103,74
3,0:11.0,D. DeRozan makes free throw 2 of 2,,104,74
3,0:03.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by J. Grant),104,77
4,11:43.0,P. Mills misses 2-pt jump shot from 14 ft,,104,77
4,11:39.0,Offensive rebound by J. Poeltl,,104,77
4,11:37.0,J. Poeltl makes 2-pt layup from 2 ft,,106,77
4,11:18.0,,T. Ross misses 2-pt jump shot from 19 ft,106,77
4,11:14.0,Defensive rebound by D. Cunningham,,106,77
4,11:06.0,J. Poeltl misses 2-pt hook shot from 7 ft,,106,77
4,11:03.0,,Defensive rebound by M. Bamba,106,77
4,10:45.0,,J. Grant misses 3-pt jump shot from 23 ft,106,77
4,10:44.0,,Offensive rebound by Team,106,77
4,10:36.0,,M. Bamba misses 3-pt jump shot from 27 ft,106,77
4,10:33.0,Defensive rebound by M. Belinelli,,106,77
4,10:23.0,P. Mills makes 2-pt jump shot from 18 ft (assist by J. Poeltl),,108,77
4,10:04.0,,A. Gordon misses 2-pt jump shot from 6 ft,108,77
4,10:01.0,Defensive rebound by D. Bertāns,,108,77
4,9:56.0,M. Belinelli makes 3-pt jump shot from 26 ft (assist by D. Bertāns),,111,77
4,9:36.0,,Shooting foul by P. Mills (drawn by M. Bamba),111,77
4,9:36.0,,M. Bamba makes free throw 1 of 2,111,78
4,9:36.0,D. Eubanks enters the game for D. Bertāns,,111,78
4,9:36.0,D. White enters the game for P. Mills,,111,78
4,9:36.0,,M. Bamba misses free throw 2 of 2,111,78
4,9:33.0,Defensive rebound by D. Eubanks,,111,78
4,9:25.0,Turnover by M. Belinelli (lost ball; steal by T. Ross),,111,78
4,9:18.0,,W. Iwundu misses 3-pt jump shot from 23 ft,111,78
4,9:14.0,Defensive rebound by D. Eubanks,,111,78
4,9:11.0,M. Belinelli misses 3-pt jump shot from 23 ft,,111,78
4,9:07.0,,Defensive rebound by J. Grant,111,78
4,9:02.0,,A. Gordon misses 2-pt layup from 2 ft,111,78
4,8:57.0,,Offensive rebound by A. Gordon,111,78
4,8:57.0,,A. Gordon makes 2-pt layup at rim,111,80
4,8:46.0,J. Poeltl misses 2-pt hook shot from 7 ft,,111,80
4,8:42.0,,Defensive rebound by A. Gordon,111,80
4,8:39.0,,A. Gordon makes 3-pt jump shot from 26 ft,111,83
4,8:20.0,D. Eubanks makes 2-pt hook shot from 8 ft (assist by D. White),,113,83
4,8:03.0,,Turnover by J. Grant (bad pass),113,83
4,8:03.0,Q. Pondexter enters the game for M. Belinelli,,113,83
4,7:44.0,D. Cunningham makes 2-pt layup from 6 ft (assist by D. White),,115,83
4,7:29.0,,W. Iwundu misses 2-pt jump shot from 23 ft,115,83
4,7:27.0,Defensive rebound by D. Cunningham,,115,83
4,7:07.0,Q. Pondexter makes 2-pt jump shot from 22 ft,,117,83
4,6:50.0,,W. Iwundu makes 3-pt jump shot from 26 ft (assist by A. Gordon),117,86
4,6:29.0,Turnover by D. White (bad pass; steal by M. Bamba),,117,86
4,6:16.0,,Shooting foul by D. Eubanks (drawn by M. Bamba),117,86
4,6:16.0,,Orlando full timeout,117,86
4,6:16.0,,I. Briscoe enters the game for A. Gordon,117,86
4,6:16.0,,J. Martin enters the game for T. Ross,117,86
4,6:16.0,,M. Bamba makes free throw 1 of 2,117,87
4,6:16.0,,M. Bamba misses free throw 2 of 2,117,87
4,6:13.0,Defensive rebound by D. Eubanks,,117,87
4,6:01.0,J. Poeltl misses 2-pt layup from 2 ft,,117,87
4,5:59.0,,Defensive rebound by M. Bamba,117,87
4,5:47.0,,I. Briscoe misses 2-pt jump shot from 19 ft,117,87
4,5:46.0,,Offensive rebound by Team,117,87
4,5:46.0,,M. Bamba misses 2-pt layup from 4 ft,117,87
4,5:46.0,,Offensive rebound by M. Bamba,117,87
4,5:46.0,,K. Birch enters the game for M. Bamba,117,87
4,5:42.0,,J. Grant makes 2-pt jump shot from 20 ft (assist by J. Martin),117,89
4,5:26.0,D. Cunningham makes 2-pt layup from 2 ft (assist by D. White),,119,89
4,5:03.0,,K. Birch misses 2-pt hook shot from 7 ft,119,89
4,4:59.0,Defensive rebound by D. Eubanks,,119,89
4,4:43.0,Q. Pondexter misses 3-pt jump shot from 23 ft,,119,89
4,4:40.0,,Defensive rebound by J. Martin,119,89
4,4:33.0,,W. Iwundu misses 2-pt jump shot from 20 ft,119,89
4,4:30.0,Defensive rebound by D. Eubanks,,119,89
4,4:18.0,Shooting foul by J. Martin (drawn by D. Eubanks),,119,89
4,4:18.0,D. Eubanks misses free throw 1 of 2,,119,89
4,4:18.0,Offensive rebound by Team,,119,89
4,4:18.0,D. Eubanks makes free throw 2 of 2,,120,89
4,4:02.0,,Turnover by W. Iwundu (bad pass; steal by Q. Pondexter),120,89
4,3:54.0,Turnover by D. White (bad pass; steal by W. Iwundu),,120,89
4,3:49.0,,I. Briscoe misses 2-pt layup from 1 ft,120,89
4,3:49.0,,Offensive rebound by J. Martin,120,89
4,3:49.0,,Shooting foul by J. Poeltl (drawn by J. Martin),120,89
4,3:49.0,,J. Martin misses free throw 1 of 2,120,89
4,3:49.0,,Offensive rebound by Team,120,89
4,3:49.0,,J. Martin makes free throw 2 of 2,120,90
4,3:30.0,Shooting foul by J. Martin (drawn by Q. Pondexter),,120,90
4,3:30.0,Q. Pondexter misses free throw 1 of 2,,120,90
4,3:30.0,Offensive rebound by Team,,120,90
4,3:30.0,Q. Pondexter makes free throw 2 of 2,,121,90
4,3:21.0,,J. Martin misses 3-pt jump shot from 26 ft,121,90
4,3:16.0,Defensive rebound by D. Cunningham,,121,90
4,3:04.0,D. White makes 2-pt jump shot from 18 ft (assist by Q. Pondexter),,123,90
4,2:52.0,,I. Briscoe misses 2-pt jump shot from 17 ft (block by Q. Pondexter),123,90
4,2:49.0,Defensive rebound by Q. Pondexter,,123,90
4,2:49.0,Shooting foul by J. Martin (drawn by Q. Pondexter),,123,90
4,2:49.0,San Antonio full timeout,,123,90
4,2:49.0,Q. Pondexter makes free throw 1 of 2,,124,90
4,2:49.0,Q. Pondexter makes free throw 2 of 2,,125,90
4,2:37.0,,J. Grant misses 2-pt jump shot from 22 ft,125,90
4,2:34.0,Defensive rebound by D. Cunningham,,125,90
4,2:22.0,Q. Pondexter misses 2-pt layup from 3 ft,,125,90
4,2:19.0,Offensive rebound by Q. Pondexter,,125,90
4,2:19.0,Q. Pondexter misses 2-pt layup from 1 ft (block by J. Martin),,125,90
4,2:19.0,Offensive rebound by Team,,125,90
4,2:13.0,D. White misses 2-pt jump shot from 18 ft,,125,90
4,2:08.0,,Defensive rebound by J. Martin,125,90
4,1:52.0,,Turnover by W. Iwundu (bad pass; steal by D. Eubanks),125,90
4,1:39.0,D. Eubanks makes 2-pt hook shot from 9 ft (assist by D. Cunningham),,127,90
4,1:24.0,,I. Briscoe misses 3-pt jump shot from 26 ft,127,90
4,1:20.0,Defensive rebound by D. Cunningham,,127,90
4,1:01.0,D. Eubanks makes 2-pt layup from 1 ft (assist by D. White),,129,90
4,0:46.0,,J. Martin misses 2-pt jump shot from 23 ft,129,90
4,0:42.0,Defensive rebound by D. Cunningham,,129,90
4,0:22.0,Turnover by D. White (bad pass),,129,90
4,0:15.0,,I. Briscoe misses 2-pt layup from 1 ft (block by J. Poeltl),129,90
