QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,UTAH_ACTION,CHARLOTTE_SCORE,UTAH_SCORE
1,11:37.0,,R. Rubio makes 2-pt jump shot from 10 ft,0,2
1,11:11.0,K. Walker misses 2-pt layup from 2 ft,,0,2
1,11:09.0,Offensive rebound by Team,,0,2
1,11:09.0,,Violation by Team (kicked ball),0,2
1,11:02.0,,Loose ball foul by D. Mitchell (drawn by D. Bacon),0,2
1,10:49.0,B. Biyombo misses 2-pt jump shot from 18 ft,,0,2
1,10:45.0,,Defensive rebound by J. Crowder,0,2
1,10:38.0,,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),0,4
1,10:38.0,,Shooting foul by D. Bacon (drawn by R. Gobert),0,4
1,10:38.0,,R. Gobert makes free throw 1 of 1,0,5
1,10:27.0,K. Walker makes 2-pt jump shot from 10 ft,,2,5
1,10:15.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),2,7
1,9:55.0,B. Biyombo makes 2-pt hook shot from 4 ft (assist by K. Walker),,4,7
1,9:44.0,,J. Ingles misses 3-pt jump shot from 25 ft,4,7
1,9:41.0,Defensive rebound by D. Bacon,,4,7
1,9:32.0,D. Bacon makes 2-pt jump shot from 20 ft (assist by K. Walker),,6,7
1,9:10.0,,R. Rubio makes 3-pt jump shot from 23 ft (assist by J. Ingles),6,10
1,8:48.0,Personal foul by J. Ingles (drawn by M. Williams),,6,10
1,8:43.0,K. Walker makes 2-pt jump shot from 14 ft (assist by B. Biyombo),,8,10
1,8:23.0,,J. Crowder misses 3-pt jump shot from 25 ft,8,10
1,8:21.0,Defensive rebound by K. Walker,,8,10
1,8:14.0,Personal foul by R. Rubio (drawn by K. Walker),,8,10
1,8:01.0,K. Walker misses 3-pt jump shot from 25 ft,,8,10
1,7:58.0,,Defensive rebound by J. Ingles,8,10
1,7:52.0,,Shooting foul by M. Williams (drawn by R. Gobert),8,10
1,7:52.0,,R. Gobert misses free throw 1 of 2,8,10
1,7:52.0,,Offensive rebound by Team,8,10
1,7:52.0,,R. Gobert misses free throw 2 of 2,8,10
1,7:51.0,Defensive rebound by B. Biyombo,,8,10
1,7:41.0,D. Bacon misses 2-pt jump shot from 11 ft,,8,10
1,7:38.0,,Defensive rebound by J. Crowder,8,10
1,7:33.0,,R. Rubio misses 2-pt layup from 3 ft,8,10
1,7:31.0,Defensive rebound by K. Walker,,8,10
1,7:28.0,M. Williams misses 3-pt jump shot from 24 ft,,8,10
1,7:28.0,Offensive rebound by B. Biyombo,,8,10
1,7:24.0,B. Biyombo makes 2-pt layup from 1 ft,,10,10
1,7:06.0,,D. Mitchell makes 3-pt jump shot from 26 ft (assist by R. Gobert),10,13
1,6:52.0,K. Walker misses 3-pt jump shot from 25 ft,,10,13
1,6:49.0,,Defensive rebound by R. Gobert,10,13
1,6:33.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),10,15
1,6:32.0,Charlotte full timeout,,10,15
1,6:32.0,W. Hernangómez enters the game for D. Bacon,,10,15
1,6:32.0,J. Lamb enters the game for B. Biyombo,,10,15
1,6:32.0,,R. O'Neale enters the game for J. Crowder,10,15
1,6:32.0,,T. Sefolosha enters the game for J. Ingles,10,15
1,6:19.0,W. Hernangómez misses 2-pt layup from 3 ft (block by R. Gobert),,10,15
1,6:16.0,Offensive rebound by W. Hernangómez,,10,15
1,6:14.0,Turnover by W. Hernangómez (bad pass; steal by D. Mitchell),,10,15
1,6:11.0,,R. O'Neale makes 2-pt layup from 2 ft (assist by D. Mitchell),10,17
1,5:58.0,J. Lamb misses 2-pt jump shot from 16 ft,,10,17
1,5:54.0,Offensive rebound by W. Hernangómez,,10,17
1,5:52.0,J. Lamb makes 2-pt jump shot from 3 ft (assist by W. Hernangómez),,12,17
1,5:33.0,,Def 3 sec tech foul by Team,12,17
1,5:33.0,,R. Rubio makes technical free throw,12,18
1,5:33.0,F. Kaminsky enters the game for M. Williams,,12,18
1,5:23.0,,Shooting foul by K. Walker (drawn by R. Gobert),12,18
1,5:23.0,,R. Gobert makes free throw 1 of 2,12,19
1,5:23.0,,R. Gobert misses free throw 2 of 2,12,19
1,5:18.0,Defensive rebound by M. Bridges,,12,19
1,5:13.0,Turnover by K. Walker (bad pass),,12,19
1,5:05.0,,Shooting foul by J. Lamb (drawn by R. Rubio),12,19
1,5:05.0,,R. Rubio makes free throw 1 of 2,12,20
1,5:05.0,,R. Rubio makes free throw 2 of 2,12,21
1,4:48.0,M. Bridges misses 3-pt jump shot from 24 ft,,12,21
1,4:46.0,,Defensive rebound by R. Gobert,12,21
1,4:34.0,,R. O'Neale misses 2-pt jump shot from 9 ft,12,21
1,4:33.0,Defensive rebound by J. Lamb,,12,21
1,4:23.0,W. Hernangómez misses 2-pt jump shot from 11 ft (block by R. Gobert),,12,21
1,4:18.0,,Defensive rebound by D. Mitchell,12,21
1,4:09.0,,R. O'Neale misses 3-pt jump shot from 23 ft,12,21
1,4:04.0,Defensive rebound by W. Hernangómez,,12,21
1,3:55.0,Shooting foul by T. Sefolosha (drawn by J. Lamb),,12,21
1,3:55.0,J. Lamb makes free throw 1 of 2,,13,21
1,3:55.0,,G. Niang enters the game for R. Rubio,13,21
1,3:55.0,J. Lamb makes free throw 2 of 2,,14,21
1,3:31.0,,Turnover by Team (shot clock),14,21
1,3:18.0,W. Hernangómez misses 2-pt hook shot from 6 ft,,14,21
1,3:16.0,,Defensive rebound by T. Sefolosha,14,21
1,3:11.0,,Turnover by T. Sefolosha (lost ball; steal by M. Bridges),14,21
1,3:09.0,Personal take foul by R. Gobert (drawn by K. Walker),,14,21
1,3:09.0,,Utah full timeout,14,21
1,3:09.0,M. Monk enters the game for M. Bridges,,14,21
1,3:09.0,,J. Crowder enters the game for R. Gobert,14,21
1,3:09.0,,J. Ingles enters the game for D. Mitchell,14,21
1,3:09.0,,R. Neto enters the game for R. O'Neale,14,21
1,3:09.0,,E. Udoh enters the game for T. Sefolosha,14,21
1,3:09.0,K. Walker makes free throw 1 of 2,,15,21
1,3:09.0,K. Walker misses free throw 2 of 2,,15,21
1,3:09.0,,Defensive rebound by G. Niang,15,21
1,2:55.0,,G. Niang misses 3-pt jump shot from 23 ft,15,21
1,2:53.0,Defensive rebound by M. Monk,,15,21
1,2:45.0,W. Hernangómez makes 2-pt layup from 1 ft (assist by M. Monk),,17,21
1,2:45.0,Shooting foul by E. Udoh (drawn by W. Hernangómez),,17,21
1,2:45.0,D. Graham enters the game for K. Walker,,17,21
1,2:45.0,W. Hernangómez misses free throw 1 of 1,,17,21
1,2:44.0,,Defensive rebound by J. Crowder,17,21
1,2:33.0,,Turnover by R. Neto (lost ball; steal by J. Lamb),17,21
1,2:27.0,M. Monk misses 3-pt jump shot from 23 ft,,17,21
