QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA LAKERS_ACTION,CHICAGO_SCORE,LA LAKERS_SCORE
1,11:39.0,W. Carter misses 3-pt jump shot from 22 ft,,0,0
1,11:36.0,,Defensive rebound by B. Ingram,0,0
1,11:20.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,0,0
1,11:16.0,,Offensive rebound by L. Ball,0,0
1,11:13.0,,K. Kuzma makes 2-pt dunk from 1 ft (assist by L. Ball),0,2
1,10:50.0,C. Hutchison misses 3-pt jump shot from 26 ft,,0,2
1,10:47.0,,Defensive rebound by K. Kuzma,0,2
1,10:38.0,,B. Ingram misses 3-pt jump shot from 27 ft,0,2
1,10:33.0,Defensive rebound by W. Carter,,0,2
1,10:26.0,Z. LaVine misses 2-pt layup from 2 ft,,0,2
1,10:25.0,Offensive rebound by Z. LaVine,,0,2
1,10:25.0,Z. LaVine makes 2-pt layup from 1 ft,,2,2
1,10:09.0,,Personal foul by C. Hutchison (drawn by B. Ingram),2,2
1,10:03.0,,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,2,2
1,10:00.0,Defensive rebound by L. Markkanen,,2,2
1,9:51.0,Shooting foul by B. Ingram (drawn by L. Markkanen),,2,2
1,9:51.0,L. Markkanen makes free throw 1 of 2,,3,2
1,9:51.0,L. Markkanen makes free throw 2 of 2,,4,2
1,9:32.0,,Turnover by K. Kuzma (bad pass; steal by W. Carter),4,2
1,9:29.0,Turnover by K. Dunn (dbl dribble),,4,2
1,9:29.0,Technical foul by K. Dunn,,4,2
1,9:29.0,,K. Caldwell-Pope makes technical free throw,4,3
1,9:16.0,,K. Kuzma misses 2-pt hook shot from 4 ft,4,3
1,9:10.0,,Offensive rebound by T. Chandler,4,3
1,9:10.0,,T. Chandler makes 2-pt dunk at rim,4,5
1,8:55.0,K. Dunn misses 2-pt jump shot from 10 ft,,4,5
1,8:51.0,,Defensive rebound by K. Kuzma,4,5
1,8:46.0,,Turnover by K. Caldwell-Pope (lost ball; steal by C. Hutchison),4,5
1,8:33.0,Personal foul by K. Caldwell-Pope (drawn by Z. LaVine),,4,5
1,8:26.0,W. Carter makes 2-pt dunk from 1 ft (assist by Z. LaVine),,6,5
1,8:16.0,,L. Ball makes 2-pt dunk at rim,6,7
1,8:02.0,W. Carter misses 2-pt jump shot from 13 ft,,6,7
1,7:59.0,,Defensive rebound by L. Ball,6,7
1,7:51.0,,L. Ball misses 3-pt jump shot from 28 ft,6,7
1,7:47.0,,Offensive rebound by K. Caldwell-Pope,6,7
1,7:43.0,,L. Ball misses 3-pt jump shot from 23 ft,6,7
1,7:39.0,Defensive rebound by L. Markkanen,,6,7
1,7:32.0,L. Markkanen misses 2-pt jump shot from 6 ft,,6,7
1,7:30.0,,Defensive rebound by B. Ingram,6,7
1,7:27.0,,K. Kuzma misses 2-pt layup from 5 ft,6,7
1,7:24.0,Defensive rebound by W. Carter,,6,7
1,7:16.0,L. Markkanen misses 3-pt jump shot from 25 ft,,6,7
1,7:11.0,Offensive rebound by W. Carter,,6,7
1,7:11.0,W. Carter makes 2-pt dunk from 1 ft,,8,7
1,7:11.0,,LA Lakers full timeout,8,7
1,6:50.0,,B. Ingram makes 2-pt layup from 2 ft,8,9
1,6:26.0,Offensive foul by K. Dunn (drawn by K. Caldwell-Pope),,8,9
1,6:26.0,Turnover by K. Dunn (offensive foul),,8,9
1,6:12.0,,Turnover by K. Kuzma (discontinued dribble),8,9
1,6:12.0,,J. McGee enters the game for T. Chandler,8,9
1,6:00.0,Turnover by W. Carter (off goaltending),,8,9
1,6:00.0,R. Arcidiacono enters the game for Z. LaVine,,8,9
1,5:43.0,,B. Ingram makes 2-pt jump shot from 5 ft (assist by K. Kuzma),8,11
1,5:23.0,C. Hutchison misses 2-pt jump shot from 6 ft,,8,11
1,5:20.0,Offensive rebound by C. Hutchison,,8,11
1,5:17.0,K. Dunn misses 3-pt jump shot from 26 ft,,8,11
1,5:13.0,,Defensive rebound by B. Ingram,8,11
1,5:05.0,,Personal foul by W. Carter (drawn by J. McGee),8,11
1,4:59.0,,J. McGee misses 2-pt layup from 4 ft (block by W. Carter),8,11
1,4:59.0,,Offensive rebound by Team,8,11
1,4:51.0,,K. Kuzma misses 3-pt jump shot from 25 ft,8,11
1,4:47.0,Defensive rebound by K. Dunn,,8,11
1,4:45.0,C. Hutchison makes 2-pt layup from 1 ft (assist by K. Dunn),,10,11
1,4:33.0,,L. Ball misses 2-pt layup from 2 ft (block by K. Dunn),10,11
1,4:31.0,,Offensive rebound by L. Ball,10,11
1,4:29.0,,Turnover by L. Ball (bad pass; steal by L. Markkanen),10,11
1,4:23.0,C. Hutchison makes 2-pt layup from 1 ft (assist by R. Arcidiacono),,12,11
