QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MIAMI_ACTION,CHARLOTTE_SCORE,MIAMI_SCORE
1,11:45.0,,H. Whiteside misses 2-pt layup from 2 ft (block by M. Williams),0,0
1,11:41.0,,Offensive rebound by R. McGruder,0,0
1,11:40.0,,R. McGruder makes 2-pt layup from 1 ft,0,2
1,11:24.0,N. Batum misses 2-pt jump shot from 13 ft,,0,2
1,11:21.0,,Defensive rebound by H. Whiteside,0,2
1,11:19.0,,G. Dragić misses 2-pt layup from 1 ft,0,2
1,11:09.0,,Offensive rebound by H. Whiteside,0,2
1,11:09.0,,H. Whiteside makes 2-pt dunk from 1 ft,0,4
1,11:01.0,J. Lamb misses 3-pt jump shot from 25 ft,,0,4
1,11:00.0,,Defensive rebound by J. Richardson,0,4
1,10:55.0,,J. Richardson makes 3-pt jump shot from 25 ft,0,7
1,10:36.0,K. Walker misses 2-pt jump shot from 17 ft,,0,7
1,10:34.0,,Defensive rebound by H. Whiteside,0,7
1,10:21.0,,G. Dragić misses 3-pt jump shot from 23 ft,0,7
1,10:19.0,Defensive rebound by M. Williams,,0,7
1,10:02.0,M. Williams makes 2-pt layup from 2 ft (assist by K. Walker),,2,7
1,9:39.0,,J. Richardson misses 3-pt jump shot from 25 ft,2,7
1,9:37.0,Defensive rebound by J. Lamb,,2,7
1,9:31.0,J. Lamb misses 2-pt hook shot from 6 ft,,2,7
1,9:26.0,Offensive rebound by J. Lamb,,2,7
1,9:26.0,J. Lamb makes 2-pt layup at rim,,4,7
1,9:07.0,,J. Richardson makes 2-pt jump shot from 12 ft,4,9
1,8:52.0,N. Batum misses 2-pt layup from 1 ft (block by H. Whiteside),,4,9
1,8:48.0,,Defensive rebound by R. McGruder,4,9
1,8:38.0,,H. Whiteside misses 2-pt jump shot from 13 ft (block by J. Lamb),4,9
1,8:32.0,,Offensive rebound by Team,4,9
1,8:28.0,,R. McGruder makes 3-pt jump shot from 26 ft (assist by G. Dragić),4,12
1,8:27.0,Charlotte full timeout,,4,12
