QUARTER,TIME_REMAINING,MIAMI_ACTION,LA CLIPPERS_ACTION,MIAMI_SCORE,LA CLIPPERS_SCORE
4,10:55.0,D. Jones misses free throw 2 of 2,,93,90
4,10:53.0,,Defensive rebound by M. Harrell,93,90
4,10:47.0,,L. Williams makes 2-pt layup from 1 ft,93,92
4,10:47.0,Violation by Team (def goaltending),,93,92
4,10:24.0,D. Wade misses 2-pt jump shot from 18 ft,,93,92
4,10:20.0,,Defensive rebound by L. Williams,93,92
4,10:16.0,,L. Williams misses 3-pt jump shot from 27 ft,93,92
4,10:11.0,Defensive rebound by D. Wade,,93,92
4,10:03.0,Shooting foul by A. Bradley (drawn by D. Wade),,93,92
4,10:03.0,D. Wade misses free throw 1 of 2,,93,92
4,10:03.0,Offensive rebound by Team,,93,92
4,10:03.0,D. Wade misses free throw 2 of 2,,93,92
4,9:57.0,Offensive rebound by K. Olynyk,,93,92
4,9:56.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Winslow),,95,92
4,9:37.0,,M. Scott misses 3-pt jump shot from 23 ft,95,92
4,9:35.0,Defensive rebound by B. Adebayo,,95,92
4,9:22.0,J. Winslow makes 2-pt jump shot from 4 ft,,97,92
4,9:22.0,,LA Clippers full timeout,97,92
4,9:22.0,,D. Gallinari enters the game for M. Scott,97,92
4,9:06.0,,L. Williams misses 2-pt jump shot from 3 ft,97,92
4,9:05.0,Defensive rebound by D. Jones,,97,92
4,8:54.0,J. Winslow misses 2-pt layup from 4 ft (block by A. Bradley),,97,92
4,8:54.0,Offensive rebound by Team,,97,92
4,8:49.0,D. Wade makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,100,92
4,8:35.0,,Def 3 sec tech foul by Team,100,92
4,8:35.0,,L. Williams misses technical free throw,100,92
4,8:35.0,,Offensive rebound by Team,100,92
4,8:30.0,,Turnover by L. Williams (bad pass),100,92
4,8:15.0,J. Winslow makes 2-pt jump shot from 15 ft,,102,92
4,7:56.0,,L. Williams misses 2-pt layup from 2 ft,102,92
4,7:54.0,Defensive rebound by J. Winslow,,102,92
4,7:42.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Winslow),,104,92
4,7:30.0,,Turnover by D. Gallinari (traveling),104,92
4,7:30.0,,S. Gilgeous-Alexander enters the game for P. Beverley,104,92
4,7:30.0,,T. Harris enters the game for L. Williams,104,92
4,7:30.0,Technical foul by D. Rivers,,104,92
4,7:30.0,K. Olynyk makes technical free throw,,105,92
4,7:19.0,D. Wade misses 3-pt jump shot from 26 ft,,105,92
4,7:17.0,Offensive rebound by K. Olynyk,,105,92
4,7:17.0,K. Olynyk misses 2-pt layup from 1 ft,,105,92
4,7:17.0,,Defensive rebound by Team,105,92
4,7:17.0,Loose ball foul by K. Olynyk (drawn by D. Gallinari),,105,92
4,7:17.0,Violation by Team (delay of game),,105,92
4,7:17.0,Technical foul by D. Rivers,,105,92
4,7:17.0,K. Olynyk misses technical free throw,,105,92
4,7:17.0,,Defensive rebound by Team,105,92
4,7:17.0,,D. Rivers ejected from game,105,92
4,7:17.0,R. McGruder enters the game for K. Olynyk,,105,92
4,7:09.0,,S. Gilgeous-Alexander misses 2-pt layup from 1 ft,105,92
4,7:06.0,Defensive rebound by B. Adebayo,,105,92
4,7:00.0,Personal foul by M. Harrell (drawn by B. Adebayo),,105,92
4,6:52.0,J. Winslow misses 3-pt jump shot from 25 ft,,105,92
4,6:49.0,,Defensive rebound by M. Harrell,105,92
4,6:40.0,,Turnover by M. Harrell (bad pass; steal by J. Winslow),105,92
4,6:32.0,D. Wade makes 2-pt layup from 1 ft (assist by J. Winslow),,107,92
4,6:12.0,,A. Bradley misses 3-pt jump shot from 26 ft,107,92
4,6:12.0,,Offensive rebound by D. Gallinari,107,92
4,6:09.0,,Turnover by D. Gallinari (bad pass; steal by R. McGruder),107,92
4,5:49.0,Personal foul by D. Gallinari (drawn by J. Winslow),,107,92
4,5:49.0,Miami full timeout,,107,92
4,5:43.0,Shooting foul by M. Harrell (drawn by D. Wade),,107,92
4,5:43.0,D. Wade makes free throw 1 of 2,,108,92
4,5:43.0,D. Wade misses free throw 2 of 2,,108,92
4,5:40.0,,Defensive rebound by M. Harrell,108,92
4,5:20.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 8 ft (block by D. Jones),108,92
4,5:17.0,Defensive rebound by D. Jones,,108,92
4,5:16.0,Shooting foul by T. Harris (drawn by J. Winslow),,108,92
4,5:16.0,J. Winslow misses free throw 1 of 2,,108,92
4,5:16.0,Offensive rebound by Team,,108,92
4,5:16.0,,L. Williams enters the game for S. Gilgeous-Alexander,108,92
4,5:16.0,J. Winslow misses free throw 2 of 2,,108,92
4,5:14.0,,Defensive rebound by D. Gallinari,108,92
4,5:01.0,,T. Harris misses 3-pt jump shot from 27 ft,108,92
4,4:58.0,Defensive rebound by R. McGruder,,108,92
4,4:41.0,R. McGruder makes 2-pt hook shot from 5 ft (assist by D. Wade),,110,92
4,4:16.0,,D. Gallinari misses 2-pt jump shot from 9 ft,110,92
4,4:14.0,Defensive rebound by B. Adebayo,,110,92
4,3:54.0,J. Winslow misses 3-pt jump shot from 26 ft,,110,92
4,3:53.0,Offensive rebound by D. Jones,,110,92
4,3:52.0,D. Jones misses 2-pt layup from 2 ft (block by M. Harrell),,110,92
4,3:49.0,Offensive rebound by D. Jones,,110,92
4,3:48.0,Miami full timeout,,110,92
4,3:43.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by D. Wade),,112,92
4,3:24.0,,L. Williams makes 3-pt jump shot from 28 ft (assist by M. Harrell),112,95
4,3:02.0,D. Wade misses 3-pt jump shot from 23 ft,,112,95
4,3:00.0,,Defensive rebound by D. Gallinari,112,95
4,2:58.0,,Shooting foul by B. Adebayo (drawn by D. Gallinari),112,95
4,2:58.0,,D. Gallinari makes free throw 1 of 2,112,96
4,2:58.0,,D. Gallinari makes free throw 2 of 2,112,97
4,2:40.0,R. McGruder makes 3-pt jump shot from 27 ft (assist by B. Adebayo),,115,97
4,2:31.0,,L. Williams misses 2-pt jump shot from 5 ft,115,97
4,2:28.0,Defensive rebound by D. Jones,,115,97
4,2:11.0,J. Winslow misses 3-pt jump shot from 26 ft,,115,97
4,2:09.0,,Defensive rebound by T. Harris,115,97
4,2:03.0,,Turnover by T. Harris (bad pass; steal by D. Wade),115,97
4,2:00.0,J. Winslow makes 2-pt dunk from 2 ft (assist by D. Wade),,117,97
4,1:51.0,,L. Williams misses 2-pt layup from 1 ft (block by D. Jones),117,97
4,1:47.0,Defensive rebound by B. Adebayo,,117,97
4,1:26.0,D. Wade misses 2-pt jump shot from 16 ft,,117,97
4,1:24.0,Offensive rebound by D. Jones,,117,97
4,1:16.0,J. Winslow misses 3-pt jump shot from 27 ft,,117,97
4,1:12.0,Offensive rebound by Team,,117,97
4,1:12.0,,M. Scott enters the game for D. Gallinari,117,97
4,1:12.0,,S. Thornwell enters the game for T. Harris,117,97
4,1:12.0,,T. Wallace enters the game for L. Williams,117,97
4,1:03.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by D. Wade),,119,97
4,0:45.0,,Shooting foul by D. Jones (drawn by M. Scott),119,97
4,0:45.0,,M. Scott misses free throw 1 of 2,119,97
4,0:45.0,,Offensive rebound by Team,119,97
4,0:45.0,J. Johnson enters the game for D. Wade,,119,97
4,0:45.0,,S. Gilgeous-Alexander enters the game for A. Bradley,119,97
4,0:45.0,,M. Scott makes free throw 2 of 2,119,98
4,0:23.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Winslow),,121,98
