QUARTER,TIME_REMAINING,MIAMI_ACTION,LA CLIPPERS_ACTION,MIAMI_SCORE,LA CLIPPERS_SCORE
1,7:26.0,,P. Beverley enters the game for S. Gilgeous-Alexander,13,10
1,7:12.0,Shooting foul by P. Beverley (drawn by K. Olynyk),,13,10
1,7:12.0,K. Olynyk makes free throw 1 of 2,,14,10
1,7:12.0,K. Olynyk makes free throw 2 of 2,,15,10
1,6:57.0,,D. Gallinari makes 3-pt jump shot from 27 ft,15,13
1,6:32.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by J. Winslow),,18,13
1,6:18.0,,D. Gallinari makes 2-pt layup from 2 ft,18,15
1,6:04.0,J. Winslow misses 3-pt jump shot from 25 ft,,18,15
1,6:02.0,,Defensive rebound by Team,18,15
1,6:02.0,,LA Clippers full timeout,18,15
1,6:02.0,D. Wade enters the game for J. Winslow,,18,15
1,6:02.0,,M. Harrell enters the game for B. Marjanović,18,15
1,5:47.0,,A. Bradley misses 2-pt jump shot from 19 ft,18,15
1,5:44.0,Defensive rebound by J. Johnson,,18,15
1,5:32.0,Shooting foul by T. Harris (drawn by T. Johnson),,18,15
1,5:32.0,T. Johnson makes free throw 1 of 2,,19,15
1,5:32.0,T. Johnson makes free throw 2 of 2,,20,15
1,5:16.0,,M. Harrell makes 2-pt hook shot from 6 ft (assist by A. Bradley),20,17
1,5:11.0,Personal foul by M. Harrell (drawn by K. Olynyk),,20,17
1,5:11.0,K. Olynyk makes free throw 1 of 2,,21,17
1,5:11.0,D. Jones enters the game for T. Johnson,,21,17
1,5:11.0,,L. Williams enters the game for D. Gallinari,21,17
1,5:11.0,K. Olynyk makes free throw 2 of 2,,22,17
1,4:48.0,,M. Harrell makes 2-pt hook shot from 4 ft,22,19
1,4:36.0,K. Olynyk misses 3-pt jump shot from 28 ft,,22,19
1,4:34.0,,Defensive rebound by A. Bradley,22,19
1,4:20.0,,T. Harris misses 2-pt layup from 2 ft,22,19
1,4:18.0,,Offensive rebound by M. Harrell,22,19
1,4:17.0,,M. Harrell misses 2-pt layup from 2 ft,22,19
1,4:15.0,Defensive rebound by J. Johnson,,22,19
1,4:07.0,D. Wade misses 3-pt jump shot from 26 ft,,22,19
1,4:05.0,,Defensive rebound by T. Harris,22,19
1,3:56.0,,A. Bradley misses 3-pt jump shot from 23 ft,22,19
1,3:55.0,Defensive rebound by K. Olynyk,,22,19
1,3:35.0,K. Olynyk misses 2-pt hook shot from 4 ft,,22,19
1,3:32.0,,Defensive rebound by P. Beverley,22,19
1,3:29.0,,P. Beverley misses 2-pt layup from 2 ft,22,19
1,3:23.0,Defensive rebound by D. Jones,,22,19
1,3:14.0,D. Wade makes 3-pt jump shot from 25 ft (assist by D. Jones),,25,19
1,3:04.0,,L. Williams makes 2-pt jump shot from 12 ft,25,21
1,3:00.0,Miami full timeout,,25,21
1,3:00.0,B. Adebayo enters the game for J. Johnson,,25,21
1,3:00.0,J. Winslow enters the game for R. McGruder,,25,21
1,3:00.0,,M. Scott enters the game for T. Harris,25,21
1,2:57.0,Personal foul by A. Bradley (drawn by J. Winslow),,25,21
1,2:57.0,J. Winslow makes free throw 1 of 2,,26,21
1,2:57.0,J. Winslow makes free throw 2 of 2,,27,21
1,2:43.0,,L. Williams makes 2-pt jump shot from 20 ft (assist by P. Beverley),27,23
1,2:27.0,D. Wade makes 3-pt jump shot from 25 ft (assist by K. Olynyk),,30,23
1,2:15.0,,Shooting foul by B. Adebayo (drawn by M. Harrell),30,23
1,2:15.0,,M. Harrell misses free throw 1 of 2,30,23
1,2:15.0,,Offensive rebound by Team,30,23
1,2:15.0,U. Haslem enters the game for B. Adebayo,,30,23
1,2:15.0,,T. Wallace enters the game for A. Bradley,30,23
1,2:15.0,,M. Harrell makes free throw 2 of 2,30,24
1,2:01.0,U. Haslem misses 2-pt layup from 2 ft (block by M. Harrell),,30,24
1,1:56.0,,Defensive rebound by L. Williams,30,24
1,1:42.0,,M. Scott makes 2-pt jump shot from 18 ft,30,26
1,1:29.0,Personal foul by M. Scott (drawn by K. Olynyk),,30,26
1,1:29.0,K. Olynyk makes free throw 1 of 2,,31,26
1,1:29.0,K. Olynyk makes free throw 2 of 2,,32,26
1,1:15.0,,Personal foul by D. Jones (drawn by L. Williams),32,26
1,1:15.0,,L. Williams makes free throw 1 of 2,32,27
1,1:15.0,,L. Williams makes free throw 2 of 2,32,28
1,0:57.0,D. Wade misses 3-pt jump shot from 26 ft,,32,28
1,0:53.0,,Defensive rebound by M. Harrell,32,28
1,0:46.0,,M. Scott misses 3-pt jump shot from 24 ft,32,28
1,0:43.0,,Offensive rebound by Team,32,28
1,0:37.0,,T. Wallace misses 2-pt jump shot from 10 ft,32,28
1,0:33.0,Defensive rebound by D. Jones,,32,28
1,0:19.0,K. Olynyk misses 2-pt jump shot from 12 ft,,32,28
1,0:18.0,Offensive rebound by U. Haslem,,32,28
1,0:18.0,U. Haslem makes 2-pt layup at rim,,34,28
1,0:05.0,,M. Scott misses 3-pt jump shot from 27 ft,34,28
1,0:02.0,,Offensive rebound by P. Beverley,34,28
1,0:02.0,,Shooting foul by D. Wade (drawn by P. Beverley),34,28
1,0:02.0,,P. Beverley makes free throw 1 of 2,34,29
1,0:02.0,,P. Beverley makes free throw 2 of 2,34,30
2,11:43.0,K. Olynyk misses 2-pt layup from 3 ft (block by M. Scott),,34,30
2,11:40.0,,Defensive rebound by M. Scott,34,30
2,11:25.0,,L. Williams misses 2-pt layup from 3 ft (block by D. Wade),34,30
2,11:22.0,Defensive rebound by J. Winslow,,34,30
2,11:19.0,K. Olynyk makes 3-pt jump shot from 29 ft (assist by J. Winslow),,37,30
2,10:57.0,,M. Scott misses 3-pt jump shot from 24 ft,37,30
2,10:57.0,Defensive rebound by U. Haslem,,37,30
2,10:53.0,Shooting foul by M. Scott (drawn by J. Winslow),,37,30
2,10:53.0,J. Winslow makes free throw 1 of 2,,38,30
2,10:53.0,J. Winslow makes free throw 2 of 2,,39,30
2,10:45.0,,P. Beverley misses 3-pt jump shot from 26 ft,39,30
2,10:40.0,Defensive rebound by R. McGruder,,39,30
2,10:36.0,R. McGruder misses 3-pt jump shot from 27 ft,,39,30
2,10:31.0,,Defensive rebound by P. Beverley,39,30
2,10:23.0,,T. Wallace misses 2-pt jump shot from 5 ft,39,30
2,10:20.0,,Offensive rebound by P. Beverley,39,30
2,10:10.0,,M. Harrell makes 2-pt jump shot from 7 ft,39,32
2,10:10.0,,Shooting foul by U. Haslem (drawn by M. Harrell),39,32
2,10:10.0,,M. Harrell misses free throw 1 of 1,39,32
2,10:10.0,Defensive rebound by U. Haslem,,39,32
2,9:56.0,D. Wade misses 2-pt jump shot from 16 ft,,39,32
2,9:53.0,,Defensive rebound by P. Beverley,39,32
2,9:49.0,,Personal foul by R. McGruder (drawn by L. Williams),39,32
2,9:42.0,,Personal foul by J. Winslow (drawn by T. Wallace),39,32
2,9:26.0,,M. Scott misses 3-pt jump shot from 26 ft,39,32
2,9:24.0,Defensive rebound by U. Haslem,,39,32
2,9:13.0,D. Wade misses 2-pt layup from 2 ft (block by P. Beverley),,39,32
2,9:13.0,Offensive rebound by D. Wade,,39,32
2,9:13.0,Shooting foul by T. Wallace (drawn by K. Olynyk),,39,32
2,9:13.0,K. Olynyk misses free throw 1 of 3,,39,32
2,9:13.0,Offensive rebound by Team,,39,32
2,9:13.0,K. Olynyk makes free throw 2 of 3,,40,32
2,9:13.0,,D. Gallinari enters the game for P. Beverley,40,32
2,9:13.0,,S. Gilgeous-Alexander enters the game for M. Scott,40,32
2,9:13.0,K. Olynyk makes free throw 3 of 3,,41,32
2,9:00.0,,Turnover by S. Gilgeous-Alexander (out of bounds lost ball),41,32
2,9:00.0,,LA Clippers full timeout,41,32
2,8:46.0,K. Olynyk misses 3-pt jump shot from 29 ft,,41,32
2,8:43.0,,Defensive rebound by L. Williams,41,32
2,8:38.0,,L. Williams misses 2-pt jump shot from 16 ft,41,32
2,8:34.0,,Offensive rebound by M. Harrell,41,32
2,8:33.0,,LA Clippers full timeout,41,32
2,8:33.0,,T. Harris enters the game for T. Wallace,41,32
2,8:24.0,,T. Harris misses 3-pt jump shot from 27 ft,41,32
2,8:21.0,Defensive rebound by D. Wade,,41,32
2,8:06.0,D. Wade makes 2-pt layup from 3 ft,,43,32
2,7:50.0,,T. Harris misses 2-pt layup from 2 ft,43,32
2,7:47.0,Defensive rebound by J. Winslow,,43,32
2,7:42.0,Turnover by D. Wade (lost ball; steal by S. Gilgeous-Alexander),,43,32
2,7:37.0,,T. Harris makes 2-pt layup from 2 ft (assist by L. Williams),43,34
2,7:37.0,,Shooting foul by K. Olynyk (drawn by T. Harris),43,34
2,7:37.0,J. Johnson enters the game for U. Haslem,,43,34
2,7:37.0,,A. Bradley enters the game for M. Harrell,43,34
2,7:37.0,,B. Marjanović enters the game for L. Williams,43,34
2,7:37.0,,T. Harris makes free throw 1 of 1,43,35
2,7:28.0,K. Olynyk misses 2-pt layup from 3 ft (block by D. Gallinari),,43,35
2,7:24.0,,Defensive rebound by D. Gallinari,43,35
2,7:20.0,,B. Marjanović misses 2-pt layup from 1 ft,43,35
2,7:16.0,Defensive rebound by J. Johnson,,43,35
2,7:12.0,K. Olynyk makes 3-pt jump shot from 23 ft (assist by J. Winslow),,46,35
2,6:46.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by S. Gilgeous-Alexander),46,37
2,6:31.0,Shooting foul by B. Marjanović (drawn by J. Winslow),,46,37
2,6:31.0,J. Winslow makes free throw 1 of 2,,47,37
2,6:31.0,J. Winslow makes free throw 2 of 2,,48,37
2,6:23.0,,Offensive foul by B. Marjanović (drawn by K. Olynyk),48,37
2,6:23.0,,Turnover by B. Marjanović (offensive foul),48,37
2,6:20.0,Personal foul by S. Gilgeous-Alexander (drawn by R. McGruder),,48,37
2,6:20.0,,L. Williams enters the game for B. Marjanović,48,37
2,6:13.0,J. Winslow makes 2-pt dunk from 2 ft (assist by D. Wade),,50,37
2,6:04.0,,T. Harris makes 2-pt dunk from 2 ft (assist by L. Williams),50,39
2,6:04.0,,P. Beverley enters the game for S. Gilgeous-Alexander,50,39
2,5:44.0,Miami full timeout,,50,39
2,5:40.0,D. Wade misses 2-pt jump shot from 15 ft,,50,39
2,5:38.0,Offensive rebound by K. Olynyk,,50,39
2,5:36.0,J. Johnson misses 3-pt jump shot from 27 ft,,50,39
2,5:33.0,,Defensive rebound by P. Beverley,50,39
2,5:24.0,,D. Gallinari misses 3-pt jump shot from 25 ft,50,39
2,5:23.0,,Offensive rebound by Team,50,39
2,5:23.0,Loose ball foul by J. Winslow (drawn by P. Beverley),,50,39
2,5:23.0,,P. Beverley makes free throw 1 of 2,50,40
2,5:23.0,,P. Beverley makes free throw 2 of 2,50,41
2,5:09.0,Turnover by D. Wade (bad pass),,50,41
2,4:46.0,,L. Williams misses 2-pt jump shot from 22 ft,50,41
2,4:42.0,Defensive rebound by K. Olynyk,,50,41
2,4:36.0,R. McGruder misses 2-pt layup from 1 ft,,50,41
2,4:32.0,,Defensive rebound by D. Gallinari,50,41
2,4:29.0,,P. Beverley makes 3-pt jump shot from 26 ft (assist by D. Gallinari),50,44
2,4:10.0,D. Wade misses 2-pt layup from 3 ft (block by P. Beverley),,50,44
