QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW ORLEANS_ACTION,PHILADELPHIA_SCORE,NEW ORLEANS_SCORE
1,11:44.0,,A. Davis misses 2-pt dunk from 1 ft,0,0
1,11:42.0,,Offensive rebound by J. Randle,0,0
1,11:39.0,,J. Randle misses 2-pt layup from 2 ft,0,0
1,11:37.0,Defensive rebound by J. Bolden,,0,0
1,11:36.0,Turnover by J. Bolden (bad pass; steal by A. Davis),,0,0
1,11:25.0,,A. Davis makes 2-pt hook shot from 4 ft (assist by E. Payton),0,2
1,11:11.0,J. Bolden misses 3-pt jump shot from 26 ft,,0,2
1,11:11.0,,Defensive rebound by K. Williams,0,2
1,11:03.0,,A. Davis makes 2-pt dunk from 2 ft (assist by E. Payton),0,4
1,10:57.0,Personal foul by E. Payton (drawn by B. Simmons),,0,4
1,10:53.0,B. Simmons misses 3-pt jump shot from 25 ft,,0,4
1,10:48.0,Offensive rebound by B. Simmons,,0,4
1,10:45.0,B. Simmons misses 2-pt layup from 4 ft,,0,4
1,10:45.0,Offensive rebound by B. Simmons,,0,4
1,10:40.0,B. Simmons makes 2-pt layup from 2 ft,,2,4
1,10:35.0,,E. Payton misses 2-pt layup from 1 ft,2,4
1,10:33.0,Defensive rebound by J. Bolden,,2,4
1,10:30.0,Turnover by J. Bolden (bad pass; steal by J. Holiday),,2,4
1,10:27.0,,E. Payton misses 2-pt layup from 2 ft (block by J. Bolden),2,4
1,10:22.0,,Offensive rebound by E. Payton,2,4
1,10:21.0,,E. Payton misses 2-pt layup from 4 ft,2,4
1,10:19.0,Defensive rebound by J. Bolden,,2,4
1,10:16.0,J. Redick misses 3-pt jump shot from 25 ft,,2,4
1,10:14.0,,Defensive rebound by J. Holiday,2,4
1,10:09.0,,J. Holiday misses 2-pt layup from 8 ft (block by J. Bolden),2,4
1,10:09.0,,Offensive rebound by Team,2,4
1,10:04.0,,Turnover by J. Holiday (lost ball; steal by J. Butler),2,4
1,9:57.0,B. Simmons misses 2-pt layup from 3 ft,,2,4
1,9:53.0,Offensive rebound by J. Butler,,2,4
1,9:49.0,T. Harris misses 3-pt jump shot from 24 ft,,2,4
1,9:49.0,Offensive rebound by B. Simmons,,2,4
1,9:42.0,B. Simmons makes 2-pt layup from 2 ft,,4,4
1,9:31.0,,J. Randle makes 2-pt dunk from 1 ft,4,6
1,9:18.0,J. Bolden makes 2-pt layup from 2 ft (assist by J. Butler),,6,6
1,9:06.0,,J. Randle misses 3-pt jump shot from 26 ft,6,6
1,9:03.0,Defensive rebound by J. Bolden,,6,6
1,8:51.0,B. Simmons misses 2-pt hook shot from 3 ft (block by A. Davis),,6,6
1,8:48.0,,Defensive rebound by E. Payton,6,6
1,8:46.0,,K. Williams misses 3-pt jump shot from 23 ft,6,6
1,8:43.0,,Offensive rebound by J. Randle,6,6
1,8:43.0,,Shooting foul by J. Redick (drawn by J. Randle),6,6
1,8:43.0,,J. Randle makes free throw 1 of 2,6,7
1,8:43.0,,J. Randle makes free throw 2 of 2,6,8
