QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DENVER_ACTION,NEW ORLEANS_SCORE,DENVER_SCORE
1,11:43.0,,J. Murray makes 2-pt jump shot from 12 ft (assist by N. Jokić),0,2
1,11:27.0,J. Holiday makes 3-pt jump shot from 24 ft,,3,2
1,11:16.0,,Personal foul by K. Williams (drawn by W. Barton),3,2
1,11:07.0,,N. Jokić makes 2-pt layup from 1 ft (assist by G. Harris),3,4
1,10:47.0,J. Holiday misses 3-pt jump shot from 24 ft,,3,4
1,10:45.0,Offensive rebound by Team,,3,4
1,10:42.0,J. Randle misses 3-pt jump shot from 23 ft,,3,4
1,10:39.0,Offensive rebound by K. Williams,,3,4
1,10:36.0,,Violation by Team (kicked ball),3,4
1,10:29.0,Turnover by J. Holiday (bad pass; steal by N. Jokić),,3,4
1,10:26.0,,J. Murray misses 2-pt layup from 4 ft (block by J. Randle),3,4
1,10:26.0,,Offensive rebound by Team,3,4
1,10:24.0,,J. Murray makes 2-pt jump shot from 16 ft (assist by N. Jokić),3,6
1,10:06.0,J. Randle misses 2-pt jump shot from 8 ft,,3,6
1,10:05.0,,Defensive rebound by N. Jokić,3,6
1,10:00.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by N. Jokić),3,9
1,9:52.0,Personal foul by N. Jokić (drawn by J. Holiday),,3,9
1,9:40.0,Turnover by K. Williams (traveling),,3,9
1,9:31.0,,N. Jokić makes 2-pt jump shot from 16 ft (assist by J. Murray),3,11
1,9:21.0,New Orleans full timeout,,3,11
1,9:07.0,J. Okafor misses 2-pt layup from 2 ft (block by N. Jokić),,3,11
1,9:07.0,Offensive rebound by Team,,3,11
1,9:05.0,J. Randle misses 2-pt jump shot from 14 ft,,3,11
1,9:03.0,,Defensive rebound by W. Barton,3,11
1,8:43.0,,G. Harris misses 2-pt layup from 5 ft (block by J. Holiday),3,11
1,8:40.0,Defensive rebound by J. Randle,,3,11
1,8:39.0,J. Holiday misses 2-pt layup from 3 ft (block by N. Jokić),,3,11
1,8:39.0,Offensive rebound by Team,,3,11
1,8:37.0,J. Holiday makes 3-pt jump shot from 22 ft (assist by E. Payton),,6,11
1,8:21.0,,N. Jokić misses 2-pt hook shot from 4 ft,6,11
1,8:19.0,,Offensive rebound by W. Barton,6,11
1,8:16.0,,Turnover by W. Barton (lost ball; steal by K. Williams),6,11
1,8:11.0,K. Williams misses 3-pt jump shot from 23 ft,,6,11
1,8:07.0,,Defensive rebound by W. Barton,6,11
1,8:02.0,,W. Barton misses 2-pt layup from 2 ft,6,11
1,8:00.0,Defensive rebound by K. Williams,,6,11
1,7:52.0,E. Payton makes 2-pt layup from 2 ft,,8,11
1,7:33.0,,P. Millsap makes 3-pt jump shot from 24 ft (assist by G. Harris),8,14
1,7:13.0,J. Okafor makes 2-pt hook shot from 8 ft (assist by J. Holiday),,10,14
1,7:01.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by N. Jokić),10,17
1,6:50.0,J. Okafor makes 2-pt jump shot from 5 ft (assist by E. Payton),,12,17
1,6:50.0,Shooting foul by N. Jokić (drawn by J. Okafor),,12,17
1,6:50.0,F. Jackson enters the game for E. Payton,,12,17
1,6:50.0,,M. Plumlee enters the game for N. Jokić,12,17
1,6:50.0,J. Okafor misses free throw 1 of 1,,12,17
1,6:47.0,,Defensive rebound by P. Millsap,12,17
1,6:39.0,,Shooting foul by J. Okafor (drawn by P. Millsap),12,17
1,6:39.0,,P. Millsap makes free throw 1 of 2,12,18
1,6:39.0,C. Diallo enters the game for J. Okafor,,12,18
1,6:39.0,,P. Millsap makes free throw 2 of 2,12,19
1,6:24.0,F. Jackson misses 2-pt layup from 3 ft (block by M. Plumlee),,12,19
1,6:21.0,Offensive rebound by J. Randle,,12,19
1,6:20.0,Turnover by J. Randle (lost ball; steal by P. Millsap),,12,19
1,6:18.0,,M. Plumlee makes 2-pt dunk at rim (assist by P. Millsap),12,21
