QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SACRAMENTO_ACTION,OKLAHOMA CITY_SCORE,SACRAMENTO_SCORE
1,11:54.0,,B. Hield misses 2-pt layup from 2 ft,0,0
1,11:51.0,Defensive rebound by R. Westbrook,,0,0
1,11:40.0,P. George misses 3-pt jump shot from 25 ft,,0,0
1,11:36.0,Offensive rebound by S. Adams,,0,0
1,11:28.0,Turnover by P. George (bad pass; steal by W. Cauley-Stein),,0,0
1,11:23.0,,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by B. Hield),0,2
1,11:08.0,J. Grant makes 2-pt jump shot from 16 ft (assist by P. George),,2,2
1,10:44.0,,J. Jackson misses 2-pt jump shot from 8 ft,2,2
1,10:41.0,Defensive rebound by S. Adams,,2,2
1,10:35.0,Turnover by R. Westbrook (bad pass; steal by W. Cauley-Stein),,2,2
1,10:27.0,,B. Hield makes 2-pt layup from 2 ft,2,4
1,10:11.0,P. George misses 2-pt jump shot from 19 ft,,2,4
1,10:09.0,,Defensive rebound by B. Hield,2,4
1,10:03.0,,D. Fox makes 2-pt layup from 2 ft (assist by J. Jackson),2,6
1,10:03.0,Oklahoma City full timeout,,2,6
1,9:45.0,R. Westbrook makes 2-pt layup from 3 ft,,4,6
1,9:24.0,,N. Bjelica makes 2-pt dunk from 1 ft (assist by W. Cauley-Stein),4,8
1,9:10.0,R. Westbrook misses 2-pt jump shot from 9 ft,,4,8
1,9:08.0,Offensive rebound by S. Adams,,4,8
1,9:08.0,Technical foul by R. Westbrook,,4,8
1,9:08.0,,B. Hield makes technical free throw,4,9
1,9:06.0,R. Westbrook misses 2-pt layup from 2 ft (block by D. Fox),,4,9
1,9:06.0,Offensive rebound by Team,,4,9
1,8:57.0,Shooting foul by N. Bjelica (drawn by S. Adams),,4,9
1,8:57.0,S. Adams makes free throw 1 of 2,,5,9
1,8:57.0,S. Adams makes free throw 2 of 2,,6,9
1,8:38.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by W. Cauley-Stein),6,12
1,8:25.0,P. George misses 2-pt jump shot from 4 ft (block by N. Bjelica),,6,12
1,8:24.0,,Defensive rebound by Team,6,12
1,8:19.0,,D. Fox misses 3-pt jump shot from 26 ft,6,12
1,8:15.0,Defensive rebound by S. Adams,,6,12
1,8:10.0,Shooting foul by B. Hield (drawn by R. Westbrook),,6,12
1,8:10.0,R. Westbrook makes free throw 1 of 2,,7,12
1,8:10.0,R. Westbrook makes free throw 2 of 2,,8,12
1,8:01.0,,N. Bjelica misses 3-pt jump shot from 27 ft,8,12
1,7:59.0,Defensive rebound by Team,,8,12
1,7:45.0,J. Grant makes 2-pt layup from 1 ft,,10,12
1,7:37.0,,B. Hield misses 2-pt jump shot from 18 ft,10,12
1,7:33.0,Defensive rebound by R. Westbrook,,10,12
