QUARTER,TIME_REMAINING,DETROIT_ACTION,GOLDEN STATE_ACTION,DETROIT_SCORE,GOLDEN STATE_SCORE
4,2:18.0,I. Smith misses 2-pt jump shot from 6 ft,,105,118
4,2:17.0,Offensive rebound by A. Drummond,,105,118
4,2:17.0,A. Drummond makes 2-pt layup from 1 ft,,107,118
4,1:52.0,,S. Curry misses 2-pt jump shot from 18 ft,107,118
4,1:51.0,Defensive rebound by T. Maker,,107,118
4,1:45.0,Personal foul by D. Green (drawn by B. Griffin),,107,118
4,1:45.0,B. Griffin misses free throw 1 of 2,,107,118
4,1:45.0,Offensive rebound by Team,,107,118
4,1:45.0,B. Griffin makes free throw 2 of 2,,108,118
4,1:34.0,Violation by Team (kicked ball),,108,118
4,1:25.0,,K. Thompson misses 2-pt jump shot from 14 ft,108,118
4,1:24.0,Defensive rebound by B. Griffin,,108,118
4,1:15.0,B. Griffin makes 3-pt jump shot from 28 ft,,111,118
4,0:59.0,,S. Curry makes 2-pt jump shot from 9 ft (assist by K. Durant),111,120
4,0:59.0,Detroit full timeout,,111,120
4,0:59.0,L. Galloway enters the game for T. Maker,,111,120
4,0:59.0,,K. Looney enters the game for A. Bogut,111,120
4,0:51.0,A. Drummond misses 2-pt dunk from 3 ft,,111,120
4,0:48.0,,Defensive rebound by K. Thompson,111,120
4,0:26.0,,Turnover by Team (shot clock),111,120
4,0:23.0,I. Smith misses 3-pt jump shot from 23 ft,,111,120
4,0:22.0,,Defensive rebound by K. Thompson,111,120
4,0:18.0,,Turnover by S. Curry (lost ball; steal by A. Drummond),111,120
4,0:09.0,Shooting foul by K. Durant (drawn by B. Griffin),,111,120
4,0:09.0,B. Griffin makes free throw 1 of 3,,112,120
4,0:09.0,B. Griffin makes free throw 2 of 3,,113,120
4,0:09.0,T. Maker enters the game for L. Kennard,,113,120
4,0:09.0,B. Griffin makes free throw 3 of 3,,114,120
4,0:06.0,,Personal take foul by T. Maker (drawn by K. Durant),114,120
4,0:06.0,,K. Durant misses free throw 1 of 2,114,120
4,0:06.0,,Offensive rebound by Team,114,120
4,0:06.0,,K. Durant makes free throw 2 of 2,114,121
4,0:06.0,Detroit full timeout,,114,121
4,0:06.0,L. Kennard enters the game for T. Maker,,114,121
4,0:02.0,B. Griffin misses 3-pt jump shot from 26 ft,,114,121
4,0:00.0,Offensive rebound by Team,,114,121
