QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,NEW YORK_ACTION,OKLAHOMA CITY_SCORE,NEW YORK_SCORE
1,11:46.0,Turnover by R. Westbrook (bad pass; steal by T. Hardaway),,0,0
1,11:30.0,,K. Knox misses 2-pt jump shot from 8 ft,0,0
1,11:28.0,Defensive rebound by P. George,,0,0
1,11:19.0,P. George makes 2-pt layup from 2 ft,,2,0
1,11:19.0,Shooting foul by K. Knox (drawn by P. George),,2,0
1,11:19.0,P. George makes free throw 1 of 1,,3,0
1,11:05.0,,N. Vonleh misses 2-pt hook shot from 8 ft,3,0
1,11:03.0,Defensive rebound by S. Adams,,3,0
1,10:57.0,Turnover by R. Westbrook (bad pass; steal by L. Kornet),,3,0
1,10:44.0,,T. Hardaway misses 3-pt jump shot from 30 ft,3,0
1,10:42.0,Defensive rebound by R. Westbrook,,3,0
1,10:31.0,R. Westbrook misses 2-pt jump shot from 12 ft,,3,0
1,10:29.0,,Defensive rebound by L. Kornet,3,0
1,10:21.0,,E. Mudiay makes 2-pt layup from 1 ft,3,2
1,10:10.0,P. George makes 2-pt jump shot from 16 ft,,5,2
1,9:50.0,,E. Mudiay makes 2-pt layup from 1 ft,5,4
1,9:36.0,J. Grant makes 2-pt jump shot from 18 ft (assist by T. Ferguson),,7,4
1,9:16.0,,N. Vonleh misses 2-pt layup from 2 ft,7,4
1,9:14.0,Defensive rebound by T. Ferguson,,7,4
1,9:09.0,T. Ferguson makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,10,4
1,8:59.0,,Personal foul by T. Ferguson (drawn by E. Mudiay),10,4
1,8:45.0,,L. Kornet makes 2-pt jump shot from 10 ft,10,6
1,8:28.0,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,13,6
1,8:13.0,,E. Mudiay misses 2-pt layup from 1 ft,13,6
1,8:11.0,Defensive rebound by S. Adams,,13,6
1,8:08.0,P. George misses 3-pt jump shot from 25 ft,,13,6
1,8:06.0,,Defensive rebound by K. Knox,13,6
1,8:01.0,,E. Mudiay makes 2-pt layup from 1 ft (assist by K. Knox),13,8
1,7:50.0,Shooting foul by T. Hardaway (drawn by J. Grant),,13,8
