QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ORLANDO_ACTION,WASHINGTON_SCORE,ORLANDO_SCORE
1,11:46.0,D. Howard makes 2-pt layup from 3 ft (assist by J. Wall),,2,0
1,11:34.0,,N. Vučević makes 2-pt jump shot from 21 ft,2,2
1,11:16.0,B. Beal makes 2-pt layup from 3 ft,,4,2
1,10:57.0,,D. Augustin misses 3-pt jump shot from 25 ft,4,2
1,10:55.0,Defensive rebound by M. Morris,,4,2
1,10:49.0,M. Morris makes 3-pt jump shot from 26 ft (assist by J. Wall),,7,2
1,10:30.0,,A. Gordon misses 2-pt jump shot from 5 ft,7,2
1,10:28.0,Defensive rebound by J. Wall,,7,2
1,10:23.0,O. Porter misses 3-pt jump shot from 26 ft,,7,2
1,10:21.0,Offensive rebound by D. Howard,,7,2
1,10:18.0,Turnover by D. Howard (out of bounds lost ball),,7,2
1,10:09.0,,Personal foul by M. Morris (drawn by A. Gordon),7,2
1,9:58.0,,A. Gordon misses 2-pt jump shot from 12 ft,7,2
1,9:55.0,Defensive rebound by D. Howard,,7,2
1,9:48.0,M. Morris makes 2-pt layup from 3 ft (assist by J. Wall),,9,2
1,9:36.0,,Turnover by N. Vučević (bad pass),9,2
1,9:24.0,D. Howard makes 2-pt layup from 3 ft,,11,2
1,9:19.0,,Orlando full timeout,11,2
1,9:07.0,,Turnover by W. Iwundu (bad pass; steal by J. Wall),11,2
1,9:03.0,J. Wall makes 2-pt dunk from 1 ft,,13,2
1,8:43.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),13,5
1,8:25.0,O. Porter misses 2-pt jump shot from 15 ft,,13,5
1,8:23.0,Offensive rebound by D. Howard,,13,5
1,8:23.0,Shooting foul by N. Vučević (drawn by D. Howard),,13,5
1,8:23.0,D. Howard misses free throw 1 of 2,,13,5
1,8:23.0,Offensive rebound by Team,,13,5
1,8:23.0,D. Howard misses free throw 2 of 2,,13,5
1,8:20.0,,Defensive rebound by D. Augustin,13,5
1,8:13.0,,Shooting foul by B. Beal (drawn by A. Gordon),13,5
1,8:13.0,,A. Gordon makes free throw 1 of 2,13,6
1,8:13.0,,A. Gordon makes free throw 2 of 2,13,7
1,7:57.0,B. Beal makes 3-pt jump shot from 26 ft (assist by O. Porter),,16,7
1,7:42.0,,W. Iwundu misses 2-pt layup from 2 ft,16,7
1,7:33.0,,Offensive rebound by W. Iwundu,16,7
1,7:33.0,,W. Iwundu makes 2-pt layup at rim,16,9
1,7:31.0,D. Howard makes 2-pt layup from 2 ft (assist by J. Wall),,18,9
1,7:15.0,,E. Fournier misses 3-pt jump shot from 23 ft,18,9
1,7:15.0,Defensive rebound by D. Howard,,18,9
1,7:08.0,J. Wall misses 3-pt jump shot from 24 ft,,18,9
1,7:08.0,,Defensive rebound by Team,18,9
1,6:55.0,,E. Fournier misses 2-pt jump shot from 22 ft,18,9
1,6:52.0,Defensive rebound by B. Beal,,18,9
1,6:30.0,J. Wall misses 2-pt layup from 3 ft (block by N. Vučević),,18,9
1,6:30.0,Offensive rebound by Team,,18,9
1,6:30.0,Turnover by Team (shot clock),,18,9
1,6:13.0,,A. Gordon misses 2-pt jump shot from 9 ft,18,9
1,6:09.0,,Offensive rebound by A. Gordon,18,9
1,6:06.0,,D. Augustin makes 3-pt jump shot from 24 ft (assist by A. Gordon),18,12
1,5:59.0,M. Morris misses 2-pt layup from 3 ft,,18,12
