QUARTER,TIME_REMAINING,ORLANDO_ACTION,WASHINGTON_ACTION,ORLANDO_SCORE,WASHINGTON_SCORE
1,11:46.0,,D. Howard makes 2-pt layup from 1 ft (assist by B. Beal),0,2
1,11:28.0,A. Gordon makes 2-pt jump shot from 20 ft (assist by W. Iwundu),,2,2
1,11:17.0,,M. Morris makes 2-pt jump shot from 14 ft (assist by J. Wall),2,4
1,10:58.0,N. Vučević misses 2-pt jump shot from 19 ft,,2,4
1,10:56.0,,Defensive rebound by M. Morris,2,4
1,10:43.0,,J. Wall makes 2-pt layup from 1 ft,2,6
1,10:22.0,N. Vučević misses 2-pt hook shot from 9 ft,,2,6
1,10:18.0,,Defensive rebound by D. Howard,2,6
1,10:07.0,,J. Wall misses 2-pt jump shot from 15 ft (block by A. Gordon),2,6
1,10:04.0,Defensive rebound by A. Gordon,,2,6
1,10:02.0,D. Augustin misses 2-pt layup from 3 ft,,2,6
1,10:02.0,Offensive rebound by Team,,2,6
1,10:02.0,Personal foul by O. Porter (drawn by W. Iwundu),,2,6
1,9:56.0,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),,4,6
1,9:56.0,,Violation by Team (def goaltending),4,6
1,9:37.0,,M. Morris makes 2-pt jump shot from 8 ft,4,8
1,9:20.0,D. Augustin misses 2-pt jump shot from 5 ft,,4,8
1,9:18.0,,Defensive rebound by J. Wall,4,8
1,9:13.0,,M. Morris misses 3-pt jump shot from 27 ft,4,8
1,9:09.0,Defensive rebound by A. Gordon,,4,8
1,9:04.0,W. Iwundu misses 2-pt layup from 4 ft (block by O. Porter),,4,8
1,9:01.0,Offensive rebound by N. Vučević,,4,8
1,9:01.0,N. Vučević makes 2-pt layup from 1 ft,,6,8
1,8:47.0,,D. Howard misses 2-pt layup from 2 ft (block by A. Gordon),6,8
1,8:45.0,,Offensive rebound by M. Morris,6,8
1,8:41.0,,J. Wall makes 3-pt jump shot from 25 ft (assist by B. Beal),6,11
1,8:24.0,E. Fournier makes 2-pt layup from 1 ft (assist by D. Augustin),,8,11
1,8:04.0,,D. Howard misses 2-pt jump shot from 6 ft,8,11
1,8:02.0,Defensive rebound by N. Vučević,,8,11
1,7:55.0,D. Augustin makes 3-pt jump shot from 31 ft (assist by W. Iwundu),,11,11
