QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW ORLEANS_ACTION,DETROIT_SCORE,NEW ORLEANS_SCORE
1,11:36.0,,J. Okafor makes 2-pt layup from 3 ft,0,2
1,11:14.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),,3,2
1,10:58.0,,J. Okafor misses 2-pt layup from 2 ft,3,2
1,10:57.0,Defensive rebound by Z. Pachulia,,3,2
1,10:47.0,B. Griffin misses 2-pt layup from 6 ft (block by J. Okafor),,3,2
1,10:44.0,,Defensive rebound by J. Randle,3,2
1,10:38.0,,J. Okafor makes 2-pt layup from 3 ft (assist by J. Holiday),3,4
1,10:23.0,R. Bullock misses 2-pt jump shot from 17 ft,,3,4
1,10:15.0,,Defensive rebound by E. Moore,3,4
1,10:06.0,,J. Randle misses 2-pt jump shot from 20 ft,3,4
1,10:02.0,,Offensive rebound by J. Okafor,3,4
1,9:58.0,,J. Randle makes 2-pt layup from 2 ft (assist by J. Holiday),3,6
1,9:58.0,,Shooting foul by Z. Pachulia (drawn by J. Randle),3,6
1,9:58.0,,J. Randle makes free throw 1 of 1,3,7
1,9:52.0,R. Jackson misses 3-pt jump shot from 26 ft,,3,7
1,9:47.0,,Defensive rebound by E. Payton,3,7
1,9:28.0,,E. Payton misses 2-pt layup from 2 ft,3,7
1,9:23.0,Defensive rebound by B. Brown,,3,7
1,9:15.0,B. Brown makes 3-pt jump shot from 23 ft (assist by B. Griffin),,6,7
1,8:55.0,,J. Okafor misses 2-pt layup from 4 ft,6,7
1,8:52.0,Defensive rebound by B. Brown,,6,7
1,8:48.0,B. Brown misses 2-pt layup from 4 ft (block by J. Okafor),,6,7
1,8:48.0,Offensive rebound by Team,,6,7
1,8:36.0,R. Bullock misses 3-pt jump shot from 28 ft,,6,7
1,8:29.0,,Defensive rebound by J. Randle,6,7
1,8:21.0,,J. Randle misses 3-pt jump shot from 25 ft,6,7
1,8:18.0,Defensive rebound by B. Brown,,6,7
1,8:12.0,B. Griffin misses 2-pt layup from 3 ft (block by J. Okafor),,6,7
1,8:09.0,,Defensive rebound by J. Randle,6,7
1,8:05.0,,J. Randle makes 2-pt layup from 2 ft,6,9
1,7:55.0,R. Bullock misses 3-pt jump shot from 25 ft,,6,9
