QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MEMPHIS_ACTION,LA CLIPPERS_SCORE,MEMPHIS_SCORE
1,11:49.0,D. Gallinari misses 3-pt jump shot from 26 ft,,0,0
1,11:45.0,,Defensive rebound by I. Rabb,0,0
1,11:34.0,,A. Bradley misses 2-pt jump shot from 18 ft,0,0
1,11:33.0,Defensive rebound by D. Gallinari,,0,0
1,11:22.0,I. Zubac misses 2-pt hook shot from 7 ft,,0,0
1,11:20.0,,Defensive rebound by I. Rabb,0,0
1,11:13.0,,M. Conley misses 3-pt jump shot from 25 ft,0,0
1,11:10.0,Defensive rebound by D. Gallinari,,0,0
1,10:51.0,I. Zubac makes 2-pt hook shot from 7 ft (assist by S. Gilgeous-Alexander),,2,0
1,10:34.0,,B. Caboclo makes 2-pt layup from 4 ft (assist by M. Conley),2,2
1,10:22.0,Personal foul by I. Rabb (drawn by I. Zubac),,2,2
1,10:16.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by P. Beverley),,5,2
1,10:02.0,,B. Caboclo misses 2-pt layup from 5 ft (block by D. Gallinari),5,2
1,10:02.0,Defensive rebound by Team,,5,2
1,9:50.0,Offensive foul by P. Beverley (drawn by J. Holiday),,5,2
1,9:50.0,Turnover by P. Beverley (offensive foul),,5,2
1,9:42.0,,A. Bradley misses 2-pt jump shot from 14 ft,5,2
1,9:40.0,Defensive rebound by I. Zubac,,5,2
1,9:33.0,Turnover by P. Beverley (bad pass),,5,2
1,9:19.0,,M. Conley misses 2-pt jump shot from 11 ft,5,2
1,9:17.0,Defensive rebound by I. Zubac,,5,2
1,9:09.0,I. Zubac makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),,7,2
1,9:00.0,,Shooting foul by L. Shamet (drawn by I. Rabb),7,2
1,9:00.0,,I. Rabb makes free throw 1 of 2,7,3
1,9:00.0,,I. Rabb makes free throw 2 of 2,7,4
1,8:52.0,Shooting foul by A. Bradley (drawn by S. Gilgeous-Alexander),,7,4
1,8:52.0,S. Gilgeous-Alexander makes free throw 1 of 2,,8,4
1,8:52.0,S. Gilgeous-Alexander makes free throw 2 of 2,,9,4
1,8:38.0,,J. Holiday misses 2-pt layup from 1 ft,9,4
1,8:34.0,,Offensive rebound by I. Rabb,9,4
1,8:34.0,,I. Rabb makes 2-pt layup at rim,9,6
1,8:21.0,Shooting foul by B. Caboclo (drawn by D. Gallinari),,9,6
1,8:21.0,D. Gallinari makes free throw 1 of 2,,10,6
1,8:21.0,D. Gallinari makes free throw 2 of 2,,11,6
1,8:12.0,,B. Caboclo misses 3-pt jump shot from 25 ft,11,6
1,8:10.0,Defensive rebound by I. Zubac,,11,6
1,8:07.0,Personal foul by B. Caboclo (drawn by D. Gallinari),,11,6
1,8:07.0,,C. Miles enters the game for B. Caboclo,11,6
1,7:51.0,D. Gallinari misses 2-pt jump shot from 14 ft,,11,6
1,7:49.0,,Defensive rebound by A. Bradley,11,6
1,7:47.0,,Personal take foul by D. Gallinari (drawn by A. Bradley),11,6
1,7:40.0,,I. Rabb misses 2-pt layup from 1 ft,11,6
1,7:40.0,,Offensive rebound by I. Rabb,11,6
1,7:40.0,,Shooting foul by I. Zubac (drawn by I. Rabb),11,6
1,7:40.0,,I. Rabb makes free throw 1 of 2,11,7
1,7:40.0,,I. Rabb makes free throw 2 of 2,11,8
1,7:22.0,D. Gallinari misses 3-pt jump shot from 25 ft,,11,8
1,7:19.0,,Defensive rebound by I. Rabb,11,8
