QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MILWAUKEE_ACTION,CHARLOTTE_SCORE,MILWAUKEE_SCORE
1,11:41.0,,G. Antetokounmpo misses 3-pt jump shot from 25 ft,0,0
1,11:41.0,Defensive rebound by Team,,0,0
1,11:19.0,B. Biyombo makes 2-pt layup from 1 ft (assist by K. Walker),,2,0
1,11:10.0,,B. Lopez misses 3-pt jump shot from 28 ft,2,0
1,11:07.0,Defensive rebound by M. Williams,,2,0
1,10:58.0,J. Lamb makes 2-pt jump shot from 15 ft,,4,0
1,10:47.0,,M. Brogdon misses 3-pt jump shot from 26 ft,4,0
1,10:44.0,Defensive rebound by N. Batum,,4,0
1,10:38.0,N. Batum makes 3-pt jump shot from 26 ft (assist by B. Biyombo),,7,0
1,10:15.0,,K. Middleton makes 2-pt jump shot from 9 ft,7,2
1,9:57.0,J. Lamb misses 3-pt jump shot from 26 ft,,7,2
1,9:54.0,,Defensive rebound by G. Antetokounmpo,7,2
1,9:42.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft,7,4
1,9:31.0,K. Walker misses 2-pt jump shot from 11 ft,,7,4
1,9:27.0,,Defensive rebound by B. Lopez,7,4
1,9:20.0,,B. Lopez misses 3-pt jump shot from 30 ft,7,4
1,9:16.0,Defensive rebound by K. Walker,,7,4
1,9:04.0,Turnover by M. Williams (out of bounds lost ball),,7,4
1,8:50.0,,Shooting foul by J. Lamb (drawn by M. Brogdon),7,4
1,8:50.0,,M. Brogdon makes free throw 1 of 2,7,5
1,8:50.0,,M. Brogdon makes free throw 2 of 2,7,6
1,8:38.0,M. Williams misses 3-pt jump shot from 24 ft,,7,6
1,8:36.0,,Defensive rebound by G. Antetokounmpo,7,6
1,8:34.0,,Shooting foul by K. Walker (drawn by E. Bledsoe),7,6
1,8:34.0,,E. Bledsoe makes free throw 1 of 2,7,7
1,8:34.0,,E. Bledsoe misses free throw 2 of 2,7,7
1,8:30.0,Defensive rebound by B. Biyombo,,7,7
1,8:22.0,Turnover by M. Williams (lost ball; steal by G. Antetokounmpo),,7,7
1,8:18.0,,G. Antetokounmpo misses 2-pt dunk from 2 ft,7,7
1,8:15.0,Defensive rebound by M. Williams,,7,7
1,8:04.0,K. Walker makes 2-pt layup from 1 ft,,9,7
1,7:53.0,,E. Bledsoe makes 2-pt layup from 2 ft,9,9
1,7:38.0,N. Batum makes 3-pt jump shot from 26 ft (assist by M. Williams),,12,9
1,7:31.0,,Offensive foul by E. Bledsoe (drawn by K. Walker),12,9
1,7:31.0,,Turnover by E. Bledsoe (offensive foul),12,9
1,7:31.0,,S. Brown enters the game for M. Brogdon,12,9
1,7:17.0,J. Lamb misses 3-pt jump shot from 26 ft,,12,9
1,7:14.0,,Defensive rebound by E. Bledsoe,12,9
1,7:05.0,,K. Middleton misses 3-pt jump shot from 26 ft,12,9
1,7:02.0,Defensive rebound by B. Biyombo,,12,9
1,6:53.0,J. Lamb makes 2-pt jump shot from 8 ft,,14,9
1,6:42.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by S. Brown),14,11
1,6:42.0,,Shooting foul by J. Lamb (drawn by G. Antetokounmpo),14,11
1,6:42.0,,Milwaukee full timeout,14,11
1,6:42.0,D. Graham enters the game for B. Biyombo,,14,11
1,6:42.0,M. Kidd-Gilchrist enters the game for J. Lamb,,14,11
1,6:42.0,,G. Antetokounmpo makes free throw 1 of 1,14,12
1,6:31.0,Personal foul by G. Antetokounmpo (drawn by M. Williams),,14,12
1,6:22.0,N. Batum misses 3-pt jump shot from 23 ft,,14,12
1,6:19.0,,Defensive rebound by E. Bledsoe,14,12
1,6:12.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,14,12
1,6:08.0,Defensive rebound by N. Batum,,14,12
1,6:04.0,Turnover by D. Graham (bad pass),,14,12
1,5:47.0,,G. Antetokounmpo misses 2-pt layup from 3 ft,14,12
1,5:46.0,Defensive rebound by M. Williams,,14,12
1,5:31.0,M. Kidd-Gilchrist misses 3-pt jump shot from 26 ft,,14,12
1,5:27.0,,Defensive rebound by S. Brown,14,12
1,5:27.0,,G. Hill enters the game for G. Antetokounmpo,14,12
1,5:27.0,,D. Wilson enters the game for E. Bledsoe,14,12
1,5:25.0,,Away from play foul by M. Williams (drawn by B. Lopez),14,12
1,5:25.0,,K. Middleton makes free throw 1 of 1,14,13
1,5:10.0,,K. Middleton makes 2-pt jump shot from 10 ft,14,15
1,4:56.0,M. Williams makes 3-pt jump shot from 24 ft (assist by M. Kidd-Gilchrist),,17,15
1,4:34.0,,K. Middleton misses 2-pt jump shot from 6 ft,17,15
1,4:31.0,,Offensive rebound by S. Brown,17,15
1,4:30.0,,S. Brown makes 2-pt layup from 1 ft,17,17
1,4:07.0,M. Kidd-Gilchrist makes 2-pt jump shot from 19 ft (assist by N. Batum),,19,17
1,3:42.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by D. Wilson),19,20
1,3:28.0,N. Batum misses 3-pt jump shot from 27 ft,,19,20
1,3:28.0,,Defensive rebound by Team,19,20
1,3:28.0,,M. Brogdon enters the game for B. Lopez,19,20
1,3:28.0,,E. İlyasova enters the game for K. Middleton,19,20
1,3:09.0,,G. Hill misses 2-pt layup from 4 ft,19,20
1,3:07.0,Defensive rebound by M. Kidd-Gilchrist,,19,20
