QUARTER,TIME_REMAINING,MIAMI_ACTION,CLEVELAND_ACTION,MIAMI_SCORE,CLEVELAND_SCORE
1,11:41.0,,C. Osman misses 3-pt jump shot from 26 ft,0,0
1,11:39.0,Defensive rebound by H. Whiteside,,0,0
1,11:34.0,Turnover by H. Whiteside (lost ball; steal by R. Hood),,0,0
1,11:30.0,,T. Thompson makes 2-pt dunk from 1 ft (assist by C. Sexton),0,2
1,11:15.0,J. Winslow misses 2-pt layup from 4 ft,,0,2
1,11:15.0,Offensive rebound by H. Whiteside,,0,2
1,11:13.0,H. Whiteside misses 2-pt layup from 2 ft (block by R. Hood),,0,2
1,11:13.0,Offensive rebound by Team,,0,2
1,11:07.0,R. McGruder makes 2-pt jump shot from 5 ft (assist by J. Richardson),,2,2
1,10:49.0,,A. Burks misses 2-pt jump shot from 12 ft,2,2
1,10:47.0,Defensive rebound by H. Whiteside,,2,2
1,10:37.0,Turnover by R. McGruder (lost ball; steal by T. Thompson),,2,2
1,10:31.0,,R. Hood makes 2-pt jump shot from 18 ft,2,4
1,10:15.0,J. Richardson misses 3-pt jump shot from 27 ft,,2,4
1,10:13.0,,Defensive rebound by C. Osman,2,4
1,10:05.0,,C. Sexton misses 2-pt jump shot from 12 ft,2,4
1,10:01.0,Defensive rebound by H. Whiteside,,2,4
1,9:52.0,J. Winslow misses 2-pt jump shot from 14 ft,,2,4
1,9:50.0,,Defensive rebound by Team,2,4
1,9:26.0,,T. Thompson makes 2-pt hook shot from 5 ft (assist by C. Sexton),2,6
1,9:14.0,J. Johnson misses 2-pt layup from 1 ft,,2,6
1,9:11.0,Offensive rebound by J. Winslow,,2,6
1,9:10.0,J. Winslow makes 2-pt layup from 4 ft,,4,6
1,8:48.0,,A. Burks makes 2-pt jump shot from 5 ft,4,8
1,8:38.0,R. McGruder misses 3-pt jump shot from 25 ft,,4,8
1,8:38.0,,Defensive rebound by Team,4,8
1,8:38.0,,J. Clarkson enters the game for R. Hood,4,8
1,8:16.0,,T. Thompson makes 2-pt hook shot from 6 ft,4,10
1,7:58.0,J. Richardson makes 2-pt jump shot from 12 ft,,6,10
1,7:49.0,,Personal foul by J. Johnson (drawn by T. Thompson),6,10
1,7:42.0,,J. Clarkson makes 3-pt jump shot from 25 ft (assist by T. Thompson),6,13
1,7:26.0,J. Richardson misses 2-pt jump shot from 11 ft,,6,13
1,7:24.0,,Defensive rebound by A. Burks,6,13
1,7:09.0,,C. Sexton misses 2-pt jump shot from 11 ft,6,13
1,7:06.0,Defensive rebound by H. Whiteside,,6,13
1,7:04.0,,Violation by Team (kicked ball),6,13
1,6:54.0,J. Richardson makes 2-pt jump shot from 12 ft,,8,13
1,6:39.0,,T. Thompson makes 2-pt hook shot from 8 ft (assist by C. Sexton),8,15
1,6:31.0,J. Johnson makes 3-pt jump shot from 25 ft,,11,15
1,6:13.0,,C. Osman makes 3-pt jump shot from 27 ft (assist by C. Sexton),11,18
1,6:12.0,Miami full timeout,,11,18
1,6:00.0,J. Winslow misses 2-pt jump shot from 11 ft,,11,18
1,5:57.0,Offensive rebound by H. Whiteside,,11,18
1,5:51.0,J. Winslow makes 2-pt jump shot from 9 ft,,13,18
1,5:27.0,,T. Thompson misses 2-pt hook shot from 12 ft,13,18
1,5:25.0,Defensive rebound by J. Winslow,,13,18
1,5:16.0,Shooting foul by C. Osman (drawn by J. Richardson),,13,18
1,5:16.0,J. Richardson makes free throw 1 of 2,,14,18
1,5:16.0,,R. Hood enters the game for A. Burks,14,18
1,5:16.0,,L. Nance enters the game for T. Thompson,14,18
1,5:16.0,J. Richardson makes free throw 2 of 2,,15,18
1,5:04.0,,J. Clarkson misses 3-pt jump shot from 25 ft,15,18
1,5:01.0,Defensive rebound by H. Whiteside,,15,18
1,4:48.0,J. Winslow misses 2-pt jump shot from 9 ft,,15,18
1,4:46.0,,Defensive rebound by R. Hood,15,18
1,4:43.0,,Turnover by C. Osman (traveling),15,18
1,4:43.0,T. Johnson enters the game for J. Richardson,,15,18
1,4:28.0,Turnover by T. Johnson (bad pass),,15,18
1,4:05.0,,Turnover by J. Clarkson (lost ball; steal by J. Johnson),15,18
1,4:00.0,J. Johnson misses 2-pt jump shot from 9 ft,,15,18
1,3:59.0,Offensive rebound by R. McGruder,,15,18
1,3:58.0,R. McGruder misses 2-pt layup at rim,,15,18
1,3:58.0,,Defensive rebound by C. Osman,15,18
1,3:45.0,,Turnover by J. Clarkson (bad pass; steal by J. Winslow),15,18
1,3:40.0,J. Winslow misses 2-pt layup from 5 ft,,15,18
1,3:39.0,Offensive rebound by R. McGruder,,15,18
1,3:33.0,Shooting foul by L. Nance (drawn by J. Winslow),,15,18
1,3:33.0,J. Winslow makes free throw 1 of 2,,16,18
1,3:33.0,B. Adebayo enters the game for J. Johnson,,16,18
1,3:33.0,D. Jones enters the game for H. Whiteside,,16,18
1,3:33.0,,M. Dellavedova enters the game for C. Sexton,16,18
1,3:33.0,J. Winslow makes free throw 2 of 2,,17,18
1,3:17.0,,M. Dellavedova misses 2-pt jump shot from 10 ft,17,18
1,3:12.0,Defensive rebound by B. Adebayo,,17,18
1,2:59.0,R. McGruder misses 3-pt jump shot from 25 ft,,17,18
1,2:55.0,,Defensive rebound by R. Hood,17,18
1,2:45.0,,M. Dellavedova makes 2-pt layup from 1 ft (assist by L. Nance),17,20
1,2:31.0,T. Johnson makes 2-pt jump shot from 5 ft,,19,20
1,2:17.0,,R. Hood misses 3-pt jump shot from 23 ft,19,20
1,2:14.0,Defensive rebound by D. Jones,,19,20
1,2:02.0,Turnover by D. Jones (step out of bounds),,19,20
1,2:02.0,,Cleveland full timeout,19,20
1,2:02.0,K. Olynyk enters the game for R. McGruder,,19,20
1,2:02.0,J. Richardson enters the game for J. Winslow,,19,20
1,2:02.0,,J. Jones enters the game for C. Osman,19,20
1,1:37.0,,L. Nance misses 2-pt jump shot from 18 ft (block by D. Jones),19,20
1,1:34.0,Defensive rebound by B. Adebayo,,19,20
1,1:29.0,J. Richardson makes 3-pt jump shot from 27 ft (assist by B. Adebayo),,22,20
1,1:19.0,,J. Clarkson makes 3-pt jump shot from 23 ft (assist by J. Jones),22,23
1,0:59.0,T. Johnson misses 2-pt jump shot from 14 ft (block by J. Clarkson),,22,23
1,0:57.0,,Defensive rebound by Team,22,23
1,0:57.0,,P. McCaw enters the game for R. Hood,22,23
1,0:38.0,,P. McCaw misses 3-pt jump shot from 24 ft,22,23
1,0:36.0,Defensive rebound by D. Jones,,22,23
1,0:31.0,Personal foul by J. Clarkson (drawn by J. Richardson),,22,23
1,0:21.0,J. Richardson misses 2-pt jump shot from 12 ft,,22,23
1,0:18.0,,Defensive rebound by L. Nance,22,23
1,0:01.0,,Turnover by L. Nance (bad pass; steal by T. Johnson),22,23
1,0:00.0,B. Adebayo misses 3-pt jump shot from 67 ft,,22,23
1,0:00.0,Offensive rebound by Team,,22,23
2,11:47.0,Shooting foul by J. Jones (drawn by T. Johnson),,22,23
2,11:47.0,T. Johnson makes free throw 1 of 2,,23,23
2,11:47.0,T. Johnson makes free throw 2 of 2,,24,23
2,11:23.0,,M. Dellavedova misses 2-pt jump shot from 8 ft,24,23
2,11:14.0,,Offensive rebound by L. Nance,24,23
2,11:14.0,,L. Nance misses 2-pt layup from 1 ft,24,23
2,11:13.0,Defensive rebound by B. Adebayo,,24,23
2,11:12.0,B. Adebayo makes 2-pt jump shot from 10 ft,,26,23
2,11:00.0,,J. Jones misses 3-pt jump shot from 28 ft,26,23
2,10:59.0,Defensive rebound by Team,,26,23
2,10:43.0,T. Johnson misses 2-pt jump shot from 1 ft,,26,23
2,10:37.0,Offensive rebound by D. Jones,,26,23
2,10:36.0,Turnover by B. Adebayo (lost ball; steal by P. McCaw),,26,23
2,10:31.0,,L. Nance makes 2-pt jump shot from 14 ft (assist by M. Dellavedova),26,25
2,10:07.0,D. Jones misses 2-pt jump shot from 6 ft,,26,25
2,10:06.0,,Defensive rebound by L. Nance,26,25
2,9:56.0,,Turnover by L. Nance (bad pass; steal by T. Johnson),26,25
2,9:41.0,Turnover by T. Johnson (lost ball; steal by L. Nance),,26,25
2,9:36.0,,Shooting foul by K. Olynyk (drawn by J. Jones),26,25
2,9:36.0,,J. Jones makes free throw 1 of 2,26,26
2,9:36.0,,J. Jones makes free throw 2 of 2,26,27
2,9:21.0,J. Richardson makes 3-pt jump shot from 24 ft (assist by T. Johnson),,29,27
2,8:54.0,,A. Burks makes 3-pt jump shot from 27 ft,29,30
