QUARTER,TIME_REMAINING,TORONTO_ACTION,INDIANA_ACTION,TORONTO_SCORE,INDIANA_SCORE
4,3:59.0,,B. Bogdanović enters the game for D. McDermott,97,100
4,3:59.0,,M. Turner enters the game for D. Sabonis,97,100
4,3:59.0,,T. Young makes free throw 1 of 1,97,101
4,3:46.0,F. VanVleet misses 2-pt jump shot from 6 ft,,97,101
4,3:42.0,,Defensive rebound by T. Young,97,101
4,3:29.0,,C. Joseph misses 3-pt jump shot from 27 ft,97,101
4,3:25.0,Defensive rebound by S. Ibaka,,97,101
4,3:17.0,Toronto full timeout,,97,101
4,3:06.0,K. Lowry misses 2-pt jump shot from 21 ft (block by M. Turner),,97,101
4,3:05.0,Offensive rebound by K. Lowry,,97,101
4,3:05.0,K. Lowry misses 3-pt jump shot from 25 ft,,97,101
4,3:03.0,,Defensive rebound by T. Young,97,101
4,2:43.0,,T. Young misses 3-pt jump shot from 28 ft,97,101
4,2:39.0,Defensive rebound by D. Green,,97,101
4,2:23.0,P. Siakam misses 2-pt jump shot from 7 ft,,97,101
4,2:22.0,Offensive rebound by Team,,97,101
4,2:22.0,,Loose ball foul by C. Joseph (drawn by K. Lowry),97,101
4,2:10.0,S. Ibaka makes 2-pt jump shot from 12 ft (assist by K. Lowry),,99,101
4,1:52.0,,D. Collison makes 2-pt jump shot from 17 ft,99,103
4,1:38.0,F. VanVleet misses 3-pt jump shot from 27 ft,,99,103
4,1:35.0,,Defensive rebound by T. Young,99,103
4,1:14.0,,D. Collison misses 2-pt jump shot from 21 ft,99,103
4,1:11.0,Defensive rebound by D. Green,,99,103
4,1:11.0,Toronto full timeout,,99,103
4,1:02.0,S. Ibaka makes 2-pt jump shot from 20 ft (assist by K. Lowry),,101,103
4,0:48.0,,Personal foul by P. Siakam (drawn by M. Turner),101,103
4,0:48.0,,M. Turner makes free throw 1 of 2,101,104
4,0:48.0,,T. Evans enters the game for C. Joseph,101,104
4,0:48.0,,M. Turner makes free throw 2 of 2,101,105
4,0:37.0,S. Ibaka misses 2-pt jump shot from 7 ft,,101,105
4,0:33.0,Offensive rebound by S. Ibaka,,101,105
4,0:31.0,D. Green makes 3-pt jump shot from 25 ft (assist by S. Ibaka),,104,105
4,0:31.0,,Indiana full timeout,104,105
4,0:10.0,,T. Young makes 2-pt jump shot from 5 ft (assist by B. Bogdanović),104,107
4,0:10.0,Toronto full timeout,,104,107
4,0:10.0,C. Miles enters the game for P. Siakam,,104,107
4,0:10.0,,C. Joseph enters the game for T. Evans,104,107
4,0:09.0,D. Green misses 3-pt jump shot from 24 ft,,104,107
4,0:07.0,,Defensive rebound by Team,104,107
4,0:07.0,,Indiana full timeout,104,107
4,0:07.0,P. McCaw enters the game for S. Ibaka,,104,107
4,0:07.0,P. Siakam enters the game for C. Miles,,104,107
4,0:07.0,,T. Evans enters the game for C. Joseph,104,107
4,0:07.0,,D. McDermott enters the game for T. Young,104,107
4,0:07.0,,Personal take foul by K. Lowry (drawn by T. Evans),104,107
4,0:07.0,,T. Evans makes free throw 1 of 2,104,108
4,0:07.0,C. Miles enters the game for P. McCaw,,104,108
4,0:07.0,,C. Joseph enters the game for D. McDermott,104,108
4,0:07.0,,T. Young enters the game for M. Turner,104,108
4,0:07.0,,T. Evans makes free throw 2 of 2,104,109
4,0:03.0,F. VanVleet makes 2-pt layup from 1 ft,,106,109
4,0:02.0,,Personal take foul by K. Lowry (drawn by D. Collison),106,109
4,0:02.0,,D. Collison misses free throw 1 of 2,106,109
4,0:02.0,,Offensive rebound by Team,106,109
4,0:02.0,N. Powell enters the game for K. Lowry,,106,109
4,0:02.0,,M. Turner enters the game for T. Evans,106,109
4,0:02.0,,D. Collison makes free throw 2 of 2,106,110
4,0:00.0,D. Green misses 3-pt jump shot from 48 ft,,106,110
4,0:00.0,Offensive rebound by Team,,106,110
