QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BOSTON_ACTION,PHILADELPHIA_SCORE,BOSTON_SCORE
1,11:43.0,,K. Irving misses 2-pt jump shot from 17 ft,0,0
1,11:40.0,Defensive rebound by B. Simmons,,0,0
1,11:25.0,J. Redick makes 3-pt jump shot from 24 ft (assist by W. Chandler),,3,0
1,11:02.0,,M. Morris makes 2-pt jump shot from 16 ft,3,2
1,10:39.0,J. Embiid makes 2-pt hook shot from 4 ft,,5,2
1,10:18.0,,J. Tatum makes 2-pt jump shot from 15 ft,5,4
1,10:09.0,J. Butler misses 3-pt jump shot from 26 ft,,5,4
1,10:07.0,Offensive rebound by B. Simmons,,5,4
1,10:05.0,J. Embiid makes 3-pt jump shot from 27 ft,,8,4
1,9:54.0,,M. Smart misses 3-pt jump shot from 24 ft,8,4
1,9:54.0,,Offensive rebound by K. Irving,8,4
1,9:53.0,,K. Irving misses 2-pt layup from 12 ft,8,4
1,9:52.0,Defensive rebound by J. Redick,,8,4
1,9:39.0,J. Embiid makes 2-pt jump shot from 16 ft,,10,4
1,9:28.0,,K. Irving misses 3-pt jump shot from 27 ft,10,4
1,9:26.0,Defensive rebound by J. Embiid,,10,4
1,9:17.0,Turnover by J. Embiid (out of bounds lost ball),,10,4
1,9:01.0,,M. Morris makes 2-pt layup from 2 ft,10,6
1,8:50.0,Shooting foul by M. Morris (drawn by B. Simmons),,10,6
1,8:50.0,B. Simmons misses free throw 1 of 2,,10,6
1,8:50.0,Offensive rebound by Team,,10,6
1,8:50.0,B. Simmons misses free throw 2 of 2,,10,6
1,8:47.0,,Defensive rebound by J. Tatum,10,6
1,8:35.0,,A. Horford makes 2-pt hook shot from 2 ft (assist by M. Morris),10,8
1,8:13.0,Shooting foul by A. Horford (drawn by J. Embiid),,10,8
1,8:13.0,J. Embiid makes free throw 1 of 2,,11,8
1,8:13.0,J. Embiid makes free throw 2 of 2,,12,8
1,7:57.0,,K. Irving makes 2-pt jump shot from 8 ft,12,10
1,7:37.0,J. Embiid misses 2-pt layup from 5 ft,,12,10
1,7:36.0,,Defensive rebound by A. Horford,12,10
