QUARTER,TIME_REMAINING,HOUSTON_ACTION,LA LAKERS_ACTION,HOUSTON_SCORE,LA LAKERS_SCORE
1,11:32.0,C. Capela misses 2-pt hook shot from 5 ft,,0,0
1,11:30.0,,Defensive rebound by L. James,0,0
1,11:21.0,,Turnover by L. James (bad pass),0,0
1,11:06.0,J. Harden misses 2-pt layup from 2 ft (block by J. McGee),,0,0
1,11:03.0,,Defensive rebound by K. Kuzma,0,0
1,11:00.0,,B. Ingram misses 3-pt jump shot from 23 ft,0,0
1,10:55.0,Defensive rebound by J. Harden,,0,0
1,10:52.0,Turnover by J. Harden (lost ball; steal by K. Kuzma),,0,0
1,10:46.0,,K. Kuzma misses 2-pt layup from 2 ft,0,0
1,10:44.0,Defensive rebound by C. Paul,,0,0
1,10:31.0,C. Paul makes 3-pt jump shot from 24 ft,,3,0
1,10:11.0,,Shooting foul by P. Tucker (drawn by B. Ingram),3,0
1,10:11.0,,B. Ingram misses free throw 1 of 2,3,0
1,10:11.0,,Offensive rebound by Team,3,0
1,10:11.0,,B. Ingram misses free throw 2 of 2,3,0
1,10:08.0,,Offensive rebound by L. James,3,0
1,10:05.0,,L. James makes 2-pt jump shot from 22 ft,3,2
1,9:50.0,E. Gordon misses 3-pt jump shot from 27 ft,,3,2
1,9:46.0,,Defensive rebound by B. Ingram,3,2
1,9:38.0,,R. Bullock misses 3-pt jump shot from 27 ft,3,2
1,9:33.0,,Offensive rebound by J. McGee,3,2
1,9:32.0,,K. Kuzma makes 3-pt jump shot from 26 ft (assist by J. McGee),3,5
1,9:18.0,E. Gordon makes 3-pt jump shot from 27 ft (assist by J. Harden),,6,5
1,8:51.0,,B. Ingram makes 2-pt layup from 1 ft,6,7
1,8:41.0,Personal foul by B. Ingram (drawn by C. Capela),,6,7
1,8:36.0,Personal foul by J. McGee (drawn by C. Capela),,6,7
1,8:26.0,C. Capela misses 2-pt layup from 3 ft (block by L. James),,6,7
1,8:23.0,Offensive rebound by C. Paul,,6,7
1,8:22.0,J. Harden misses 3-pt jump shot from 27 ft,,6,7
1,8:19.0,,Defensive rebound by J. McGee,6,7
1,8:12.0,,L. James misses 2-pt jump shot from 19 ft,6,7
1,8:09.0,Defensive rebound by J. Harden,,6,7
1,8:01.0,J. Harden makes 2-pt layup from 1 ft,,8,7
1,7:48.0,,Turnover by L. James (bad pass; steal by E. Gordon),8,7
1,7:44.0,C. Capela makes 2-pt dunk from 2 ft (assist by E. Gordon),,10,7
1,7:30.0,,R. Bullock misses 3-pt jump shot from 27 ft,10,7
1,7:26.0,Defensive rebound by C. Paul,,10,7
1,7:20.0,P. Tucker misses 3-pt jump shot from 24 ft,,10,7
1,7:18.0,,Defensive rebound by B. Ingram,10,7
