QUARTER,TIME_REMAINING,HOUSTON_ACTION,LA LAKERS_ACTION,HOUSTON_SCORE,LA LAKERS_SCORE
1,11:51.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,0,0
1,11:46.0,,Offensive rebound by B. Ingram,0,0
1,11:35.0,,Turnover by Team (shot clock),0,0
1,11:20.0,C. Paul makes 3-pt jump shot from 26 ft (assist by P. Tucker),,3,0
1,11:01.0,,J. McGee misses 2-pt hook shot from 8 ft,3,0
1,10:59.0,Defensive rebound by P. Tucker,,3,0
1,10:55.0,C. Capela makes 2-pt layup from 3 ft (assist by C. Paul),,5,0
1,10:41.0,,Personal foul by J. Ennis (drawn by L. James),5,0
1,10:34.0,,B. Ingram misses 2-pt jump shot from 17 ft,5,0
1,10:31.0,Defensive rebound by C. Capela,,5,0
1,10:17.0,C. Capela makes 2-pt hook shot from 7 ft,,7,0
1,10:02.0,,L. James makes 2-pt jump shot from 17 ft,7,2
1,9:41.0,Turnover by J. Harden (bad pass; steal by R. Rondo),,7,2
1,9:37.0,,R. Rondo makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),7,4
1,9:26.0,C. Capela makes 2-pt layup from 2 ft (assist by J. Ennis),,9,4
1,9:12.0,,L. James misses 3-pt jump shot from 26 ft,9,4
1,9:10.0,Defensive rebound by J. Harden,,9,4
1,8:52.0,J. Ennis misses 3-pt jump shot from 26 ft,,9,4
1,8:48.0,,Defensive rebound by K. Caldwell-Pope,9,4
1,8:48.0,,B. Ingram makes 2-pt jump shot from 8 ft,9,6
1,8:40.0,J. Harden makes 2-pt layup from 2 ft,,11,6
1,8:26.0,,J. McGee makes 2-pt dunk from 1 ft (assist by R. Rondo),11,8
1,8:12.0,C. Paul misses 2-pt jump shot from 11 ft,,11,8
1,8:11.0,,Defensive rebound by L. James,11,8
1,8:07.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,11,8
1,7:59.0,Defensive rebound by C. Capela,,11,8
1,7:58.0,Turnover by C. Capela (lost ball; steal by R. Rondo),,11,8
1,7:55.0,,R. Rondo makes 2-pt layup from 1 ft,11,10
1,7:48.0,J. Harden makes 3-pt jump shot from 28 ft,,14,10
1,7:32.0,,B. Ingram makes 2-pt jump shot from 15 ft (assist by L. James),14,12
1,7:12.0,C. Paul misses 3-pt jump shot from 24 ft,,14,12
1,7:06.0,Offensive rebound by J. Ennis,,14,12
1,7:06.0,J. Ennis misses 2-pt layup at rim,,14,12
1,7:06.0,,Defensive rebound by R. Rondo,14,12
1,7:03.0,,L. James makes 2-pt dunk from 2 ft (assist by J. McGee),14,14
1,6:51.0,Offensive foul by J. Ennis (drawn by K. Caldwell-Pope),,14,14
1,6:51.0,Turnover by J. Ennis (offensive foul),,14,14
1,6:51.0,,LA Lakers full timeout,14,14
1,6:51.0,C. Anthony enters the game for C. Capela,,14,14
1,6:51.0,M. Carter-Williams enters the game for J. Ennis,,14,14
1,6:51.0,E. Gordon enters the game for C. Paul,,14,14
1,6:37.0,,J. McGee makes 2-pt jump shot from 13 ft (assist by R. Rondo),14,16
1,6:21.0,M. Carter-Williams misses 2-pt layup from 7 ft (block by J. McGee),,14,16
1,6:20.0,Offensive rebound by M. Carter-Williams,,14,16
1,6:13.0,Shooting foul by J. McGee (drawn by M. Carter-Williams),,14,16
1,6:13.0,M. Carter-Williams misses free throw 1 of 2,,14,16
1,6:13.0,Offensive rebound by Team,,14,16
1,6:13.0,,K. Kuzma enters the game for J. McGee,14,16
1,6:13.0,M. Carter-Williams misses free throw 2 of 2,,14,16
1,5:57.0,,Defensive rebound by Team,14,16
1,5:56.0,,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,14,16
1,5:54.0,Defensive rebound by C. Anthony,,14,16
1,5:53.0,J. Harden misses 2-pt layup from 2 ft (block by K. Kuzma),,14,16
1,5:48.0,,Defensive rebound by R. Rondo,14,16
1,5:45.0,,K. Kuzma makes 3-pt jump shot from 28 ft (assist by R. Rondo),14,19
1,5:20.0,Shooting foul by K. Kuzma (drawn by J. Harden),,14,19
1,5:20.0,J. Harden misses free throw 1 of 3,,14,19
1,5:20.0,Offensive rebound by Team,,14,19
1,5:20.0,J. Harden makes free throw 2 of 3,,15,19
1,5:20.0,,J. Hart enters the game for K. Caldwell-Pope,15,19
1,5:20.0,J. Harden makes free throw 3 of 3,,16,19
1,5:06.0,,R. Rondo misses 2-pt layup from 2 ft (block by E. Gordon),16,19
1,5:03.0,Defensive rebound by C. Anthony,,16,19
1,5:00.0,P. Tucker misses 3-pt jump shot from 24 ft,,16,19
1,5:00.0,,Defensive rebound by B. Ingram,16,19
1,4:57.0,,Personal foul by J. Harden (drawn by B. Ingram),16,19
1,4:42.0,,Shooting foul by M. Carter-Williams (drawn by B. Ingram),16,19
1,4:42.0,,B. Ingram makes free throw 1 of 2,16,20
1,4:42.0,,L. Ball enters the game for R. Rondo,16,20
1,4:42.0,,B. Ingram makes free throw 2 of 2,16,21
1,4:23.0,M. Carter-Williams misses 2-pt jump shot from 3 ft,,16,21
1,4:22.0,,Defensive rebound by J. Hart,16,21
1,4:22.0,,Personal foul by M. Carter-Williams (drawn by J. Hart),16,21
1,4:22.0,G. Green enters the game for M. Carter-Williams,,16,21
1,4:02.0,,L. Ball misses 3-pt jump shot from 27 ft,16,21
1,4:00.0,Defensive rebound by C. Anthony,,16,21
1,3:47.0,G. Green makes 3-pt jump shot from 24 ft (assist by J. Harden),,19,21
1,3:39.0,,LA Lakers full timeout,19,21
1,3:39.0,C. Capela enters the game for P. Tucker,,19,21
1,3:39.0,,L. Stephenson enters the game for L. James,19,21
1,3:28.0,,J. Hart misses 2-pt layup from 1 ft (block by J. Harden),19,21
1,3:25.0,Defensive rebound by C. Anthony,,19,21
1,3:22.0,C. Capela misses 2-pt layup from 3 ft (block by B. Ingram),,19,21
1,3:22.0,Offensive rebound by Team,,19,21
1,3:11.0,C. Anthony makes 3-pt jump shot from 27 ft (assist by J. Harden),,22,21
1,2:52.0,,L. Ball makes 2-pt layup from 3 ft (assist by K. Kuzma),22,23
1,2:34.0,J. Harden makes 2-pt layup from 2 ft,,24,23
1,2:29.0,,J. Hart misses 2-pt layup from 1 ft (block by E. Gordon),24,23
1,2:29.0,Defensive rebound by Team,,24,23
1,2:29.0,C. Paul enters the game for J. Harden,,24,23
1,2:29.0,,J. McGee enters the game for B. Ingram,24,23
1,2:15.0,C. Anthony misses 3-pt jump shot from 26 ft,,24,23
1,2:12.0,,Defensive rebound by J. Hart,24,23
1,2:01.0,,J. McGee misses 2-pt hook shot from 11 ft,24,23
1,1:59.0,Defensive rebound by C. Anthony,,24,23
1,1:55.0,E. Gordon misses 2-pt jump shot from 9 ft,,24,23
1,1:51.0,,Defensive rebound by J. McGee,24,23
1,1:47.0,,Turnover by J. McGee (bad pass; steal by C. Paul),24,23
1,1:41.0,G. Green makes 2-pt layup from 2 ft (assist by C. Paul),,26,23
1,1:30.0,,L. Ball misses 3-pt jump shot from 25 ft,26,23
1,1:28.0,Defensive rebound by C. Paul,,26,23
1,1:21.0,E. Gordon misses 3-pt jump shot from 26 ft,,26,23
1,1:19.0,,Defensive rebound by J. Hart,26,23
1,1:06.0,,K. Kuzma misses 2-pt jump shot from 9 ft,26,23
1,1:04.0,Defensive rebound by C. Capela,,26,23
1,1:02.0,Turnover by C. Paul (bad pass),,26,23
1,0:53.0,,Personal foul by C. Anthony (drawn by J. McGee),26,23
1,0:53.0,,J. McGee misses free throw 1 of 2,26,23
1,0:53.0,,Offensive rebound by Team,26,23
1,0:53.0,,J. McGee makes free throw 2 of 2,26,24
1,0:46.0,E. Gordon misses 2-pt layup from 3 ft (block by J. McGee),,26,24
1,0:43.0,,Defensive rebound by K. Kuzma,26,24
1,0:41.0,,K. Kuzma misses 2-pt layup from 2 ft,26,24
1,0:38.0,,Offensive rebound by L. Stephenson,26,24
1,0:38.0,,L. Stephenson makes 2-pt layup from 2 ft,26,26
1,0:36.0,Personal foul by L. Ball (drawn by C. Paul),,26,26
1,0:34.0,Personal foul by L. Ball (drawn by C. Paul),,26,26
1,0:34.0,C. Paul makes free throw 1 of 2,,27,26
