QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA CLIPPERS_ACTION,PORTLAND_SCORE,LA CLIPPERS_SCORE
1,11:39.0,D. Lillard misses 2-pt jump shot from 6 ft,,0,0
1,11:34.0,,Defensive rebound by T. Harris,0,0
1,11:26.0,,D. Gallinari misses 2-pt jump shot from 17 ft,0,0
1,11:23.0,Defensive rebound by M. Harkless,,0,0
1,11:14.0,J. Nurkić makes 2-pt jump shot from 1 ft (assist by D. Lillard),,2,0
1,10:56.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 17 ft,2,2
1,10:41.0,Shooting foul by T. Harris (drawn by M. Harkless),,2,2
1,10:41.0,M. Harkless makes free throw 1 of 2,,3,2
1,10:41.0,M. Harkless makes free throw 2 of 2,,4,2
1,10:23.0,,T. Harris misses 3-pt jump shot from 25 ft,4,2
1,10:20.0,Defensive rebound by A. Aminu,,4,2
1,10:11.0,M. Harkless misses 3-pt jump shot from 25 ft,,4,2
1,10:07.0,Offensive rebound by A. Aminu,,4,2
1,10:06.0,M. Harkless makes 2-pt dunk from 1 ft (assist by A. Aminu),,6,2
1,9:56.0,,T. Harris makes 2-pt jump shot from 19 ft,6,4
1,9:46.0,C. McCollum makes 2-pt jump shot from 19 ft,,8,4
1,9:34.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft,8,6
1,9:19.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by J. Nurkić),,11,6
1,8:59.0,,M. Gortat misses 2-pt jump shot from 13 ft,11,6
1,8:57.0,Defensive rebound by A. Aminu,,11,6
1,8:49.0,Personal foul by S. Gilgeous-Alexander (drawn by D. Lillard),,11,6
1,8:40.0,M. Harkless misses 2-pt jump shot from 23 ft,,11,6
1,8:37.0,,Defensive rebound by D. Gallinari,11,6
1,8:30.0,,D. Gallinari makes 2-pt dunk from 1 ft,11,8
1,8:22.0,D. Lillard makes 3-pt jump shot from 26 ft,,14,8
1,8:10.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 12 ft,14,10
1,7:56.0,A. Aminu makes 2-pt layup from 1 ft (assist by D. Lillard),,16,10
1,7:44.0,,T. Harris misses 2-pt jump shot from 5 ft,16,10
1,7:41.0,Defensive rebound by M. Harkless,,16,10
1,7:32.0,C. McCollum makes 2-pt layup from 2 ft (assist by A. Aminu),,18,10
1,7:32.0,,LA Clippers full timeout,18,10
1,7:17.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by J. Nurkić),18,10
1,7:15.0,Personal foul by S. Gilgeous-Alexander (drawn by J. Nurkić),,18,10
1,7:02.0,M. Harkless makes 2-pt jump shot from 6 ft,,20,10
1,6:46.0,,Turnover by D. Gallinari (bad pass; steal by D. Lillard),20,10
1,6:36.0,D. Lillard makes 2-pt jump shot from 10 ft,,22,10
1,6:36.0,,P. Beverley enters the game for S. Gilgeous-Alexander,22,10
1,6:36.0,,M. Harrell enters the game for M. Gortat,22,10
1,6:14.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by P. Beverley),22,13
1,5:55.0,J. Nurkić makes 2-pt hook shot from 9 ft (assist by D. Lillard),,24,13
1,5:42.0,,Shooting foul by A. Aminu (drawn by M. Harrell),24,13
1,5:42.0,,M. Harrell makes free throw 1 of 2,24,14
1,5:42.0,,M. Harrell makes free throw 2 of 2,24,15
1,5:27.0,C. McCollum makes 2-pt layup from 2 ft (assist by D. Lillard),,26,15
1,5:20.0,,A. Bradley misses 3-pt jump shot from 26 ft,26,15
1,5:17.0,Defensive rebound by A. Aminu,,26,15
1,5:03.0,J. Nurkić makes 2-pt hook shot from 8 ft (assist by C. McCollum),,28,15
1,4:47.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by P. Beverley),28,18
1,4:33.0,Shooting foul by T. Harris (drawn by J. Nurkić),,28,18
1,4:33.0,J. Nurkić makes free throw 1 of 2,,29,18
1,4:33.0,J. Nurkić makes free throw 2 of 2,,30,18
1,4:26.0,,Away from play foul by D. Lillard (drawn by D. Gallinari),30,18
1,4:19.0,,Turnover by D. Gallinari (traveling),30,18
1,4:01.0,C. McCollum makes 2-pt layup from 2 ft (assist by J. Nurkić),,32,18
1,3:42.0,,D. Gallinari misses 2-pt layup from 2 ft (block by C. McCollum),32,18
1,3:39.0,Defensive rebound by C. McCollum,,32,18
1,3:39.0,Personal foul by D. Gallinari (drawn by J. Nurkić),,32,18
1,3:39.0,J. Nurkić misses free throw 1 of 2,,32,18
1,3:39.0,Offensive rebound by Team,,32,18
1,3:39.0,Z. Collins enters the game for A. Aminu,,32,18
1,3:39.0,E. Turner enters the game for M. Harkless,,32,18
1,3:39.0,,M. Scott enters the game for D. Gallinari,32,18
1,3:39.0,J. Nurkić makes free throw 2 of 2,,33,18
1,3:30.0,,T. Harris makes 2-pt layup from 1 ft (assist by M. Harrell),33,20
1,3:19.0,J. Nurkić misses 2-pt jump shot from 21 ft,,33,20
1,3:14.0,,Defensive rebound by T. Harris,33,20
1,3:07.0,,M. Scott misses 2-pt jump shot from 16 ft,33,20
1,3:03.0,Defensive rebound by E. Turner,,33,20
1,2:56.0,Z. Collins misses 2-pt jump shot from 15 ft,,33,20
1,2:53.0,,Defensive rebound by T. Harris,33,20
1,2:42.0,,M. Harrell misses 2-pt jump shot from 12 ft,33,20
1,2:40.0,Defensive rebound by D. Lillard,,33,20
1,2:30.0,J. Nurkić makes 2-pt dunk at rim (assist by Z. Collins),,35,20
1,2:16.0,,P. Beverley makes 3-pt jump shot from 26 ft (assist by M. Harrell),35,23
